data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Super Soft Absorbent Towels,https://aax-us-east-retail-direct.amazon.com/x/c/JEifh7XOjNUwwhICguTdutEAAAGdizMBKAEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDIgICDdYhzQ/clv1c_ek-wBIHXFcbWDn2nI4trJ16WpAySuUaH-bjNIV7ymxnlsLYjFNa6ZqQRPdmXiFX1qmQXPaGL0WrqSErL7U7kbmnu4AHkLjAKPqNuHs2AWPz0gzL1QgBcHMb24-O0xjCwTaAfxcwxflWfa_T0E2TukEz5pMSU9lXplpTu3Q-yjCcdV3Yptr5haQG1tV2qJKp91YAfCTihDx3wzbSdBWjD_7cJeO09BnyEDco3-K2-7CIag-JqC0imPbwt6EKj-F75EGAZAfP3qAyEGe2Tba7CsiRLIVDJzuzouvPpuq7e2VnI2VrRZ_TI1hnWkolZ4g8m02imOsWVx3o2aqE7qo9nSpybBCjcykB2IKs3Awrm7Z4WMpbc9qRRKd-IzMyt1-a1hmmUBcXVe-fYwnBB_G2DUthFW-iRCA9r4jPeH67fUm7mIYJOuoZUG8-z8nMVRrg0Bvm9ByRSsra9G0ZwwIAroXq8XLqugpdZkJlDXm1ColMrjXPZq9gDztpmTf3gAgPElLNJNdXj5UKUYLh3bWyNjdMJj79hU8jMIJqu6IIxdJ7PJCF89iskvqes_Odr9aGZos3S_wwSh5H53kAjnHYj-PnNLFw_SPEt7OB5l9iG4Zmg0ZKMnugm0xD9oTz8P8OOrDrvo5OFVn3tDqPM1lKX-ElnEmcH73ekfhLY80rJFDiip55_VUhn6IvV9RTX075S3lMH-zqA1V5zVnWxAdH-Vc_8P-3svCpvMxUuicNHIsHghkwMXM4Hu3ZLivoLvozIOkUFyDg3uSIDSzMVItBVHGlG6U25-JNE6OM1XlvO73rc4vdKHeEO87qVcXn1ArnB3n4dNMeNm7Mo3VqjpeMOIE8u8xHqQoMa__ZkC58P97-PCpNJQ0Q2ee90ZSa_WlgGQgMJoLmkezMiqvuVT1UfwcpiArQZHCQGMHk1PrKbAs26uWTI865kM8YrV5_v9BOuvbalpXKkTZgJY1NPnGYh4EBn3f_ZpPL_qRXyr2JdaSJxkpmlH9md19kR2UzgfPHy0Wnpd5h3gfKmgshfrXjgxRsiyHrzju-EWF4MvTYos9EL_YAyqpffyuK6s9D3ASvdBo7vnRnK_D4BZgWkC3HirUx4euWQU3Deh1adxFaHfGggBeijKNq2dcmNDkgwqF4HPn-3C0SIzd-YySEbcXKoDZ59NjYcKpWt2c9RAolpQ7ezIVID9zvUUNdN5z0zAEfhm5f8JvB4WSBIaWmUaWuiCZ-7Jdn9O4F9Zf6D_sWwswAVI2lvqwoYKNdWK6_ezoxdIIyzRQcZsgUOdDJ77KMf39iDiZtlNdc7CPgTFd-1ZmUfik4ViztCQK__Gdu2CV1bCtfPH4TxAO950Gj0mCkzSOVXDelk5alxVyFXHHCHeA0GCFCWxM63W1PdMXTScb5okQlABdthIfbJG6up4nIbxCBrue2T3dzjEzJtyHKqrVg6LCSe8rcxs0ZvNmDud3b3u4jmtOde3RwRMp-HnTOMwtL9aW3oNxcwym1ZGylIzQ1gRKOgVJWuH8PqeB5AGnnhtwOzq4MjfFlAyvbj5eELCsUPUalun6ufaFStpic0WERQ9zeUnAUw1KzYwPPcI_k8Tfh83lIg_j012KOLPN5Hhq1FJTJC1dNld_zTmZ2XH739JJUbRlyoWjKEJGK9tBQ4IL5Gn_qu_BrBR-PL4ZN1hcWSb7sB9lUwtl2vJAUpr94/https://www.amazon.com/stores/page/CE940073-6082-492E-A3E3-4FE3AE9F4408/?_encoding=UTF8&store_ref=SB_A083062522BUINFHQKBQY-A04351963UR3S5S9R8BL6&pd_rd_plhdr=t&aaxitk=15f2ae3c10826f9d1aad7e25d834281f&hsa_cr_id=0&lp_asins=B08LBN2JPS%2CB08LBKXYWF%2CB08LBMMHDN&lp_query=towels&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=441tl&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=4G76E2PVRD31T66VGTP0&pd_rd_wg=k9gFx&pd_rd_r=ef872c63-6aca-4c3e-8ebf-09ba268830bb,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/30bfe224-61c0-46b2-9970-344932738c04._CR0,0,600,600_AC_SX130_SY60_CB1169409_QL70_.png",,Super Soft Absorbent Towels,2026-04-14T16:54:31.950852,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-14T16:54:31.951367,
3,1,Organic,,1.0,B08LBN2JPS,"Tens Towels Pack of 4 Extra Large Bath Towels 30 x 60 Inches, 100% Cotton, Larger & Lighter Weight, Quicker to Dry, Super Soft and Absorbent, Perfect for Bathroom, Dark Grey",N/A,$35.99,,4.3,22932.0,False,https://m.media-amazon.com/images/I/918gCoGCVYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/918gCoGCVYL._AC_SL1500_.jpg,,2026-04-14T16:54:31.970300,
4,1,Organic,,2.0,B0B8CZM73P,"Towel and Linen Mart 100% Cotton 6 Pack Bath Towel Set, Quick Dry, Super Absorbent, Light Weight, Soft, (27 x 54 Pack of 6) Beige, White, Grey, Sky Blue, SAGE Green, Navy",N/A,$24.49,,4.1,14810.0,False,https://m.media-amazon.com/images/I/91a5pVB983L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91a5pVB983L._AC_SL1500_.jpg,,2026-04-14T16:54:31.977876,
5,1,Organic,,3.0,B0GNDDHWQN,"DecorRack 4 Premium Turkish Bath Collection Towels, 100% Combed Turkish Cotton, 600 GSM, Super Plush, Ultra Absorbent and Quick Dry, Includes 4 Bath Towels, 27 x 54 inch, Green (Set of 4)",N/A,$59.99,,,,False,https://m.media-amazon.com/images/I/91iUk-GCaCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91iUk-GCaCL._AC_SL1500_.jpg,,2026-04-14T16:54:31.983385,
7,1,Title,,,,Debug info copied.SponsoredChakir Turkish Linens | Hotel & Spa Quality 100% Cotton Premium Turkish T,,,,,,False,,,,2026-04-14T16:54:31.983889,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-14T16:54:31.983889,
9,1,Organic,,4.0,B0FGQD1N6K,"Grey Bath Towels 30x60 – Pack of 4 | Soft, Light Weight & Quick-Dry | Highly Absorbent 100% Combed Yarn Cotton Towels for Bathroom, Spa, Home & Hotel Use (Grey Bath Towels, 30x60- Pack of 4)",N/A,$34.99,,4.4,36.0,False,https://m.media-amazon.com/images/I/71RjjqWPRSL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71RjjqWPRSL._AC_SL1500_.jpg,,2026-04-14T16:54:31.989892,
10,1,Organic,,5.0,B0BB29GC7W,"GLAMBURG 100% Cotton 2 Pack Oversized Bath Towel Set 28x55 Inches, Ultra Soft Highly Absorbant Compact Quickdry & Lightweight Large Bath Towels, Ideal for Gym Travel Camp Pool - Black",N/A,$13.78,,4.1,9116.0,False,https://m.media-amazon.com/images/I/81JqWneZqpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81JqWneZqpL._AC_SL1500_.jpg,,2026-04-14T16:54:31.999552,
11,1,Organic,,6.0,B07FBZVWB4,"KAHAF COLLECTION 6 Pack Bath Towels Set (27 x 54 Inches) 100% Ring Spun Cotton, Lightweight, Quick Dry, Highly Absorbent Towels Multicolor, (27x54) Inches",N/A,$24.95,,3.6,9018.0,False,https://m.media-amazon.com/images/I/81y0Jtp3DJL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81y0Jtp3DJL._AC_SL1500_.jpg,,2026-04-14T16:54:32.006104,
