rank,page,ad_type,ad_rank,asin,title,url,price_current,price_list,price_unit,rating_stars,rating_count,spec,variation_options,sales,coupon,delivery_primary,delivery_secondary,is_prime,is_amazon_fulfilled,image_small,image_large,scraped_at,inner_products_count
2,1,Organic,,B08LBN2JPS,"Tens Towels Pack of 4 Extra Large Bath Towels 30 x 60 Inches, 100% Cotton, Larger & Lighter Weight, Quicker to Dry, Super Soft and Absorbent, Perfect for Bathroom, Dark Grey",N/A,CNY 245.78,,CNY 61.46,4.3,,,,,,"CNY 118.35 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/918gCoGCVYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/918gCoGCVYL._AC_SL1500_.jpg,2026-04-14T11:03:24.829189,
3,1,Organic,,B0963LSWW1,"Tens Towels Pack of 4 Extra Large Bath Towels 30 x 60 Inches, 100% Cotton, Larger & Lighter Weight, Quicker to Dry, Super Soft and Absorbent, Perfect for Bathroom, White",N/A,CNY 252.61,,CNY 63.17,4.3,,,,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/71f63LJo34L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71f63LJo34L._AC_SL1500_.jpg,2026-04-14T11:03:24.845708,
4,1,Organic,,B0GLNWD93F,"Mindsoft 6 Pack Microfiber Gym Towels with Carry Bag, Super Absorbent Quick Dry Lightweight Sports Towels 30"" x 60"" for Travel Beach Workout Yoga Swim Camping(Navy Blue,Large)",N/A,CNY 477.98,,CNY 79.70,,,,2 sizes,,,"CNY 77.38 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81yvlDOtW7L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yvlDOtW7L._AC_SL1500_.jpg,2026-04-14T11:03:24.855230,
5,1,SB_Video,1.0,,N/A,N/A,,,,,,,,,,,,False,False,,,2026-04-14T11:03:24.862523,
7,1,Organic,,B0B8CZM73P,"Towel and Linen Mart 100% Cotton 6 Pack Bath Towel Set, Quick Dry, Super Absorbent, Light Weight, Soft, (27 x 54 Pack of 6) Beige, White, Grey, Sky Blue, SAGE Green, Navy",N/A,CNY 167.25,,CNY 27.86,4.1,,,5 sizes,,,"CNY 118.35 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/91a5pVB983L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91a5pVB983L._AC_SL1500_.jpg,2026-04-14T11:03:24.872060,
8,1,Organic,,B0BB29GC7W,"GLAMBURG 100% Cotton 2 Pack Oversized Bath Towel Set 28x55 Inches, Ultra Soft Highly Absorbant Compact Quickdry & Lightweight Large Bath Towels, Ideal for Gym Travel Camp Pool - Black",N/A,CNY 94.11,,CNY 47.05,4.1,,,5 sizes,,,"CNY 60.23 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81JqWneZqpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81JqWneZqpL._AC_SL1500_.jpg,2026-04-14T11:03:24.886950,
9,1,Organic,,B08JQ672VN,"American Soft Linen Luxury 4 Piece Bath Towel Set, 600 GSM 100% Cotton Turkish Bath Towels for Bathroom, 27x54 in Extra Large Bathroom Shower Towels, White",N/A,CNY 273.10,,CNY 68.29,4.4,,,,,,"CNY 118.35 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81h678YS9iL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81h678YS9iL._AC_SL1500_.jpg,2026-04-14T11:03:24.907013,
10,1,Organic,,B0GNDF7K83,"DecorRack 4 Premium Turkish Bath Collection Towels, 100% Combed Turkish Cotton, 600 GSM, Super Plush, Ultra Absorbent and Quick Dry, Includes 4 Bath Towels, 27 x 54 inch, Grape (Set of 4)",N/A,CNY 409.69,,CNY 102.44,,,,,,,"CNY 169.91 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/91q-HNqQg4L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91q-HNqQg4L._AC_SL1500_.jpg,2026-04-14T11:03:24.917034,
11,1,Organic,,B09BWFX1L6,"Amazon Basics 2-Ply Flex-Sheets Paper Towels, 12 Basics Rolls = 40 Regular Rolls, Everyday Value with 150 Sheets per Roll, Packaging May Vary",N/A,CNY 156.12,,CNY 8.67,4.1,,150 sheet (Pack of 12),3 sizes,,,"CNY 227.75 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/71v-pTar1AL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71v-pTar1AL._AC_SL1500_.jpg,2026-04-14T11:03:24.934071,
14,1,Organic,,B09FZT5BYV,"LANE LINEN 18-Pack Premium Towels for Bathroom – 100% Cotton Towel Set, Zero Twist, 6 Bath, 6 Hand & 6 Washcloths,Gentle on Body, Highly Absorbent, Remains Soft After Wash, Hotel & Spa Quality – Grey",N/A,CNY 443.83,,CNY 24.65,4.2,,,8 sizes,,,"CNY 227.75 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/91ZvFOmrZPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91ZvFOmrZPL._AC_SL1500_.jpg,2026-04-14T11:03:24.949213,
