global_rank,page_position,page,ad_type,ad_subtype,asin,title,url,price_current,price_list,price_unit,rating_stars,rating_count,spec,variation_options,sales,coupon,delivery_primary,delivery_secondary,is_prime,is_amazon_fulfilled,image_small,image_large,brand_name,scraped_at,inner_products_count
1,2,1,Organic,,B08LBN2JPS,"Tens Towels Pack of 4 Extra Large Bath Towels 30 x 60 Inches, 100% Cotton, Larger & Lighter Weight, Quicker to Dry, Super Soft and Absorbent, Perfect for Bathroom, Dark Grey",N/A,CNY 245.78,,CNY 61.46,4.3,,,,,,,,False,False,https://m.media-amazon.com/images/I/918gCoGCVYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/918gCoGCVYL._AC_SL1500_.jpg,,2026-04-14T11:33:17.269642,
2,3,1,Organic,,B0B8CZM73P,"Towel and Linen Mart 100% Cotton 6 Pack Bath Towel Set, Quick Dry, Super Absorbent, Light Weight, Soft, (27 x 54 Pack of 6) Beige, White, Grey, Sky Blue, SAGE Green, Navy",N/A,CNY 167.25,,CNY 27.86,4.1,,,,,,,,False,False,https://m.media-amazon.com/images/I/91a5pVB983L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91a5pVB983L._AC_SL1500_.jpg,,2026-04-14T11:33:17.277775,
3,4,1,Organic,,B09FZT5BYV,"LANE LINEN 18-Pack Premium Towels for Bathroom – 100% Cotton Towel Set, Zero Twist, 6 Bath, 6 Hand & 6 Washcloths,Gentle on Body, Highly Absorbent, Remains Soft After Wash, Hotel & Spa Quality – Grey",N/A,CNY 443.83,,CNY 24.65,4.2,,,,,,,,False,False,https://m.media-amazon.com/images/I/91ZvFOmrZPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91ZvFOmrZPL._AC_SL1500_.jpg,,2026-04-14T11:33:17.289197,
1,5,1,SB_Video,video,,N/A,https://aax-us-east-retail-direct.amazon.com/x/c/JBw9VXPlreNVOUiSWRI14RwAAAGdigze4AEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICAeTz11/clv1c_ek-wBQH2LcTWXU4hOD6IISgzjVkz8DYnGrYZHtCyfU-Tbep1AlKb1Dgl5Hbqem6qDQecFSAnqemh0m4U92x8B7GWJIy7D4ZQCM8Z0dCnENQab8A6VajuDjyIQ7jTfesMZogd0kRaNtylwPkPBNW2-tHRyP2c-fWqEsHc_VeaDQRRfZQmxofMMEo5Q_Fa_-CfxoXLZk5GKRL89YXHPepp0km6dAejzxyLkFPR_awSOZC-N_0mUpGXWfArnwJqSQQlz_wdS4t8vXH9lRuU4MIC03utvrsPcU2GqyffpayLh45Oylko8v4uDSMPphwMZ8hrF7Ypuo1P0TxZjir70SwJmt4s1JuU0cbq17Mx-H23WiHn4-V-izcp4OG8zsn9GlV922tjDAM9l9USORdTtRcnRL18_zhMUhm_6qPjpzFrUf4TNDQ49uRZG0UjuWe3O3D2B-iRJm7_zwYNN6mw1UxY_HxcjH9McIf0R-RIN88lzSU0g9LdPX9-wbRnYW3uguJB2buoVuELYp44RihH2MjbBk26PIdfnji6kMkEmZ1o8jufQlRtzQRmoCHkbEkUvzknlPr7Vbpel6nX0d7mELKczR0HoUvmqPiDYFpogEYl7BivjYCy9AoIdfHms7KA4VokMGQ0FB0If8WWjrNgkdVLUOCqsrp2N8L18CZdq0cxMM-OomVTcV7pcmbEa2vg97EZenIVxSfUinxLnFjlYjwxQuqlTkrkmuP-E38QqSyESmbjSRQPIzQrbfw-4tdcwJXy4UzvmOodjFrifzI6Wi-87MFWTkFLAW6KpyV-wvK2OOnipSTKs9czag0E-Ao645Vswjnk_HAyWIeEYI6Cdt8bBZNw3EsEf0M9ZOZI_fV9FguS9DVtfIQp_uyWe5yRd9nZyAkoYBiAW7t3CqfjKQosABmPqMn65XMlP6_g91fCEJPggpRJvj2rMun82fJbjcPovzlUC_VlObcYWm087bKDze8pvD9YRLdtVpIbZ6zUo7dsrYcdl0V7Uenct6C68ExWVBOS-OC-ttDaF30QgiK3IkSW-4pdMyx9V38ITuPAzdQS_88XtBrDE_17di6TgjvPsU-OKisOFAct04DIRBdpsDC9895IfUYJTsJrctk2wtgsZ_By9bzgO-bSXLZf1ZrgkyJtS-g0PnkDPvT609hkIgIoPMSZvUKqsi_i8sU1AyyPto_0xCh4khDNH0PJ03S06sbmaZd1v0DmbD19kdJfkmjD4K_c_tnsjtnSVDCskYYRwA2g6v8qj1g_Yy6ryO4InPIDZLb1yK6VD50K2wf6X1jEW3mieEPLfp2weF6_rEEJi7PGMS4vMVLD7PHAri_fDXWRz9EYPsDqUMelNRclsc4NUkPUcRJ2ToC0gDqVLtZfiROiTWnAakdfNpPilpda6Cf7C9bFtpUM6QJN1tFZksDCa7T5hEFYSRhy3BlC95_02UOO51rkbKULpvdcvb-soNl0bbK0k6zW4N7UhxWIkOJF6WFCDXu4nhVHjZ1XnlKyJmXqfGmcF_KB634xN6Z5iLuNWC5cbLBUq1THtDUQkb72EH6Z40kdoMktqqLupl0YgsUItcJqZumr4gTof83RyTfaJR2F/https://www.amazon.com/dp/B08LBN2JPS?pd_rd_i=B08LBN2JPS&pf_rd_p=c8b39f81-ded8-4d75-80c2-6dfa03cbb699&pf_rd_r=1HVSJ992PHEDNCDKQ4C1&pd_rd_wg=G1y0z&pd_rd_w=haVeW&pd_rd_r=85124cfd-85cf-4b71-9ee0-914f52887a58,,,,,,,,,,,,False,False,,,,2026-04-14T11:33:17.296277,
4,6,1,Organic,,B0963LSWW1,"Tens Towels Pack of 4 Extra Large Bath Towels 30 x 60 Inches, 100% Cotton, Larger & Lighter Weight, Quicker to Dry, Super Soft and Absorbent, Perfect for Bathroom, White",N/A,CNY 252.61,,CNY 63.17,4.3,,,,,,,,False,False,https://m.media-amazon.com/images/I/71f63LJo34L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71f63LJo34L._AC_SL1500_.jpg,,2026-04-14T11:33:17.306857,
5,7,1,Organic,,B0BB29GC7W,"GLAMBURG 100% Cotton 2 Pack Oversized Bath Towel Set 28x55 Inches, Ultra Soft Highly Absorbant Compact Quickdry & Lightweight Large Bath Towels, Ideal for Gym Travel Camp Pool - Black",N/A,CNY 94.11,,CNY 47.05,4.1,,,,,,,,False,False,https://m.media-amazon.com/images/I/81JqWneZqpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81JqWneZqpL._AC_SL1500_.jpg,,2026-04-14T11:33:17.316821,
6,8,1,Organic,,B07FBZVWB4,"KAHAF COLLECTION 6 Pack Bath Towels Set (27 x 54 Inches) 100% Ring Spun Cotton, Lightweight, Quick Dry, Highly Absorbent Towels Multicolor, (27x54) Inches",N/A,CNY 170.39,,CNY 28.41,3.6,,,,,,,,False,False,https://m.media-amazon.com/images/I/81y0Jtp3DJL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81y0Jtp3DJL._AC_SL1500_.jpg,,2026-04-14T11:33:17.322839,
7,9,1,Organic,,B0GHRDP6DC,"PinkSheep Hooded Bath Towel for Girls Age 3-10,100% Cotton Butterfly Toddler Towel with Snap Buttons,Super Soft and Absorbent Kids Beach & Swim Towel 30x50 Inches",N/A,CNY 129.69,,,4.8,,,,,,,,False,False,https://m.media-amazon.com/images/I/71y2bTo9asL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71y2bTo9asL._AC_SL1500_.jpg,,2026-04-14T11:33:17.328973,
8,10,1,Organic,,B09FH314SM,"LANE LINEN 100% Cotton Turkish Towel Set for Bathroom - 16 Piece - Super Soft, Quick Dry & Highly Absorbent - 4 Bath, 8 Wash cloths, 4 Hand Towels - Hotel Quality, Durable & OEKO-TEX Certified - Grey",N/A,CNY 307.59,,CNY 19.26,4.1,,,,,,,,False,False,https://m.media-amazon.com/images/I/A1yu1vQrqpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/A1yu1vQrqpL._AC_SL1500_.jpg,,2026-04-14T11:33:17.340512,
1,11,1,SB,brand_showcase,,Super Soft Absorbent Towels,https://aax-us-east-retail-direct.amazon.com/x/c/JImN8KKu1HjE1GHHyhNYU_0AAAGdigze3AEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICBEcszk/clv1c_ek-wBIXWLTjXTY0iNE4kIAkyBQ5EPsn5KHMnEDI1mJcfezys2ILhspc_tn8nfY2Y0IgKg24Yqmjrdd-eLwDkUIRH6La85MmVyRSl7KMeK9Eqg1DjaNj6RcRFAIZzrVAxl5kftn57RNfwesS0LontOjHBmIAPllyyMsTynzer_IUQX0HdT8Ghy-7gXMR6hAuuyNd_OpIq3lZ2NEX5l8pB-GPPJxt_RH_yxRjG738pIhCFZKCfH3yk9Xvb0T4f9WoQoudrNeimU4s-AwpgLtFVzM89LJA5Tr1Ny-RE60RN_5fw339mWKB_javVg1_PN5Xsj-kjWYZO_AXHlfepe4ty9L-azm6b9JW_vQIS1sVEJ8JendVKE2gQrtKOAKiCn62AhPH35S1Jtxp0huxCegpyEnAsX2NGLxXUXjqoxXHrClfa7x65O045-Vc96lkBCS8JQrHyMDxNNKoy5pyIvtg4slrSDIYwXdsteqSPXPu_mxdOFIAMyC74i_wUQUCVmiEcQ3tP92HToQjJPjS1xA1-3Nk6R6nwa7Q3QvjZbu6gUS0huQv3NmSLuxvSefpYKozlN8BLCv1Hy8GJACtjeLOf0m4UyPQVC0Wp3CBKT5Wjsg95w8Ue0X3btvs1HVwmLOmOIqYoqtECJx7p-SPhbb25Vsj1vwMl2UmRAsrJbvtRlQzUc5GD6QEGheI99NSKcu3R9gIcI-deYgmH9-zmecVie3L2s4oWEuu5HPURoz4z4HWizFk8x3Z4JgMBGeTSUQ_P1G8Ln_7HV2yAcEmGR08hhJV654wDG03GpQrwMMmFU9Oa5fFsSIMlevhH7fGYyKChf2QRpCFow6M6zKwA5-SIUKYvvFvhKKcSuFQ--P6zMnCyxZkUmmCUFnhXIJEM1EzcIZ9QUXfq8MoAZZ4iIjlaawpZoiaFnPPxW5bcNuDvczCvWh9BD5fwN0KtxaD2U7yEGx_fcVaFT2wePxEpb21yaumRxr7keILLmKkkyhSq3vdapKMqgSNXUVx6ESs7kH3079FfQKbmJOi5bNCkwbyb4RUHmPtaIe6A7FGlRWepm3sIstYCDCYTJcarVQZrc6IKCTY5Fg8xhsZb4ylL7wZ6JsXTBx0eN34igd2gBG2ga51wr22eC51XKw8fiqqOz5bcKIMdEdpu2Ep8Uk9CA8_smyPuM1RsI0W8adY1SnUJKcVCBmBGPWI0r8Exlpg84rjdUWdKSrzIKlk3mED5GUyp9KJvooG2Rh2GcYYvr2iT60_BM5QcSikOh6A31wTUu3PvtKCL5KKVtl10Hpn1aCmY-J-PM-sLvvb418hK-fuoZ4nWaqgjv0_jKQH3jR7awyLOyS2rZH2I8Kl0pMwphebZ0PK-vsOUQdsXziNwt1JJULXmR0YgTvTZfSvAfWZdLgAg3IzpHjmW3NDFN1lL_J6CU_bLPLxtjib__hUewzmFYIhiJ7SeSjaHjtH_s3kDcLWbFMLoG-jTGCVOV1gb71oNfbOrDjdtLEOWadT3LTh_sCdLGWhWZqswd2Xzq25IaaLagOZlIj-52nC7tbV09xS637m0qspR2A6qyDn19yupdnEx2QNtiKs0KNvS1g5GsSYebVgAmjhaNG_71x7pJYmKNS6YHqxQKas9vDdCV3VgnE0xrFD-5Bk0f9FE0KHVdoC8LytxXMVE366TNvzhYt_H/https://www.amazon.com/stores/page/CE940073-6082-492E-A3E3-4FE3AE9F4408/?_encoding=UTF8&store_ref=SB_A083062522BUINFHQKBQY-A04351963UR3S5S9R8BL6&pd_rd_plhdr=t&aaxitk=15f2ae3c10826f9d1aad7e25d834281f&hsa_cr_id=0&lp_asins=B08LBN2JPS%2CB08LBKXYWF%2CB08LBMMHDN&lp_query=towels&lp_slot=desktop-inline&ref_=sbx__sbtcd2_bkgd&pd_rd_w=0gpYF&content-id=amzn1.sym.d3360101-5266-4e0e-8e4a-de7eb0be6ed9%3Aamzn1.sym.d3360101-5266-4e0e-8e4a-de7eb0be6ed9&pf_rd_p=d3360101-5266-4e0e-8e4a-de7eb0be6ed9&pf_rd_r=1HVSJ992PHEDNCDKQ4C1&pd_rd_wg=G1y0z&pd_rd_r=85124cfd-85cf-4b71-9ee0-914f52887a58,,,,,,,,,,,,False,False,,,Super Soft Absorbent Towels,2026-04-14T11:33:17.402825,3.0
