data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at
0,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-14T16:35:30.498820
2,1,Organic,,1.0,B08LBN2JPS,"Tens Towels Pack of 4 Extra Large Bath Towels 30 x 60 Inches, 100% Cotton, Larger & Lighter Weight, Quicker to Dry, Super Soft and Absorbent, Perfect for Bathroom, Dark Grey",N/A,CNY 245.78,,4.3,22931.0,False,https://m.media-amazon.com/images/I/918gCoGCVYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/918gCoGCVYL._AC_SL1500_.jpg,,2026-04-14T16:35:30.509364
3,1,Organic,,2.0,B0963LSWW1,"Tens Towels Pack of 4 Extra Large Bath Towels 30 x 60 Inches, 100% Cotton, Larger & Lighter Weight, Quicker to Dry, Super Soft and Absorbent, Perfect for Bathroom, White",N/A,CNY 252.61,,4.3,22931.0,False,https://m.media-amazon.com/images/I/71f63LJo34L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71f63LJo34L._AC_SL1500_.jpg,,2026-04-14T16:35:30.519625
4,1,Organic,,3.0,B0GQT1M94C,"Jacquotha Checkered Beach Towel Oversized 35"" x 70"" (Sand) - Extra Large Quick Dry Cotton Pool Towel for Men Women Adults, Neutral Bathroom Decor, 1 Pack",N/A,CNY 191.15,,5.0,2.0,False,https://m.media-amazon.com/images/I/71HzXbc8JcL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71HzXbc8JcL._AC_SL1500_.jpg,,2026-04-14T16:35:30.523139
6,1,Title,,,,"Debug info copied.SponsoredTens Towels Pack of 4 Extra Large Bath Towels 30 x 60 Inches, 100% Cotton",,,,,,False,,,,2026-04-14T16:35:30.524139
7,1,Title,,,,More results,,,,,,False,,,,2026-04-14T16:35:30.524139
8,1,Organic,,4.0,B07PBXXNCY,"Clean Skin Club Clean Towels XL®, 100% USDA Biobased Face Towel, Disposable Face Towelette, Eczema Association Accepted, Makeup Remover Dry Wipes, Ultra Soft, 1 Pack, 50 Ct",N/A,CNY 122.58,,4.8,42916.0,False,https://m.media-amazon.com/images/I/61Cn1ooILhL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61Cn1ooILhL._AC_SL1500_.jpg,,2026-04-14T16:35:30.528162
9,1,Organic,,5.0,B0B8CZM73P,"Towel and Linen Mart 100% Cotton 6 Pack Bath Towel Set, Quick Dry, Super Absorbent, Light Weight, Soft, (27 x 54 Pack of 6) Beige, White, Grey, Sky Blue, SAGE Green, Navy",N/A,CNY 167.25,,4.1,14810.0,False,https://m.media-amazon.com/images/I/91a5pVB983L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91a5pVB983L._AC_SL1500_.jpg,,2026-04-14T16:35:30.533714
10,1,Organic,,6.0,B09BWFX1L6,"Amazon Basics 2-Ply Flex-Sheets Paper Towels, 12 Basics Rolls = 40 Regular Rolls, Everyday Value with 150 Sheets per Roll, Packaging May Vary",N/A,CNY 156.12,,4.1,69025.0,False,https://m.media-amazon.com/images/I/71v-pTar1AL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71v-pTar1AL._AC_SL1500_.jpg,,2026-04-14T16:35:30.540223
11,1,Organic,,7.0,B0GFZBM5ZK,"BIOWEAVES 100% Organic Cotton 6-Piece Luxury Bathroom Ribbed Towel Set GOTS Certified 700 GSM, 2 Bath Towel, 2 Hand Towel & 2 Wash Cloths - White",N/A,CNY 409.69,,4.7,20.0,False,https://m.media-amazon.com/images/I/71Fu-Wk1TSL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Fu-Wk1TSL._AC_SL1500_.jpg,,2026-04-14T16:35:30.553903
