data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Super Soft Absorbent Towels,https://aax-us-east-retail-direct.amazon.com/x/c/JC3HKyxjTxG7Rnjkh62PKbkAAAGdizA_PAEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDIgICDvRG3h/clv1c_ek-wBAfWFcbSDn0nIotrJ16WpAySuUbn_6iobn2ijwMP6c7XK1ifaKQRHdtLZYV565FBkQKkBz79eQFQVv0sxtwkjUzxVmtTWuxlCtBvxf5SQyU7etPCGXHa1rm0InAEIKOOtqy2tdTfOndd6GHm21HXmB3cll_yncXsw5f7TQIRQz9b8aTrMir754JzHPCau-CBN8xNEQHcTfg1dwhnYyKPBFtbYEQv_iyOq3cOZ8Fu6hGxLTx39i7WNIimA9_Hjv0_FSdNxx2fo4ohh_GUksZVoPjsbBx33E63vXaY8ggQ-fogJTcEPHpLL85xrs8cwEaqQqA-iSAiredf-45XQIEyoB_qQGAzzEz8jxPkTtdfSStJ38RmDnGAHxFcnoy99E-YVUr_sjvr4Ts6_p-M0SWIuI7A0vex-SJkqXKmFg1QokFXKc8fTr-Nor-PZDIKREA6L1EUzjRQKMADXUGwfWcdYa36XqowxwAKn5L-XR-2ReyxjvWE35Q57UYXbW3vbKCYd-JrkmZC5RvHFGx6xX1rTeEEJE1BeVNYBjyfWkM_qxMH5bdG8t6Y3_msewr3Co67-ssoO4ODmS-alhAfz-MZLXK6IIQ4otVjB8Gwh3EuCeVTHQgtRu0MMBEHLh7XIhACZoX4fSp0RodMnV5CMt7UE55L9Fg7nVHmtGEj3hMLkj8jFXzhu5FMh7ogkv24J8lvuXE_UCSwf3gFa9FPxg9O7ST8Gq5mCe8zDewhm5AmlUGc2Kfp4teMJnRqcbsX8ls_B7L3R3a4e8js11sAyuRqGihFRdg30o8zI7b7sDueczXQvB-RX5xw06GuRySmgGJRDl8kNhTS-3CGFi1mBGG5B4aKhonAXqbuuwiP3oWjilol-VCNJ7Ii9Hiz2sQwcsYT8PhjAF3N1lM5yOYnADV5oGtIyUtIaSClCh8k3V5ON51EoWY9wYRkJx7zHm2OGywvzZ4scEpKGuqEsC62BeVkeIqRhRwfpAswLo05aeqykhJYHMvM4jnurwCG6LFbOESaBNmLI-LMSdln8bxAFsebYYL4Uz0meLQeI8FiMdpTY9jsQyCU8tIgT9DT3cEp5pPro25kyYxjZobuse9yPnLHnWxJsBiw614OUe9Mu387jM9Fh6a8N5dJ6jm46aZ6DWFYEjK6c1TOEfuai-RrrwhPgecNLZTk7TgKaJ1S7sHHkR-dtZukhfoN7uhBmrgrBCOsqYU6lGCeyTGAu6OY_feib3KrPy685wLU9G3popvsV7RmGX5bjGx3cWZeV0kxxjec5DqIjLxooikmMwXuDP3SktXKbPS70d8PYVX_yv5R1cl2vzWPTkkzZxbBML0W_m5mCQWFGCaDg_HZ_heTxtc6MWK5q9K0kwgZigdgLp6m1lZYKc0Red5CQ8e2PKQTXZjXTPtZHfzA_lXq8oSTt0NmbmIWqfFAxbgGn6A64tysBVY3GBz3LGWKOvApb09WgK7zTApkKbL-XbOw6z3hMkopqJ9ktYUsZ-lUpJxuQtRAApFQnkX_YcEdfaNx1xMkUlz7v3ZbP3GH9Qsfsz2hLYmIG0iuxCvxOdNTRRs1ZWLL6I-m9ldBjMzWjU6nuMioE40ADRkHVAKl_6kEdkbRDLru8m-KMqfgrc1hS3e9_t1NujZzMDkJjx9WDQlieTZ6Td_UzXNfbmYBPvDFqvOoTEwG9rPz-NYwkN3XhKl_/https://www.amazon.com/stores/page/CE940073-6082-492E-A3E3-4FE3AE9F4408/?_encoding=UTF8&store_ref=SB_A083062522BUINFHQKBQY-A04351963UR3S5S9R8BL6&pd_rd_plhdr=t&aaxitk=15f2ae3c10826f9d1aad7e25d834281f&hsa_cr_id=0&lp_asins=B08LBN2JPS%2CB08LBKXYWF%2CB08LBMMHDN&lp_query=towels&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=aJcqt&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=N022TJ1T9KGBTCH6Y5X3&pd_rd_wg=Ar7ma&pd_rd_r=0f831535-ea99-412b-8811-0c6573a6e77e,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/30bfe224-61c0-46b2-9970-344932738c04._CR0,0,600,600_AC_SX130_SY60_CB1169409_QL70_.png",,Super Soft Absorbent Towels,2026-04-14T16:51:31.493123,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-14T16:51:31.494128,
3,1,SP,1.0,,B00Q7JESL0,"Amazon Basics 6-Piece Fade-Resistant 100% Cotton Towel Set for Bathroom, Soft and Absorbent, 2 Bath Towels, 2 Hand Towels, 2 Washcloths, Gray",N/A,$18.99,,4.4,26407.0,False,https://m.media-amazon.com/images/I/71MvNzm6GiL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71MvNzm6GiL._AC_SL1500_.jpg,,2026-04-14T16:51:31.502149,
4,1,SP,2.0,,B08LBN2JPS,"Tens Towels Pack of 4 Extra Large Bath Towels 30 x 60 Inches, 100% Cotton, Larger & Lighter Weight, Quicker to Dry, Super Soft and Absorbent, Perfect for Bathroom, Dark Grey",N/A,$35.99,,4.3,22932.0,False,https://m.media-amazon.com/images/I/918gCoGCVYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/918gCoGCVYL._AC_SL1500_.jpg,,2026-04-14T16:51:31.508210,
5,1,SP,3.0,,B0GMY978L7,"Artstyle Disposable Hand Towels for Bathroom, White Linen-Feel Guest Towels, Soft and Absorbent Dinner Paper Napkins, 12-inch x 17-inch, 100 ct.",N/A,$21.99,,4.8,16.0,False,https://m.media-amazon.com/images/I/81kw+nBrczL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81kw+nBrczL._AC_SL1500_.jpg,,2026-04-14T16:51:31.513236,
6,1,SP,4.0,,B07Q6Z59F2,"SKL Home Flips & Flops Hand Towel (2-Pack), Blue",N/A,$16.99,,4.8,985.0,False,https://m.media-amazon.com/images/I/910DekQ7hCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/910DekQ7hCL._AC_SL1500_.jpg,,2026-04-14T16:51:31.515475,
7,1,Organic,,1.0,B08LBN2JPS,"Tens Towels Pack of 4 Extra Large Bath Towels 30 x 60 Inches, 100% Cotton, Larger & Lighter Weight, Quicker to Dry, Super Soft and Absorbent, Perfect for Bathroom, Dark Grey",N/A,$35.99,,4.3,22932.0,False,https://m.media-amazon.com/images/I/918gCoGCVYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/918gCoGCVYL._AC_SL1500_.jpg,,2026-04-14T16:51:31.529146,
8,1,Organic,,2.0,B0FGQD1N6K,"Grey Bath Towels 30x60 – Pack of 4 | Soft, Light Weight & Quick-Dry | Highly Absorbent 100% Combed Yarn Cotton Towels for Bathroom, Spa, Home & Hotel Use (Grey Bath Towels, 30x60- Pack of 4)",N/A,$34.99,,4.4,36.0,False,https://m.media-amazon.com/images/I/71RjjqWPRSL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71RjjqWPRSL._AC_SL1500_.jpg,,2026-04-14T16:51:31.536741,
9,1,Organic,,3.0,B0GNF3KBSD,"DecorRack 4 Premium Turkish Bath Collection Towels, 100% Combed Turkish Cotton, 600 GSM, Super Plush, Ultra Absorbent and Quick Dry, Includes 4 Bath Towels, 27 x 54 inch, Gray (Set of 4)",N/A,$59.99,,,,False,https://m.media-amazon.com/images/I/91icUoTOjGL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91icUoTOjGL._AC_SL1500_.jpg,,2026-04-14T16:51:31.543481,
11,1,Title,,,,New arrivalsSponsored| Based on items added in the past 60 daysCASA COPENHAGEN Solitaire 6Pcs 100% E,,,,,,False,,,,2026-04-14T16:51:31.545899,
12,1,Title,,,,More results,,,,,,False,,,,2026-04-14T16:51:31.545899,
13,1,Organic,,4.0,B0B8CZM73P,"Towel and Linen Mart 100% Cotton 6 Pack Bath Towel Set, Quick Dry, Super Absorbent, Light Weight, Soft, (27 x 54 Pack of 6) Beige, White, Grey, Sky Blue, SAGE Green, Navy",N/A,$24.49,,4.1,14810.0,False,https://m.media-amazon.com/images/I/91a5pVB983L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91a5pVB983L._AC_SL1500_.jpg,,2026-04-14T16:51:31.553432,
