data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,250th Anniversary Patriotic Wreath for Front Door,https://aax-us-east-retail-direct.amazon.com/x/c/JPA9rjEyTdsVdyXsjPV1COIAAAGdsCZisQEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDIgICD-VV9Y/clv1c_ek-wBIHXFcbWDn2nI4trJ16WpAySuUaHOZzWw1LqnQLP0Gae8r26cfIHcNXN2kafZdB65ZiijF8z6e4CCUTEiA9Zp2areTb_vFgUD0v_766ymtdjLbIbZeiSon91lurhdwfsBKhcj75UOpL1gALh6VnXp-_8FlfvnuT13XPyjCQcV3gp9oghXNItSZ4GCUMIhIFQaRqrf0dM0OnLvGIQwkfSTzsvVB-jhjflYTcDqRI67YTicrRQ6vs2fZ1t3pvCxss5kbbXrfWjdcVAhSpUuVVzwHwO3VfNymBHx29_lG877qEIrYLjpiL4Ik5wrisgeNV1wAMPEJIVG2rChWuAJlQuMSzLU0VBPH7j3_hrseSG8PVd0H1g_H1wVEHU-zqUoAAd_pDEnBBwxrYBpvKjg8mYXmcrY1Y1Bk9vavhbPq9LsjZhQ6gqgpgUoSMrsGhKb2NhEshUtN3uxIK8czvnlz8D6hv0Q6nGJWhXsHR4cc_LkQzBjb1TFoH6cMXcUnLgq0VYUmWQVc3LT56jTkcsbb4l3Y_szD6DF-hlWNGH0YMqiRYp1RphplT7__GUByztzUauoDEp4asRK57XzunNVlbA4amTsBDBzJvsqOyhsm6bgKMQ-ppkAhebkhh1TfLGW_3er0A4phBxwlqB_DuPc-PbL9dJBMT_tfddFAFW1mq0VD1PJ6OT2nCD0SwEhcMbgGePRjOIasn997Zmvy3DHLoVLn3NiGPPHTb979xlSPb4kzn74fw8gdBVNrg2biPBnC3PROhBNeOiWTEqAxxU6tQH3QX9G0J-oTtS3J7TqFnud_xCtnhwebc_bmS66Q90IUyVsfldNUP8T0bWS46O9-ijU6tEpx3prkx99ltgASRVC0fyCCuUKUmloxecFO3VlaqrAsSgo-qRmXRrFChFyzzfosfvoMYNwTgwE3qXz3eDu7B0PYlwxwHs_xziK334Guk_8sCWIzGuI8bUkDXfoki-5O63xpe72KF6FpKqYHvQOGBje6Q8pcMGBp0qeV11VLjezeLKN04ZHuFC6yzIa8c8CgJYY6ENfzcJLm8mFGNqjQk4HCdVoi7VaA42y9rfjGj5gfMaRJaMpi6U2EcwwfcEPKQCPVwe3uBeAK7rBcSJmDTxlsyEBJEjiXLnQ2kw0klFMOay-quuMHy9SmBgySSRB77mwLHv7kAorF0fKmcyCeJHy5alLMAKQGK6bZhgLb9rBvFhQ9SnHIBn5XR78IJtvJnmm5AAqT7Z6UFwcZlTVEw-21R6OwX2jlEu_nRXeBR-JKIvEepAqRKWhrwh2PIzaRk-Fs4DXLviOVoFghUzRcugNyxNRaU6MoII57QSjB1NKG0bfC3qTskgsr19ZFUYIDPkUPjKfWWkXGwQVFrs7Te0TpdKeyaRsXBZCBh-ynOSioXbtb06Z_JOkcuIoms0RnLFEYhMAEkBqiw5uUWHU2aJ595_eimIdydqYrTZ-PN_kWX7r0Ev6PPpd7K8ZMx1LpEDwejFtKo7prkDl2ghxeCkI-V-T8tB67aSt-7MPP0RTw2V8HDL2pIjRWNytnQc1Boj5ml6P_MjM37Z7rxi1QyRGj0AOzM88pkAAhT9_xR-y7YLCtah4ncsKpbvlbHpzlaTKIZ8yYNSSUyM2QsG-9JFjkxfBHUtxmy_b1KKTpCfogHCig8PvVhJBQ/https://www.amazon.com/stores/page/1C68E5DD-6BF8-4AB4-A33A-72D4E6A0B387/?_encoding=UTF8&store_ref=SB_A01724512Q3ZO08V5BN01-A054026626RVBMKC6L5CB&pd_rd_plhdr=t&aaxitk=d597c60a235120c1f387fb2cec22f450&hsa_cr_id=0&lp_asins=B0FC2CYLWL%2CB0FC2CGLYN%2CB0FC2F4Y66&lp_query=4th%20of%20july%20accessories&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=lfIrq&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=5J3VFSNSDWEEN3YP8TYM&pd_rd_wg=azenQ&pd_rd_r=d67ca0c3-d8b8-48e9-b3ed-35b80962eb14,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/7bde2c15-17ad-4816-9876-a14dda7e6c30._CR0,0,1600,1600_AC_SX130_SY60_CB1169409_QL70_.png",,250th Anniversary Patriotic Wreath for Front Door,2026-04-21T13:06:46.474946,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T13:06:46.475916,
3,1,Organic,,1.0,B0G6D1F613,"4PCS USA Sets Flag Flower Leis, 4th of July Hawaiian Lei Set with 1 Neck Lei, 1 Headband & 2 Wristbands, Red White Blue Garland for World Cup Sports Events Patriotic Party Decoration",N/A,$7.89,,4.6,3.0,False,https://m.media-amazon.com/images/I/71ky4i1u0yL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ky4i1u0yL._AC_SL1500_.jpg,,2026-04-21T13:06:46.481378,
4,1,Organic,,2.0,B0DWMSWRZY,"Friendship Bracelets - Beaded Bracelets Set for Teen Women, Stretchable Preppy Bracelets, Stackable & Colorful Bracelets - Ideal Gifts, 4th of July, Halloween, Christmas",N/A,$5.99,,4.6,155.0,False,https://m.media-amazon.com/images/I/71wJsp0vUXL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71wJsp0vUXL._AC_SL1500_.jpg,,2026-04-21T13:06:46.486117,
5,1,Organic,,3.0,B0GSYJLRL4,12Pcs 4th of July Can Cooler Sleeves Patriotic Beverage Cooling Covers for 4th of July Accessories Patriotic Party Favors Memorial Day,N/A,$13.88,,5.0,1.0,False,https://m.media-amazon.com/images/I/71m0Wh5v4bL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71m0Wh5v4bL._AC_SL1500_.jpg,,2026-04-21T13:06:46.490345,
7,1,Title,,,,Debug info copied.Sponsored120 Pcs 4th of July Glow Sticks with Connectors & 20 Handles USA 250th An,,,,,,False,,,,2026-04-21T13:06:46.491419,
8,1,Title,,,,250th Anniversary Patriotic Wreath for Front DoorSponsored|Shop FoxiodShop nowPrevious page250th Ann,,,,,,False,,,,2026-04-21T13:06:46.492794,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T13:06:46.493032,
10,1,Organic,,4.0,B0D1BZ83CQ,14pcs 4th of July Accessories Includes Patriotic Headband American Flag Sunglasses Earring Star Necklace and Patriotic Temporary Stickers for Independence Day Party Supplies,N/A,$9.99,,4.7,12.0,False,https://m.media-amazon.com/images/I/71NsK6ot6KL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71NsK6ot6KL._AC_SL1500_.jpg,,2026-04-21T13:06:46.499255,
11,1,Organic,,5.0,B0C3LG75LK,Huachi American Flag Headbands for Women 4th of July Headband Wide Red White and Blue Patriotic Hair Bands for Women's Hair Twist Turban Hair Wrap Accessories,N/A,$4.50,,4.2,49.0,False,https://m.media-amazon.com/images/I/61ZKsiwEJwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61ZKsiwEJwL._AC_SL1500_.jpg,,2026-04-21T13:06:46.503921,
