data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T13:17:56.604000,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T13:17:56.605114,
3,1,Organic,,1.0,B0BY8V5R9N,"JULBEAR 418pcs 4th of July Star Foam Craft, Patriotic Self-Adhesive Glitter Foam Stickers Crafts Kit for Independence Day Patriotic Party Favors Kids Classroom Activity Decorations Supplies",N/A,$17.99,,4.6,96.0,False,https://m.media-amazon.com/images/I/81il4FR81bL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81il4FR81bL._AC_SL1500_.jpg,,2026-04-21T13:17:56.614139,
4,1,Organic,,2.0,B07Q2NP6QY,"Fun Express Patriotic Pom-Pom American Flag Sign Craft Kit - Makes 12 DIY 4th of July Crafts for Kids Ages 4-8 | Memorial Day Activities for Classroom, Preschool | Red White Blue Party Favors",N/A,$15.72,,4.1,30.0,False,https://m.media-amazon.com/images/I/71xu5PChRjL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71xu5PChRjL._AC_SL1500_.jpg,,2026-04-21T13:17:56.620574,
5,1,Organic,,3.0,B0CXPKLQCV,"Patriotic Glitter Cutouts Star Cutouts Kit Red Blue Sliver Star Cutouts Independence Day Cutouts with Glue Points for 4th of July Decoration Presidents' Day, Memorial Day Home Decor",N/A,$13.99,,,,False,https://m.media-amazon.com/images/I/81CFBHvLXbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81CFBHvLXbL._AC_SL1500_.jpg,,2026-04-21T13:17:56.626013,
7,1,Title,,,,Debug info copied.SponsoredNAZENTI Personalized 250th Anniversary 4th of July Door Sign with Family ,,,,,,False,,,,2026-04-21T13:17:56.627489,
8,1,Title,,,,Party Accessories Bulk SuppliesSponsored|Shop Moon BoatShop nowPrevious pageMoon Boat 12PCS 4th of J,,,,,,False,,,,2026-04-21T13:17:56.629228,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T13:17:56.629467,
10,1,Organic,,4.0,B0F3D5BW81,Qyeahkj 36 Set 4th of July Suncatchers Crafts for DIY Patriotic Star Window Tissue Paper Craft Kit Star Hanging Decor for Patriotic Home Activity Art Project Birthday Party Favor Gift,N/A,$12.99,,3.8,98.0,False,https://m.media-amazon.com/images/I/712m87UtIlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/712m87UtIlL._AC_SL1500_.jpg,,2026-04-21T13:17:56.633450,
11,1,Organic,,5.0,B0CP5RG717,"Childom 1 Pack Fourth of July Coloring Tablecloth for Kids,4th of July Crafts for Kids 30""x72"" Giant Coloring Poster Table Cloth,Large Paper Poster Crafts Party Activities,4th of July Paper Tablecloth",N/A,$4.99,,4.7,1461.0,False,https://m.media-amazon.com/images/I/8108pNco8cL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8108pNco8cL._AC_SL1500_.jpg,,2026-04-21T13:17:56.637173,
12,1,Organic,,6.0,B0F29G77QF,QOUBAI 36 Set Patriotic Wreath Craft Kit for DIY 4th of July Paper Crafts American Flag Stickers Hanging Ornament for Memorial Independence Day Art Activity Home Decor Supplies,N/A,$16.99,,4.2,4.0,False,https://m.media-amazon.com/images/I/81StgO-U5EL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81StgO-U5EL._AC_SL1500_.jpg,,2026-04-21T13:17:56.641102,
13,1,Organic,,7.0,B0CWGKD6BG,JULBEAR 36 Sets 4th of July Crafts Kits DIY Blank Foam Bookmarks Decorations Sets Patriotic Star Foam Self-Adhesive Stickers Arts for Kids Independence Day Party Favors Gift Exchange,N/A,$17.99,,4.9,45.0,False,https://m.media-amazon.com/images/I/91esYzCo8DL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91esYzCo8DL._AC_SL1500_.jpg,,2026-04-21T13:17:56.645772,
14,1,Organic,,8.0,B0CY1LL9C4,"DECYOOL 36 Pack 4th of July Crafts for Kids, DIY Patriotic Crafts, Make a Face Stickers for Kids, 4th of July Games, Party Favors & Decorations for Independence Day",N/A,$7.95,,4.8,54.0,False,https://m.media-amazon.com/images/I/91Xki3F4l1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Xki3F4l1L._AC_SL1500_.jpg,,2026-04-21T13:17:56.650213,
15,1,Organic,,9.0,B0F1YPYZMY,Landical 564 Pcs 4th of July Keychain Craft Kit DIY Patriotic Bead Keychain Making Supplies 250th Anniversary Key Gifts Name Beads Red Blue White Independence Day Memorial Day American Flag Favors,N/A,$14.99,,4.5,290.0,False,https://m.media-amazon.com/images/I/81hTS3a7bNL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hTS3a7bNL._AC_SL1500_.jpg,,2026-04-21T13:17:56.654891,
16,1,Organic,,10.0,B0F28SY79Y,18 Set 4th of July Crafts Activities Kits Patriotic DIY Glitter Foam Star Ball Ornaments Independence Day Decorations Red White Blue Gem Stickers Memorial Day Art Set for Party Supplies Favor,N/A,$11.99,,3.9,5.0,False,https://m.media-amazon.com/images/I/81cMsFSVCrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81cMsFSVCrL._AC_SL1500_.jpg,,2026-04-21T13:17:56.658762,
