data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T13:14:11.426308,6.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T13:14:11.428064,
3,1,SP,1.0,,B0D2NX786J,"HOOSUN Patriotic 4th of July Decorations Set,9 Pcs Red White and Blue Paper Fans,USA Pennant Bunting,Star Streamers,Patriotic Tablecloth for Fourth of July Party Supplies,Memorial Day Decor",N/A,$15.99,,4.6,103.0,False,https://m.media-amazon.com/images/I/81ADUf0tflL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ADUf0tflL._AC_SL1500_.jpg,,2026-04-21T13:14:11.433849,
4,1,SP,2.0,,B0CX1S7436,"100PCS 4th of July Accessories, Veterans Day Beads Necklace Bulk, Fourth of July Red Blue Silver Necklace Party Favors, Beads for Veterans Day Patriotic Parade Party Celebration Favors Decorations",N/A,$19.99,,4.6,1238.0,False,https://m.media-amazon.com/images/I/91pIKz9R9oL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91pIKz9R9oL._AC_SL1500_.jpg,,2026-04-21T13:14:11.438684,
5,1,SP,3.0,,B0BV6F85JH,40 Pack Small American Flags on Stick 4*6 Inch Mini American Flags for 4th of July Decorations Memorial Day Decorations Patriotic Decorations US American Hand Held Wooden Stick Flag with Kid-Safe,N/A,$9.99,,4.5,185.0,False,https://m.media-amazon.com/images/I/7193vxVM37L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/7193vxVM37L._AC_SL1500_.jpg,,2026-04-21T13:14:11.443928,
6,1,SP,4.0,,B08BLSYL31,1.5x3 Ft Memorial Day Decorations 4th of July 250 anniversary flag Bunting Flags outdoor- Half Fan Banner Pleated Patriotic USA Flags 3-Pack,N/A,$9.99,,4.6,1010.0,False,https://m.media-amazon.com/images/I/81XliOoEfsL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81XliOoEfsL._AC_SL1500_.jpg,,2026-04-21T13:14:11.447694,
7,1,Organic,,1.0,B088FLY7S8,"12 Pack Small American Flags on Stick Small US Flags/Mini American Flags for Outside 4x6 Inch American Hand Held Stick Flags with Kid-Safe Spear Top, Patriotic Veterans Day Decorations, 4th of July Decorations",N/A,$5.99,,4.6,3997.0,False,https://m.media-amazon.com/images/I/817zxE5-iIS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817zxE5-iIS._AC_SL1500_.jpg,,2026-04-21T13:14:11.453878,
8,1,Organic,,2.0,B0FRD7TBK7,OHOME 4th of July Decorations - Patriotic USA Stars Table Runner for Home | Memorial Day Decorations - 250th Anniversary Fourth of July Accessories Decor Party Supplies Indoor Outdoor,N/A,$6.76,,4.6,246.0,False,https://m.media-amazon.com/images/I/81cTp7vzkBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81cTp7vzkBL._AC_SL1500_.jpg,,2026-04-21T13:14:11.460050,
9,1,Organic,,3.0,B0GJYD9FRN,"Artoid Mode American Flag Stars Floral Patriotic 4th of July Kitchen Mats Set of 2, Memorial Day Home Decor Kitchen Rugs for Floor - 17x29 and 17x47 Inch",N/A,$25.99,,,,False,https://m.media-amazon.com/images/I/81VkNfaxRIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81VkNfaxRIL._AC_SL1500_.jpg,,2026-04-21T13:14:11.465045,
11,1,Title,,,,Debug info copied.SponsoredNAZENTI Personalized 250th Anniversary 4th of July Door Sign with Family ,,,,,,False,,,,2026-04-21T13:14:11.466092,
12,1,Title,,,,More results,,,,,,False,,,,2026-04-21T13:14:11.466426,
13,1,Organic,,4.0,B0GRYB7TJR,4th of July Decorations - 6.5 Ft Patriotic Bow Garland - Memorial Day Decor - America 250th Anniversary Decoration - Fourth of July Home Party Supplies Independence Day Accessories for Indoor Outdoor,N/A,$17.99,,5.0,9.0,False,https://m.media-amazon.com/images/I/71zuDZNC+TL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71zuDZNC+TL._AC_SL1500_.jpg,,2026-04-21T13:14:11.470940,
14,1,Organic,,5.0,B0GSDRP3W6,4pcs America 250 Anniversary Decorations Wood Centerpiecs 4th of July 250 Anniversary USA Decorations 1776 to 2026 July 4th Table Decor Patriotic USA 250th Fourth of July Tabletopper,N/A,$12.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/81yQ+omSKZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yQ+omSKZL._AC_SL1500_.jpg,,2026-04-21T13:14:11.474979,
15,1,Organic,,6.0,B0CTK72VDV,"OHOME 4th of July Decorations - Patriotic American Flag Plastic Tablecloth for 250th Anniversary | Fourth of July Accessories Memorial Day Decor for Home Outdoor Outside Party Favors,54""x108"",2 Pack",N/A,$5.98,,4.6,2355.0,False,https://m.media-amazon.com/images/I/81ZDjk1CMrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ZDjk1CMrL._AC_SL1500_.jpg,,2026-04-21T13:14:11.480987,
