data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,patriotic notebooks bulk,https://aax-us-east-retail-direct.amazon.com/x/c/JDaKHC2CYFfGP0KF-ToPSWgAAAGdsCgQWQEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDIgICD6bReO/clv1c_ek-wBIHXLbbWTg5Tc58pGgIJ7b4aDJo0U7vg-wPjHUsyaQ2AiNeC3UTQsesY1xN4Q5jlQRTH7j6ye5f7fJMyql5J5Z14krv_y-xgCtuJ1O-6mkuqaTf8WiHwMvl2tXjlCeZzs5wMAgwTIoUxWcMGi3LXkh3clFTesqh4L1eqQog3Lbu9INLE7LEhZI2W1xlsus2Do6n5v4ZL1OHbvHqQIieZXAp_RA3lHardCwE32bOjK0WOGiDlo9sue8brSa1WQS74kTfCqPNj1R_8F5N5XAU1-bKn0bcezscaw8m4c7Bm4Xk-4RE1ynj3KfZdGAce9DBEQJm3MCzyz53sXYrq4FQP-DqAAW2eHfdfd4Ij7VJ_0V_p8E5o-GBNAwFe1EJ3H3Fc609LYuPEBgFDyvaLJjFFy8Tn5NptJctvpR-7AAQsVIFXrOG_WAtK6pmOkTyYOr6gMsFKyOla4RW1WUQLhsrSnTG3YKUNKheEgIiMUA398q1g9RnSxEV3yMnrJv5zgVzpRRdlla2iojtaaftcGMeWUTfGrfVHJH7uqk0-0HHZ3lYbo1x0AcOuMTxnFeWGPA-Y6JyNrpEzLT9_pCUbNPsvUn1l8DTG6H4HvO7z8gpsw68mwy64x_yScA5cwUiQVo4NTmZ9Iag0fYUlJ9dQxc335GRdyIhzUscNvnSkE9pAmCwAtsvsTvVoe6N255u_Ge83rNLmE4f7GyHweGUKgLEPou0ml8EYg_2DzlaDknWHzrxVBjw6jCcyr2HAIMFa5T42-E-GQm8_zk77gbFJg2Id2UDjOwHISbOU1N8WxhUib3Zwx4nA5ZZj1Z-N4w-hReZYdyejf8_N4Qhrkt9C8aElzbclTam1LwUiM2z5JbDqV5FbVf05wyQrSHP82QYagkvPxrWl-NKQ7QjP5zlPsxl_0waDx9vviiagWdi6p3Ip3GDP-Zs4e5KcCv0hU6IlIocRD8fkw142x_lJMGT3FAYic4yXadwXs1Yhak-HkwnNDNgv5EKJV-hG9KAPdoyg-TdG-xMuQu93FqxTwPaJFdQMPTdOPRgDtF8IuQWLxtN0cJv83Tp7EHtmmfzTQppGFbVo630wPWfudI9Z0zy1uP7WLP-o11WkHGyBLkAjb8_lDQB3R6ajjCyc77YrsJboarGweN9bngfPMEw2g5J8QO1rLFaLA4zF8OkTQDHb4bU4AXXdf4LXOVD6UDZPdELkzQNCvaT-7y_zuCZ7VXN6_gmWnM6-do10Yo7zkhAThtmFIO_miu5GPylTLEoZeheDHDTcgI8Hi9FGzQAyz4itXA4Z-etjmXZf3Qemd6oWZb9tkbvPp32Lge9XxBNlQ29wzrTDbYoGJ2x8qF_ubZnIs2qQ0DOJq6Rgx1bbH8836wKj1W3maljJwHgdbPtVZr_GFUCygoAbMBAvTi-iAsd6HzXBgxkNg8_RWbwFTYbKBIb7mmU2KX-yiSdE8J1XxNNJaC_mCbcOdeHwS4Y83copjhECXDvNkvBQtpboFflw_fJiW6ZeCwyS4TM8FYs7omQ8CZ5qz8Ne7p6vGFOGHtkT12Q0LWKHR0m3vde3XEWnB-mtxgJC6nb8ZiHk6Rgo8P0z6Y3R2GAQ7AjrgyJ-JBFC8U5XjCtjBOW806FItYfbuMUP2eRMcwy2I5r1WPoxc9Mq-JnUlxP725DYUWlm7fR8ygcZBUaolqU/https://www.amazon.com/stores/page/2540E7E9-B08A-4731-B99C-EC770669757A/?_encoding=UTF8&store_ref=SB_A055330921OEO3SXQYDTO-A01028533TQ7OBH8XVF2J&pd_rd_plhdr=t&aaxitk=6b8da67a2eaaf4f66050ed72b51c10a2&hsa_cr_id=0&lp_asins=B0FNMJ57QS%2CB0GHM1VR31%2CB0GKF7LSTG&lp_query=4th%20of%20july%20party%20favors&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=DAk7f&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=ZR7KH0FTW2HCKN05YTEN&pd_rd_wg=iGkLq&pd_rd_r=7834eedd-125b-4e5c-9927-cb2b21c24212,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/9e0419f0-9c6b-4545-a941-3d10cc584db6._CR0,0,2000,2000_AC_SX130_SY60_CB1169409_QL70_.jpg",,patriotic notebooks bulk,2026-04-21T13:08:36.545231,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T13:08:36.546357,
3,1,Organic,,1.0,B0F1CFT8ZH,Moon Boat 144PCS 4th/Fourth of July Accessories Party Favors: Patriotic Silicone Rubber Bracelets Bulk USA Flag Wristbands American Memorial Day Decorations Gifts Supplies,N/A,$21.99,,4.8,41.0,False,https://m.media-amazon.com/images/I/81yBe+Ki2UL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yBe+Ki2UL._AC_SL1500_.jpg,,2026-04-21T13:08:36.551800,
4,1,Organic,,2.0,B0CHMS249C,Red White and Blue Twisty Lollipops Individually Wrapped Twist Suckers Bulk for Party Favors Kid's Lollipop Candy for Birthday Blueberry Flavors 30 Pack,N/A,$14.99,,4.6,123.0,False,https://m.media-amazon.com/images/I/712p0NnX8eL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/712p0NnX8eL._AC_SL1500_.jpg,,2026-04-21T13:08:36.558826,
5,1,Organic,,3.0,B0GSPDCHM9,"3 Pack 250th Tablecloths, American Flag Patriotic Theme Disposable Plastic Tablecloths for 250 Years Anniversary 4th of July Party Supplies Independence Day Decorations, 54"" x 108""",N/A,$9.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/61AeP8bVMWL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61AeP8bVMWL._AC_SL1500_.jpg,,2026-04-21T13:08:36.563520,
7,1,Title,,,,"Debug info copied.Sponsored480 Pack 4th of July Glow Sticks Party Favors with Connectors,Patriotic R",,,,,,False,,,,2026-04-21T13:08:36.564701,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-21T13:08:36.564943,
9,1,Organic,,4.0,B0D3WG214X,"PartyWorks Patriotic Candy - 40 Count Bag - Popping Rocks Pouches - 4th of July Candies - Strawberry, Blue Raspberry Flavors - Individually Wrapped Triangles",N/A,$7.99,,4.4,400.0,False,https://m.media-amazon.com/images/I/91dSBAg0vwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91dSBAg0vwL._AC_SL1500_.jpg,,2026-04-21T13:08:36.569640,
10,1,Organic,,5.0,B0C2C7S1LS,"VKTEN 32Pcs 4th of July Mini Bubble Wands Patriotic Red White Blue Bubbles for Kids, Independence Day Party Favors Patriotic Decorations",N/A,$7.99,,4.6,139.0,False,https://m.media-amazon.com/images/I/7166rh8v19L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/7166rh8v19L._AC_SL1500_.jpg,,2026-04-21T13:08:36.573296,
11,1,Organic,,6.0,B09V2VNFGQ,"MGparty 4th of July Accessories, 138Pcs Patriotic Party Favors Supplies Set Fourth of July Decorations Independence Day Celebrations Memorial Day Decor Classroom Prizes for kids",N/A,$20.99,,4.3,115.0,False,https://m.media-amazon.com/images/I/91STXu7YN3L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91STXu7YN3L._AC_SL1500_.jpg,,2026-04-21T13:08:36.579022,
12,1,Organic,,7.0,B0GSYJLRL4,12Pcs 4th of July Can Cooler Sleeves Patriotic Beverage Cooling Covers for 4th of July Accessories Patriotic Party Favors Memorial Day,N/A,$13.88,,5.0,1.0,False,https://m.media-amazon.com/images/I/71m0Wh5v4bL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71m0Wh5v4bL._AC_SL1500_.jpg,,2026-04-21T13:08:36.584154,
13,1,Organic,,8.0,B0CXPTNB9G,24 Pack 2'' Patriotic Rubber Ducks with Cards 4th of July Party Favors 250th Anniversary Baby Bath Toys Mini Duck Squeeze Squeak Summer Beach Pool Fourth July Supplies Red White Blue Gift Memorial Day,N/A,$18.99,,4.5,51.0,False,https://m.media-amazon.com/images/I/81iYRSpqB2L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81iYRSpqB2L._AC_SL1500_.jpg,,2026-04-21T13:08:36.588327,
14,1,Organic,,9.0,B0BXLBXCSH,20 Pairs American Flag Sunglasses UV400 250th Anniversary 4th of July Accessories USA Patriotic Sunglasses Eyewear Fourth July Women Men Teens Red White Blue Party Favors Independence Day Memorial Day,N/A,$21.59,,4.9,37.0,False,https://m.media-amazon.com/images/I/71KBd7t4zLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71KBd7t4zLL._AC_SL1500_.jpg,,2026-04-21T13:08:36.594130,
15,1,Organic,,10.0,B09YR5BXYS,50 Pcs Slap Bracelets for Kids 4th of July Slap Bracelets Bulk Snap Bracelet Party Supplies Favors Classroom Prizes Exchanging Gifts,N/A,$9.99,,4.7,262.0,False,https://m.media-amazon.com/images/I/61Rs3R+GVzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61Rs3R+GVzL._AC_SL1500_.jpg,,2026-04-21T13:08:36.599677,
16,1,Organic,,11.0,B0CCP23M6K,"MEICOLY Red White and Blue Body Glitter,4th of July Patriotic Accessories Hair Glitter for Kids,4th of July Outfits for Women,Self-Adhesive Face Glitter for President's Day Veterans Day",N/A,$7.98,,4.5,7228.0,False,https://m.media-amazon.com/images/I/71bSgIDKmnL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71bSgIDKmnL._AC_SL1500_.jpg,,2026-04-21T13:08:36.604119,
17,1,Organic,,12.0,B0CXPNZWD5,"iGeeKid 50 Pack 4th of July Party Favors Mini Bubble Wands Bulk, Patriotic Red White Blue Star Bubbles Kids Birthday Gift for 250th Anniversary Fourth of July Party Supplies,Independence Day Decor",N/A,$11.69,,4.2,79.0,False,https://m.media-amazon.com/images/I/81UxbKAjR9L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81UxbKAjR9L._AC_SL1500_.jpg,,2026-04-21T13:08:36.608304,
18,1,Organic,,13.0,B0CX8G69BZ,"JOYIN 72 Pcs July 4th Glow Sticks Bulk with Connectors, Red White Blue 3 Colors In 1 Glow in The Dark Stick, Light Up Bracelets & Necklaces for Kids & Adults, Party Favor Supplies For Independence Day",N/A,$11.99,,4.8,40.0,False,https://m.media-amazon.com/images/I/81S7QnwGjPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81S7QnwGjPL._AC_SL1500_.jpg,,2026-04-21T13:08:36.614414,
19,1,Organic,,14.0,B071W7WVBN,"Moon Boat 12PCS 4th of July Headbands, Fourth of July Party Decorations Accessories, Patriotic Red White Blue USA Outfit Favors for Independence/Memorial Day",N/A,$18.99,,4.5,786.0,False,https://m.media-amazon.com/images/I/81tEUF0CeKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81tEUF0CeKL._AC_SL1500_.jpg,,2026-04-21T13:08:36.620706,
20,1,Title,,,,More results,,,,,,False,,,,2026-04-21T13:08:36.621465,
21,1,Organic,,15.0,B06XGNL1RX,"Ring Pop Lollipops - Bulk Candy Individually Wrapped Suckers Variety Party Pack- 20 Count w/Assorted Flavors - Hard Candy for Party Favors, Kids & Goodie Bags",N/A,$8.48,,4.8,87499.0,False,https://m.media-amazon.com/images/I/81caeWEBoFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81caeWEBoFL._AC_SL1500_.jpg,,2026-04-21T13:08:36.629056,
22,1,Organic,,16.0,B0BXWFHMCL,hexiaoxiao 36pcs 4th of July Rubber Bracelets Silicone Wristbands for independence day decorations Supplies fourth of july Party Favors for kids&teens Classroom Prizes Gifts,N/A,$7.99,,4.8,135.0,False,https://m.media-amazon.com/images/I/81tOyvMZh6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81tOyvMZh6L._AC_SL1500_.jpg,,2026-04-21T13:08:36.635248,
23,1,Organic,,17.0,B093KJYD3B,Candy Envy - Patriotic USA Buttermints - 13 oz. Bag - Approximately 100 Individually Wrapped Mints - Fourth of July Memorial Day Party Candy Favors,N/A,$14.99,,4.5,177.0,False,https://m.media-amazon.com/images/I/91nx5UKM8XL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91nx5UKM8XL._AC_SL1500_.jpg,,2026-04-21T13:08:36.644122,
24,1,Organic,,18.0,B0G6DY4VC3,Yungyan 12 Pcs 4th of July American Can Cooler Sleeves 250th Anniversary for 1776-2026 Independence Day Accessories Patriotic Party Favors Collapsible for Memorial Day Decoration(Classic Style),N/A,$13.99,,3.9,6.0,False,https://m.media-amazon.com/images/I/81sJDtCcMxL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81sJDtCcMxL._AC_SL1500_.jpg,,2026-04-21T13:08:36.650010,
25,1,Organic,,19.0,B0GHMW84HP,48 Pack 4th of July Party Favors Mini Bubble Bottles Wands Patriotic Decorations 250th Anniversary Red Blue White Star Gift for Independence Day Outdoor Activity Bubble Birthday Gifts Bulk,N/A,$16.99,,4.8,6.0,False,https://m.media-amazon.com/images/I/71lMHPfiJaL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71lMHPfiJaL._AC_SL1500_.jpg,,2026-04-21T13:08:36.655134,
26,1,Organic,,20.0,B0CX1S7436,"100PCS 4th of July Accessories, Veterans Day Beads Necklace Bulk, Fourth of July Red Blue Silver Necklace Party Favors, Beads for Veterans Day Patriotic Parade Party Celebration Favors Decorations",N/A,$19.99,,4.6,1238.0,False,https://m.media-amazon.com/images/I/91pIKz9R9oL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91pIKz9R9oL._AC_SL1500_.jpg,,2026-04-21T13:08:36.661358,
27,1,Organic,,21.0,B0CB3Y6PPW,"Party Goodie Bag Stuffer Fillers for Kids, 32 Pack Mini Bubble Wand Toys Gifts for Toddler, Small Birthday Summer Beach Pool Camping Party Favor Supplies,4th of July Classroom School Stuff Treat Prize",N/A,$8.88,,4.6,2733.0,False,https://m.media-amazon.com/images/I/71P27BMtwSL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71P27BMtwSL._AC_SL1500_.jpg,,2026-04-21T13:08:36.666519,
28,1,Organic,,22.0,B0DYCPZ6PJ,"iGeeKid 100 Pack 4th of July Party Favors Mini Bubble Wands, Patriotic Red White Blue Star Bubbles Kids Birthday Gift for 250th Anniversary Fourth of July Party Supplies,Independence Day Decorations",N/A,$17.99,,5.0,9.0,False,https://m.media-amazon.com/images/I/81dhLyE0O5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81dhLyE0O5L._AC_SL1500_.jpg,,2026-04-21T13:08:36.672179,
29,1,Organic,,23.0,B0CZ8FRW95,21Pcs 4th-of-July-Necklaces Independent-Day Patriotic Star Shaped Necklace Red-White-Blue Necklace for Adults Party Favors Accessories,N/A,$8.38,,4.4,46.0,False,https://m.media-amazon.com/images/I/810GrDlO85L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/810GrDlO85L._AC_SL1500_.jpg,,2026-04-21T13:08:36.675909,
30,1,Title,,,,More results,,,,,,False,,,,2026-04-21T13:08:36.676411,
31,1,Organic,,24.0,B0FNRBP888,98PCS 4th of July Favors - USA 250 Patriotic Party Favors with Red White and Blue Silicone Bracelets Slap Bracelets Stickers Gift for Veteran USA 250 Patriotic Accessories,N/A,$9.99,,4.2,42.0,False,https://m.media-amazon.com/images/I/91m6Oyaay3L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91m6Oyaay3L._AC_SL1500_.jpg,,2026-04-21T13:08:36.679581,
