data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T13:16:05.024637,6.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T13:16:05.026523,
3,1,Organic,,1.0,B0DWZKWJHG,"4th of July Party Supplies Set, Patriotic Theme Kit for Independence & Election Day Decorations, Includes Plates, Napkins, Cups, Banner, Tablecloth -Patriotic & 4th of July Party Decorations-24 Guests",N/A,$21.58,,4.8,551.0,False,https://m.media-amazon.com/images/I/81r8uRVECLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81r8uRVECLL._AC_SL1500_.jpg,,2026-04-21T13:16:05.033989,
4,1,Organic,,2.0,B09V2VNFGQ,"MGparty 4th of July Accessories, 138Pcs Patriotic Party Favors Supplies Set Fourth of July Decorations Independence Day Celebrations Memorial Day Decor Classroom Prizes for kids",N/A,$20.99,,4.3,115.0,False,https://m.media-amazon.com/images/I/91STXu7YN3L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91STXu7YN3L._AC_SL1500_.jpg,,2026-04-21T13:16:05.039410,
5,1,Organic,,3.0,B0GKF5BTJ3,4 Pack 4th of July Foil Fringe Curtains 3.3 x 6.6 Ft Patriotic Party Tinsel Curtain Backdrop Red Blue Silver Stars Metallic Foil Streamer Photo Booth Prop for Memorial Day Independence Day Wall Decor,N/A,$11.99,,,,False,https://m.media-amazon.com/images/I/91pg4KWa9GL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91pg4KWa9GL._AC_SL1500_.jpg,,2026-04-21T13:16:05.046499,
7,1,Title,,,,Debug info copied.SponsoredNAZENTI Personalized 250th Anniversary 4th of July Door Sign with Family ,,,,,,False,,,,2026-04-21T13:16:05.047590,
8,1,Title,,,,Personalized USA 250th Anniversary WreathsSponsored|Shop NazentiShop nowPrevious pageNAZENTI Persona,,,,,,False,,,,2026-04-21T13:16:05.048623,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T13:16:05.048755,
10,1,Organic,,4.0,B088FLY7S8,"12 Pack Small American Flags on Stick Small US Flags/Mini American Flags for Outside 4x6 Inch American Hand Held Stick Flags with Kid-Safe Spear Top, Patriotic Veterans Day Decorations, 4th of July Decorations",N/A,$5.99,,4.6,3997.0,False,https://m.media-amazon.com/images/I/817zxE5-iIS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817zxE5-iIS._AC_SL1500_.jpg,,2026-04-21T13:16:05.052487,
11,1,Organic,,5.0,B0G35VS8P5,"30 Pack Red, White, Blue Star Food Trays, Disposable Paper Serving Containers Boats for Popcorn, Snacks, Food Trucks, 4th of July, Memorial Day, BBQs, Patriotic Parties, Picnics, Summer Party Supplies",N/A,$9.99,,4.5,6.0,False,https://m.media-amazon.com/images/I/81CSslm-VfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81CSslm-VfL._AC_SL1500_.jpg,,2026-04-21T13:16:05.056519,
