data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at
0,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T10:46:14.131525
2,1,Organic,,1.0,B0DK43W8G7,"LEGO Santa’s Delivery Truck Building Toy for Kids - Construction Set for Play or Christmas Decor - Building Blocks for Girls & Boys, Ages 8+ - Holiday Craft Ideas for Families - 40746",N/A,$9.99,,4.9,1273.0,False,https://m.media-amazon.com/images/I/81bxxgCuOSL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81bxxgCuOSL._AC_UY218_.jpg,,2026-04-21T10:46:14.139129
3,1,Organic,,2.0,B0DRT11VH3,"BARILLA Limited Edition Snowfall Pasta, 12 oz. Box",N/A,$5.99,,4.7,989.0,False,https://m.media-amazon.com/images/I/710zSPiOlAL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/710zSPiOlAL._AC_UY218_.jpg,,2026-04-21T10:46:14.144552
4,1,Title,,,,More results,,,,,,False,,,,2026-04-21T10:46:14.145207
5,1,Organic,,3.0,B072NHSHRZ,"Twinings Christmas Black Tea Individually Wrapped Bags, 20 Count (Pack of 1), Aromatic Cinnamon & Clove, Caffeinated, Enjoy Hot or Iced, 20 Teabags",N/A,$4.39,,4.6,193.0,False,https://m.media-amazon.com/images/I/817faLHH8BL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/817faLHH8BL._AC_UY218_.jpg,,2026-04-21T10:46:14.150083
6,1,Organic,,4.0,0375863591,The Night Before Christmas (Little Golden Book),N/A,$2.99,,4.8,4946.0,False,https://m.media-amazon.com/images/I/71xn5Thd2aL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71xn5Thd2aL._AC_UY218_.jpg,,2026-04-21T10:46:14.158083
7,1,Organic,,5.0,B000FNFL0G,"Royal Dansk Danish Butter Cookies, Premium Assorted Cookies in Gift Tin, Great for Sharing and Gifting, 12 oz",N/A,$5.14,,4.6,106082.0,False,https://m.media-amazon.com/images/I/81ZYAARnhHL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81ZYAARnhHL._AC_UY218_.jpg,,2026-04-21T10:46:14.163535
8,1,Organic,,6.0,B0DKJKQFDB,Cosy Family 7.5 ft Christmas Tree Storage Bag - Durable Heavy Duty Extra Large Artificial Xmas Holiday Tree Bag with Reinforced Handles and Dual Zippers Wide Opening - Red,N/A,$7.99,,4.6,4067.0,False,https://m.media-amazon.com/images/I/81R9RiKKq8L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81R9RiKKq8L._AC_UY218_.jpg,,2026-04-21T10:46:14.168641
9,1,Organic,,7.0,1338332589,I Spy Christmas: A Book of Picture Riddles,N/A,$8.99,,4.9,3119.0,False,https://m.media-amazon.com/images/I/91MBub9vwHL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91MBub9vwHL._AC_UY218_.jpg,,2026-04-21T10:46:14.175826
10,1,Organic,,8.0,B07KGP7LY3,"GHIRARDELLI Peppermint Bark Snowmen – Limited Edition Holiday Chocolate Candy Featuring Layers of Rich Chocolate Layers with Festive Peppermint Flavor, 5.7 oz Bag",N/A,$9.61,,4.6,871.0,False,https://m.media-amazon.com/images/I/815lFb-Y2zL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/815lFb-Y2zL._AC_UY218_.jpg,,2026-04-21T10:46:14.180651
11,1,Organic,,9.0,B096CPQHZ9,"HERSHEY'S KISSES Grinch Milk Chocolate, Christmas Candy Bag, 9.5 oz",N/A,$6.99,,4.7,1019.0,False,https://m.media-amazon.com/images/I/71iGREEodzL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71iGREEodzL._AC_UY218_.jpg,,2026-04-21T10:46:14.185761
12,1,Organic,,10.0,0307960382,Frosty the Snowman (Frosty the Snowman): A Classic Christmas Book for Kids (Little Golden Book),N/A,$2.99,,4.8,4517.0,False,https://m.media-amazon.com/images/I/71Ymf67F15L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71Ymf67F15L._AC_UY218_.jpg,,2026-04-21T10:46:14.193366
