data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T12:22:24.148735,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:22:24.149829,
3,1,Organic,,1.0,B0GBX8QWDD,"2 Pcs Amalfi Coast Party Decorations Mediterranean Table Decor, 6 ft Lemon Garland and 35x 71 in Blue Cheesecloth Table Runner Capri Lemon Garland Italian Runner Summer Party Home Decor",N/A,$23.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/81DwIL5TdeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81DwIL5TdeL._AC_SL1500_.jpg,,2026-04-21T12:22:24.156799,
4,1,Organic,,2.0,B01GGIT4JW,Perle di Sole Italian Lemon Drops Hard Candy Individually Wrapped (7.05 oz) Made with Essential Oils of Amalfi Coast P.G.I. Lemon - Italian Imported Gifts From Italy,N/A,$9.99,,4.6,5241.0,False,https://m.media-amazon.com/images/I/814KT0C6rhL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814KT0C6rhL._AC_SL1500_.jpg,,2026-04-21T12:22:24.164212,
5,1,Organic,,3.0,B0FDQ78G64,"La Dolce Vita Bridal Shower Wedding Banner, Lemon Citrus Bachelorette Decor, Italian Summer Dinner Celebration Decorations, Girls Bachelorette Weekend Party Decorations Gold Blue Glitter",N/A,$9.99,,4.2,3.0,False,https://m.media-amazon.com/images/I/51+WP8MsRbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/51+WP8MsRbL._AC_SL1500_.jpg,,2026-04-21T12:22:24.170282,
7,1,Title,,,,Customers frequently viewedSponsoredRoowest 36 Pcs Amalfi Coast Capri Positano Lemon Folding Hand Fa,,,,,,False,,,,2026-04-21T12:22:24.176383,
9,1,Title,,,,Debug info copied.SponsoredGiegxin Blue Tiles Lemon Table Centerpiece Decor Amalfi Coast Box Decorat,,,,,,False,,,,2026-04-21T12:22:24.177254,
10,1,Title,,,,Capri Lemon Table RunnersSponsored|Shop TranqunShop nowPrevious pageTranqun 6 Pcs Capri Lemon Party ,,,,,,False,,,,2026-04-21T12:22:24.179372,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:22:24.179654,
12,1,Organic,,4.0,B0GLZ14Q7P,"23pcs Amalfi Coast Party Decorations - Capri Lemon Yellow Blue White Hanging Paper Lanterns, Fans, Pom Poms, Honeycomb for Birthday, Baby Shower, Mediterranean, Italian Summer Themed Decor",N/A,$14.99,,4.9,10.0,False,https://m.media-amazon.com/images/I/81YGzHODI4L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81YGzHODI4L._AC_SL1500_.jpg,,2026-04-21T12:22:24.185905,
