data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,America 250 – Raise the Flag with Pride,https://aax-us-east-retail-direct.amazon.com/x/c/JC2cx6EgX7suFLIoRJMZsSUAAAGdsq5rMAEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDIgICAGc1A9/clv1c_ek-wBPHXFbbWzjK3YpscrxfcuXaZLo8nml3C1AhCt3ePjDri88EUUIM9odOk5nDXeayaTnGXzMfFSQ7-9OloL3dWu2ZDUMagloluDKthW9xwk3Bfqy7bNtJi8ph0pFQFP0RjLJt5CvlVa2YZvIPje8LishUclVPuokSC77QpybI1yVtcnU4Vy8ABxsht1lfxjcLe8dDTWTcIFGb7LEHVqvI9MfQ1DIZ-vh8iCxG0HeusZPPVAVkkfOg3TIfphl_4LmwZA2eebU_HDpDJ2e1gysou0H443XDNDUa15_wNOkq5f569UIiWJcj3-nY8lIItevDDQFwIUKwhvcPfuEvdepbmRucNrjHpr7_1Br8sPeHXypeFTu2wTW9lLw7hfMmehdOF4zf7rgdR39cv13qN5KnnOeEpgi7VoZjo2_KDXfm1pULquQDsBIP26PO11rBvxdBJwX01ZHxDG5djqc1touCNfR1KJP5yGUJvN0Md-Gt2DBZcu9hAvY7l_m2NDQ3DePlxfXKQkg0MSsTARkZyKWjR2dmgSu5-_DiJCXishoqWRvXefvB2Yv2BwHizPdZoQKSLI19mnsYISWyqeoskTo0N86BKLpxQE9K3oCKB0fZmtQHoJK2qpIjvlWNzitf77_zxsgnYTUKp4UhAn2kV23rr1iqq5kh15BJGHJk6Fm9kHeMNXgu7y_cVrmXREpJL4-wphMANjDTOZKBZDpLTZBGoRDuOVyq79MCmxekrsYPJJkG_93QR3BWoL4wf4437iIQqhGmQar6jSD0a93KtWyXbRGqEZiWB92x5k4SEJRKiP58aotaZPurbD9VCQju_6mHLMfyqSAqKHQM-PpvY7YCmumjP9OhUYPaTfCDiyS3lAND_vkpX9mcgyBI-XTAXyBUwiehSEImVrFEkyqj7wkOI_DQmSYZvNWH7rWbGAKp3LfnzTJNZjqjUcfy6ZBgKb-sYzNSFe2_eSdtg_1SzfG1y2eZ8mtCXCdoL-1cQcHfP7Hi48vIibLin-Mzz65YJKcfJX2QcnG5WwkUHdx6AZ0G30VH0RMdsgjYvg4gAabzcLRM-HWLTE80Ar_VnqbXbhQOyVlkQ3Dgo_74BC38dPz9dcoR2FtgvU-ZuEYY8ibzlZgkEe4qRbr_QPvG-zQQaOyO-njfi5HGPnQFxwUT6WPtjdRPjmoTaZJDtaAai_sluBUjKvA52YJIjjcSxU8CtPk9a0MtQTV4BEYfySn7fkIjqczRDR9RQ1uC2echvxd3qNQS3UT-M3EGC9Z5qjoNNMZd5KJWuMHqMhdXC7M0Ws9Pcu6pa_p4ujXUIJOnOUhHzYXnEEbrAZvdBPVgska3PbKI8UvcYOlFQ6z0VmFbmXgt_FIXhs_ovY4DD7Weefq8-DNvT8gjTEYLzk7DtqECpq-1nOhN_SRW0b8kIbTXuxFvgAkqtOsvAXB2Q0vFLqGPrtLmMjI6WcACjg1lhRui7rpKV6mg8mh9FJXBzEojJdZMOFPmtQfzN7_ViSNFBHwrWXx0sQRfGP1khMDQ8ViP6OYymTqTiDlTqNac5SNNQM9FQt-PONrfbI8khYxHladcF8LmO_Hbcr1HY12HkgLeDF-lUjCpefV6hiQcWsMHc1kvYolw2iKq--x0IeIAWVmbY4d0dSq-uFgnhN-Kl4NCJJ71JvDZDTYKD1c0O1p_gO2VKwDC4N4fvzw/https://www.amazon.com/stores/page/5DDE337C-9F3A-4350-B661-C176CFCD0EF7/?_encoding=UTF8&store_ref=SB_A081884538C95YHYX2VQE-A10164392NE0H7UKL5N8W&pd_rd_plhdr=t&aaxitk=2ac601aa54b52d7469a7024c5dd21b30&hsa_cr_id=0&lp_asins=B0GTK5PZPD%2CB00V2LZSSK%2CB00V2P50J8&lp_query=america%20250%20parade%20throws&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=VsPbm&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=RG7BPVJX60MQNGTSNS6F&pd_rd_wg=FNVVa&pd_rd_r=0a93153c-bc81-4318-91aa-109b70400d6f,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/d92a56e5-9ded-41d3-ace1-fcaaeca1e751._CR0,0,500,500_AC_SX130_SY60_CB1169409_QL70_.jpg",,America 250 – Raise the Flag with Pride,2026-04-22T00:54:33.079099,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-22T00:54:33.080071,
3,1,Organic,,1.0,B0F1CFT8ZH,Moon Boat 144PCS 4th/Fourth of July Accessories Party Favors: Patriotic Silicone Rubber Bracelets Bulk USA Flag Wristbands American Memorial Day Decorations Gifts Supplies,N/A,$21.99,,4.8,41.0,False,https://m.media-amazon.com/images/I/81yBe+Ki2UL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yBe+Ki2UL._AC_SL1500_.jpg,,2026-04-22T00:54:33.085194,
4,1,Organic,,2.0,B0DTYNKD2C,"100 Pack 4th of July Mini Bubbles Bulk,Red White Blue Party Favors Supplies for Kids,Goodie Bags Stuffers,Parade Throws,Classroom Games Activities Prizes,Outdoor Toys Patriotic Accessories Decorations",N/A,$20.89,,4.6,844.0,False,https://m.media-amazon.com/images/I/71ZVEx0qxCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ZVEx0qxCL._AC_SL1500_.jpg,,2026-04-22T00:54:33.088874,
5,1,Organic,,3.0,B0GY1SNRTV,USA America 250 Patriotic Independence Day Celebration Throw Pillow,N/A,$21.99,,,,False,https://m.media-amazon.com/images/I/81qr0PbcprL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qr0PbcprL._AC_SL1500_.jpg,,2026-04-22T00:54:33.092742,
7,1,Title,,,,Debug info copied.SponsoredMindsoft 60 Pack 250th Anniversary American Flags on Plastic Stick Bulk S,,,,,,False,,,,2026-04-22T00:54:33.093838,
8,1,Title,,,,Large 250th Anniversary BannersSponsored|Shop Probsin BannersShop nowPrevious pageProbsin 250th Anni,,,,,,False,,,,2026-04-22T00:54:33.095056,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-22T00:54:33.095191,
10,1,Organic,,4.0,B0GS7997T9,US Independence Day - 250 Years of Freedom - America Throw Pillow,N/A,$24.99,,,,False,https://m.media-amazon.com/images/I/71Ft0ZKINnL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Ft0ZKINnL._AC_SL1500_.jpg,,2026-04-22T00:54:33.099647,
11,1,Organic,,5.0,B0F7JRH229,250 Years America Anniversary USA 250th Birthday American Throw Pillow,N/A,$21.99,,,,False,https://m.media-amazon.com/images/I/61v+V+-ZSbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61v+V+-ZSbL._AC_SL1500_.jpg,,2026-04-22T00:54:33.103982,
12,1,Organic,,6.0,B0GWMRTD3F,250 Years America We The People 1776 2026 250th 4th of July Throw Pillow,N/A,$19.99,,,,False,https://m.media-amazon.com/images/I/71JlyKv-OAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71JlyKv-OAL._AC_SL1500_.jpg,,2026-04-22T00:54:33.107722,
13,1,Organic,,7.0,B0GY1Y66XP,USA America 250 Patriotic Independence Day Celebration Throw Pillow,N/A,$21.99,,,,False,https://m.media-amazon.com/images/I/81Qv9-q6gKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Qv9-q6gKL._AC_SL1500_.jpg,,2026-04-22T00:54:33.112046,
14,1,Organic,,8.0,B0GY1SC3P1,USA America 250 Patriotic Independence Day Celebration Throw Pillow,N/A,$19.99,,,,False,https://m.media-amazon.com/images/I/71y5nC3-BSL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71y5nC3-BSL._AC_SL1500_.jpg,,2026-04-22T00:54:33.115809,
15,1,Organic,,9.0,B0GVV6NW5Q,America 2026 250 Years July 4 Patriotic Vintage 1776 Summer Throw Pillow,N/A,$21.99,,,,False,https://m.media-amazon.com/images/I/71zKEK5m2kL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71zKEK5m2kL._AC_SL1500_.jpg,,2026-04-22T00:54:33.119236,
16,1,Organic,,10.0,B0GXWVMY7D,America 250 Years of Freedom 1776 2026 Patriotic Flag Throw Pillow,N/A,$21.99,,,,False,https://m.media-amazon.com/images/I/71pYY2elU5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71pYY2elU5L._AC_SL1500_.jpg,,2026-04-22T00:54:33.123383,
17,1,Organic,,11.0,B0GW4P3BQW,Spirit of 26 America 2026 250 Years July 4 1776 Patriotic Throw Pillow,N/A,$21.99,,,,False,https://m.media-amazon.com/images/I/61VJr3lN0lL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61VJr3lN0lL._AC_SL1500_.jpg,,2026-04-22T00:54:33.127457,
18,1,Organic,,12.0,B0GW9WJ399,Spirit of 26 America 2026 250 Years July 4 1776 Patriotic Throw Pillow,N/A,$21.99,,,,False,https://m.media-amazon.com/images/I/714khYXOhZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/714khYXOhZL._AC_SL1500_.jpg,,2026-04-22T00:54:33.131565,
19,1,Organic,,13.0,B0GW9G4WM2,Spirit of 26 America 2026 250 Years July 4 1776 Patriotic Throw Pillow,N/A,$21.99,,,,False,https://m.media-amazon.com/images/I/71O+huVCf5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71O+huVCf5L._AC_SL1500_.jpg,,2026-04-22T00:54:33.135604,
20,1,Organic,,14.0,B0GVTP4849,America 2026 250 Years July 4 Patriotic Vintage 1776 Summer Throw Pillow,N/A,$21.99,,,,False,https://m.media-amazon.com/images/I/7173u4SDPCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/7173u4SDPCL._AC_SL1500_.jpg,,2026-04-22T00:54:33.139464,
21,1,Organic,,15.0,B0GW8Y7WY7,Spirit of 26 America 2026 250 Years July 4 1776 Patriotic Throw Pillow,N/A,$21.99,,,,False,https://m.media-amazon.com/images/I/61bppQ2falL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61bppQ2falL._AC_SL1500_.jpg,,2026-04-22T00:54:33.143585,
22,1,Title,,,,More results,,,,,,False,,,,2026-04-22T00:54:33.144188,
23,1,Organic,,16.0,B0GSFBRF6D,Patriotic 250 Vintage July 4th 2026 USA - Proud US History Throw Pillow,N/A,$24.99,,,,False,https://m.media-amazon.com/images/I/714Z+dlD8-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/714Z+dlD8-L._AC_SL1500_.jpg,,2026-04-22T00:54:33.147290,
24,1,Organic,,17.0,B0GX17G56J,USA Pro Gun - 250 Years Strong - America 250 Throw Pillow,N/A,$22.99,,,,False,https://m.media-amazon.com/images/I/71tdTjujBvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71tdTjujBvL._AC_SL1500_.jpg,,2026-04-22T00:54:33.150798,
25,1,Organic,,18.0,B0GWNX71F7,250 Years of America 1776 2026 Patriotic Eagle Throw Pillow,N/A,$20.99,,,,False,https://m.media-amazon.com/images/I/71xEDV5Oj1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71xEDV5Oj1L._AC_SL1500_.jpg,,2026-04-22T00:54:33.154847,
26,1,Organic,,19.0,B0GW7XQDXH,250 Years Anniversary America 1776-2026 USA 250th Birthday Throw Pillow,N/A,$19.99,,,,False,https://m.media-amazon.com/images/I/61h2bp6I29L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61h2bp6I29L._AC_SL1500_.jpg,,2026-04-22T00:54:33.158583,
