data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T11:21:24.026043,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T11:21:24.027121,
3,1,Organic,,1.0,B0F5GZGL8B,BeYumi Welcome Back Coloring Kit - 83Pcs Color Your Own Back to School Ornament Set for Kids DIY Coloring Card Decor Craft Preschool Kindergarten Elementary Classroom Party Activity Art Craft Supplies,N/A,$5.99,,4.6,16.0,False,https://m.media-amazon.com/images/I/81jbKARzdRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81jbKARzdRL._AC_SL1500_.jpg,,2026-04-21T11:21:24.031382,
4,1,Organic,,2.0,B0D1FSGLF8,"Kacctyen 45 Pcs Back to School Coloring Goodie Bags Bulk Reusable Back to School Crafts Art Party Favor Paint Bags for Kids Color Your Own Graffiti Goodie Bag, 9 Style",N/A,$19.99,,4.4,88.0,False,https://m.media-amazon.com/images/I/81piBUKxNVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81piBUKxNVL._AC_SL1500_.jpg,,2026-04-21T11:21:24.036478,
5,1,Organic,,3.0,B0FDG7ZFPF,32 Sets Back to School Apple Pencil Suncatchers Craft Kit DIY Window Stained Glass Effect First Day of School Paper Craft Home Classroom Decoration Kid Birthday Gift Creative Art Project Activity Game,N/A,$8.99,,4.3,77.0,False,https://m.media-amazon.com/images/I/715C9Fq3glL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/715C9Fq3glL._AC_SL1500_.jpg,,2026-04-21T11:21:24.041702,
7,1,Title,,,,Recently bought and ratedSponsored| 4+ stars and rising in past 90 daysLonfliness 32 Sets Spring Bug,,,,,,False,,,,2026-04-21T11:21:24.045174,
9,1,Title,,,,"Debug info copied.SponsoredFabric Flower Bouquets Toys, DIY Craft Kits Toys for Kids, Educational Ar",,,,,,False,,,,2026-04-21T11:21:24.045698,
10,1,Title,,,,ZMLM  Coloring Books for KidsSponsored|Top 10 best-selling brand in craft kits|Shop ZMLMShop nowPrev,,,,,,False,,,,2026-04-21T11:21:24.046903,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:21:24.047136,
12,1,Organic,,4.0,B0CZ8ZD8S7,Pajean 48 Sets School Bus DIY Crafts Kit Yellow School Bus Picture Frames Back to School Stickers School Bus Birthday Photo Frames Decor for Student First Day of School Party Decor Supplies,N/A,$14.99,,5.0,11.0,False,https://m.media-amazon.com/images/I/81x9tZUvrEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81x9tZUvrEL._AC_SL1500_.jpg,,2026-04-21T11:21:24.050637,
13,1,Organic,,5.0,B0F7R5DTWS,30 Sets Suncatcher Kit Back to School Suncatchers Apple Pencil Window Paint Art Drawing DIY Craft Kits Sun Catchers First Day of School Supplies for Stationery Party Gift Exchange Classroom Activities,N/A,$16.99,,4.4,54.0,False,https://m.media-amazon.com/images/I/81s01NkU38L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81s01NkU38L._AC_SL1500_.jpg,,2026-04-21T11:21:24.054125,
14,1,Organic,,6.0,B000VXO4L2,"Elmer's Disappearing Purple School Glue Sticks, Washable, 7 Grams, 30 Count - Posters, Back to School, Bulk Pack for Classrooms, #1 Teacher Brand",N/A,$7.98,,4.8,44348.0,False,https://m.media-amazon.com/images/I/610GhfDymuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/610GhfDymuL._AC_SL1500_.jpg,,2026-04-21T11:21:24.058368,
15,1,Organic,,7.0,B0DZGVKGCG,Suncalla 984 Pcs 24 Set Back to School Keychain Making Kit DIY Bead Key Chain Crafts Adjustable Letter Beads Cards Strings Kit Welcome First Day of School Gift Jewelry Making Supplies Party Favors,N/A,$17.99,,4.0,40.0,False,https://m.media-amazon.com/images/I/81d6zicBaeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81d6zicBaeL._AC_SL1500_.jpg,,2026-04-21T11:21:24.062015,
16,1,Organic,,8.0,B0D48VBWRD,"JUNEBRUSHS 30Pcs Welcome Back to School Scratch Bookmarks, Rainbow Magic Scratch Paper Art Back to School DIY Craft Kit First Day of School Gifts for Students Classroom Activity Party Favors",N/A,$5.99,,4.5,121.0,False,https://m.media-amazon.com/images/I/719H8l5nhWL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/719H8l5nhWL._AC_SL1500_.jpg,,2026-04-21T11:21:24.066037,
17,1,Organic,,9.0,B0D3WVBKND,"JellyArch 36 Pack Wooden Shapes for Crafts, Wood Cutouts Crafts, Blank Unfinished Wooden Shapes Slices, DIY Craft Paint Hanging Ornaments for Home Party Supplies",N/A,$6.99,,4.5,27.0,False,https://m.media-amazon.com/images/I/81y7OtiJ11L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81y7OtiJ11L._AC_SL1500_.jpg,,2026-04-21T11:21:24.069740,
18,1,Organic,,10.0,B0F6YC8GKN,30Pcs School Bus DIY Crafts Kit Welcome Back to School Picture Frame Craft for Kids Student Classroom Activities Game Home Kindergarten Preschool Elementary Party Decor Bulletin Board Decorations,N/A,$11.99,,4.8,6.0,False,https://m.media-amazon.com/images/I/81sW-L0G2nL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81sW-L0G2nL._AC_SL1500_.jpg,,2026-04-21T11:21:24.073010,
19,1,Organic,,11.0,B07QGH4DVH,"Horizon Group USA DIY Foam Picture Frame Craft Kit, 12-Pack of 4x6-Inch Colorful Picture Frames with 500+ Punch Out Stickers & Easels, Back to School Arts & Craft Activity, Perfect for Projects",N/A,$5.99,,4.1,366.0,False,https://m.media-amazon.com/images/I/81shJXpffKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81shJXpffKL._AC_SL1500_.jpg,,2026-04-21T11:21:24.076439,
20,1,Organic,,12.0,B0C4SZ2BQ5,"JULBEAR Back to School Foam Sticker, 300Pcs Bulk Cute Colorful Self-Adhesive Campus Themed Foam Stickers for Kids School Party Classroom Decoration DIY Crafts Favor Supplies（25 Design）",N/A,$8.99,,4.5,461.0,False,https://m.media-amazon.com/images/I/81W7ltB8dkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81W7ltB8dkL._AC_SL1500_.jpg,,2026-04-21T11:21:24.080223,
21,1,Organic,,13.0,B0FDTLPT98,32 Sets Back to School Crayon Suncatchers Craft Kit DIY Window Stained Glass Effect Crayons Paper Crafts for Home School Classroom Decoration Kid Birthday Gifts Creative Art Projects Activity Game,N/A,$8.99,,4.3,77.0,False,https://m.media-amazon.com/images/I/71e8g0gmwwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71e8g0gmwwL._AC_SL1500_.jpg,,2026-04-21T11:21:24.085596,
22,1,Organic,,14.0,B0F5PXPT3H,"AUGSUN 96Pcs Welcome Back to School Crafts, Magic Rainbow Scratch Paper Art Bookmarks First Day of School Gifts Activities DIY Craft Party Favors",N/A,$8.99,,4.4,74.0,False,https://m.media-amazon.com/images/I/71RQlNNs6LL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71RQlNNs6LL._AC_SL1500_.jpg,,2026-04-21T11:21:24.091671,
23,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:21:24.092501,
24,1,Organic,,15.0,B0FKMT1B6C,Back to School Stickers 50 pcs School Stickers Students Teacher Science Decorations for Scrapbook Laptop Water Bottles Waterproof Classroom DIY Craft Supplies(Back to School-C),N/A,$3.49,,4.7,34.0,False,https://m.media-amazon.com/images/I/81PxE3E9vDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81PxE3E9vDL._AC_SL1500_.jpg,,2026-04-21T11:21:24.096710,
25,1,Organic,,16.0,B0D1GDLWF5,Engrowtic 200 Pcs Back to School Felt Stickers First Day of School Stickers Self Adhesive Felt Stickers for Kids Back to School Party Scrapbooks Cardmaking DIY Crafts Teacher Classroom Supplies,N/A,$12.99,,3.4,7.0,False,https://m.media-amazon.com/images/I/81obI1PJv2L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81obI1PJv2L._AC_SL1500_.jpg,,2026-04-21T11:21:24.101137,
26,1,Organic,,17.0,B0F481H4ML,Motipuns 48 Pcs Back to School DIY Crafts Kit Make Your Own Back to School Stickers for First Day of Classroom Rewards Supplies VBS Art Home Classroom Activities Party Decorations,N/A,$9.99,,5.0,4.0,False,https://m.media-amazon.com/images/I/81jxzrcbIGL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81jxzrcbIGL._AC_SL1500_.jpg,,2026-04-21T11:21:24.104966,
27,1,Organic,,18.0,B0F4WP12SB,Jansun Back to School Resin Charms Pencil Book Blackboard Flatback Resin for DIY Crafts Cell Phone Case Photo Frame Hairpin Keychain Earrings Jewelry Making (15 Style),N/A,$11.99,,4.6,77.0,False,https://m.media-amazon.com/images/I/814+CyRJJ6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814+CyRJJ6L._AC_SL1500_.jpg,,2026-04-21T11:21:24.109004,
28,1,Organic,,19.0,B0F21MCSSZ,"Renbuzhu 40PCS Back to School Apple-Shaped Crafts Bulk: Tissue Paper Sign Suncatchers, First Day of Classroom Activities DIY Kit, Fall Decorations, Window Stained Glass Effect Art Supplies",N/A,$16.99,,4.3,163.0,False,https://m.media-amazon.com/images/I/81se7ixm2uL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81se7ixm2uL._AC_SL1500_.jpg,,2026-04-21T11:21:24.112722,
29,1,Organic,,20.0,B0F4K9R2KS,Ayhuhra 30 Sets Apple Suncatche Craft Kits Blank Back to School Sun Catcher DIY Window Paint Art Sets for First Day of School Supplies Home Party Activities Art Project,N/A,$14.99,,4.3,150.0,False,https://m.media-amazon.com/images/I/81dGlWYHDGL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81dGlWYHDGL._AC_SL1500_.jpg,,2026-04-21T11:21:24.116085,
30,1,Organic,,21.0,B0CNGPRD34,BENECREAT 30Pcs Wooden Pencil Cutouts Back to School Wooden Cutout Blank Labels Tags with Jute Cord Pencil Hanging Ornaments for Teacher Appreciation Week,N/A,$7.29,,4.8,12.0,False,https://m.media-amazon.com/images/I/61fnMJzfQZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61fnMJzfQZL._AC_SL1500_.jpg,,2026-04-21T11:21:24.119454,
31,1,Organic,,22.0,B08BZDLY29,"Ribbli Grosgrain Ruler & School Bus Craft Ribbon,7/8-Inch,10-Yard Spool, White/Yellow/Red,Use for Teacher Appreciation Gift,Back to School Decoration,Wreath,Gift Wrapping,All Crafting and Sewing",N/A,$7.79,,4.7,179.0,False,https://m.media-amazon.com/images/I/71xaHpSFRyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71xaHpSFRyL._AC_SL1500_.jpg,,2026-04-21T11:21:24.123095,
32,1,Organic,,23.0,B0F29C986F,MiniInflat 24 Sets Hot Air Balloons Craft Kits Back to School Crafts DIY Hot Air Tissue Paper Hanging Ornaments Make Your Own Back to School Party Decoration Supplies for DIY Activities Supplies,N/A,$14.99,,3.9,21.0,False,https://m.media-amazon.com/images/I/81FN8KAusCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81FN8KAusCL._AC_SL1500_.jpg,,2026-04-21T11:21:24.127834,
33,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:21:24.128544,
34,1,Organic,,24.0,B0CTZW6CXP,BeYumi 60Pcs Welcome Back to School Pencil Scratch Cards Gift Set for Kids DIY Magic Scratch Paper Art Bookmarks First Day of School Classroom Activity Art Project Party Favors,N/A,$7.99,,4.5,89.0,False,https://m.media-amazon.com/images/I/81-ymPUDwbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81-ymPUDwbL._AC_SL1500_.jpg,,2026-04-21T11:21:24.131567,
35,1,Organic,,25.0,B0CXNYLKRF,BeYumi Coloring Apple Craft Kit - 83Pcs Back to School Color Your Own Apple Kit End of Year Student Gifts First Day of School DIY Geometric Apple Cards Classroom Party Activity Decor,N/A,$5.99,,4.5,8.0,False,https://m.media-amazon.com/images/I/819CFKNhtRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/819CFKNhtRL._AC_SL1500_.jpg,,2026-04-21T11:21:24.135030,
36,1,Organic,,26.0,B0FCDCJLM8,"Cinrobiye 24 Sets Back to School Craft Kits,DIY Handprint Art Craft,Classroom Activities DIY Kit,Welcome Back to School Paper Craft for First Day of School Preschool Elementary Supplies Decor",N/A,$9.99,,4.1,17.0,False,https://m.media-amazon.com/images/I/81E4czuINWL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81E4czuINWL._AC_SL1500_.jpg,,2026-04-21T11:21:24.138375,
37,1,Organic,,27.0,B0F1FKV5YY,"KIZZYEA Washable Markers Bulk, Markers for Kids, 16 Assorted Colors, 256 Count, Broad Line Coloring Marker for School, Student Art Supplies & Back to School Craft, Classroom Essentials for Teachers",N/A,$39.99,,4.9,40.0,False,https://m.media-amazon.com/images/I/81-CihxofOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81-CihxofOL._AC_SL1500_.jpg,,2026-04-21T11:21:24.141818,
38,1,Organic,,28.0,B0CBS2QRYM,Whaline 40Pcs Back to School Picture Frame Craft Kits 30Pcs Apples Shaped Photo Frames 10 Sheets First Day of School Stickers Decals for Home School Classroom Games Activities Party Decoration,N/A,$13.99,,4.7,4.0,False,https://m.media-amazon.com/images/I/81NDyLtJPlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81NDyLtJPlL._AC_SL1500_.jpg,,2026-04-21T11:21:24.145236,
39,1,Organic,,29.0,B0F1TLWRT5,90shine 69 Sets Back to School Crafts for Kids Red Scratch Apple-Shape Magic Craft Art Kit First Day of School Classroom Preschool Fall Party Activities Favors,N/A,$15.99,,5.0,4.0,False,https://m.media-amazon.com/images/I/81eU9H++zLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81eU9H++zLL._AC_SL1500_.jpg,,2026-04-21T11:21:24.148587,
40,1,Organic,,30.0,B0FC1NFPRV,gisgfim 6Pcs Back to School Paint by Sticker Books Back to School Sticker by Number Books Activity Book Puzzle Book Craft Art Gift with Bus Apple Owl Alarm 48 Pictures Party Favors,N/A,$15.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/81I4blik3UL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81I4blik3UL._AC_SL1500_.jpg,,2026-04-21T11:21:24.152341,
41,1,Organic,,31.0,B00MJ8JSFE,"Crayola Construction Paper Bulk Pack (480 Sheets) – 10 Assorted Colors, 9x12, Classroom Arts & Crafts Supplies for Kids, Art Paper for School Projects",N/A,$11.76,,4.8,9026.0,False,https://m.media-amazon.com/images/I/61TbDzO158L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61TbDzO158L._AC_SL1500_.jpg,,2026-04-21T11:21:24.158457,
42,1,Organic,,32.0,B009D9Y6SG,"Elmer's Disappearing Purple School Glue Sticks, Washable, 7 Grams, 60 Count - Poster, Vision Board, Back to School Supplies, #1 Teacher Brand",N/A,$15.96,,4.8,44348.0,False,https://m.media-amazon.com/images/I/81DC7pBBdOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81DC7pBBdOL._AC_SL1500_.jpg,,2026-04-21T11:21:24.164245,
43,1,Organic,,33.0,B0C7HB4CJB,D4DREAM 24pcs Paper Crowns Craft Kits Adjustable Paper Caps Hats for Kids Students Kindergarten Preschool Party Supplies,N/A,$9.99,,4.5,46.0,False,https://m.media-amazon.com/images/I/71HcaG0U9CL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71HcaG0U9CL._AC_SL1500_.jpg,,2026-04-21T11:21:24.167836,
44,1,Organic,,34.0,B0BWQWD1YZ,Whaline 20Pcs Back to School Decorations Pencil Shaped Wooden Cutouts with Hemp Rope Unfinished Blank Pencil Hanging Ornaments for First Day of School Classroom Party DIY Crafts Supplies,N/A,$8.99,,4.7,20.0,False,https://m.media-amazon.com/images/I/7167LNFM7TL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/7167LNFM7TL._AC_SL1500_.jpg,,2026-04-21T11:21:24.171479,
45,1,Organic,,35.0,B0F7LR8WL5,Back to School Coloring Goodie Bags for Kids - 24Pcs Welcome Back Bulk Color Your Own Gift Bags with Handle First Day of School Reusable Coloring Bag Non Woven Tote Bag for Classroom Party DIY Crafts,N/A,$16.99,,4.7,130.0,False,https://m.media-amazon.com/images/I/81ubmQVdkDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ubmQVdkDL._AC_SL1500_.jpg,,2026-04-21T11:21:24.175820,
46,1,Organic,,36.0,B0D3QDM4V7,FoldTier 24 Set School Bus DIY Picture Frame Crafts Kit for Kids Bulk Yellow School Bus Photo Frames Back to Stickers Classroom Decor Kit for First Day of Student Activities Supplies,N/A,$9.99,,4.8,9.0,False,https://m.media-amazon.com/images/I/813TRRsvIlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/813TRRsvIlL._AC_SL1500_.jpg,,2026-04-21T11:21:24.181015,
47,1,Organic,,37.0,B0D65YR5CD,"Estivaux 6 PCS Back to School Ribbons for Crafting, 3/8"" Width Grosgrain Ribbon Yellow Green Ribbon Preschool Apples ABC Craft Ribbons for Kindergarten Decorations Sewing DIY Crafts Supplies",N/A,$8.99,,4.8,56.0,False,https://m.media-amazon.com/images/I/81yTmHk0kOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yTmHk0kOL._AC_SL1500_.jpg,,2026-04-21T11:21:24.185562,
48,1,Organic,,38.0,B0B12V9DHT,"KatchOn, Back to School Ribbon for Crafts - 10 Yard | ABC Ribbon for Crafts | Welcome Back to School Decorations | First Day of Kindergarten | Back to School Supplies | Classroom Decor",N/A,$8.99,,4.7,332.0,False,https://m.media-amazon.com/images/I/81oKsfkyLtL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81oKsfkyLtL._AC_SL1500_.jpg,,2026-04-21T11:21:24.191507,
49,1,Organic,,39.0,B087N9N6HH,"Play Doh Bulk Handout 42-Pack of 1-Ounce Modeling Compound Cans, Back to School Gifts, Prizes, & Party Favors, Kids Arts & Crafts, Preschool Toys, Ages 2+ (Amazon Exclusive)",N/A,$16.99,,4.9,16941.0,False,https://m.media-amazon.com/images/I/81QQOmhZwOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81QQOmhZwOL._AC_SL1500_.jpg,,2026-04-21T11:21:24.196138,
50,1,Organic,,40.0,B0FB96GJ8J,Demonwer 36 Sets School Bus Picture Frames Back to School Stickers DIY Bus Photo Frames Crafts Kit for Classroom Party Decor Supplies,N/A,$12.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/81TskZ-TlvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81TskZ-TlvL._AC_SL1500_.jpg,,2026-04-21T11:21:24.200845,
51,1,Organic,,41.0,B0CTCNFXMX,Back to School Giant Coloring Poster for Kids -Jumbo First Day of School Blank Paper Banner Large Coloring Table Cover for Classroom Home Party DIY Art Craft Activity Supplies 55 x 23.6 Inch,N/A,$10.99,,4.5,10.0,False,https://m.media-amazon.com/images/I/81lb5gVRlaL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81lb5gVRlaL._AC_SL1500_.jpg,,2026-04-21T11:21:24.204984,
52,1,Organic,,42.0,B0G6JDW31W,"Back to School Flatback Resin Charms, 32Pcs Pencil Flatback Charms Apple Book Teacher Resin Charm Embellishments Cute Blackboard Cartoon Cabochons for Stationery Theme Decorations Scrapbooking Hair Clips DIY Crafts",N/A,$9.99,,4.7,49.0,False,https://m.media-amazon.com/images/I/71l7mMRw5RL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71l7mMRw5RL._AC_SL1500_.jpg,,2026-04-21T11:21:24.209234,
53,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:21:24.209857,
54,1,Organic,,43.0,B0CQYTVX68,"Poen 48 Pcs DIY Pinwheels Paper Craft Bulk Color Your Own White Pinwheels Summer Activity Arts July 4 Patriotic Memorial Day Craft Blank Windmills Party Favor Supplies, 5 Inches",N/A,$19.99,,4.4,110.0,False,https://m.media-amazon.com/images/I/71c+l4kzaIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71c+l4kzaIL._AC_SL1500_.jpg,,2026-04-21T11:21:24.213180,
55,1,Organic,,44.0,B0GGHF5ZPD,"Teacher Resin Charms,60Pcs Back to School Flatback Resin Charms for Teacher’s Day Appreciation Gifts DIY Crafts Notebook Scrapbook Embellishments",N/A,$9.99,,4.7,46.0,False,https://m.media-amazon.com/images/I/818cSVtzkkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/818cSVtzkkL._AC_SL1500_.jpg,,2026-04-21T11:21:24.216976,
56,1,Organic,,45.0,B0F6XVBRBZ,Beeveer 30 Sets Back to School Suncatchers Art Kits DIY First Day of School Suncatcher Crafts Paint Your Own Window Ornaments for Adults Activities Party Favor,N/A,$16.99,,3.8,53.0,False,https://m.media-amazon.com/images/I/81d64Suk4pL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81d64Suk4pL._AC_SL1500_.jpg,,2026-04-21T11:21:24.220669,
57,1,Organic,,46.0,B0FC2DNGJ8,ASUNFO 100 Pcs Back to School Flat Back Resin Charms Scrapbooking Embellishments School Resin Cabochons Decorations 10 Styles,N/A,$9.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/71j82Gt7RQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71j82Gt7RQL._AC_SL1500_.jpg,,2026-04-21T11:21:24.223971,
