data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T11:17:42.073635,6.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T11:17:42.075134,
3,1,Organic,,1.0,B0F2TFTW12,14 Pcs Giant School Theme Party Decorations ABC Alphabet Party Favor Box Large Inflatable Pencil Crayon for Celebration Back to School Birthday Decoration,N/A,$29.99,,4.6,59.0,False,https://m.media-amazon.com/images/I/71fgAElfEuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71fgAElfEuL._AC_SL1500_.jpg,,2026-04-21T11:17:42.081326,
4,1,Organic,,2.0,B09Z2G36JN,Weysat 30 Pcs Back to School Hanging Decoration First Day of School Themed Wooden Ornament Teacher Appreciation Decor Cutouts Wood Ornament for Party Supplies (Classic),N/A,$8.59,,4.6,131.0,False,https://m.media-amazon.com/images/I/81zgQXN2xpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81zgQXN2xpL._AC_SL1500_.jpg,,2026-04-21T11:17:42.085101,
5,1,Organic,,3.0,B0DLNJBN2N,"2 Pack Rainbow Backdrop Curtains, 3.28 FT x 7.05 FT Colofull Party Decorations, Metallic Tinsel Backdrop Fringe Curtains Party Streamer, Rainbow Party Supplies for Wedding Birthday Party Engagement",N/A,$6.99,,4.5,3016.0,False,https://m.media-amazon.com/images/I/91DgSBmlgrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91DgSBmlgrL._AC_SL1500_.jpg,,2026-04-21T11:17:42.089569,
7,1,Title,,,,Debug info copied.Sponsored24 Pcs Graduation Gift Bag 10 x 7 Inch Crayon Drawstring Backpack Teacher,,,,,,False,,,,2026-04-21T11:17:42.090600,
8,1,Title,,,,3d star centerpiecesSponsored|Shop SinloadShop nowPrevious pageSinload 45 Pcs 3D Glitter Star Decora,,,,,,False,,,,2026-04-21T11:17:42.091828,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:17:42.091979,
10,1,Organic,,4.0,B0C8BF3LS1,"Back to School Decorations, Welcome Back Banner, Back to School Hanging Swirls, Colorful First Day of School Decorations, Pencil and Apple Bunting, First Day of Kindergarten, Welcome to Kindergarten,",N/A,$6.99,,4.9,20.0,False,https://m.media-amazon.com/images/I/71c+lbgBNcL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71c+lbgBNcL._AC_SL1500_.jpg,,2026-04-21T11:17:42.095027,
11,1,Organic,,5.0,B0DSCYC748,Back to School Party Centerpiece Sticks Glitter Back to School Table Decorations 16Pcs First Day of School Table Toppers Classroom Party Decorations for School Birthday Party Supplies,N/A,$12.99,,4.4,6.0,False,https://m.media-amazon.com/images/I/71GcorQABwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71GcorQABwL._AC_SL1500_.jpg,,2026-04-21T11:17:42.098767,
12,1,Organic,,6.0,B0FPQSKPRQ,"Marquee Light Up Numbers 2026, 3FT Large Number LED Lights Graduation Party Supplies, Giant DIY Pre-Cut Foam Board Set for Class of 2026 Prom Balloon New Year Christmas Birthday Wedding Back to School Decoration",N/A,$66.99,,4.2,25.0,False,https://m.media-amazon.com/images/I/7139vNS+jmL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/7139vNS+jmL._AC_SL1500_.jpg,,2026-04-21T11:17:42.102564,
13,1,Organic,,7.0,B0GRGMQWY1,Batiyeer Large Back to School Backdrop 6.6 x 4.4 ft Notebook with Colorful Pencil Bow Backdrop First Day of School Classroom Decoration for Bulletin Board Preschool Homeschool Offices Party Supplies,N/A,$13.99,,,,False,https://m.media-amazon.com/images/I/81tH8B3mUQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81tH8B3mUQL._AC_SL1500_.jpg,,2026-04-21T11:17:42.105914,
14,1,Organic,,8.0,B08BZDLY29,"Ribbli Grosgrain Ruler & School Bus Craft Ribbon,7/8-Inch,10-Yard Spool, White/Yellow/Red,Use for Teacher Appreciation Gift,Back to School Decoration,Wreath,Gift Wrapping,All Crafting and Sewing",N/A,$7.79,,4.7,179.0,False,https://m.media-amazon.com/images/I/71xaHpSFRyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71xaHpSFRyL._AC_SL1500_.jpg,,2026-04-21T11:17:42.111093,
15,1,Organic,,9.0,B0BVQJDYLC,"Felt Letter Board with 294 Letters, Numbers & Symbols - 10 x 10 inch Changeable Message Board with Wooden Frame Wall Mount Hook, Black & Wood",N/A,$9.99,,4.7,1974.0,False,https://m.media-amazon.com/images/I/81+5unJ9q0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+5unJ9q0L._AC_SL1500_.jpg,,2026-04-21T11:17:42.115436,
16,1,Organic,,10.0,B0F1TXWRHR,"Back to School Banner, First Day of School Banner, Pre-Strung Yellow Pencil Banners, Welcome Back to Schools Decorations for Classroom, Teacher Banners Classroom Decor for Schools Party Favor Supplies",N/A,$4.99,,4.7,10.0,False,https://m.media-amazon.com/images/I/61hj6kpZiwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61hj6kpZiwL._AC_SL1500_.jpg,,2026-04-21T11:17:42.119054,
17,1,Organic,,11.0,B0C2C5ZLQW,"Whaline Back to School Felt Pom Banner, 8.2 Ft Pencils Felt Ball Garland Cute Classroom Decorations Welcome Back to School 3D Pencil Pompom Hanging Banner for First Day of School Party Wall Decor",N/A,$14.59,,4.8,43.0,False,https://m.media-amazon.com/images/I/61kkoB37hsL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61kkoB37hsL._AC_SL1500_.jpg,,2026-04-21T11:17:42.124156,
18,1,Organic,,12.0,B0DTP8K65P,146 Pcs Preschool Kindergarten Graduation Party Decoration Apple Paper Plate Teacher First Day Back to School Party 24 Set Disposable Tableware 2 Notebook Tablecloth for Classroom Pre K Graduation,N/A,$23.99,,4.7,54.0,False,https://m.media-amazon.com/images/I/81X388GJhlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81X388GJhlL._AC_SL1500_.jpg,,2026-04-21T11:17:42.128312,
19,1,Organic,,13.0,B0F8MM23Y4,"Back to School Decorative Banner Set, Apple and Pencil Banner with School Supply Design, Classroom Welcome Decor",N/A,$5.99,,4.6,30.0,False,https://m.media-amazon.com/images/I/71TOGkI+qbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71TOGkI+qbL._AC_SL1500_.jpg,,2026-04-21T11:17:42.133440,
20,1,Organic,,14.0,B0FDQ2BGCG,"6 Pcs ABC 123 Party Decorations Back to School Decoration ABC Alphabet Party Favor Balloon Box, Block Boxes Favor Balloon Boxes Inspire Story Birthday Party Decor for School Baby Shower",N/A,$17.99,,4.8,62.0,False,https://m.media-amazon.com/images/I/71tFCrTfaqL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71tFCrTfaqL._AC_SL1500_.jpg,,2026-04-21T11:17:42.139669,
21,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:17:42.140402,
22,1,Organic,,15.0,B0FXDNNQ2T,Hahafelt 5 Pcs 49 ft Classroom Pennant Banner Decorations Apple Composition Notebook Garland Pencil Apple Crayon Ruler Bunting Garland for Graduation Back to School Decor(School),N/A,$11.99,,,,False,https://m.media-amazon.com/images/I/81ha9G6WsrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ha9G6WsrL._AC_SL1500_.jpg,,2026-04-21T11:17:42.144071,
23,1,Organic,,16.0,B0C6DZJVHC,"Whaline Back to School Wooden Table Decor Retro Apples Wood Table Signs Vintage Rustic Apples Tabletop Centerpiece Decorations for First Day of School Classroom Office Desktop Decor, 3Pcs",N/A,$14.99,,4.8,67.0,False,https://m.media-amazon.com/images/I/81--g0RSKEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81--g0RSKEL._AC_SL1500_.jpg,,2026-04-21T11:17:42.148002,
24,1,Organic,,17.0,B0D6KT7CHX,"Back to School Decorations, Welcome Banner, Back to School Hanging Swirls, Welcome to Kindergarten Classroom Teacher Office Decorations",N/A,$7.99,,5.0,16.0,False,https://m.media-amazon.com/images/I/71nySmtAnYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71nySmtAnYL._AC_SL1500_.jpg,,2026-04-21T11:17:42.151552,
25,1,Organic,,18.0,B096K4FW6S,"8 Sheets Back to School Window Clings - Reusable Static Window Stickers for Classroom, Wall, Glass, Car, Day, Welcome Decorations",N/A,$9.99,,4.4,182.0,False,https://m.media-amazon.com/images/I/818QaHoGQLS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/818QaHoGQLS._AC_SL1500_.jpg,,2026-04-21T11:17:42.155329,
26,1,Organic,,19.0,B0F9KMVQJS,"3 Pack 54 x 108 Inches Notebook Paper Plastic Tablecloth, Disposable School-Themed Rectangle Table Covers for Back to School, Teacher Appreciation, Classroom, Kindergarten, and Educational Decorations",N/A,$14.99,,4.6,81.0,False,https://m.media-amazon.com/images/I/71G5XH3zOGL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71G5XH3zOGL._AC_SL1500_.jpg,,2026-04-21T11:17:42.159355,
27,1,Organic,,20.0,B0F4X9FDNV,"Jansun 8.2 Feet Back to School Felt Banner, Cute 3D Apples Pencil Garland Colorful Pompom Hanging Banner for First Day of School Classroom Home Wall Decorations",N/A,$11.99,,4.2,24.0,False,https://m.media-amazon.com/images/I/61XdcjnltZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61XdcjnltZL._AC_SL1500_.jpg,,2026-04-21T11:17:42.163337,
28,1,Organic,,21.0,B0D3WTY53G,School Bus Photo Prop Selfie Frame Back to School Backdrop Party Decoration First Day of School Photo Booth Welcome Party Banner Supplies for Students Teacher Birthday Yellow Bus Party Sign,N/A,$10.99,,4.1,49.0,False,https://m.media-amazon.com/images/I/71XdUxvQgKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71XdUxvQgKL._AC_SL1500_.jpg,,2026-04-21T11:17:42.167710,
