data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Ganowo Party Favor for Kids,https://aax-us-east-retail-direct.amazon.com/x/c/JO_LhRSC5DaI85KizI27yJ0AAAGdtA5LsQEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDIgICA0Fmeo/clv1c_ek-wBIHXErbWDn2nI5drJ16WtD5jqqA7KafC6lbmXgd7CEp1ntt_36IRep12-wt_Q_Twc3uRuQYEq9LnTBM3ULDJINjDrm5DSnV1Hu3aWPz0kxzmHFL79Qq5Y_BkPqJQK5gK5DL2hp-5Hn2BB8KYNerapc08l1b4cs7p7SuKHIeaXHAbSqRvMdOK0IFEATo9DA692BhYhxcplWO2NE7U3jkJCUZ7MHqzCrZfGrQfeTqkEnfky6eDvd4heZ5T2BMzx3S0kveQ67O0CLu1nZS4PA01oGBBCdHNxkKDeDiIUN2xCuRy7cxUMnR7m0Cuw0qUNo7gt1XXYcn-jABrlDlW65qN6NHdYL6oz632Fl5sZCSo7H95cJrQC_U0Af8WU5KZs48-sq8OFDID6YJnzgJ6MJsdhA39n8iYu9QgMOXfYrtrCSSLJkN9RhFgrm-9xVvQXJBfkmgfCmSBwUgSmD3yBQcSgU8t4_kXA_cQg15OJw77ZrcG0dH9o0lh4cuEVablIohPCgZdi_GzlzmPZ28lBTPmtETbOUgWKQ1EGgOpb9cmYYB0j02tVRw5VASCFN-ZwFWIHXAhzHNnWGrjzO-XMjUUQdQa9k4Rp-4AtPrbMNvqDEjB6BpTo53AMAS7QQO0JWN1cQtKmKjxt-9UGXTuxq_m5PlmDpkS_tDN3Pams4RGaOAIdvudbzfqsAkFbNwAJhYK8vNiTU8VCxm-XvlTmn3VFXKli4zxAaiPC-VnRmUfFgSVMuYQo0MMnDXxqoc7dON4PpVVlTbTywFFXV5DVJsmuPR7aUlrzp2sPpVgFMHgUBlmJsrfTpMQnbmEyyg5tyuXHcgO_GZ0kWKGPNI9B2G5DQtnvxGG5YcwLgRf0rzXu2ZwBKqkB3rv2z-o4UGeLHNv9pdqXYIfs874puU0sct8CC2uYj43c3sYLntNTHKPj-RIybB4qUEzkhwt28u1QHnNzJXGPYF4nvRBeXte2UhWZZiNhtBnsmtJGCcinrUtjPxOhhpEgrpKfT4KmnfYAmtrZvLLn2xtUHYqkfBLubLM-3xmiy4_Z6Dq9eXedUB4wf4REilaufYI0uLArxnO_KfvQ08i03epErr7vmSVJ32auM8u6SjDQ-45zB2QchlS6G4EoJTxSx4pMfIw-bOCsQyzsEFTWTuE4EL4Wuq4BVOttLAid9N9umYZQ1WPtgZU_n7G-psCLnYLxI4hArxX3saWrV_H7Hzhzq2332YY9q90EXF8SJRXWCkmmbRlAGW3qSP8TL-EsWjcUKEKFPsZAcyFGDr-m1q8h81tGklETac5Vy9GdKOnyqAvZ1IuoS8184RSydkQXkm2ic7aua011WOenpU00L28H9Vu0W33MhtixITegxV6sqMIQecYySWSi43mrezr_2ibYcX09hWfeQSzhXe7wI9aiQ6G3dvNA3tUgi5Z-qXGkyv8Hfg2zmhcAR0LhJMV-B-opYblVMQSpx4X78DZjkw5H6Jb6mNeVvzmutOa5EEB_sdBJm0oAK0vEWJctmfD9i4ftOO7u-ApKfnbV7DXOVTy9UUq1WQYFGs1qcIlr1Ojxn208CUzzVzrQmGIVmjojB5o1xYc6wd1O4YktpccR2bMPatqBlWe4jU6P8trnrMiQSfQrUt8-Y6XHNh86IBs1gFAC4QxAdGqYbFT_k5eqk89ZBug0f1IJ6s1uCHFsS5Z385t/https://www.amazon.com/stores/page/BDAB65DA-587B-433B-BEE3-A2D79D1B5009/?_encoding=UTF8&store_ref=SB_A03736321QLJAF3P2J4IN-A06018573UMH00I2A7R8E&pd_rd_plhdr=t&aaxitk=24f6b79ad4022e4133879e26e1f31ce3&hsa_cr_id=0&lp_asins=B0B3HTPJV2%2CB0CRDYJGS8%2CB0B178SBRC&lp_query=back%20to%20school%20party%20supplies&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=tXa8E&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=Y76XXPDVMK43JX10R2BP&pd_rd_wg=qUyrr&pd_rd_r=df937a62-4bb7-47f8-b5a6-75bf32b8dd56,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/8fca26a7-ff87-41db-9180-8b5e8f052a9c._CR0,0,668,463_AC_SX130_SY60_CB1169409_QL70_.jpg",,Ganowo Party Favor for Kids,2026-04-22T07:18:56.439050,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-22T07:18:56.440393,
3,1,Organic,,1.0,B0DTP8K65P,146 Pcs Preschool Kindergarten Graduation Party Decoration Apple Paper Plate Teacher First Day Back to School Party 24 Set Disposable Tableware 2 Notebook Tablecloth for Classroom Pre K Graduation,N/A,$23.99,,4.7,54.0,False,https://m.media-amazon.com/images/I/81X388GJhlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81X388GJhlL._AC_SL1500_.jpg,,2026-04-22T07:18:56.446045,
4,1,Organic,,2.0,B0DRYRKRBS,Bokon 96 Pcs/24 Set Preschool Kindergarten Graduation Party Decoration Apple Paper Plate Teacher First Day Back to School Party Supply Apple Plate Napkin and Cup for Classroom Pre K Graduation,N/A,$17.09,,4.7,28.0,False,https://m.media-amazon.com/images/I/71ZvgdMT7PL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ZvgdMT7PL._AC_SL1500_.jpg,,2026-04-22T07:18:56.449765,
5,1,Organic,,3.0,B0C4WV3TLB,"durony 195-Piece Back to School Party Tableware Set: Black Education-Themed Plates, Napkins, Cutlery, Cups, Tablecloth & Banners for 24 Guests",N/A,$15.99,,4.9,33.0,False,https://m.media-amazon.com/images/I/91KFTEjtOfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91KFTEjtOfL._AC_SL1500_.jpg,,2026-04-22T07:18:56.454038,
6,1,Title,,,,All-In-One Stationery Set with Cute Pencil CaseSponsored|Shop FLOEShop nowPrevious page62PCS Aesthet,,,,,,False,,,,2026-04-22T07:18:56.455903,
7,1,Title,,,,More results,,,,,,False,,,,2026-04-22T07:18:56.456113,
8,1,Organic,,4.0,B0DSCYC748,Back to School Party Centerpiece Sticks Glitter Back to School Table Decorations 16Pcs First Day of School Table Toppers Classroom Party Decorations for School Birthday Party Supplies,N/A,$12.99,,4.4,6.0,False,https://m.media-amazon.com/images/I/71GcorQABwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71GcorQABwL._AC_SL1500_.jpg,,2026-04-22T07:18:56.459827,
9,1,Organic,,5.0,B0DLNJBN2N,"2 Pack Rainbow Backdrop Curtains, 3.28 FT x 7.05 FT Colofull Party Decorations, Metallic Tinsel Backdrop Fringe Curtains Party Streamer, Rainbow Party Supplies for Wedding Birthday Party Engagement",N/A,$6.99,,4.5,3019.0,False,https://m.media-amazon.com/images/I/91DgSBmlgrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91DgSBmlgrL._AC_SL1500_.jpg,,2026-04-22T07:18:56.467041,
10,1,Organic,,6.0,B00Y4QBJAQ,"Crayola Crayons Bulk (24 Packs), Coloring Book Supplies, Presharpened Crayons for Kids, Easter Basket Stuffers, Preschool Classroom Supplies, Gifts, Ages 3+",N/A,$27.99,,4.8,7367.0,False,https://m.media-amazon.com/images/I/81RbpFFQRxL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81RbpFFQRxL._AC_SL1500_.jpg,,2026-04-22T07:18:56.472001,
