data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:20:31.400268,
2,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2699.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-21T12:20:31.406455,
3,1,Organic,,2.0,B09NM2FPKX,"Fovths Luau Grass Table Skirt Natural 9 Feet x 29.5 Inch Hawaiian Table Skirt for Tropical Hawaiian Party Decorations Luau Costume Party, Straw Yellow",N/A,$8.49,,4.5,2400.0,False,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_SL1500_.jpg,,2026-04-21T12:20:31.410996,
4,1,Organic,,3.0,B0GHV3DR33,"Avezano 96 PCS Beach Party Decorations Hawaiian Party Decorations Disposable Beach Plates and Napkins Set Summer Party Supplies, Serves 24",N/A,$18.99,,,,False,https://m.media-amazon.com/images/I/81dFRgTtqSL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81dFRgTtqSL._AC_SL1500_.jpg,,2026-04-21T12:20:31.414548,
6,1,Title,,,,New arrivalsSponsoredBased on items added in the past 60 daysPool Party Favors and Beach Party Favor,,,,,,False,,,,2026-04-21T12:20:31.419192,
7,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:20:31.419389,
8,1,Organic,,4.0,B0FHDQNTWC,"Beach Birthday Party Decorations, 183Pcs Ocean Waves Birthday Party Decorations Summer Pool Hawaiian Beach Party Supplies Plates,Napkins,Cups,Banner,Tablecloth,Balloons,Cupcake Topper,Serves 24",N/A,$23.99,,4.7,34.0,False,https://m.media-amazon.com/images/I/81R+TJv1VCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81R+TJv1VCL._AC_SL1500_.jpg,,2026-04-21T12:20:31.424476,
9,1,Organic,,5.0,B0GMQ5JZB3,"Seashell Birthday Decorations,190pcs Beach Party Supplies Coastal Party Decorations Plates and Napkins Cups Tablecloths,Cake Topper,Balloon for Ocean Theme Birthday Decorations,Serves 24",N/A,$23.99,,5.0,4.0,False,https://m.media-amazon.com/images/I/8146+5xChDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8146+5xChDL._AC_SL1500_.jpg,,2026-04-21T12:20:31.428172,
10,1,Organic,,6.0,B09Z28TMY4,Vinsot 32 Pack Beach Pool Party Eyeglasses Decor Summer Luau Paper Glasses Bulk Hawaiian Sunglasses Frame Tropical Pool Props Photo Booth Props for Summer Beach Luau Party Favor Birthday Supply Decor,N/A,$12.99,,4.1,648.0,False,https://m.media-amazon.com/images/I/81bbJ2wNgCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81bbJ2wNgCL._AC_SL1500_.jpg,,2026-04-21T12:20:31.432418,
11,1,Organic,,7.0,B09TSY3Y24,Yexiya 12 Pieces Beach Honeycomb Centerpieces Pool Cake Balls Table Toppers Beach Pool Party Supplies Decorations for Birthday,N/A,$8.49,,4.3,246.0,False,https://m.media-amazon.com/images/I/81uawshAiQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uawshAiQL._AC_SL1500_.jpg,,2026-04-21T12:20:31.438054,
12,1,Organic,,8.0,B0BWR9FQYX,2 Pack Blue Streamers Party Decorations Fringe Backdrop Ocean Themed Decorations Foil Curtain Backdrop Blue Birthday Ocean Party Decor Supplies,N/A,$5.97,,4.4,10545.0,False,https://m.media-amazon.com/images/I/914rDCqCJuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/914rDCqCJuL._AC_SL1500_.jpg,,2026-04-21T12:20:31.442860,
14,1,Title,,,,"Debug info copied.Sponsored8pack Pink Jellyfish Party Decorations,Jellyfish Lantern Hanging,withTape",,,,,,False,,,,2026-04-21T12:20:31.444100,
15,1,Title,,,,"The Last Toast on the Coast!Sponsored|Shop xo, FettiShop nowPrevious pagexo, Fetti Bachelorette Blue",,,,,,False,,,,2026-04-21T12:20:31.445886,
16,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:20:31.446083,
17,1,Organic,,9.0,B0CKX7H63H,Tinsel Foil Fringe Curtains Wavy Backdrop for Parties Sparkle Metallic Wavy Foil Fringe Backdrop Curtain for Party Decorations Photo Booth Props for Birthday Graduation Wedding,N/A,$5.99,,4.5,2522.0,False,https://m.media-amazon.com/images/I/91rXc76MkEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91rXc76MkEL._AC_SL1500_.jpg,,2026-04-21T12:20:31.451244,
