data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T12:18:34.126929,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:18:34.127813,
3,1,Organic,,1.0,B0GJS9YGDM,32 Pack Hawaiian Luau Paper Glasses - Bulk Beach Pool Party Eyeglasses Decor Summer Funny Sunglasses for Summer Beach Luau Party Favor Birthday Supply Decor,N/A,$8.99,,5.0,3.0,False,https://m.media-amazon.com/images/I/81g-G1eRvzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81g-G1eRvzL._AC_SL1500_.jpg,,2026-04-21T12:18:34.132332,
4,1,Organic,,2.0,B0DQXQH3QH,"Srua Don Beach Party Decorations, Ocean Seashell Party Supplies, Plate, Cup, Napkin, Tablecloth, Cutlery, Banner, Ocean Beach Table Decorations For Birthday Baby Shower Wedding, Serves 24",N/A,$9.49,,4.7,25.0,False,https://m.media-amazon.com/images/I/81HOegIBmYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81HOegIBmYL._AC_SL1500_.jpg,,2026-04-21T12:18:34.137944,
5,1,Organic,,3.0,B073RBVTXT,"ALINK 50 Umbrella Parasol Drinking Straws, Hawaiian Beach Cocktail Luau Party Decorations Supplies",N/A,$6.99,,4.6,10351.0,False,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_SL1500_.jpg,,2026-04-21T12:18:34.142959,
7,1,Title,,,,"Debug info copied.SponsoredInflatable Palm Tree Cooler 60"" Inflatable Pool Party Bar Inflatable Serv",,,,,,False,,,,2026-04-21T12:18:34.144430,
8,1,Title,,,,Colorful Rainbow Beach BallsSponsored|Top 10 best-selling brand in this category|Shop JOYINShop nowP,,,,,,False,,,,2026-04-21T12:18:34.146313,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:18:34.146535,
10,1,Organic,,4.0,B0GMQ84KMG,"4 Pack Beach Plastic Tablecloth Party Decorations, Disposable Summer Pool Table Cloth, Waterproof Tropical Surfboard Table Cover for Summer Hawaiian Theme Birthday Party Supplies",N/A,$9.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/718ZyTON4KL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/718ZyTON4KL._AC_SL1500_.jpg,,2026-04-21T12:18:34.151628,
11,1,Organic,,5.0,B0CKX7H63H,Tinsel Foil Fringe Curtains Wavy Backdrop for Parties Sparkle Metallic Wavy Foil Fringe Backdrop Curtain for Party Decorations Photo Booth Props for Birthday Graduation Wedding,N/A,$5.99,,4.5,2522.0,False,https://m.media-amazon.com/images/I/91rXc76MkEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91rXc76MkEL._AC_SL1500_.jpg,,2026-04-21T12:18:34.156211,
12,1,Organic,,6.0,B0CV33D9F1,"3 Pcs Iridescent Waves Tablecloths - Disposable Plastic Ocean Blue Table Cloth Rectangle Table Covers for Under the Sea Beach Surf Pool Party Birthday Party Decorations, 54 x 108 Inch",N/A,$8.99,,4.5,671.0,False,https://m.media-amazon.com/images/I/81jVudN5HQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81jVudN5HQL._AC_SL1500_.jpg,,2026-04-21T12:18:34.161790,
13,1,Organic,,7.0,B094CZ2L77,"1200 Pieces Tiny Sea Shells Small Natural Starfish Mixed Ocean Beach Spiral Seashells for Home Decorations,Wedding Decor,Candle Making,Beach Theme Party,DIY Crafts and Vase Filler",N/A,$7.99,,4.6,815.0,False,https://m.media-amazon.com/images/I/714dfHL+J0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/714dfHL+J0L._AC_SL1500_.jpg,,2026-04-21T12:18:34.165380,
14,1,Organic,,8.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2699.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-21T12:18:34.169756,
15,1,Organic,,9.0,B094LZ2VGR,"4E's Novelty 48 Packs Tropical Party Cups with Parasol Straws - Disposable Plastic Cups 16oz BPA free, for Hawaiian Luau Party and Pool Parties, Beach Theme Birthday Decorations for Kids & Adults",N/A,$13.49,,4.7,443.0,False,https://m.media-amazon.com/images/I/61HGwRd92VL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61HGwRd92VL._AC_SL1500_.jpg,,2026-04-21T12:18:34.175470,
16,1,Organic,,10.0,B09NM2FPKX,"Fovths Luau Grass Table Skirt Natural 9 Feet x 29.5 Inch Hawaiian Table Skirt for Tropical Hawaiian Party Decorations Luau Costume Party, Straw Yellow",N/A,$8.49,,4.5,2400.0,False,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_SL1500_.jpg,,2026-04-21T12:18:34.179656,
17,1,Organic,,11.0,B071JR7GYP,"JOYIN 60"" Inflatable Palm Tree Cooler, Beach Theme Decor, Pool Party Decorations, Luau Hawaiian Birthday Party Supplies, Ocean Jungle Tropical Themed Summer Outdoor Drink Cooler",N/A,$19.99,,4.3,5368.0,False,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_SL1500_.jpg,,2026-04-21T12:18:34.182659,
18,1,Organic,,12.0,B0C8TY57FW,"3 Pack Summer Beach Plastic Tablecloth Party Decorations, Disposable Aloha Luau Hawaiian Tablecloth, Flamingo Surfboard Table Cover for Summer Beach Pool Hawaiian Theme Party Decorations, 54 x 108Inch",N/A,$7.99,,4.7,125.0,False,https://m.media-amazon.com/images/I/81v35iO9VIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81v35iO9VIL._AC_SL1500_.jpg,,2026-04-21T12:18:34.187580,
19,1,Organic,,13.0,B0GMQ1CN4F,"Beach Party Supplies Serve 24, Summer Beach Party Decorations Include Hello Summer Party Plates, Napkins,Cups,Tablecloth,Banner,Balloons and Cake Toppers for Hawaiian Pool Birthday Baby Shower Decor",N/A,$20.99,,,,False,https://m.media-amazon.com/images/I/81zN2pF3aNL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81zN2pF3aNL._AC_SL1500_.jpg,,2026-04-21T12:18:34.193546,
20,1,Organic,,14.0,B0DZ6NM595,"20 Guests Beach Party Decorations Tableware Supplies, Beach Plates and Napkins Party Supplies Includ Paper Plates Cups Napkins Summer Tablecloth etc Summer Hawaiian Party Tableware",N/A,$9.99,,5.0,6.0,False,https://m.media-amazon.com/images/I/817sPbAMKKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817sPbAMKKL._AC_SL1500_.jpg,,2026-04-21T12:18:34.197112,
21,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:18:34.197570,
22,1,Organic,,15.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,$11.99,,4.6,10884.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-21T12:18:34.200964,
23,1,Organic,,16.0,B0G8D9XY8Q,"40 Pieces Summer Beach Party Tableware Set – Ocean Beach Disposable Dinner Plates and Napkins with Seaside Sand & Wave Designs for Pool Parties, Picnics, Luau and Coastal Celebrations – Serves 20",N/A,$8.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/81bwY0sKMoL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81bwY0sKMoL._AC_SL1500_.jpg,,2026-04-21T12:18:34.204433,
24,1,Organic,,17.0,B0GBX98CK7,"Pool Party Favors and Beach Party Favors 168pcs Summer Pool Toys for Party,Kids Ages 4-8 8-12, Including 12 Castle Mold Buckets, 12 Shovels,Beach Balls, Sunglasses, Bubble Wands",N/A,$37.99,,4.9,26.0,False,https://m.media-amazon.com/images/I/81SXjtf4wKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81SXjtf4wKL._AC_SL1500_.jpg,,2026-04-21T12:18:34.208205,
25,1,Organic,,18.0,B07NWR7HKD,"JOYIN 12-Pack 12“ Beach Balls - Bulk Classic Beachball Inflatable Swimming Pool Toys for Games Adults Kids Birthday Party Supplies Combo Set, Rainbow Color Blow Up Luau Decorations Favors Gifts (12"")",N/A,$9.99,,4.5,3356.0,False,https://m.media-amazon.com/images/I/814LDy0nOPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814LDy0nOPL._AC_SL1500_.jpg,,2026-04-21T12:18:34.213152,
26,1,Organic,,19.0,B0831D4S1D,R HORSE Inflatable Palm Tree Flamingo Banana Beach Ball Parrot Beach Pool Toys for Tropical Hawaiian Luau Party Summer Pool Beach Party Decorations,N/A,$22.99,,4.2,945.0,False,https://m.media-amazon.com/images/I/81UNKcb+coL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81UNKcb+coL._AC_SL1500_.jpg,,2026-04-21T12:18:34.216789,
