data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T10:42:14.248810,6.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T10:42:14.251087,
3,1,Organic,,1.0,B00AA4H9BE,"Utopia Towels Pack of 4 Cabana Beach Towels, Oversized 30 x 60 Inches Cotton Beach Towel Set, Smooth Ring Spun Texture for Pool and Swim Days, Modern Striped Design Bath Towels",N/A,$36.99,,4.3,14253.0,False,https://m.media-amazon.com/images/I/91MXVlmrtOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91MXVlmrtOL._AC_SL1500_.jpg,,2026-04-21T10:42:14.264281,
4,1,Organic,,2.0,B0DWSBQZKD,"Utopia Towels 4 Pack Cabana Stripe Beach Towel, 30 by 60 Inches, Oversized 100% Ringspun Cotton Pool Towels, Highly Absorbent Bath Towels for Beach",N/A,$36.99,,4.3,14253.0,False,https://m.media-amazon.com/images/I/911+yeQaSsL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911+yeQaSsL._AC_SL1500_.jpg,,2026-04-21T10:42:14.275656,
5,1,Organic,,3.0,B0GLWZP1FW,"HunnmingRe 10 Pack Oversized Turkish Beach Towels Bulk 70"" x 40"" Large Quick Dry Sand Free Pool Swim Towel Set Lightweight Travel Towels for Bridesmaid Gifts, Camping Blanket",N/A,$79.99,,,,False,https://m.media-amazon.com/images/I/91QlWkY7QEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91QlWkY7QEL._AC_SL1500_.jpg,,2026-04-21T10:42:14.280640,
7,1,Title,,,,From frequently shopped brandsSponsored| Based on number of views and purchases+9 other colors/patte,,,,,,False,,,,2026-04-21T10:42:14.290436,
9,1,Title,,,,"Debug info copied.SponsoredPersonalized Beach Towels, Custom Text One-Sided Print in USA, Custom Bea",,,,,,False,,,,2026-04-21T10:42:14.291065,
10,1,Title,,,,"No POLYESTER, 100% Turkish CottonSponsored|Highly bought brand in bathroom towels|Shop WETCATShop no",,,,,,False,,,,2026-04-21T10:42:14.292438,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-21T10:42:14.292579,
12,1,Organic,,4.0,B00HR9WU1O,"Kaufman - Soft Oversized Beach Towels in Bulk | 29"" x 58"" Velour Striped Towel | Absorbent, Quick-Drying | 100% Cotton Thick Towels (4 Pack)",N/A,$44.95,,4.5,9991.0,False,https://m.media-amazon.com/images/I/81lT4bobboL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81lT4bobboL._AC_SL1500_.jpg,,2026-04-21T10:42:14.296379,
13,1,Organic,,5.0,B085DB7X5L,"BolBom*S Beach Towels 6 Pack Large 30x60-100% Cotton Beach & Pool Towels Bulk Cabana Stripe - Quick Dry Bath Towel Set for Swim, Beach Essentials, Bathroom, Hot Tub, Yoga, Hotel & Airbnb Guests",N/A,$35.98,,4.0,9842.0,False,https://m.media-amazon.com/images/I/81ZSH9BStbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ZSH9BStbL._AC_SL1500_.jpg,,2026-04-21T10:42:14.300568,
14,1,Organic,,6.0,B0BP2T3K9W,"LANE LINEN 6-Pack Oversized Pre-Washed Beach Towels, Stylish Quick-Dry Pool & Travel Towels for Adults, 39""x71"" - Diamond Multi Colors",N/A,$40.49,,4.4,7934.0,False,https://m.media-amazon.com/images/I/817lA9NdS1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817lA9NdS1L._AC_SL1500_.jpg,,2026-04-21T10:42:14.311343,
15,1,Organic,,7.0,B0GLH47YKF,Peryiter 6 Pack Volleyball Coach Gift Large 28 x 59 Inch Beach Towel with Inspirational Card Thank You Gift for Teachers Graduation Season End of Year School Team Sports Lovers Summer Pool Party,N/A,$30.99,,,,False,https://m.media-amazon.com/images/I/914sBo8iyAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/914sBo8iyAL._AC_SL1500_.jpg,,2026-04-21T10:42:14.316207,
16,1,Organic,,8.0,B0CXG8TTNV,"White Classic Cotton Pool Towels Oversized 30 x 60 Inches, Ultra Absorbent and Low Lint Striped Beach Towels for Adults, Stripes Design Luxury Extra Large Bath Towels, Navy Blue, 4 Pack",N/A,$37.99,,4.5,527.0,False,https://m.media-amazon.com/images/I/91dYbRwxMsL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91dYbRwxMsL._AC_SL1500_.jpg,,2026-04-21T10:42:14.325471,
17,1,Organic,,9.0,B09P9L5WHB,"QUBA LINEN 100% Cotton Beach Towels, Cabana Stripe Beach Towel, Large Pool Towels, Highly Absorbent, Light Weight, Soft and Quick Dry Swim Towels, for Parties, Guests (Pack of 6)",N/A,$36.99,,3.8,1110.0,False,https://m.media-amazon.com/images/I/61sBT5m8InL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61sBT5m8InL._AC_SL1500_.jpg,,2026-04-21T10:42:14.330391,
18,1,Organic,,10.0,B0D45R2Q32,"Kaufman - Large Beach Towel | 30"" x 60"" Terry Cabana Striped Beach Towels | Absorbent, Quick-Drying | 100% Cotton Thick Beach Towels (Multicolor, 4-Pack)",N/A,$24.99,,3.9,344.0,False,https://m.media-amazon.com/images/I/71d0lxL1HOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71d0lxL1HOL._AC_SL1500_.jpg,,2026-04-21T10:42:14.337303,
19,1,Organic,,11.0,B0CXSZRWSH,"LANE LINEN Beach Towel 2 Pack, Oversized Beach Towel 39""x71"", Lightweight Beach Essentials for Women, Large Pool Towel, Absorbent & Quick Dry, Sand Free Beach Towel - Turtle & Coral",N/A,$19.99,,4.4,7934.0,False,https://m.media-amazon.com/images/I/91catOtz7NL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91catOtz7NL._AC_SL1500_.jpg,,2026-04-21T10:42:14.343564,
20,1,Organic,,12.0,B08LBN2JPS,"Tens Towels Pack of 4 Extra Large Bath Towels 30 x 60 Inches, 100% Cotton, Larger & Lighter Weight, Quicker to Dry, Super Soft and Absorbent, Perfect for Bathroom, Dark Grey",N/A,$35.99,,4.3,22951.0,False,https://m.media-amazon.com/images/I/918gCoGCVYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/918gCoGCVYL._AC_SL1500_.jpg,,2026-04-21T10:42:14.357621,
21,1,Organic,,13.0,B07GL4X37F,"Clotho Turkish Beach Towel Set of 4 – 100% Turkish Cotton, Oversized & Quick Dry – Sand Free Lightweight Travel & Pool Towels with Chair Bands – Giftable Clear Carry Case – Made in Türkiye",N/A,$25.95,,4.5,4973.0,False,https://m.media-amazon.com/images/I/71TmY9DlspL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71TmY9DlspL._AC_SL1500_.jpg,,2026-04-21T10:42:14.361525,
22,1,Organic,,14.0,B07VN49QF5,"Utopia Towels Jumbo Bath Sheet 2 Piece, 600 GSM, 35 by 70 Inches, 100% Ring Spun Cotton, Absorbent and Quick Dry Extra Large Bath Towel, Grey",N/A,$25.49,,4.4,55210.0,False,https://m.media-amazon.com/images/I/91ivZLrHkuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91ivZLrHkuL._AC_SL1500_.jpg,,2026-04-21T10:42:14.375609,
23,1,Title,,,,More results,,,,,,False,,,,2026-04-21T10:42:14.376247,
24,1,Organic,,15.0,B0BQ3XLLGF,White Classic Beach Towels Oversized Cabana Stripe Cotton Bath Towel Large - Luxury Plush Thick Hotel Swim Pool Towels for Adults Super Absorbent Quick Dry - 35x70 Khaki Green [2 Pack],N/A,$39.99,,4.4,906.0,False,https://m.media-amazon.com/images/I/81QuySR2wtL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81QuySR2wtL._AC_SL1500_.jpg,,2026-04-21T10:42:14.383999,
25,1,Organic,,16.0,B0GC61M377,"Genovega 6 Packs Oversized Turkish Beach Towels Set Bulk 74""x38"" Extra Large Quick Dry Sand Free Light Swim Bath Camping Pool Towel Travel Blanket Essentials Cruise Accessories Adult Vacation Stuff",N/A,$43.99,,4.3,688.0,False,https://m.media-amazon.com/images/I/81Dpl1ESvYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Dpl1ESvYL._AC_SL1500_.jpg,,2026-04-21T10:42:14.393291,
26,1,Organic,,17.0,B0BKZJPRR7,Antfuny Turkish Beach Towels Vacation Essentials Quick Dry Sand Free Oversized Bath Pool Swim Towel Extra Large XL Blanket Adult Travel Gift Cruise Accessories Must Haves Clearance Stuff Necessities,N/A,$9.49,,4.6,2838.0,False,https://m.media-amazon.com/images/I/81VJJ1vMQEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81VJJ1vMQEL._AC_SL1500_.jpg,,2026-04-21T10:42:14.404427,
27,1,Organic,,18.0,B015QBT4BI,"Amazon Basics Soft & Absorbent Beach Towels, 100% Cotton, Cabana Stripe, Machine Washable, Quick Dry, Large 30"" x 60"", Sky Blue, 2-Pack",N/A,$22.17,,4.6,5872.0,False,https://m.media-amazon.com/images/I/91ubusycrgL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91ubusycrgL._AC_SL1500_.jpg,,2026-04-21T10:42:14.415588,
28,1,Organic,,19.0,B00QL6D18K,Ben Kaufman Terry Cabana Striped Towels - Oversized Towel for Beach & Pool - Soft Cotton Towels with Absorbent Design - Striped Beach & Pool Towels for Adults & Kids - 6 Pack,N/A,$44.99,,4.2,9734.0,False,https://m.media-amazon.com/images/I/91mwxZyxiPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91mwxZyxiPL._AC_SL1500_.jpg,,2026-04-21T10:42:14.425019,
29,1,Organic,,20.0,B07T8TCT6N,"Exclusivo Mezcla 4 Pack Beach Towels, Large Microfiber Striped Beach Bath Pool Towel Set for Kids and Adults, Lightweight and Absorbent, 30x60 Inches, Blue/Green/Yellow/Red",N/A,$27.99,,4.2,1673.0,False,https://m.media-amazon.com/images/I/81m5TkIg-aL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81m5TkIg-aL._AC_SL1500_.jpg,,2026-04-21T10:42:14.430717,
30,1,Organic,,21.0,B0FKGKYS3T,6 Packs Oversized 72x40 Inch Stripe Beach Towel Thin Terry Set XL Big Extra Large Accessories Essentials Soft Clearance Super Absorbent Pool Travel Bath Swim Camping Towels Bulk Men Women Adults Gift,N/A,$49.99,,4.1,699.0,False,https://m.media-amazon.com/images/I/81fFJT-8EeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81fFJT-8EeL._AC_SL1500_.jpg,,2026-04-21T10:42:14.442774,
31,1,Organic,,22.0,B0DNB63H9W,"Casa Copenhagen Cabana Towel 4Pcs Teal,Blue,Pink,Green Designer Stripe Beach Towels Gift Set, 30""x60"" Oversized 100%Cotton Pool Bath Towel for Beach Gift Set (Perfect Summer Gift Set For Women & Men)",N/A,$28.49,,4.1,1184.0,False,https://m.media-amazon.com/images/I/81KBKniiFkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81KBKniiFkL._AC_SL1500_.jpg,,2026-04-21T10:42:14.447800,
