data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T12:26:20.455800,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:26:20.457019,
3,1,Organic,,1.0,B0D2VLNZRQ,Hooqict 20 Pieces Camping Themed Party Decorations Camping Party Directional Signs for Summer Camp Decor Welcome to Camp Birthday Party Supplies Classroom Wall Door Porch Yard Sign,N/A,$5.97,,4.6,656.0,False,https://m.media-amazon.com/images/I/81yuy8SvRrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yuy8SvRrL._AC_SL1500_.jpg,,2026-04-21T12:26:20.462378,
4,1,Organic,,2.0,B0BHY1P31T,Kesfey 3 Packs Green and White Checkered Tablecloths 54 x 108 Inches Disposable Plastic Gingham Tablecovers Waterproof Rectangle Picnic Party Table Covers for Birthday Party Supplies Christmas,N/A,$9.97,,4.8,1807.0,False,https://m.media-amazon.com/images/I/81AFJ+DkZpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81AFJ+DkZpL._AC_SL1500_.jpg,,2026-04-21T12:26:20.472648,
5,1,Organic,,3.0,B0GHFJ5QPG,4 Pack S'Mores Camping Party Tablecloth - Camping Table Cover Decoration Bonfire Party Tablecover for Campfire Camper Forest Picnic Adventure Supplies (51 x 86 Inches),N/A,$6.99,,,,False,https://m.media-amazon.com/images/I/813mlHWNsRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/813mlHWNsRL._AC_SL1500_.jpg,,2026-04-21T12:26:20.476479,
7,1,Title,,,,Debug info copied.SponsoredZiliny 36 Pcs Camping Party Supplies 5 lbs Camping Adventure Nacho Boats ,,,,,,False,,,,2026-04-21T12:26:20.477389,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:26:20.477535,
9,1,Organic,,4.0,B092M91JN4,Sumind 2 Pieces Inflatable Fake Campfire Camping Props Bonfire Party Decor Campfire Party Decorations Artificial Flame for Indoor Camping Overnight and Scene Setting,N/A,$8.99,,4.1,893.0,False,https://m.media-amazon.com/images/I/71aV8aXipZS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71aV8aXipZS._AC_SL1500_.jpg,,2026-04-21T12:26:20.480645,
10,1,Organic,,5.0,B0F52RK95F,Peryiter 3 Pcs Camping Themed Party Decorations Banner Welcome Porch Sign with 1 Double Sided Tape for Summer Camp Birthday Hawaii Baby Shower Themed Party Activity Decor Door(Natural Style),N/A,$16.99,,4.3,41.0,False,https://m.media-amazon.com/images/I/71MYj6w2JvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71MYj6w2JvL._AC_SL1500_.jpg,,2026-04-21T12:26:20.484696,
11,1,Organic,,6.0,B0FC6LSB76,"Welcome Campers Banner - Camping Theme Birthday Bachelorette Party Decor, Family Camp Day Party Decor, Forest Adventure Baby Shower Decorations Orange Glitter",N/A,$12.99,,4.6,6.0,False,https://m.media-amazon.com/images/I/71KzDCnz37L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71KzDCnz37L._AC_SL1500_.jpg,,2026-04-21T12:26:20.490975,
