data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T12:37:21.726128,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:37:21.726873,
3,1,Organic,,1.0,B0F52RK95F,Peryiter 3 Pcs Camping Themed Party Decorations Banner Welcome Porch Sign with 1 Double Sided Tape for Summer Camp Birthday Hawaii Baby Shower Themed Party Activity Decor Door(Natural Style),N/A,$16.99,,4.3,41.0,False,https://m.media-amazon.com/images/I/71MYj6w2JvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71MYj6w2JvL._AC_SL1500_.jpg,,2026-04-21T12:37:21.731211,
4,1,Organic,,2.0,B0D2VLNZRQ,Hooqict 20 Pieces Camping Themed Party Decorations Camping Party Directional Signs for Summer Camp Decor Welcome to Camp Birthday Party Supplies Classroom Wall Door Porch Yard Sign,N/A,$5.97,,4.6,656.0,False,https://m.media-amazon.com/images/I/81yuy8SvRrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yuy8SvRrL._AC_SL1500_.jpg,,2026-04-21T12:37:21.735160,
5,1,Organic,,3.0,B0DWXLQG6F,3Pcs Camping Party Decorations Porch Banners Backdrop for Summer Camp Campfire Adventure Door Cover Camper Theme Birthday Baby Shower Photo Booth Props Supplies,N/A,$11.99,,4.6,20.0,False,https://m.media-amazon.com/images/I/71-c7DxLHwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71-c7DxLHwL._AC_SL1500_.jpg,,2026-04-21T12:37:21.740736,
7,1,Title,,,,"Debug info copied.SponsoredCustom Metal Camper Sign, Personalized Camper RV Metal Sign Outdoor, Pers",,,,,,False,,,,2026-04-21T12:37:21.741722,
8,1,Title,,,,"camping signs for camperSponsored|Shop efcustomgiftsShop nowPrevious pageHappy Camper Metal Sign, Cu",,,,,,False,,,,2026-04-21T12:37:21.742780,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:37:21.742915,
10,1,Organic,,4.0,B0GSD3L2H9,3 Pcs Camping Themed Party Decorations Camper Banner Welcome Porch Sign Camper Adventure Door Porch Banner Summer Camp Hanging Backdrop for Birthday Indoor Outdoor Hawaii Themed Party Supplies,N/A,$11.99,,,,False,https://m.media-amazon.com/images/I/7156hQziMUL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/7156hQziMUL._AC_SL1500_.jpg,,2026-04-21T12:37:21.746097,
11,1,Organic,,5.0,B0013LJA0Q,Outhouse Door Cover Party Accessory (1 count) (1/Pkg),N/A,$6.73,,4.6,3117.0,False,https://m.media-amazon.com/images/I/61EbU6oVyiL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61EbU6oVyiL._AC_SL1500_.jpg,,2026-04-21T12:37:21.750621,
12,1,Organic,,6.0,B0FQPGGDWK,14Pcs Camping Party Decorations Set Camp Party Welcome to Our Campsite Porch Sign Banner Laminated Camping Sign Cutouts Inflatable Fake Campfire for Kids Camper Adventure Hiking Parties Decor Supplies,N/A,$16.99,,3.0,2.0,False,https://m.media-amazon.com/images/I/81p+un0ITBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81p+un0ITBL._AC_SL1500_.jpg,,2026-04-21T12:37:21.756193,
13,1,Organic,,7.0,B0FJWRXJ95,"3PCS Camping Themed Party Door Decorations,Rustic Wooden Cabin Porch Banner,Countryside Forest Sign Photo Backdrop Hanging Supplies Set for Wedding Summer Camp Birthday Hawaii Baby Shower Themed Party",N/A,$13.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/71M0dtkB-YL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71M0dtkB-YL._AC_SL1500_.jpg,,2026-04-21T12:37:21.760103,
14,1,Organic,,8.0,B0D5H8CJ1S,Chiisong 3 Pcs Camping Banners Party Decorations Camping Porch Sign Camper Adventure Door Banners Wall Decor for Camper Adventure Theme Birthday Celebrating Baby Shower Classroom Decorations,N/A,$9.99,,4.8,93.0,False,https://m.media-amazon.com/images/I/81EuJ2undWL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81EuJ2undWL._AC_SL1500_.jpg,,2026-04-21T12:37:21.764998,
15,1,Organic,,9.0,B0F18Z92MR,Justforjoyful Summer Camping Door Cover Decoration Large Camper Shaped Door Banner Camping Hanging Backdrop Camper Background Banner Sign for Woodland Birthday Forest Classroom Home Party Supplies,N/A,$9.99,,3.7,4.0,False,https://m.media-amazon.com/images/I/61gaCqWhTtL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61gaCqWhTtL._AC_SL1500_.jpg,,2026-04-21T12:37:21.769750,
16,1,Organic,,10.0,B0DX7635S5,3PCS Rustic Wooden Cabin Porch Banner Fall Camping Party Door Decoration Countryside Forest Hanging Porch Sign Photo Backdrop for Autumn Wedding Birthday Farmhouse Home Indoor Outdoor Decor Photo Prop,N/A,$12.99,,4.3,14.0,False,https://m.media-amazon.com/images/I/71f4a4knbAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71f4a4knbAL._AC_SL1500_.jpg,,2026-04-21T12:37:21.773330,
17,1,Organic,,11.0,B0FHB3C69J,Chiisong 4 Pcs Camping Themed Party Decorations Camping Door Banner Porch Sign Welcome Adventure Banner for Camp Birthday Party Supplies Baby Shower Adventure Decor,N/A,$14.99,,4.7,4.0,False,https://m.media-amazon.com/images/I/71PcXA4EyoL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71PcXA4EyoL._AC_SL1500_.jpg,,2026-04-21T12:37:21.776864,
18,1,Organic,,12.0,B0FGDDSDQ7,Peryiter 3 Pcs Camping Themed Party Decorations Banner Welcome Porch Sign with 1 Double Sided Tape for Summer Camp Birthday Hawaii Baby Shower Themed Party Activity Decor Door (Happy Style),N/A,$11.99,,4.3,41.0,False,https://m.media-amazon.com/images/I/71+Iei8YKcL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71+Iei8YKcL._AC_SL1500_.jpg,,2026-04-21T12:37:21.781811,
19,1,Organic,,13.0,B07SZZTBF3,"Blulu Camping Themed Party Decorations, Camping Party Banner Welcome Porch Sign for Themed Birthday Baby Shower Decorations",N/A,$9.99,,4.7,325.0,False,https://m.media-amazon.com/images/I/81OKoRRd5SL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81OKoRRd5SL._AC_SL1500_.jpg,,2026-04-21T12:37:21.787162,
20,1,Organic,,14.0,B0DY1GWT84,Yaomiao 2 Sets 10 Pcs Spring Summer Camping Party Decorations Porch Sign 12 x 9 Inch Welcome Camp Door Banner Outdoor Spring Happy Camper Photo Props Backdrop with 30 Glue Point Dots,N/A,$8.99,,3.8,104.0,False,https://m.media-amazon.com/images/I/81NEBMZVQqL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81NEBMZVQqL._AC_SL1500_.jpg,,2026-04-21T12:37:21.791985,
21,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:37:21.792586,
22,1,Organic,,15.0,B0B51RNQJP,Remerry Camping Backdrop Fake Campfire Decoration Camper Birthday Party Banner Happy Camper Supplies Background for Camping Classroom Party Decorations Photo Background (70.8 x 43.3 Inch),N/A,$7.99,,4.8,101.0,False,https://m.media-amazon.com/images/I/81JJPz0fXiL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81JJPz0fXiL._AC_SL1500_.jpg,,2026-04-21T12:37:21.796845,
