data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Camping Themed Party Decorations,https://aax-us-east-retail-direct.amazon.com/x/c/JNexmv8j1StBHcEHNUGACEQAAAGdsAf0ggEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDIgICArj-B0/clv1c_ek-wBAHWFcbSDX0nIpdrJ16WpAySuUaPLY7TLlbmHpVBvmgB6dahSSsr9fDnx0aXZdZ6Ra3Q5LPqwGtswm3vWgnXuV5dcIpSveygDu3Xz9-1h5MnqSXfNtJhcph2okhFz2RTMqJiANU6k0NcTRJ2l5oeh_2dk2X60seijjKly_ZrGQrcmBGNKdRjJhp-dS393oIYHsdnecfM2uPH60700gtCr_MVxO0XPcqUyBCRwX7Bq9CpViO_OWWpgbnkEcRmU4F4MQ4gqAsK98YcTYbckxFX3VzJzdQsu_PtuJYW2rXE6vBKXgxUFiVdEni8hIKtehYplrDAePy73qvbOMryMvzZ6T1k7fM_XMApifikELBmia2buu16L4kqTpvPfDd0UOPqA3LtbO1npib-A7Qu6CNzjD_mRHOi2ve9J8LexX6eSWuKAifpQsuihOpKdnrWSlry4G01Z7e44tOQ-y3WekTonpCYhLpz6ce-G1c7B9gbpTCWvZlIPZLnegTLPUXUwSqZXMJa7hl8RPD_cyEx8NIuZhkooiKF5TiJiX8U9BcNwu2kguGBdrQCAfp0pZohAlTlJbEN92_CfqjrinxDKjZ_XrOm09KUt7K3y-NBVwKqGb1jn8Vx5TXhHwVSeUCEwVA2eeLT2lBRNaEoSTBeeFszRsofgSY8gVXH5xOw42JbUgQpIid7a1TjRC6EB9YDinOjOLIT0AyNmLR3oxLw2Ggohnl3FeZkKdGlzo18n6qu_rFiMYRoqmLGoaFRujVAVWyOqYiTmYFX9VfFwRWB7AFHyKu4cBBCpyzp1_dDwJ5Gt3tJ4YhO52r-gfzRFkqwCeIWJokHZdBeT2zNo9njjJNPx2jd2QzRUyVj0NQ12S01f-i8DeRX7KqpWtB-y3gTcI0xiQkQGJRyC9M99mT87dmH8LabHoKv0SM3zomNCtsw1gJC3mPKDV7sU2Ts5h0saUNDP9x3e8gsAHygoEESOMGtXZ9WIgvwIea7s8NEmIkMtlRFlnMNSAGuznePIQuURUrLnJbI1EYP_NEJEcypZn_3vFtT9QLnt9WPUBtFcQGcdC_9Xq1PLFC49uid5nEpDQZFLhHjMXnenOFfVhqLTsmtUN2yFRbimCinpZjjRsgkkIva6KWhXB-v0Tq3qmfKqBuBCHAWy7jpSPPSgHWRl7oPOH2BUkKgcEfFU_Iu3EwHkWwULAy5nTWNUS492e50H2QLxXv1mVco_7-3ow57dZixxyMFPbz2XkJkBeA-PEE6hzuVvKfqreNT3j7r0ZwSZgTRTcrCgegonum0VSyy8HeOOWFBIVaczJhBxqF2sysL-jQfoyt44P9r0ek_YuJoFapmrpgPffbSNqLUHDMHG8I2iWLHOCGd2LcbStfZXrEo5k0k6TGEJnPqd14hg7lvodGbIt59Sk0PH78fDZREsGyny7_Ze4eU8EPuPjcy_N-8GslHC1owpIbNibGr2I8Rj1nVkhnQ-uZyzRb8CoIjoSKL3U6lw4wwkEr140wmeZFrw3mgfP9Pz-wFzSeZ0UAQfaIC5pNlojJoierxShFlPvjnImEVdj7G7Q8p60IHX9fLRDMigEdim37Amc7yNHZOCXlaG2R9V4HbEVsnAR-glAxMJgvOyACE-20trbQUH8hD3M2_ct29h4_CeHLxLkJDQOLgsNMqJTps3L9zO18rWhpK/https://www.amazon.com/stores/page/67D952C8-5D34-4DD0-8B3C-8C75AA93DAF4/?_encoding=UTF8&store_ref=SB_A02070671FGKWSZE2L2LP-A08545016DASF4C5IAIR&pd_rd_plhdr=t&aaxitk=fce70cafe61f4d0f5f6debe51d0ab621&hsa_cr_id=0&lp_asins=B0G2G95V1F%2CB0BRS2HPWJ%2CB0DYN9P7V9&lp_query=camping%20party%20decorations&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=6T7oz&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=FBAWF4TPWQDWVYAC6X7J&pd_rd_wg=zIgiT&pd_rd_r=af42c401-7c79-4a74-ba99-27bc1cb98ffd,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/ebe037c6-ded1-4790-9cbb-c1647dec76a1._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.jpeg",,Camping Themed Party Decorations,2026-04-21T12:33:32.113814,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:33:32.114253,
3,1,Organic,,1.0,B092M91JN4,Sumind 2 Pieces Inflatable Fake Campfire Camping Props Bonfire Party Decor Campfire Party Decorations Artificial Flame for Indoor Camping Overnight and Scene Setting,N/A,$8.99,,4.1,893.0,False,https://m.media-amazon.com/images/I/71aV8aXipZS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71aV8aXipZS._AC_SL1500_.jpg,,2026-04-21T12:33:32.117325,
4,1,Organic,,2.0,B0D2VLNZRQ,Hooqict 20 Pieces Camping Themed Party Decorations Camping Party Directional Signs for Summer Camp Decor Welcome to Camp Birthday Party Supplies Classroom Wall Door Porch Yard Sign,N/A,$5.97,,4.6,656.0,False,https://m.media-amazon.com/images/I/81yuy8SvRrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yuy8SvRrL._AC_SL1500_.jpg,,2026-04-21T12:33:32.120725,
5,1,Organic,,3.0,B0FKH8MDMY,Halloscume Camping Party Decoration Set Includes 2 Inflatable Fake Campfire Props 16 Wooden Slice Paper Placemats 1 Checkered Tablecloths for Campfire Birthday Party Supplies(Green Plaid),N/A,$14.99,,4.3,13.0,False,https://m.media-amazon.com/images/I/815u+z4Ua5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/815u+z4Ua5L._AC_SL1500_.jpg,,2026-04-21T12:33:32.124288,
7,1,Title,,,,"Debug info copied.SponsoredRoetyce Camping Party Decorations, Welcome To Our Campsite Banner Backdro",,,,,,False,,,,2026-04-21T12:33:32.125546,
8,1,Title,,,,gingham party decorationsSponsored|Shop GatherfunShop nowPrevious pageGatherfun Gingham Red and Whit,,,,,,False,,,,2026-04-21T12:33:32.127108,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:33:32.127299,
10,1,Organic,,4.0,B098DV1GSL,Camping Hanging Swirl Party Decorations 30 Pack Foil Ceiling Hanging Streams Party Supplies Banner Decor for Kids Camping Adventure Bear Birthday Celebrating Party Events Baby Shower Room Wall Decor,N/A,$9.99,,4.7,1703.0,False,https://m.media-amazon.com/images/I/71TUIB0dMwS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71TUIB0dMwS._AC_SL1500_.jpg,,2026-04-21T12:33:32.132779,
11,1,Organic,,5.0,B0BHY1P31T,Kesfey 3 Packs Green and White Checkered Tablecloths 54 x 108 Inches Disposable Plastic Gingham Tablecovers Waterproof Rectangle Picnic Party Table Covers for Birthday Party Supplies Christmas,N/A,$9.97,,4.8,1807.0,False,https://m.media-amazon.com/images/I/81AFJ+DkZpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81AFJ+DkZpL._AC_SL1500_.jpg,,2026-04-21T12:33:32.138994,
