data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:29:54.110695,
2,1,Organic,,1.0,B0D2VLNZRQ,Hooqict 20 Pieces Camping Themed Party Decorations Camping Party Directional Signs for Summer Camp Decor Welcome to Camp Birthday Party Supplies Classroom Wall Door Porch Yard Sign,N/A,$5.97,,4.6,656.0,False,https://m.media-amazon.com/images/I/81yuy8SvRrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yuy8SvRrL._AC_SL1500_.jpg,,2026-04-21T12:29:54.114423,
3,1,Organic,,2.0,B00N1QPNMA,"PartySticks Glow Sticks Party Supplies 100pk - 8 Inch Glow in the Dark Light Up Sticks Party Favors, Glow Party Decorations, Neon Party Glow Necklaces and Glow Bracelets with Connectors",N/A,$7.99,,4.6,28646.0,False,https://m.media-amazon.com/images/I/81JYNlch58L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81JYNlch58L._AC_SL1500_.jpg,,2026-04-21T12:29:54.121140,
4,1,Organic,,3.0,B0C9THKCWY,"MEKER Fire Color Changing Packets - Fire Pit, Campfires, Outdoor Fireplaces, Bonfire - Magic Colorful Changing Fire - Perfect Fire Camping Accessories for Kids & Adults (12 Pack)",N/A,$8.95,,4.7,2322.0,False,https://m.media-amazon.com/images/I/71-zlcjUwHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71-zlcjUwHL._AC_SL1500_.jpg,,2026-04-21T12:29:54.125621,
5,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:29:54.126124,
6,1,Organic,,4.0,B0BZ7WDK45,"Recheel Camping Party Supplies Decorations, Campfire Hiking Camper Theme Birthday Paper Plates and Napkins Set with Cups and Straws for 24 Guests, 120 Pcs Disposable Party Snack Dinnerwares",N/A,$19.98,,4.8,1557.0,False,https://m.media-amazon.com/images/I/81kpsEyxAOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81kpsEyxAOL._AC_SL1500_.jpg,,2026-04-21T12:29:54.131206,
7,1,Organic,,5.0,B0DN31R7JG,200 Pieces Camping Wood Grain Slice Party Supplies Set Paper Plate Cup Napkin for Camping Woodland Baby Shower Lumberjack Birthday Featuring a Round Wooden Slice Die Cut Edge Design Serve 25,N/A,$23.99,,4.4,52.0,False,https://m.media-amazon.com/images/I/81uLjqmG0cL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uLjqmG0cL._AC_SL1500_.jpg,,2026-04-21T12:29:54.134652,
8,1,Organic,,6.0,B092M91JN4,Sumind 2 Pieces Inflatable Fake Campfire Camping Props Bonfire Party Decor Campfire Party Decorations Artificial Flame for Indoor Camping Overnight and Scene Setting,N/A,$8.99,,4.1,893.0,False,https://m.media-amazon.com/images/I/71aV8aXipZS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71aV8aXipZS._AC_SL1500_.jpg,,2026-04-21T12:29:54.138826,
9,1,Organic,,7.0,B08B4R2B3C,Forest Scene Camping Backdrop Photography Background Campfire Photo Backdrop and 2 Sets 3D Decorative Cardboard Campfire Centerpiece Artificial Fire Party Decoration for Camping Theme Party,N/A,$11.99,,4.7,1149.0,False,https://m.media-amazon.com/images/I/81hYv5lw5aL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hYv5lw5aL._AC_SL1500_.jpg,,2026-04-21T12:29:54.142949,
10,1,Organic,,8.0,B0FKH8MDMY,Halloscume Camping Party Decoration Set Includes 2 Inflatable Fake Campfire Props 16 Wooden Slice Paper Placemats 1 Checkered Tablecloths for Campfire Birthday Party Supplies(Green Plaid),N/A,$14.99,,4.3,13.0,False,https://m.media-amazon.com/images/I/815u+z4Ua5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/815u+z4Ua5L._AC_SL1500_.jpg,,2026-04-21T12:29:54.147329,
