data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-22T07:05:16.004395,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-22T07:05:16.005774,
3,1,Organic,,1.0,B09FPN5DHM,"UNCO- Extendable Stainless Steel Roasting Sticks, 5 Pack, 32"" - For S'mores, Hot Dogs, Campfires and Fire Pits",N/A,$4.95,,4.5,3016.0,False,https://m.media-amazon.com/images/I/71ZdPnHoz7L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ZdPnHoz7L._AC_SL1500_.jpg,,2026-04-22T07:05:16.012019,
4,1,Organic,,2.0,B0FTZ5M84W,"Camping Water Container 2 Gallon Collapsible Water Jug with Spout - Reusable Plastic Flasks, Foldable Empty Gallon Jug for Water Storage, Water Bag for Outdoor Hiking Emergency Prep (1 Pack)",N/A,$6.99,,4.5,185.0,False,https://m.media-amazon.com/images/I/71YATOD+GXL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71YATOD+GXL._AC_SL1500_.jpg,,2026-04-22T07:05:16.019572,
5,1,Organic,,3.0,B0GGGYCDFY,"Haimont Men's Hiking Cargo Pants 6 Pockets Nylon Strech Lightweight Quick Dry Water Resistant Outdoor Travel, 30""/32""/34""",N/A,$44.99,,4.3,14.0,False,https://m.media-amazon.com/images/I/61QkuX0v5EL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61QkuX0v5EL._AC_SL1500_.jpg,,2026-04-22T07:05:16.025789,
7,1,Title,,,,Debug info copied.SponsoredETENWOLF AIR 3 Air Pump for Inflatables with 2600 mAh Battery & Camping L,,,,,,False,,,,2026-04-22T07:05:16.027313,
8,1,Title,,,,Heavy Duty Paracord Rope - 750 lbsSponsored|Top 10 best-selling brand in tactical paracord|Shop Trib,,,,,,False,,,,2026-04-22T07:05:16.028667,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-22T07:05:16.028796,
10,1,Organic,,4.0,B0C9THKCWY,"MEKER Fire Color Changing Packets - Fire Pit, Campfires, Outdoor Fireplaces, Bonfire - Magic Colorful Changing Fire - Perfect Fire Camping Accessories for Kids & Adults (12 Pack)",N/A,$8.95,,4.7,2325.0,False,https://m.media-amazon.com/images/I/71-zlcjUwHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71-zlcjUwHL._AC_SL1500_.jpg,,2026-04-22T07:05:16.032408,
11,1,Organic,,5.0,B08634S7HC,"HongyiTime 2 Boxs (100 Sheets) Hand Washing Soap Sheets for Outdoor Travel,Portable Camping Hand Soap,Hiking Washing Hand Bath Paper Soap for Travel,BBQ,Party,School,Girls",N/A,$5.99,,4.6,2658.0,False,https://m.media-amazon.com/images/I/61irclpEdBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61irclpEdBL._AC_SL1500_.jpg,,2026-04-22T07:05:16.038240,
12,1,Organic,,6.0,B00HQRCNWI,"Benadryl Extra Strength Anti Itch Relief Gel, 2% Diphenhydramine HCl, Relief from Insect Bites, Sunburn & More, Great for Camping Essentials, 3.5 fl oz",N/A,$6.48,,4.6,43459.0,False,https://m.media-amazon.com/images/I/713wAwNNgBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/713wAwNNgBL._AC_SL1500_.jpg,,2026-04-22T07:05:16.043703,
13,1,Organic,,7.0,B019ZTXU2G,"OFF! Deep Woods Insect Repellent Aerosol, Dry, Non-Greasy Formula, Bug Spray with Long Lasting Protection from Mosquitoes, 4 Oz, 2 Count",N/A,$12.99,,4.6,41366.0,False,https://m.media-amazon.com/images/I/718Q5uTUwbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/718Q5uTUwbL._AC_SL1500_.jpg,,2026-04-22T07:05:16.052292,
14,1,Organic,,8.0,B017G1051Y,"Cliganic 10 Pack Mosquito Repellent Bracelets for Adults & Kids - Natural DEET-Free Bands, Individually Wrapped",N/A,$9.99,,4.2,33785.0,False,https://m.media-amazon.com/images/I/71SaoXHCP2L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71SaoXHCP2L._AC_SL1500_.jpg,,2026-04-22T07:05:16.058411,
15,1,Organic,,9.0,B0D4765KKT,"Survival Kit, 262Pcs Survival Gear and Supplies with First Aid Kit Pouch and Crossbody Bag, Emergency Kit with Tent, Camping Axe Hammer, Survival Shovel w/Pick, Bug Out Bag Gifts for Men Women",N/A,$49.99,,4.6,1121.0,False,https://m.media-amazon.com/images/I/81t6wxt8GXL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81t6wxt8GXL._AC_SL1500_.jpg,,2026-04-22T07:05:16.062939,
16,1,Organic,,10.0,B082TMBYR6,"Jackery Portable Power Station Explorer 300, 292Wh Backup LiFePO4 Battery, Solar Generator for Outdoors Camping Travel Hunting Blackout (Solar Panel Optional)",N/A,$188.99,,4.6,10773.0,False,https://m.media-amazon.com/images/I/71dkoH3sUoL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71dkoH3sUoL._AC_SL1500_.jpg,,2026-04-22T07:05:16.070507,
