data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Sunglasses Bulk for Kids Goodie Bag Stuffers,https://aax-us-east-retail-direct.amazon.com/x/c/JEDn3deR8QRHKswBuL3b1VUAAAGdsBWIWAEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICDQbQza/clv1c_ek-wBHvWbbbWXQ4WY9qoyp97Nk4ubomoROYMX7hEzd6MpEwunJMg-T549s-19G99bkTX5wN0jFfP4qV47pOYMVpT9nZbmSj_PTSI72DR3d8-yQFvGitnM1ZZ_OnUp3YXw7AOEtB6DD6UmPLRlXDusNS_Bd2F9vXql95gxRWS1Ma_Wm0AKmi8wxuC7TLgMzTeEMZo9meJwRb8pdRdd2Tg8WMGPxa1CEycPsxk81ENzjCygz6Mbzzl8UQJUTZ9dxNUyvkuvnCUW6LNr0jvSoJ83yMum60oIN1pFF_nJcNJYRgiSjcJhIWTWfANlCPNV3AmAjkO_9xIrFERmaG5-MoLrye0BWk0aBRAWbMI9gl8KnsCjmzRanCWQ0rXF3IIZmolMJ6do9_K3tlm4wUFap3h7WUfu7QPRES8fL8XNDKSfMzxEcxlGpj8v7I-KhcNVz75N4i6mWflt9zuVtANQ4BcdUIxWLPO4pFqIR2mM75Rn6WWyvRZwU31yvn8o9VdK4bQEoM7-67KyKf-LRspeWGDYUbryvR5zgvPxMUWNznIhfQYh9lffRidh2U99uE8vEju5tKKH8Og67YY6Wg3PUujYqQpVhl401l8ps9HFkyCIrXbDwcWLtpIx9kuDOSjdMxpEYL95pERPBYSXT3270EiT0hijt8V34YUF4KtVb0b3adtgMp0NW0LWl24Cq52p9b2LTWxfOMUk4RRbKTqs2GVSLs8ptJgpq3XbOfrTRQFjvrYwnnCzjlr0M6q9HFJNOGS_XpFB1cq2lwzCDqJ4SKv3el3LK7lwFT44YB3Wid2RsL26Cp2mL9_sKkiRnHbSRukuQR7h_c8mN4Ulp2LJGmJFIOsfCsJm5OtCgOJrKHa0YTMEkY3_VNNnIQ-PG-DA0sgMJU9d7NhuHBEW0-_GnpRkurARPztCAsm65IcVuw6DRMjy1K3FuN3V42MXEcBAd92WmwuNl42lE6Skj3BxWSuhdCJ1tC9gjNjtI5cd-dBXKbnpV4mm2R0SljDh-PRpNX7cebTXF-K-Wo7jcjz0pn4TFGQrkejfY7Wyxw_azgr65mjb-Wbc7zw99co84ZFAjNziehMgLU7VOuX2kOpl5eo4Sb1QZwks3Mmx69etUsX-ky3TzoS6oRb8kl63FzIoF6GHh_najBzrNsASiP7fRbhljhbVrPkHFqck6695QSEQDwS8ye492SQgbpp8SJNjWb1OHt9xDx0pzMbFJvQhuLp6syTIzQ5rgoYWtqiJtrU-2WhxuDbzk82Ec1BxPvFy56clgHzWSM6vBQnj30acrTJsU-_KobY4EbWv__eGQCBiWxOPd0VvdJ2tdgLiCKSCtLTd_O99G97EwdUWBlEsIjKuHmpVLg-VELgfwiKsRnCLyTqt4RxuI-KNpTXoyHSxwMClbCMjb53Od1J_h7lEz-uX96E-OKsJ_Uhbl_aRUBTt66QpVHyu_7s_SOV_Y5jvXgnm-YmiC7vzPK5U7iEr4OvO0VwlA1K__gjxObX57hMDTFfjL85b496aw056P67c-_ycnV-9dKaC9e4dkdOJhkTZ0ZPTIZWKo6ptjYJtf7fAsOnWEcMPr2bY1jkX2bk7khh0Zy2XwaJVXVEiYXiO_jpm3D8bPZTJKkX7lJZz9q01megfmabuoF8T-RkDls5xvDChT8TDfdkGCp-cnGxTb42NAqGYOzHrtqV9EDQn3Q/https://www.amazon.com/stores/page/8B54BF35-223B-4BE7-97A1-D4A860E0BA23/?_encoding=UTF8&store_ref=SB_A010117619ZSHDHIJUSS3-A07829381IG636KTU56MW&pd_rd_plhdr=t&aaxitk=f8074549cb7e2ebcc865696bda90fc16&hsa_cr_id=0&lp_asins=B0F8GR9GTG%2CB0FQPB6YXQ%2CB0FQPCR9ND&lp_query=end%20of%20year%20gifts%20for%20students&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=sTTKW&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=ETHG6C5589G3QHQPFVFW&pd_rd_wg=PS18c&pd_rd_r=7bce9a49-0605-4206-8c92-cb4444441225,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/0bf548fe-8ff3-4f89-bc68-2958647685ff._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.jpg",,Sunglasses Bulk for Kids Goodie Bag Stuffers,2026-04-21T12:48:22.160786,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:48:22.162154,
3,1,Organic,,1.0,B0CCRRNK9Z,"32 Pcs 8 Colors Neon Bubbles Party Favors For Kids, Mini Star Bubble Wand Bulk In Gift Box as Goody Bags Stuffer, Classroom Giveaways, Carnival Prizes Toy, Birthday Treats, Party Supplies For Toddlers",N/A,$9.98,,4.7,1990.0,False,https://m.media-amazon.com/images/I/81k6EsMVeZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81k6EsMVeZL._AC_SL1500_.jpg,,2026-04-21T12:48:22.167653,
4,1,Organic,,2.0,B0GK78RXS2,25 Set End of Year Gifts Ice Pop Sleeves Holders Bulk with Cards Roll Ribbons for Classroom School Summer Party Favors,N/A,$18.99,,,,False,https://m.media-amazon.com/images/I/91oWA6-3UpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91oWA6-3UpL._AC_SL1500_.jpg,,2026-04-21T12:48:22.173289,
5,1,Organic,,3.0,B0GC5TSW3V,"30 Pack End of Year Student Gifts from Teacher, Summer Beach Balls with Inspirational Card Tags, Kindergarten Graduation Party Favors, Bulk Beach Pool Goody Bag Supplies",N/A,$39.99,,5.0,3.0,False,https://m.media-amazon.com/images/I/91neM-YYlVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91neM-YYlVL._AC_SL1500_.jpg,,2026-04-21T12:48:22.177160,
7,1,Title,,,,Customers frequently viewedSponsored24 Beach Drinking Crazy Silly Straws for Kids Beach Ball Pool Su,,,,,,False,,,,2026-04-21T12:48:22.182766,
9,1,Title,,,,Debug info copied.SponsoredWettarn 24 Sets Star Positive Gifts Cute Stress Balls with Gift Boxes Ins,,,,,,False,,,,2026-04-21T12:48:22.183627,
10,1,Title,,,,Fun Pens for Class Birthday Goodie Bags StuffersSponsored|Shop BESARMEShop nowPrevious pageBESARME 4,,,,,,False,,,,2026-04-21T12:48:22.185158,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:48:22.185301,
12,1,Organic,,4.0,B0GD83HDD8,"LemonRoad 24 Sets End of Year Gifts for Students from Teacher Include Ice Cream Shaped 14 oz Plastic Cups, Ice Cream Pen, Card and Ribbon for Summer Graduation Birthday Party Gifts Exchange Prizes",N/A,$35.99,,,,False,https://m.media-amazon.com/images/I/8110PI9P8AL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8110PI9P8AL._AC_SL1500_.jpg,,2026-04-21T12:48:22.188458,
