data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Neon Kids Sunglasses Bulk,https://aax-us-east-retail-direct.amazon.com/x/c/JEFu06fotbWNpAPecIWtVBQAAAGdsBcoKgEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICALdmJR/clv1c_ek-wBPHXFbbWzjK3YpscrxfcOWxCnjoP74U3riVjPXtechferU67MXYU1xs_yREFWqSYRlZqIVI3Bv722SL-aJRLoesS_LzUYV0UL2glB_z0kzC_-ng2Lfjz8PX0Z_Y3SkYk7stYlZcTEm7qIcK_bqhLIdmQhjXqX2VwSDK-9mYvGOjzQaQqkmGNxh1MNa5PDr1R71hNZ18YtddctUWT4W4pFV0VLtfyDebkKRkm_7Beg5NfmFN39Agl0IF_GU0XIzou0ck4tBR3BOiGtIlCjNd02etY7DiTy2jW8KNbQcIeMMRLwD86xclGTvAUK42lc02mxv3YNXiJUi_aWTfayQQeX_6diUnw01-KDll8_sWo2LthjVRZxgYYTqLz0J9eRRofIKMtAbqQ7SkeqDa-UzgiOFTFE7Jw4C-OYH7571zI17TAAT3XvhcxllXBLajoQO1PeRB0uSl9Vp9N8HSIZ6DUSvVYxPTrDO9TsZaglbu3cNL_9yP9hShkjzWeh3r9gdz6cgN7CuwfFxlC9k6aIIEaCG5pnRrkTY-C13pLG_MbXv4tEKLUCKjGBLD9UT65RfjsU2d7FyoaPB5imvEVGyyI9DBRMAOWM89bcgEHXGiIEsZ5gpBrmBSAUETvf9xFREmUKVCSEUun0haEUuTIS4s83nETOHyLaNViZ0AeVWlFHRMIYgm71H4jf8Xlgx8PhCB5KMyRuxHVpsUwdODekRaEkl0wSEYmKwpoBatBV47GiLcreK0Q0NuRuAOhrFiGrQX9I1r17R_8XZ9FRcyZzzToDFhxwMrILuHmwjdsdPRJYJIZ5CsrbxyY8FlUknP2KFWpE3Lud2lRyZAGqg_E_PT78hi1yiRvw88Q0MYSeguLIjXdsSi51MQQ26948CNqcfOD3EAeUKPfZRjsPNVyVMHIN4-nhtv6r_KUc1Rbcl1JATUcIvL1gThDDL9fE1ab6VUxJSnG9M0inYD9_z-bXd9A94msq8S-84w4AVB2GqjzYjzRNiFkWix-6LttJtj16KvxvoEu1d_whR3W0FzAa6k4pRbIWGSpeXWjY0koMho2RqQ2sbGTwD_jzTgVxbWUoGDqKqcMpwUVJTUpSpLhz-U5bVKW_gnwTQ2599Xl5ZCF22U_4K7x0XNbuPUhORZH4DAMh5e7Bbcv6l3kxP2s7NUKT0kv5nLuWfn7pR0UFGKdckQeZ2Y0-5IVRP0ywK0YXbFFj4H9cZtLODHzpfbBA5H4afg6WdpXghY2Br4BLSxwgtLGQ2PbCDt8Xwmi5N7-YqWb67rEPzJy9k9d_QCXuavoJxwwi_GaJH0qp4YeB474_8tcj-5bxRAzRDGU0MPZ2lYD4dsSmlPQJIe0Z52hb4SSNNGlwCRVAb-yZS7Xev26pcNNLl2-QGaO9xXBTEktE9tRpsrMkV4gQt3_78jLmCJEjnVP4qILXC8CmSvIdg3v8k6Z8O9xyPpMMi9WCxHWvblhOQAaJ8EvFqSEmWR3VztxiSHDqk9rZVAMoQej8l37Z0NBFT_fw7WeroA7gQw_QOFZ1crbsASr01sdlsj3IfCbFmMSaIKXCrGX9KFDJl0nsZ6NTLq4Z3982usCGSStPl2g_va-DzUveU3ZNxz87q8nP46Ir7RlJ2DSZ2_3U-072LlxoYkMjrNEbM3y0ioGNd5XfibD8Es9MHEe-nR8RsyMhJPCKdHP/https://www.amazon.com/stores/page/9BB18577-9042-4670-8A82-A9E76AA5C84C/?_encoding=UTF8&store_ref=SB_A03365213GGMSSAGQV40B-A09739191GULBTAYR36OO&pd_rd_plhdr=t&aaxitk=5f7e6d6d274219ac9e569d02d6cc21b2&hsa_cr_id=0&lp_asins=B0F8GR9GTG%2CB0FQPB6YXQ%2CB0FQPCR9ND&lp_query=end%20of%20year%20student%20gifts&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=1Kk1M&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=SWF38F7HACMS12KT5JMK&pd_rd_wg=6ysYE&pd_rd_r=c55b2b29-b3b4-4536-9d88-ce7b4d70444f,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/4dd58422-baeb-47fb-90fd-a3b82407bdc4._CR0,0,500,500_AC_SX130_SY60_CB1169409_QL70_.jpg",,Neon Kids Sunglasses Bulk,2026-04-21T12:50:08.478645,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:50:08.479486,
3,1,Organic,,1.0,B0CCRRNK9Z,"32 Pcs 8 Colors Neon Bubbles Party Favors For Kids, Mini Star Bubble Wand Bulk In Gift Box as Goody Bags Stuffer, Classroom Giveaways, Carnival Prizes Toy, Birthday Treats, Party Supplies For Toddlers",N/A,$9.98,,4.7,1990.0,False,https://m.media-amazon.com/images/I/81k6EsMVeZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81k6EsMVeZL._AC_SL1500_.jpg,,2026-04-21T12:50:08.484880,
4,1,Organic,,2.0,B0017L4PH0,"Airheads Full-Size Candy Bars, Taffy Candy Bulk Variety Pack, Individually Wrapped, Six Assorted Fruit Flavors Artificially Flavored, 60 Count Box",N/A,$9.84,,4.8,80878.0,False,https://m.media-amazon.com/images/I/71Jl-KMF9LL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Jl-KMF9LL._AC_SL1500_.jpg,,2026-04-21T12:50:08.491478,
5,1,Organic,,3.0,B0GJ3KBM98,Sureio End of Year Student Gifts for Student from Teachers Graduation Friendship Braided Bracelets with Cards Classroom Exchange Gifts,N/A,$13.99,,,,False,https://m.media-amazon.com/images/I/81FxVl5USpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81FxVl5USpL._AC_SL1500_.jpg,,2026-04-21T12:50:08.495276,
7,1,Title,,,,"Debug info copied.SponsoredDMIGHT Party Favors for Kids 24PCS Safari Animal Squishy Toys,Goodie Bag ",,,,,,False,,,,2026-04-21T12:50:08.496319,
8,1,Title,,,,Fun Pens for Class Birthday Goodie Bags StuffersSponsored|Shop BESARMEShop nowPrevious pageBESARME 4,,,,,,False,,,,2026-04-21T12:50:08.498166,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:50:08.498302,
10,1,Organic,,4.0,B0GD83HDD8,"LemonRoad 24 Sets End of Year Gifts for Students from Teacher Include Ice Cream Shaped 14 oz Plastic Cups, Ice Cream Pen, Card and Ribbon for Summer Graduation Birthday Party Gifts Exchange Prizes",N/A,$35.99,,,,False,https://m.media-amazon.com/images/I/8110PI9P8AL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8110PI9P8AL._AC_SL1500_.jpg,,2026-04-21T12:50:08.501154,
11,1,Organic,,5.0,B0D4L6TFC9,"CZWZ 20Pcs Mini Multicolor Pens in One 4-in-1 Cute Pens Bulk for Kids, Fun Kawaii Ballpoint Pens for Birthdays and Children's Party Favors Gifts Teacher School Supplies",N/A,$12.99,,4.6,1905.0,False,https://m.media-amazon.com/images/I/81o17WZFBQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81o17WZFBQL._AC_SL1500_.jpg,,2026-04-21T12:50:08.505636,
