data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-22T07:08:59.923546,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-22T07:08:59.924430,
3,1,Organic,,1.0,B09VDHT8WP,"CCINEE 12 PCS Artificial Palm Leaves, Assorted Sizes Faux Large Palm Fronds Fake Tropical Plant Simulation Safari Leaves with Stems for Home Hawaiian Luau Party Jungle Beach Theme Party Decoration",N/A,$8.09,,4.4,895.0,False,https://m.media-amazon.com/images/I/812ZTMugnuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/812ZTMugnuL._AC_SL1500_.jpg,,2026-04-22T07:08:59.928647,
4,1,Organic,,2.0,B085GC3XF4,108 Pack Palm Leaves Artificial Tropical Monstera - 6 Kinds Large Small Green Fake Palm Leaf with Stems for Safari Jungle Hawaiian Luau Party Table Decoration Wedding Birthday Theme Party Decorations,N/A,$15.97,,4.5,5967.0,False,https://m.media-amazon.com/images/I/91GcpXJTi3L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91GcpXJTi3L._AC_SL1500_.jpg,,2026-04-22T07:08:59.933324,
5,1,Organic,,3.0,B0BX58241Y,"CCINEE 16 PCS Artificial Palm Leaves, Faux Large Palm Fronds Fake Tropical Plant Simulation Safari Leaves with Stems for Home Hawaiian Luau Party Jungle Beach Theme Party Decoration",N/A,$9.49,,4.4,895.0,False,https://m.media-amazon.com/images/I/81VYGvA-i8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81VYGvA-i8L._AC_SL1500_.jpg,,2026-04-22T07:08:59.937814,
7,1,Title,,,,"Debug info copied.SponsoredRECUTMS Artificial Tropical Palm Leaves String Lights, Large Size 20 LED ",,,,,,False,,,,2026-04-22T07:08:59.939017,
8,1,Title,,,,Artificial Ivy Vines for Home DecorSponsored|20K+ bought from this brand in past month|Shop CQURESho,,,,,,False,,,,2026-04-22T07:08:59.942100,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-22T07:08:59.942435,
10,1,Organic,,4.0,B07NRLTZ9Z,"Artificial Areca Palm Leaves, 8 Pcs Faux Tropical Palm Tree Leaves Stems for Floral Arrangement, Hawaiian Luau, Jungle Beach Wedding Party Decor, 28 Inches Tall",N/A,$9.99,,4.4,1633.0,False,https://m.media-amazon.com/images/I/71mhrIgw52L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71mhrIgw52L._AC_SL1500_.jpg,,2026-04-22T07:08:59.951725,
11,1,Organic,,5.0,B094VSK5T5,"PartyWoo Palm Leaves, 34 pcs Fake Artificiall Palm Leaves, Summer Tropical Fiesta Party Decorations, Flamingo Hawaiian Party Supplies",N/A,$6.99,,4.5,238.0,False,https://m.media-amazon.com/images/I/91heLtgiksS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91heLtgiksS._AC_SL1500_.jpg,,2026-04-22T07:08:59.958278,
12,1,Organic,,6.0,B0CRPG2KR2,Decopom Palm Leaves Artificial Tropical Monstera 36Pack 6 Kinds Large Small Green Fake Palm Leaf with Stems,N/A,$10.99,,4.5,5967.0,False,https://m.media-amazon.com/images/I/915OvHa3JbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/915OvHa3JbL._AC_SL1500_.jpg,,2026-04-22T07:08:59.964023,
13,1,Organic,,7.0,B07Y1994FW,60 Pieces 4 Kinds Artificial Palm Leaves with Faux Stems Tropical Plant Leaves Monstera Leaves Safari Leaves for Hawaiian Luau Party Jungle Beach Table Leave Decorations,N/A,$15.99,,4.5,1701.0,False,https://m.media-amazon.com/images/I/71mOlQ5gP9L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71mOlQ5gP9L._AC_SL1500_.jpg,,2026-04-22T07:08:59.968145,
14,1,Organic,,8.0,B0BG7YX1BJ,36 Pieces Artificial Tropical Palm Leaves for Jungle Safari Beach Hawaiian Luau Theme Birthday Party Table Decorations Faux Green Monstera Supplies for Wedding Large Fake Leaf Plant Decor with Stems,N/A,$6.47,,4.5,270.0,False,https://m.media-amazon.com/images/I/71Zh2yNwPgL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Zh2yNwPgL._AC_SL1500_.jpg,,2026-04-22T07:08:59.972344,
15,1,Organic,,9.0,B0FJBS62GC,"Palm Leaves, 108 Pcs 6 Kinds Artificial Palm Leaves Monstera Tropical Leaves Decor, Green Leaves for Jungle Hawaiian Luau Safari Party Table Wedding Birthday Theme Party Decorations",N/A,$15.99,,4.6,53.0,False,https://m.media-amazon.com/images/I/81hjWjDcqrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hjWjDcqrL._AC_SL1500_.jpg,,2026-04-22T07:08:59.976556,
16,1,Organic,,10.0,B0BZ8DHSWV,"40PCS Palm Leaves Decor, Fake Green Foliage Palm Branches for Palms Sunday, Home Decor, Party Supplies",N/A,$19.95,,4.3,101.0,False,https://m.media-amazon.com/images/I/81uRd73G97L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uRd73G97L._AC_SL1500_.jpg,,2026-04-22T07:08:59.982141,
17,1,Organic,,11.0,B0F2F88DW4,"24pack Palm Leaves Branches for Palm Sunday Artificial Plants Fake Palms Frond Tropical Plant for Floral Arrangement Hawaiian Jungle Beach Wedding Party (24, Green)",N/A,$27.99,,4.3,166.0,False,https://m.media-amazon.com/images/I/71ony1xKq4L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ony1xKq4L._AC_SL1500_.jpg,,2026-04-22T07:08:59.987196,
18,1,Organic,,12.0,B0893ZQJ8J,18 Branches 27 Inch Artificial [Palm] [Leave]s 6 PCS Large Faux / Fake Greenery Tropical [Palm] Tree [Leave]s for [Palm] Wedding Arrangement Jungle Party Decorations,N/A,$11.99,,4.0,1228.0,False,https://m.media-amazon.com/images/I/81F2rgSTwmL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81F2rgSTwmL._AC_SL1500_.jpg,,2026-04-22T07:08:59.992401,
19,1,Organic,,13.0,B0F1FKL18D,"2pack Artificial Palm Leaves Tree Branches Fake Palms Frond Faux Tropical Plants for Palm Sunday Floral Arrangement Hawaiian Luau Jungle Beach Wedding Party (2, Green)",N/A,$23.99,,4.2,123.0,False,https://m.media-amazon.com/images/I/71lM4gNexDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71lM4gNexDL._AC_SL1500_.jpg,,2026-04-22T07:08:59.995920,
20,1,Organic,,14.0,B09BV5DH36,"QUANQIUFEI 74 Pcs 7 Kinds Artificial Palm Leaves Tropical Fake Leaves, Monstera Leaf for Safari Jungle Hawaiian Dinosaur Luau Party Table Decoration Wedding Birthday Theme Party",N/A,$12.59,,4.6,1113.0,False,https://m.media-amazon.com/images/I/91TjJ+TqKZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91TjJ+TqKZL._AC_SL1500_.jpg,,2026-04-22T07:09:00.001049,
21,1,Title,,,,More results,,,,,,False,,,,2026-04-22T07:09:00.001644,
22,1,Organic,,15.0,B085GBVVC2,Decopom Palm Leaves Artificial Tropical Monstera-84Pcs 6 Kinds Large Small Green Fake Palm Leaf with Stems for Safari Jungle Hawaiian Luau Party Table Decoration Wedding Birthday Theme Party,N/A,$14.99,,4.5,5967.0,False,https://m.media-amazon.com/images/I/81HwQiyk68L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81HwQiyk68L._AC_SL1500_.jpg,,2026-04-22T07:09:00.005525,
23,1,Organic,,16.0,B09XCZ2RXJ,"14Pcs Artificial Palm Leaves, 20.4"" Outdoor Faux Palm Fronds Fake Tropical Palm Leaves For Palm Sunday Flower Arrangement Wedding Birthday Party Home Spring Summer Decor",N/A,$12.99,,4.3,271.0,False,https://m.media-amazon.com/images/I/7100xnK7o2L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/7100xnK7o2L._AC_SL1500_.jpg,,2026-04-22T07:09:00.015441,
24,1,Organic,,17.0,B0BKK3RKP7,6 Pcs Pu Foam Artificial Palm Leaves Faux Palm Tropical Leaves Fake Palm Fronds for DIY Wedding Bouquets Fake Leaves for Centerpieces Arrangements Bridal Shower Palm Leaf for Party Home Decorations,N/A,$16.99,,4.2,282.0,False,https://m.media-amazon.com/images/I/81oIaCoEe-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81oIaCoEe-L._AC_SL1500_.jpg,,2026-04-22T07:09:00.021052,
25,1,Organic,,18.0,B09TXRPHW3,"Artificial Palm Tree 30"" Tall UV Resistant Tropical Areca Faux Plants Monstera Leaves Floral Arrangement Safari Leaves Party Suppliers Decorations",N/A,$27.93,,3.9,857.0,False,https://m.media-amazon.com/images/I/81BIVpCfGSL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81BIVpCfGSL._AC_SL1500_.jpg,,2026-04-22T07:09:00.025411,
26,1,Organic,,19.0,B081N7BSTL,DVGUN 6 Pack Artificial Palm Plants Leaves Faux Turtle Leaf Fake Tropical Large Palm Tree Leaves Imitation Leaf Artificial Plants for Home Kitchen Party Flowers Arrangement Wedding Decorations,N/A,$15.99,,4.4,836.0,False,https://m.media-amazon.com/images/I/814okhE72lL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814okhE72lL._AC_SL1500_.jpg,,2026-04-22T07:09:00.031211,
27,1,Organic,,20.0,B0DS9PN5CT,Sggvecsy 34 Pieces 6 Kinds Artificial Tropical Palm Leaves Tropical Leaves Monstera Leaves Safari Jungle Leaf with Stems for Hawaiian Luau Party Beach Table Wedding Shower Birthday Theme Decorations,N/A,$9.51,,4.7,1457.0,False,https://m.media-amazon.com/images/I/91aXKuRuGOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91aXKuRuGOL._AC_SL1500_.jpg,,2026-04-22T07:09:00.035403,
