data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T13:04:56.408827,
2,1,Organic,,1.0,B0D2HDMQNJ,"RattanView 24 Pcs Dad Craft Color Your Own Keychains DIY Craft Wooden Blank Keychains for Sunday School Classroom Home Active Party Favors Gifts, 12 Styles",N/A,$16.99,,4.6,110.0,False,https://m.media-amazon.com/images/I/81yvbDfdsBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yvbDfdsBL._AC_SL1500_.jpg,,2026-04-21T13:04:56.412355,
3,1,Organic,,2.0,B0GKCYQ5B1,"18Pcs Happy Father's Day Can Cooler Sleeves, 12 oz Color Your Own Bottles Beverage Covers Blank Beer Soda Can Insulators DIY Craft Gifts for Dad from Son Daughter for Home Party Favors",N/A,$14.99,,4.7,201.0,False,https://m.media-amazon.com/images/I/81uDWFL5jeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uDWFL5jeL._AC_SL1500_.jpg,,2026-04-21T13:04:56.416235,
4,1,Organic,,3.0,B0GF23YZVS,Umigy 36 Set Father's Day Color Your Own Mugs Craft Gifts Bulk DIY Travel Coffee Cups Painting Kit World Best Dad Fathers Day Men Grandfather Birthday Gift Supply,N/A,$35.99,,,,False,https://m.media-amazon.com/images/I/81Mid4HRmkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Mid4HRmkL._AC_SL1500_.jpg,,2026-04-21T13:04:56.419565,
6,1,Title,,,,Customers frequently viewedSponsoredchiazllta 24 Pcs Color Your Own Hero Mask Crafts Hero Party Favo,,,,,,False,,,,2026-04-21T13:04:56.422628,
7,1,Title,,,,VidwanHome Hand and Footprint KitsSponsored|Shop VidwanHome LLC VidwanHome OffShop nowPrevious pageF,,,,,,False,,,,2026-04-21T13:04:56.423741,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-21T13:04:56.423892,
9,1,Organic,,4.0,B0F1YNVCB2,"48PCS Fathers Day Crafts for Kids: Make Your Own Father's Gifts Bulk, DIY Coloring Magnets for Father, Magnetic Refrigerator Fridge Cruise Door Decorations(Markers Not Included)",N/A,$14.99,,4.3,13.0,False,https://m.media-amazon.com/images/I/81cwfiQV3YL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81cwfiQV3YL._AC_SL1500_.jpg,,2026-04-21T13:04:56.427259,
10,1,Organic,,5.0,B0BXDNSFS3,24 Sets DIY Father's Day Crafts for Kids Dad Brick Tabletop Decorating with Easel Instructions Craft Kit for Father's Day Classroom Activities Art Projects,N/A,$13.99,,3.9,17.0,False,https://m.media-amazon.com/images/I/71Poq7KaSQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Poq7KaSQL._AC_SL1500_.jpg,,2026-04-21T13:04:56.431814,
11,1,Organic,,6.0,B0F4X1GHNW,"36PCS Wooden Father's Day Ornaments to Paint, 6 Styles Best DAD DIY Blank Unfinished Wood Cutouts Father's Day Gifts Ornament for Crafts Birthday Party Hanging Decorations Daddy",N/A,$12.99,,4.7,251.0,False,https://m.media-amazon.com/images/I/71AH-xEs-xL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71AH-xEs-xL._AC_SL1500_.jpg,,2026-04-21T13:04:56.435528,
