data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Mini Funny Penguin Gifts for Men Him,https://aax-us-east-retail-direct.amazon.com/x/c/JKs3vDrcM8YcCzHARB57HlEAAAGdsCMIFAEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDIgICAYCFDB/clv1c_ek-wBIXWFbbazjI3YptcKUShqhZWsFzjT5tEpEPKlVCPzFbhRmV1x5Ifet1jyxEFXqQYRiqIs6BumoxFVJfRG-h0jvBZsbWfZhctHrax1I4-jAf__p2R2O7w4dmkBzMeR4AlPU67MxOCf3yaFYeEf7nTgj3clFDeUtjUv4eqj4Mbf0PNP6Dg6kAMxA094reot0ehVKLNL8cJV-Jmvl3Iauy_DDrflN8_kFwCORQNIRM67YfSuGkE_EB_JfCRFWWjmCU4c4bQqffj5VvvPwt0vWnrV4pu4qo-Nr8QlIN6mapH6WUU7RIM_dedK8mJN1kXEiob3wRRmpoyjKlpyUxM7-w2lpOxIQxL5DvpZABMiHwnE1Bm3wzkWJ1trK60bR6dcbkJ9XYTpHbE1tnNAOxUgqUzSzsqiobZrOZH9SU8CmuS3mDkdkZgEgSLjeqv-M8Zzd6k0RBUcap9_ljnkr_SeX4KCUgN88ADGe9isZWsF8K3cHqrh0TJQaliG-1_mPKcAdv69NgA7-wfF5hCCk_KUvzq0Qig4CpkOTE4w0327EResxM8_Td2_s4s03mjORYdMaRr3F_uFuo6vDAnZuFjT-m5s12HiyXOqBcU5sGh3IZM1vP408O4Zj-SqqfZ6cfgLqY0dFEmn3PrTVerZ_lC5yx9rJQbop2B6ZJ-pgACdNgjALNK7V8KROM4JSn42c_BzVaN7MKNzWRMRYCp8_jJRix0_U-7iW6gp1uuW5brZh_C52SCWfQaqd6d0ZZnHqB39QOhLnEAhSJ80ylG3HWWK_5CWs6pVasPqpMa2USLGnKGIkLDATfU0uSFVycZrd2cGduJFFk786WtKIpkCpd3A_TEjRFVdHCNGbp-FhNPMAmbDS_Ta1w3yVI6ZTSjIUNTbtDgUe7ZI_memL0oXod8N9_qukT7CJw_PFkX1Uh3WDbmrzmkeDXn1RZimx0foXNTUvZMymEXYKKlXK_Xq4Tq9kQrVI8QRCi9hLLcLl51Xrm1nprzvBnAI4l85BekwCGF-hO47ky4IulXX7poFWUGm5NjX-qxpA_HplkW3Er1XNFhs0qxdzjD01cnoLIyssCB2EuyiThfuwVd7dee7T8h9CAFZ6Y92DB4RlSkMdydEgD4sinb7QW88VbMUGpkMaE12x8TWlr-5w1ThiCpxsdX9ziMoumcVvlKY0Z6jALTbVUWHQ6FxrofpQuXIG1TnscbF26_rffLRFDb5lQiyq-t-2bWnK6nMJKDAGVXUCNKmzAcIGsoQtqDXeNkWTH3BIQG4EzFBZ6HpLRyqsTsGm4K_mIq6xjrf4lVsyngdsrTtvahUcdQ7Li-L-wyhxzxPE60Eza31EIYyZvyjm5vLoApIgda9o4pH6WTVSMlld704KYagR2m7y3e_46thUAc4jJwDbaxZsFvoYxfK-y9R4Gok46tf0i1fp1yh2bHd66wm6K7w8rmRLwuvU3cPaO680UAYefWktXTGJYwU0eGTzKCJtDnHxHApAXLzMbzFcuO4GFuWcIv_HlRK4lAE8qIMO4TK6FdQOULOEbNFkSpdaW5V_1UjvQZnZSnq88F1mgfalLNRipPfLqjOCQcDJkV1z5EJmUF-QctBYMN6uz3TPbnFk1NJ0z3IR-GeS8DetVT18oNcYDlIj68AZ_QOmJB0ezh_hjK_91htv39TF5d5NZEEO49ZA/https://www.amazon.com/stores/page/4D7E8412-A2D0-46EB-8D98-8013C2C26C2A/?_encoding=UTF8&store_ref=SB_A07534023Q5MIWBFWB9C8-A01189723K3BL93TANUJX&pd_rd_plhdr=t&aaxitk=8dbbb0bff834c2c9fb246726befd533b&hsa_cr_id=0&lp_asins=B0DL9C48GZ%2CB0DL9LHY9J%2CB0F242SCB4&lp_query=fathers%20day%20crafts&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=mWnxl&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=REAK8JM9EPAHQD5CFH1K&pd_rd_wg=hmc2q&pd_rd_r=52371e3d-5108-4965-be6a-b4a9eb253911,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/c4144684-e1fc-4ef7-ad11-89429a4b411f._CR0,0,600,600_AC_SX130_SY60_CB1169409_QL70_.jpg",,Mini Funny Penguin Gifts for Men Him,2026-04-21T13:03:07.579301,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T13:03:07.580868,
3,1,Organic,,1.0,B0GKCYQ5B1,"18Pcs Happy Father's Day Can Cooler Sleeves, 12 oz Color Your Own Bottles Beverage Covers Blank Beer Soda Can Insulators DIY Craft Gifts for Dad from Son Daughter for Home Party Favors",N/A,$14.99,,4.7,201.0,False,https://m.media-amazon.com/images/I/81uDWFL5jeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uDWFL5jeL._AC_SL1500_.jpg,,2026-04-21T13:03:07.584810,
4,1,Organic,,2.0,B0F4X1GHNW,"36PCS Wooden Father's Day Ornaments to Paint, 6 Styles Best DAD DIY Blank Unfinished Wood Cutouts Father's Day Gifts Ornament for Crafts Birthday Party Hanging Decorations Daddy",N/A,$12.99,,4.7,251.0,False,https://m.media-amazon.com/images/I/71AH-xEs-xL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71AH-xEs-xL._AC_SL1500_.jpg,,2026-04-21T13:03:07.588830,
5,1,Organic,,3.0,B0D2HDMQNJ,"RattanView 24 Pcs Dad Craft Color Your Own Keychains DIY Craft Wooden Blank Keychains for Sunday School Classroom Home Active Party Favors Gifts, 12 Styles",N/A,$16.99,,4.6,110.0,False,https://m.media-amazon.com/images/I/81yvbDfdsBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yvbDfdsBL._AC_SL1500_.jpg,,2026-04-21T13:03:07.592514,
7,1,Title,,,,"Debug info copied.Sponsored10'' Best Dad Ever DIY Handprint Art Kit with Non-Toxic Paints, Dad Birth",,,,,,False,,,,2026-04-21T13:03:07.593521,
8,1,Title,,,,Dad Gifts from DaughterSponsored|Shop Sensi BlueShop nowPrevious pageFather's Day Valentines Birthda,,,,,,False,,,,2026-04-21T13:03:07.594839,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T13:03:07.595153,
10,1,Organic,,4.0,B0F13SGSP2,24 Pcs Acrylic Keychains Crafts,N/A,$25.99,,4.7,4.0,False,https://m.media-amazon.com/images/I/71LMRZCHNlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71LMRZCHNlL._AC_SL1500_.jpg,,2026-04-21T13:03:07.599065,
11,1,Organic,,5.0,B0GRMT9X2B,32 PCS Father's Day Crafts Set Fridge Magnet Kit Paint Your Own Happy DIY Bulk Include 32 Magnet 24 Paint Pens Classroom Favors Gifts Party Supplies Home School Activities Decors,N/A,$9.99,,4.6,19.0,False,https://m.media-amazon.com/images/I/81u6X67lctL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81u6X67lctL._AC_SL1500_.jpg,,2026-04-21T13:03:07.602459,
