data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Savory Beef Jerky Variety Pack,https://aax-us-east-retail-direct.amazon.com/x/c/JHgFQ8Ct9bbsFFzYbaeuJBIAAAGdsB-t-wEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICAwHmub/clv1c_ek-YBAfWbdbWXg5XY5soGgAJ7b6aDJi0xYdZrr-qzm8ykDu-Yl-MOqgYHHhHFGSQ4_bVnjbqu4DSFJ8wLjb60GgSGpHKtIrJ8QJENqZqzQo-tnkDiUlqDH3iQpk2J9jFOKgyIQZo5P0Qgkn2535ASZHdqsG81tYJ08b7zD_eDCacX757QUah4mV4rrrJuWJvxFyN-0l_rzdoFYC-sVr6qzuvCFtrUMP-fubsK5kE8TJ6dBU-KP26lDksBX2rBy-mG2kcG3ZU0Koie-96IztjrNJeLLvJYjFxNMu1rSI2qbv42uzD6yCAqE5mStEq7Xf82fqagJZLgx1UVo5cyGjMB9CmR6N2ZNvXhJq5iJ6kHPmtW94mA4BFe8lg4MA_Bm30m0WyhhfqJaIpGocJzRfe8lGJ-CJWY8bN2RnG-tpmM6qPpMKj4KtUbQim-hSttTx4Iraisv4ao_HpoMLPsiljXUY2VTRR_TqBWu1KLjwhfIenY3yIxz-Q4xm4SZ2Mxz7oCK1jPKcj6uJCIQkjZwJHFwfmQ6B0at0bcnbnAKOFYzfWK-JEybPBRWmBtrJcM8xiXhAZvw-PVdEfmd7VGq4BeIsGXUrRxlxKPFF8XOmTgeFQ_I_fsavNZl9yMMTezC6oUFKY0ix8c9C7QDg0QUmWTI68Ab1xWRTRJyDa-7FmAClkJSd8dgz9QEkfrwjYkzB9_hzKxs0jakKu37VRcSH44JnzU-gds38yXMIxOwd3imZcCDmLCN0Q4huwrurhH7OIJdX-lFHJm26yCyi2MZ6kufLGjgej8SL8f8ysfeNplXWJtmgqt2QZQgOl8ekXB8RU0oSU6W801wT5QCa5cEpkfOl9_j0UUFEVK70XRvjYPPqiKxYujK637f0btZ_tRbyKkY8qyV9kNsYDwwPxaUIEtfghe7PsD-T4Kd2e_rTjty3fiq9C5vZEM8b3jUL8riAZBgWUnAG0lZ9nssWAGplGq-VvQ-8OY5_ZLzzWQ46C6yRL0VhOgm5pkiX5F2CoXQ8u4wMCeR8laCPIyeO75mWswn7j3Un83DjdZ19sZumjVN9ioB7UjA5WBG3szQs3n219NVUW5r0gv-aYg9mHBHVzD7WFtr3z6gatMdIlMbDACHdvBwdOKW6FP__8YssiPbOzWbfYppqX9x3yn_5caxtM2NonaNMpVByRGukBhWg7vwW_4Ox0sJOJbHqSMpVRexoHjsntfuVnLHe6Pw1DWMWJS7C97iOJOjhCoW9LdkVGWmh2NOI9T1u2-fGltCki-6N5juRwASMsVFJFWLTXOUIL98MD8eApAzU_P3hmUmPBVCFcqYcqUN8-VHNhRRcYyfOK-pWiboNJDIlk3XoBwcuC2W7N30-XXncjvdsnsGrm3zb2j-WzgeyFroWsA6cOxIpY3uMYm-Ym60bx2H_TaPO6RWTl3z4OvK-tNR-HIYtCOg5ZNZJTaXtFjxF-ETKrA5lWOsrb-yVZmrLljAPlPnGsGAdK-i76TdsnmC1sEal6188P7klhhWwyKKNoQaQ9_c-H5nieGZYie_cmQqUSWSu45xYwBZMkyn9baCBRhHqo1tfeOKP_dOOFu0UPKOm_22DKYjyeVlQkgcVU5smfZonNsbWwv8ZegJZ9C0989_-wsCuBv0d-mNC--HKaiwWUk2q1ySikXTnBBncgo1BR/https://www.amazon.com/stores/page/6D52280F-FF76-417D-B139-523A16F610C6/?_encoding=UTF8&store_ref=SB_A05917692NEPEWG9IQR21-A01333083FMPR2YVX1GAD&pd_rd_plhdr=t&aaxitk=4d55b98dae65680d4d3c077ebb1c1cf0&hsa_cr_id=0&lp_asins=B07BN48LC1%2CB07FTZT8RK%2CB0B81151V6&lp_query=fathers%20day%20gifts&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=HprXd&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=NCRT8M5YP8C791WRDTBH&pd_rd_wg=yFmSn&pd_rd_r=35b1e33c-2c5b-4415-8e41-faa6bd907b1c,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/e0288f93-c9db-43f8-aac4-9081c64c6c2a._CR0,0,600,408_AC_SX130_SY60_CB1169409_QL70_.jpeg",,Savory Beef Jerky Variety Pack,2026-04-21T12:59:27.677244,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:59:27.678412,
3,1,Organic,,1.0,152478589X,I Love Dad with The Very Hungry Caterpillar (The World of Eric Carle),N/A,$5.22,,4.9,8258.0,False,https://m.media-amazon.com/images/I/81oNV2N4nPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81oNV2N4nPL._AC_SL1500_.jpg,,2026-04-21T12:59:27.683857,
4,1,Organic,,2.0,B083L8RNJR,"TOLOCO Massage Gun, Deep Tissue Back Massage for Athletes for Pain Relief, Percussion Massager with 10 Massages Heads & Silent Brushless Motor, Valentines Day Gifts for Him Her, Black",N/A,$39.99,,4.4,62174.0,False,https://m.media-amazon.com/images/I/71Jot9nj6qL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Jot9nj6qL._AC_SL1500_.jpg,,2026-04-21T12:59:27.690229,
5,1,Organic,,3.0,B0CGX3ZGBK,"ivtivfu Rolling Grill Basket, Removable Wooden Handle, 304 Stainless Steel, Nesting BBQ Tools, Smoker Grilling Accessories for Vegetable, Outdoor Cooking Camping, Birthday Gifts for Men Dad Husband",N/A,$23.99,,4.6,3137.0,False,https://m.media-amazon.com/images/I/81QbXyUeF5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81QbXyUeF5L._AC_SL1500_.jpg,,2026-04-21T12:59:27.697213,
7,1,Title,,,,Customers frequently viewedSponsoredOCCdesign Mini Dad Gifts for Daddy from Daughter Son Wife I Love,,,,,,False,,,,2026-04-21T12:59:27.700995,
9,1,Title,,,,Debug info copied.SponsoredFathers Day Dad Gifts for Husband from Daughter Son - Screw Extractor Set,,,,,,False,,,,2026-04-21T12:59:27.701541,
10,1,Title,,,,A funny tumbler to show grandpa your appreciationSponsored|Shop AMAZPRINTSShop nowPrevious pageGifts,,,,,,False,,,,2026-04-21T12:59:27.702631,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:59:27.702768,
12,1,Organic,,4.0,1450845800,"The Book of Unusual Knowledge: Big Book of Fascinating Facts & Information | Hardcover Gift for Trivia Buffs, Curious Minds, Adults, Dad & Knowledge Seekers",N/A,$10.00,,4.7,23319.0,False,https://m.media-amazon.com/images/I/81AbM2vPvPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81AbM2vPvPL._AC_SL1500_.jpg,,2026-04-21T12:59:27.707098,
