data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Ice Cream Bowls Gifts for Dad,https://aax-us-east-retail-direct.amazon.com/x/c/JGOLhfI21M0RTrOeE1DAjPQAAAGdsCFcWQEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICChJhxN/clv1c_ek-wBIHXFcbWDn2nI5drJ16WnhIPnkbLeDuyyNTCT-ClhMnlj6a_U-56S69PvJCXpbwnnQ4u2kUak9j7Fv_ULx4pKnlrSJPJJ0lVfU9hzQo-KlCstbW-QOSo4_hpqzg5Vt3aSKFZCz2JzZLUVYpCOlyapsmU9tXvHkn02TH6JAZc2mV4rciyB7pUmPIaA1u76qbAfkfjf2ZoFIC9sVJa16HfGFtrUGyq_f5Sr2fKZt1pCxxDA0AP98FoglE1-g14kHkZGOjaUNRPi6rGNmCp4ukLUlz4ad86n3iBi-Jph78tdNaPcJC3N3_QPIlovJX8yZ4kFjMdCDzQZorcnf3eErSRC3jEunGn15HTO0xPqEccTHuLR_6ZW1Al1b8UCD0gCm4GwSrKgRwhu2EvVpCySsf6BEdNJBZOvdKf1qIbmwit1vnuslwwC62HgcyvgFTgC0cbvFI8yFJvKxiVUtR5n2ewW5Bj0kJfEMNVdAHMPcqpNj_T8e9UBrkX5uzEL8ItSSfzr_Bb8EyxeN1EgC9nPawZG-Q3su5c8AG7aIRIbrIvkCP8aCuk0jIGFUMW_B4g-k4VH4ze1LhsWN04gf0FBCWLwqrJAzgRKqSr-3fSQf-PAZx4KHs0xV80ADSrimDJvuGcIchkcfEbK4EPD9vdj_pJu2X9422SPj2kyqy4m8cYxKG-hqifD2MXdjvQEvRpO48YTj8KTQfhAQ7wTkt2uLrb_zy7iUgm1KOz4wB1S7Y47_Y2szhIuD3JU4qdcf0WA_JbJ92q7KJ7utlERSwPlX08DrxwI55XdDcIRfQkcLac8En_U1B_tRyZHO_4j7J1NiT_PvJ-dClVyZCXAvf57HS4OWz5E3_NrMHJ_IFh46Ss8u9OZU3PyRqHzU_hJYyC41bauvfVkDt6N9fl2Vgu1xoXKtDiG4oU015nmN29LJYIUd6l11zU5uWfGYgEySF--OZdBH54NXQhq1RxNrR2hf32SAd6LZE-3h_E--L86v-4H94qY3Cgvk0G7DvInpnE3JOSmVwSIYE02lzn7eXc1Zdy69zS2O2J4EaQ_0I4nImQGCJcJ22748HlFbNrz_MXWZhSelhCgOIReTy9t-IXStEIYDXQCPP41vgO2iLSZWwcblrImh1929gkD8QK7zkCy1Xo2gIFBpt4YfO2EK8xgPFA-t34qSxFUudNHBV4BINr9zmUSq9Yf72QhVQBGlT0q8SRXBHQZEcP3VJ3N_7pcxtwH6yG8d0sbbiQ5S3jSJE339M8o8iguPX9CN-kC-hY1AWMIgl7SinqNj3LoJlRHmK8BVSZXfVhLEm0gIm71BLauADohhdusoPF8_sggwqDdHkBRhH5JvQ93rKg5Tfj7sfxIiAsVUelScrrccMJckNKfc6joAiYNxDIZ9rzNi9fUgIyyPUtY8sTYcxAkXAMTNJjJ8lwKQytz6oKcm_bO15yGaTxgpBxXMLGSZLxPm3CwX6rqix5nevXcKwYkKUEMHoo3t3-gBq7BHtw4XArK2YFFFUN7tFIPP8BmrN0FxwoSsJBrbLQOVb6bCI5SNPwsNIglOKZp66AsKiA1wtayjgj2_SurkNg75u9zAtJTpWmfYxuzAJpQayH8lHPN9i6c8mepmSxdXg3o41MMlQBexB3Nc5OqHSWl2GNL4KFANCLJr9BrDZ1Lo-MNfUbAlFxGippMDblqN3bZg/https://www.amazon.com/stores/page/B5B1811E-7B3F-4D7B-9C40-5936F6901CB0/?_encoding=UTF8&store_ref=SB_A02486462GCBD4K4O5REH-A10445982WGWX49K8UILN&pd_rd_plhdr=t&aaxitk=4ead9ea97effacb26a15079c2291caf6&hsa_cr_id=0&lp_asins=B0CZ6S56PF%2CB0CZ6VS41N%2CB0DF692T5K&lp_query=fathers%20day%20party%20supplies&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=jIi7I&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=F623A428ZP7WWWXPDV8S&pd_rd_wg=d65FI&pd_rd_r=d5615fd5-3b5e-4b84-a37a-f2f43d05efa4,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/0175f1aa-92f0-4f9f-ae5f-f5b91cce2067._CR0,0,764,764_AC_SX130_SY60_CB1169409_QL70_.jpg",,Ice Cream Bowls Gifts for Dad,2026-04-21T13:01:18.892025,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T13:01:18.892818,
3,1,Organic,,1.0,B0GJ4F2PK1,168pcs Father's Day Plates Napkins Party Supplies Happy Father Day Tableware Set Disposable Paper Cups Gold Forks for Father's Day Party Decorations Serve 24,N/A,$19.99,,4.6,37.0,False,https://m.media-amazon.com/images/I/81CyF9BWIsL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81CyF9BWIsL._AC_SL1500_.jpg,,2026-04-21T13:01:18.896563,
4,1,Organic,,2.0,B0BXJ96CR9,"Fathers Day Decorations-142pcs Happy Father Day Tableware Set Include Disposable Plates Napkins Forks for Best Dad Party Dinner Decorations, Serve 20 Guests (Whole Set)",N/A,$19.99,,4.7,52.0,False,https://m.media-amazon.com/images/I/81HKZHwdk6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81HKZHwdk6L._AC_SL1500_.jpg,,2026-04-21T13:01:18.899958,
5,1,Organic,,3.0,B0DZVZ5Y2J,"Fathers Day Tableware,178pcs Father's Day Party Supplies Include Father's Day Napkins and Plates Cups Tablecloth Banner Hanging Swirls Fathers Day Decorations for Party,serves 24",N/A,$18.99,,4.1,14.0,False,https://m.media-amazon.com/images/I/81L-4G613IL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81L-4G613IL._AC_SL1500_.jpg,,2026-04-21T13:01:18.906334,
7,1,Title,,,,"Debug info copied.Sponsored10"" Best Dad Ever Hands Down Sign DIY Dad Gifts from Kids Handprint Kit w",,,,,,False,,,,2026-04-21T13:01:18.907598,
8,1,Title,,,,Ice Cream Bowls Gifts for DadSponsored|Shop YUEYUQIUShop nowPrevious pageYEUYUQIU Dad Birthday Gifts,,,,,,False,,,,2026-04-21T13:01:18.908711,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T13:01:18.908860,
10,1,Organic,,4.0,B0F1LGYV3P,"Fathers Day Decorations,124pcs Fathers Day Party Decoration Pack Include Super Dad Backdrop Banner Balloons Tablecloth Cake Toppers for Happy Father's Day Decorations",N/A,$13.99,,4.6,12.0,False,https://m.media-amazon.com/images/I/81nBwbQHBLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81nBwbQHBLL._AC_SL1500_.jpg,,2026-04-21T13:01:18.911863,
11,1,Organic,,5.0,B0BTC4ZFT6,Happy Father's Day Party Supplies Disposable Paper Plates Napkins Forks Tablecloth for Father's Day Party Family Dinner Table Decorations Dad Table Cover Tableware Set Serve 24,N/A,$30.99,,4.7,292.0,False,https://m.media-amazon.com/images/I/919hzSlo-ML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/919hzSlo-ML._AC_SL1500_.jpg,,2026-04-21T13:01:18.917283,
