data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T12:12:55.579547,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:12:55.580317,
3,1,Organic,,1.0,B0D157XZPN,"2 Pack Arm Floaties for Kids and Adults- Inflatable Floaties for Kids 6-12yrs, Blow up Water Wings for Toddlers, Swimming Arm Pool Floats for Children and Adults 30-150LBS(Blue and Pink)",N/A,$9.99,,4.4,1180.0,False,https://m.media-amazon.com/images/I/61TrnYqFBeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61TrnYqFBeL._AC_SL1500_.jpg,,2026-04-21T12:12:55.587070,
4,1,Organic,,2.0,B0BV33YWQV,2-4 Pack Arm Floaties for Kids and Adults - Pool Floats Arm Bands Inflatable Swim Rings PVC Arm Floater for Toddlers Kids 3-5-6-12 Years,N/A,$6.98,,4.1,852.0,False,https://m.media-amazon.com/images/I/51XA1oIg0qL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/51XA1oIg0qL._AC_SL1500_.jpg,,2026-04-21T12:12:55.590751,
5,1,Organic,,3.0,B0GMHXTDNZ,Silipull Giant Adult Pool Float Tube Vintage Stripe Large Adult Inflatable Swimming Rings Floats Inflatable Pool Swimming Tubes for Summer Beach Party,N/A,$16.99,,,,False,https://m.media-amazon.com/images/I/71SqZ0yoiaL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71SqZ0yoiaL._AC_SL1500_.jpg,,2026-04-21T12:12:55.594339,
7,1,Title,,,,"Trending nowSponsoredMoKo Toddler Swim Vest for Kids, Swim Arm Floaties 22-66 lbs Boys and Girls Car",,,,,,False,,,,2026-04-21T12:12:55.599634,
9,1,Title,,,,"Debug info copied.SponsoredBig Joe Lux Lagoon Lounger Pool Float, Black and White Cape Stripe, Premi",,,,,,False,,,,2026-04-21T12:12:55.600141,
10,1,Title,,,,Inflatable Pool Floats for Summer Water FunSponsored|Shop OKSUWATERShop nowPrevious page4 Pack Infla,,,,,,False,,,,2026-04-21T12:12:55.601356,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:12:55.601496,
12,1,Organic,,4.0,B09W5KN6SN,"10Leccion 2 Pack Inflatable Arm Floaties for Toddlers, Blow up Water Wings for Kids, Swimming Arm Bands Floatation for Children and Adults 30-150LBS(Blue and Orange)",N/A,$9.99,,4.4,1180.0,False,https://m.media-amazon.com/images/I/61MyrfAnVlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61MyrfAnVlL._AC_SL1500_.jpg,,2026-04-21T12:12:55.605072,
13,1,Organic,,5.0,B0BKTLNSLG,"SLOOSH Inflatable Pool Floats Adult,2 Packs Floating Lounge Chairs,Blow up Pool Noodles for Adult Heavy Duty,Floating Chair for Party Summer Water Beach Lake Fun",N/A,$29.99,,4.3,4663.0,False,https://m.media-amazon.com/images/I/91bpiQBEqyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91bpiQBEqyL._AC_SL1500_.jpg,,2026-04-21T12:12:55.608945,
14,1,Organic,,6.0,B0BV34X7DG,2-4 Pack Arm Floaties for Kids and Adults - Pool Floats Arm Bands Inflatable Swim Rings PVC Arm Floater for Toddlers Kids 3-5-6-12 Years,N/A,$9.99,,4.1,852.0,False,https://m.media-amazon.com/images/I/61ggWHr2PhL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61ggWHr2PhL._AC_SL1500_.jpg,,2026-04-21T12:12:55.612649,
15,1,Organic,,7.0,B0BRB6XJQL,Inflatable Unicorn Flamingo Pool Floats - Jasonwell 2 Pack Pool Floaties Inflatables Rafts for Swimming Pool Tubes for Floating Lake Beach Floaty Swim Rings Pool Party Toys for Adults Kids,N/A,$24.97,,4.6,2352.0,False,https://m.media-amazon.com/images/I/61CCCFzdKAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61CCCFzdKAL._AC_SL1500_.jpg,,2026-04-21T12:12:55.621264,
16,1,Organic,,8.0,B000OV0X4S,"Intex 58859EP Sit 'N Float Inflatable Pool Float: Pool Lounge with Built-in Cup Holders – Heavy-Duty Handles – 220lb Weight Capacity – 58"" x 39"" – Colors May Vary",N/A,$16.04,,4.0,13605.0,False,https://m.media-amazon.com/images/I/710iUI8W+6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/710iUI8W+6L._AC_SL1500_.jpg,,2026-04-21T12:12:55.625286,
17,1,Organic,,9.0,B0DM5QRTLC,Speedo unisex-child Swim Arm Bands Begin to Swim,N/A,,,4.5,6912.0,False,https://m.media-amazon.com/images/I/61N2-XrNsML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61N2-XrNsML._AC_SL1500_.jpg,,2026-04-21T12:12:55.628386,
18,1,Organic,,10.0,B0C946BBSW,"JUXIAO 5 Pack Upgrated XL Water Pool Floats, 4-in-1 (Hammock, Saddle, Lounge Chair, Drifter) Multi-Purpose Water Pool Float, Non-Stick PVC Material",N/A,$18.99,,4.4,1819.0,False,https://m.media-amazon.com/images/I/81yjIffjrOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yjIffjrOL._AC_SL1500_.jpg,,2026-04-21T12:12:55.635194,
19,1,Organic,,11.0,B0721468V1,"JOYIN Inflatable Swim Tube Raft (3 pack) with Summer Fruits Painting, Pool Toys for Swimming Pool Party Decorations",N/A,$16.99,,4.6,8366.0,False,https://m.media-amazon.com/images/I/71cpqrIteIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71cpqrIteIL._AC_SL1500_.jpg,,2026-04-21T12:12:55.639837,
20,1,Organic,,12.0,B0CQYFJN2Z,"8 Pack Inflatable Pool Floats Kids, 4 Pcs Fruit Swim Tubes Rings and 4 Pcs Beach Balls, Pool Floaties Summer Hawaiian Beach Toys Swimming Luau Party Floats for Kids Adults Water Fun",N/A,$18.99,,3.9,198.0,False,https://m.media-amazon.com/images/I/81bzpPXMBlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81bzpPXMBlL._AC_SL1500_.jpg,,2026-04-21T12:12:55.643983,
21,1,Organic,,13.0,B0D68VRKS2,"Aqua 4-in-1 Monterey Hammock Pool Float & Water Hammock, Multi-Purpose, Inflatable Pool Floats for Adults, Patented Thick, Non-Stick PVC Material, One Light Blue & One Navy/White Stripe, 2-Pack",N/A,$25.84,,4.5,69339.0,False,https://m.media-amazon.com/images/I/814LFWjSmbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814LFWjSmbL._AC_SL1500_.jpg,,2026-04-21T12:12:55.649268,
22,1,Organic,,14.0,B0DJ278M42,"2-Pack Swimming Pool Float Hammock, Multi-Purpose Inflatable Hammock Pool Hammock (Saddle, Lounge Chair, Hammock, Drifter), Water Hammock Lounge",N/A,$16.99,,4.4,3250.0,False,https://m.media-amazon.com/images/I/81ecQWJUHLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ecQWJUHLL._AC_SL1500_.jpg,,2026-04-21T12:12:55.653535,
23,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:12:55.654090,
24,1,Organic,,15.0,B0DR8LZ4MK,"AEOCOO Puddle Float Jumper 20-30-50-60-70 Pounds, Toddler Swim Vest for 1-3-5-6-9 Years Old, Pool Floats with Swimming Arm Floaties Swim Jacket & Water Wings for Kids Swimmies, Boys, Girls, Niños",N/A,$24.69,,4.7,663.0,False,https://m.media-amazon.com/images/I/71OK+0lrzbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71OK+0lrzbL._AC_SL1500_.jpg,,2026-04-21T12:12:55.657783,
25,1,Organic,,16.0,B0CCW5FW43,"SwimWays Baby Spring Float with Adjustable Canopy and UPF Sun Protection, Blue Lobster",N/A,$27.49,,4.6,16073.0,False,https://m.media-amazon.com/images/I/81ATK60-w8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ATK60-w8L._AC_SL1500_.jpg,,2026-04-21T12:12:55.663057,
26,1,Organic,,17.0,B00SEYOWIA,"Intex, 43227-2120 Pack of 3: 30"" Transparent Tubes, Colors May Vary, Multi",N/A,$13.49,,4.2,4230.0,False,https://m.media-amazon.com/images/I/61YqCHefYpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61YqCHefYpL._AC_SL1500_.jpg,,2026-04-21T12:12:55.668051,
