data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T13:12:21.890345,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T13:12:21.891458,
3,1,Organic,,1.0,B088FLY7S8,"12 Pack Small American Flags on Stick Small US Flags/Mini American Flags for Outside 4x6 Inch American Hand Held Stick Flags with Kid-Safe Spear Top, Patriotic Veterans Day Decorations, 4th of July Decorations",N/A,$5.99,,4.6,3997.0,False,https://m.media-amazon.com/images/I/817zxE5-iIS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817zxE5-iIS._AC_SL1500_.jpg,,2026-04-21T13:12:21.896978,
4,1,Organic,,2.0,B0FRD7TBK7,OHOME 4th of July Decorations - Patriotic USA Stars Table Runner for Home | Memorial Day Decorations - 250th Anniversary Fourth of July Accessories Decor Party Supplies Indoor Outdoor,N/A,$6.76,,4.6,246.0,False,https://m.media-amazon.com/images/I/81cTp7vzkBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81cTp7vzkBL._AC_SL1500_.jpg,,2026-04-21T13:12:21.902606,
5,1,Organic,,3.0,B0GHXNM31W,"Artscope 4th of July God Bless America Throw Pillow Covers 18x18 Inch Set of 4, Independence Day Red and Blue Sunflower Love Heart Patriotic Decoration Pillow Cases for Sofa Bed Room Home Decor",N/A,$9.99,,4.7,9.0,False,https://m.media-amazon.com/images/I/81klxcxLtML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81klxcxLtML._AC_SL1500_.jpg,,2026-04-21T13:12:21.908431,
7,1,Title,,,,New arrivalsSponsoredBased on items added in the past 60 daysIndependence Day Party Decoration Gift ,,,,,,False,,,,2026-04-21T13:12:21.911456,
9,1,Title,,,,Debug info copied.SponsoredNAZENTI Personalized 250th Anniversary 4th of July Door Sign with Family ,,,,,,False,,,,2026-04-21T13:12:21.911954,
10,1,Title,,,,4th of July Patriotic Eagle WreathSponsored|Highly bought brand in this category|Shop AnglechicShop ,,,,,,False,,,,2026-04-21T13:12:21.913065,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-21T13:12:21.913287,
12,1,Organic,,4.0,B0GHNCZG4H,"4th of July Decorations - 2 Pack Red White and Blue Streamer for 250th Anniversary | Fourth of July Accessories Party Favors for Outdoor Outside Home - Memorial Day Patriotic Flag Banner Decor,10 FT",N/A,$3.98,,4.5,47.0,False,https://m.media-amazon.com/images/I/81qzXpx7zrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qzXpx7zrL._AC_SL1500_.jpg,,2026-04-21T13:12:21.918453,
13,1,Organic,,5.0,B0GRYB7TJR,4th of July Decorations - 6.5 Ft Patriotic Bow Garland - Memorial Day Decor - America 250th Anniversary Decoration - Fourth of July Home Party Supplies Independence Day Accessories for Indoor Outdoor,N/A,$17.99,,5.0,9.0,False,https://m.media-amazon.com/images/I/71zuDZNC+TL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71zuDZNC+TL._AC_SL1500_.jpg,,2026-04-21T13:12:21.923632,
14,1,Organic,,6.0,B0DYV7PB84,"4th of July Garland Decorations,50Ft Glitter Tinsel Patriotic Decor for Tree Car Golf Cart Parade Float Bike Party Table Yard Door Boat Indoor Outdoor Holiday Home",N/A,$14.98,,4.8,375.0,False,https://m.media-amazon.com/images/I/81lr+xyLu0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81lr+xyLu0L._AC_SL1500_.jpg,,2026-04-21T13:12:21.929895,
15,1,Organic,,7.0,B0GLYPMGY3,"Memorial Day Decorations,4th of July Door Cover Thank You Veterans Patriotic Decor Memorial Day Decoration and Supplies for Home Party-71×35'' (Eagle 01)",N/A,$6.98,,5.0,1.0,False,https://m.media-amazon.com/images/I/8192zMzbeYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8192zMzbeYL._AC_SL1500_.jpg,,2026-04-21T13:12:21.935708,
16,1,Organic,,8.0,B0CWV8NMGD,"AVOIN colorlife Let Freedom Ring Stars Fireworks Red White Flower Throw Pillow Covers, 18 x 18 Inch 4th of July Patriotic Independence Memorial Day USA Flag Cushion Case for Sofa Couch Set of 4",N/A,$12.99,,4.6,230.0,False,https://m.media-amazon.com/images/I/81MnZdbkRqL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81MnZdbkRqL._AC_SL1500_.jpg,,2026-04-21T13:12:21.942718,
17,1,Organic,,9.0,B07SVXSKCK,6 Pack Patriotic Star Streamers Garland Red White Blue Bunting Banner Paper Hanging Decorations for 4th of July American Independence Day Labor Day Holiday Memorial Day Party Supplies (50 Feet),N/A,$6.97,,4.6,1633.0,False,https://m.media-amazon.com/images/I/71ae9SUJ9jL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ae9SUJ9jL._AC_SL1500_.jpg,,2026-04-21T13:12:21.946407,
18,1,Organic,,10.0,B0DLKHW2Z4,"Valery Madelyn Patriotic Ornaments for Memorial Day 4th of July Tree Decorations, 16ct 2 Inches Red White Blue Shatterproof Americana Hanging Ball Decor for Independence Day USA 250th Anniversary",N/A,$14.99,,4.6,175.0,False,https://m.media-amazon.com/images/I/91DlEMcBh3L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91DlEMcBh3L._AC_SL1500_.jpg,,2026-04-21T13:12:21.950092,
19,1,Organic,,11.0,B0CWN9J3VW,"cshare Red White and Blue Lights Battery Operated, 4th of July Lights with Timer Outdoor Waterproof 9.8ft 30 LED for 4th of July Independence Day Decorations Garland Party Garden",N/A,$6.99,,4.5,1384.0,False,https://m.media-amazon.com/images/I/71flmfbgYVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71flmfbgYVL._AC_SL1500_.jpg,,2026-04-21T13:12:21.953819,
20,1,Organic,,12.0,B09S8XT64X,"3x6 Ft American Pleated Fan Flag (Set of 4) – Patriotic Half Fan Bunting, 4th of July Memorial Day Decorations for 250th Anniversary",N/A,$39.99,,4.7,1111.0,False,https://m.media-amazon.com/images/I/61SIxFNNiDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61SIxFNNiDL._AC_SL1500_.jpg,,2026-04-21T13:12:21.957508,
21,1,Organic,,13.0,B0FFS5RBLC,"COCHIE 4th of July Decorations Set, Red White Blue Decor, Wooden Patriotic Memorial Day Tiered Tray Decor, Labor Day Decorations, Fourth of July Decoration for Home Office Table (Flag Retro)",N/A,$16.99,,4.3,72.0,False,https://m.media-amazon.com/images/I/71MLJVl1yQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71MLJVl1yQL._AC_SL1500_.jpg,,2026-04-21T13:12:21.963233,
22,1,Organic,,14.0,B0DZH3LX6Q,"COCHIE 4th of July Decorations Stars Set of 4, Red White Blue Decor, Patriotic Memorial Day Star Tiered Tray Decor, Labor Day Fourth of July Decoration for Home Office Table Shelf (Retro Solid)",N/A,$12.99,,4.6,119.0,False,https://m.media-amazon.com/images/I/61tS2mlbzOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61tS2mlbzOL._AC_SL1500_.jpg,,2026-04-21T13:12:21.966967,
23,1,Title,,,,More results,,,,,,False,,,,2026-04-21T13:12:21.967532,
