data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Inflatable Tanning Pool Float Lounger for Adults,https://aax-us-east-retail-direct.amazon.com/x/c/JItiJZpr8Nt1EY1G1Bekr_MAAAGdr_NqUwEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICAr5QYf/clv1c_ek-wBAf2LcTWnuu7cAdH-iYJHBBXoyWxrQMZHtCyjUyTDbgPz4z_wk0hkKZWGED70_siVsN3vK6FyjRLg-OQ-X9LVDvrHufqXuJbfcagxK3yigZSfdQ3TGjj0vHUZZKxl7jIHtxaXTbv8_E3BbrP1chbo9ioNhVMwkVwxiuY_GafUsjgvlYv2bVCnZJDSjM_FmOhZEZPU-_YZ6T6qVSdYOKpNde3QBYkHapJgLOaiarfP0LlphYu_YoooO37X2CzS6K3kPppZFM5YoLS6LlEesuyxSeNgrbo9-19NbLwzKgshMRXXt-AlA74vLloX5XkUkFFvbfuve_6twyPupnX928VRkFC-2oTdruRB9ZSyqFYIS2vuuu4lWgEpiDAA44EY55Qxaf5_xrvQu4PvyM4n9kLoFWiEv-JVvVDTGzjmnMI6aGsSYnqS6wCkj0uAijhzh0A8s9UmIBbrysfLETcgaExK5xnUuCYIMtM8HDMJdXeIzS5zL0N7ok3fju2DkAtsSSssnCSVygH0biy6Rfm2uxkK1NXrAdn_MU6NI-7EUPAtAVJ-9QYR8IW3V-Y6ycfz0eupPHq_avp37F0sQutorUoFgyvgiEklCWePSL4AdWx3lX6a7Z2OW9Xy7tsSeq7-JQDb9IEVesHG6UBmYDG2y6VuvfEFrTdWF6PrsDz-z7Dx5eMco-DzPdltmKlipFLvyRYiMBNh258TLAbBrPrk_dzezLVjzO4wi-aicheheNQ0QBTZ-4qrEQJwylv8i77X6zTD14482XG5ZdTbB6lXBq65ll6IOsEDmBGgyodR6q7JUbCCOS4kgwEzbO6YIBGYetyvLVG_E_TMhrqFNGKxl6q2P_SBKWQCbMDjuQ6nvqrbDA2FWCttlSw_R55mQQ4-nnJwqvhYcy14HxAh-mk9D0WWIiEo4QhbaMaRIVB5nkyakHfGw-D8peqEBKQs2DWFwMlrb4r1I1qCbP-aIa-IGxuU2H9SdaYm57fixxxxJcs_uNqFNi092Osf0tSkziGTqXc0k-oc-xzALGPq8YkvhUVJI55ES8VVyOchy6s-IuU3F8qpwGBRgoRcHIDN7T6mjm4SDgfQ10D-Y4Adb49ShdlLrT5q6At4pZ_qe18veWL1DnttdJ_nADp6PLbxnFitzKoyKgLfeoOcDtgQhmgaD1XveVrYrGLCdreo2LDjYTTddHfpOucrB59yvudI95U1d2swoESGttz1Pe9q2O99akfOBcuPZtWQkaDItnFx2WGvzzWp6r4_m5D-mZZy26h_A1KdijaodADTIGKTZG0Ma2I7YUuh4ezaZteI-tKEBbjsUaQiu40EW5bDzoQyAxLcwTHh6dGNZObLWpc4-LTcn1SiI-JvMJiKbZ5-3KBP10SLZ6AgW1vmqzqLD8tn0w-GOu8jt5NM1Jws7jjr78Hi0_5mbO_SCmf9KWtE2F9eixIy2JgFSOwpmkzU5j8Wt1pqt0v3NVtzpTUThtJIN9ddFRjLDG4tZfjIdbhuRl3XRXQzqe6FdvC56oCf_kmxo9A102fvZblY9AjYQT48vDyXFyhvFJILEg2tQY2j3a9R0WoIF3LxEOq9Z7B_vuxoqYVrP2RRxc7LSwrPnnumaWrIPm5y0VBt1PD5UkZ0ewkE90R5YPN-JnvJrLUzaq49qDiBfwWDP9A0Kp9012z13ftTIovhUQxgfBdVQY8NIs/https://www.amazon.com/stores/page/A626663F-7BCB-44E3-99B0-1BEF10611975/?_encoding=UTF8&store_ref=SB_A1009623123DJIFGGX61V-A07165273E0M9LK0G32BY&pd_rd_plhdr=t&aaxitk=4009bb2ce166929b17b86ad7c01bc52b&hsa_cr_id=0&lp_asins=B09NVFT7HP%2CB0BR5NLF9P%2CB0DQXPV5HS&lp_query=fun%20pool%20floats&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=7abxX&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=W172Z4HVV49VRJYJGPW8&pd_rd_wg=SYgQs&pd_rd_r=bf8f9fe5-3db4-42d9-9cfb-2ef674b297b0,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/83141dd8-1a6a-4362-b2b5-05eb0bba19f7._CR0,0,640,480_AC_SX130_SY60_CB1169409_QL70_.jpg",,Inflatable Tanning Pool Float Lounger for Adults,2026-04-21T12:11:06.098332,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:11:06.099419,
3,1,Organic,,1.0,B0BRB6XJQL,Inflatable Unicorn Flamingo Pool Floats - Jasonwell 2 Pack Pool Floaties Inflatables Rafts for Swimming Pool Tubes for Floating Lake Beach Floaty Swim Rings Pool Party Toys for Adults Kids,N/A,$24.97,,4.6,2352.0,False,https://m.media-amazon.com/images/I/61CCCFzdKAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61CCCFzdKAL._AC_SL1500_.jpg,,2026-04-21T12:11:06.111965,
4,1,Organic,,2.0,B0DC13QBNZ,"Giant Pop-Tarts Extra Large Inflatable Pool Float for Pool Playing, Over 5.5 Feet Long, Lounging and Party",N/A,$14.96,,4.5,166.0,False,https://m.media-amazon.com/images/I/81lyoKLlb1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81lyoKLlb1L._AC_SL1500_.jpg,,2026-04-21T12:11:06.116662,
5,1,Organic,,3.0,B0BWYM8LB5,"Jasonwell Inflatable Tank Swimming Pool Floaties with Water Cannon Gun Swim Floaty Rafts for Lake, Beach & Pool Party Toys for Boys, Girls, Kids & Adults- Green",N/A,$35.99,,4.3,1557.0,False,https://m.media-amazon.com/images/I/814lFySmUsL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814lFySmUsL._AC_SL1500_.jpg,,2026-04-21T12:11:06.124464,
7,1,Title,,,,"Debug info copied.SponsoredFunscape Kids Fun Pool Toys, Inflatable Dart Board Toss Water Game, Swimm",,,,,,False,,,,2026-04-21T12:11:06.125398,
8,1,Title,,,,Start Your Summer Vacation With Sloosh FloatsSponsored|Top 10 best-selling brand in this category|Sh,,,,,,False,,,,2026-04-21T12:11:06.126942,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:11:06.127157,
10,1,Organic,,4.0,B083J1CV1C,"MorTime Inflatable Roller Float, 40'' Colorful Water Wheel, Swimming Pool Roller Toy for Kids and Adults Outdoors",N/A,$24.99,,3.6,1182.0,False,https://m.media-amazon.com/images/I/81qB7RWnMgL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qB7RWnMgL._AC_SL1500_.jpg,,2026-04-21T12:11:06.132477,
11,1,Organic,,5.0,B0CM6V3CPF,Sloosh Inflatable Banana Pool Float - Ride on Banana Pool Floats Funny Swimming Pool Party Decorations,N/A,$19.99,,3.9,100.0,False,https://m.media-amazon.com/images/I/51whRt5TgQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/51whRt5TgQL._AC_SL1500_.jpg,,2026-04-21T12:11:06.135894,
12,1,Organic,,6.0,B07NX2V91X,"JOYIN 2-Pack Flamingo Unicorn Pool Float - Fun Floaties Inflatable Swimming Pool Tubes Toys Party Decorations, Summer Vacation Lake Beach Floaty Swim Rings Raft Lounger for Adults & Kids",N/A,$22.99,,4.4,3221.0,False,https://m.media-amazon.com/images/I/81U1c+sU5FL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81U1c+sU5FL._AC_SL1500_.jpg,,2026-04-21T12:11:06.139125,
13,1,Organic,,7.0,B076H9CX6D,"JOYIN Giant Inflatable Pizza Slice Pool Float, Fun Pool Floaties, Swim Party Toy, Summer Pool Raft (1 Pack), Extra Large with Cup Holders",N/A,$35.99,,4.5,1873.0,False,https://m.media-amazon.com/images/I/81IKLCCWhOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81IKLCCWhOL._AC_SL1500_.jpg,,2026-04-21T12:11:06.143103,
14,1,Organic,,8.0,B0BR4YJN4P,Jasonwell Inflatable Avocado Pool Float Floatie with Ball Water Fun Large Blow Up Summer Beach Swimming Floaty Party Toys Lounge Raft for Adults (L),N/A,$19.99,,4.3,9109.0,False,https://m.media-amazon.com/images/I/61JqR5l2GaL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61JqR5l2GaL._AC_SL1500_.jpg,,2026-04-21T12:11:06.150995,
15,1,Organic,,9.0,B07SGZNWB7,"RITONS 4 Pcs Set Inflatable Floating Row Toys, Adult 12 Year Above Pool Party Water Sports Games Log Rafts to Float Toys",N/A,$21.95,,3.6,1147.0,False,https://m.media-amazon.com/images/I/71kgLBCFWiL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71kgLBCFWiL._AC_SL1500_.jpg,,2026-04-21T12:11:06.154771,
16,1,Organic,,10.0,B0BW83TD8Q,"Inflatable Swan Pool Floats with Colorful Lights, FlyfreeU Solar LED Color Changing Swan Swim Tube Rings, 42 Inch Large Pool Beach Floaties Lake Beach Floaty Summer Pool Raft Lounge for Adults",N/A,$31.99,,4.4,721.0,False,https://m.media-amazon.com/images/I/718CqHrM6vL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/718CqHrM6vL._AC_SL1500_.jpg,,2026-04-21T12:11:06.159443,
17,1,Organic,,11.0,B0832FP267,Jasonwell Inflatable Dinosaur Swimming Pool Float for Kids Boys Girls Adults 124'' Giant Tyrannosaurus Rex Floatie Summer Beach Ride on Party Pool Raft Lounge Toys,N/A,$29.98,,4.5,2929.0,False,https://m.media-amazon.com/images/I/61wjNn2rCRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61wjNn2rCRL._AC_SL1500_.jpg,,2026-04-21T12:11:06.170556,
18,1,Organic,,12.0,B0BKTLNSLG,"SLOOSH Inflatable Pool Floats Adult,2 Packs Floating Lounge Chairs,Blow up Pool Noodles for Adult Heavy Duty,Floating Chair for Party Summer Water Beach Lake Fun",N/A,$29.99,,4.3,4663.0,False,https://m.media-amazon.com/images/I/91bpiQBEqyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91bpiQBEqyL._AC_SL1500_.jpg,,2026-04-21T12:11:06.174450,
19,1,Organic,,13.0,B083B6KZQB,"JOYIN Giant Boat Float with Cooler - Inflatable Boat Funny Pool Floats Raft with Reinforced Cooler, Lounge Floaties Beach Lake Toys Fun in Summer Swimming Pool Party Decorations for Kids & Adults",N/A,$37.99,,4.1,1778.0,False,https://m.media-amazon.com/images/I/91Or2PF1x+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Or2PF1x+L._AC_SL1500_.jpg,,2026-04-21T12:11:06.177701,
20,1,Organic,,14.0,B0DC12L24R,"Giant Cheez-It Pool Float – Extra Large Inflatable Snack Shaped Floatie for Pool, Beach & Lake, Durable Vinyl, Over 4.5 Feet, Perfect for Lounging, Summer Parties, 4th of July Pool Party",N/A,$23.49,,4.5,170.0,False,https://m.media-amazon.com/images/I/81XCL0bMkLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81XCL0bMkLL._AC_SL1500_.jpg,,2026-04-21T12:11:06.181461,
21,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:11:06.182094,
22,1,Organic,,15.0,B0DC157CWM,"Uno™ Pool Float – Giant Inflatable Reverse Card, Floatie for Pool, Beach & Lake, Durable Vinyl Raft, 6 Feet Tall, Perfect for Lounging & Summer Fun",N/A,$23.49,,4.2,121.0,False,https://m.media-amazon.com/images/I/81A3y7YqEYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81A3y7YqEYL._AC_SL1500_.jpg,,2026-04-21T12:11:06.187285,
23,1,Organic,,16.0,B0CL9Q7DBR,"POZA Inflatable Duck Pool Float Tube- Heavy Duty Vinyl UV Resistant Confetti Pool Duck Floatie, Animal Pool Float Swim Ring Pool Inflatables for Kids and Adults for Beach, Party, Vacation",N/A,$22.99,,4.5,160.0,False,https://m.media-amazon.com/images/I/71x2SvWU8dL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71x2SvWU8dL._AC_SL1500_.jpg,,2026-04-21T12:11:06.192847,
24,1,Organic,,17.0,B091BLK8FB,"SLOOSH 60"" Inflatable Gummy Bear Pool Floats - Fun Floaties Swimming Pool Float Toys Party Decorations, Beach Vacation Essentials Lounge Water Raft Cute Birthday Party Decor",N/A,$22.99,,4.2,257.0,False,https://m.media-amazon.com/images/I/81gMQdQL2eL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81gMQdQL2eL._AC_SL1500_.jpg,,2026-04-21T12:11:06.197373,
25,1,Organic,,18.0,B000030000,INTEX Inflatable Pool Float: Pool Toy for Kids,N/A,$18.73,,4.5,23881.0,False,https://m.media-amazon.com/images/I/81cNOujV5nL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81cNOujV5nL._AC_SL1500_.jpg,,2026-04-21T12:11:06.202571,
26,1,Organic,,19.0,B00HIWL37M,"GoPong Pool Lounge Beer Pong Inflatable with Social Floating, White",N/A,$31.99,,4.6,4920.0,False,https://m.media-amazon.com/images/I/71rmRKZuuCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71rmRKZuuCL._AC_SL1500_.jpg,,2026-04-21T12:11:06.207867,
27,1,Organic,,20.0,B083B979JB,"JOYIN Donut Pool Float with Glitters 32.5” (3 Pack), Funny Tube Toys for Swimming Pool Party and Donut Party Supplies",N/A,$18.99,,4.6,8366.0,False,https://m.media-amazon.com/images/I/81FyoqB99pL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81FyoqB99pL._AC_SL1500_.jpg,,2026-04-21T12:11:06.211229,
28,1,Organic,,21.0,B07BMM7JY8,Jasonwell Giant Inflatable Unicorn Pool Float Floatie Ride On with Fast Valves Large Rideable Blow Up Summer Beach Swimming Pool Party Lounge Raft Decorations Toys for Kids Adults,N/A,$29.98,,4.4,10346.0,False,https://m.media-amazon.com/images/I/81ERroLL9HL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ERroLL9HL._AC_SL1500_.jpg,,2026-04-21T12:11:06.221252,
29,1,Organic,,22.0,B0832KKKQX,Jasonwell Inflatable Shark Pool Float Shark Floaties Water Fun Summer Beach Swimming Pool Tube Inflatables Ride on Pool Party Raft Lounge Toys for Kids & Adults,N/A,$17.99,,4.5,3198.0,False,https://m.media-amazon.com/images/I/511luQEjI8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/511luQEjI8L._AC_SL1500_.jpg,,2026-04-21T12:11:06.229152,
30,1,Organic,,23.0,B072RCCHKL,"BigMouth Inc. Giant Balloon Animal Pool Float, Over 4' Wide, Fun Inflatable Floatie Tube, Blow Up Swim Ring, Outdoor Summer Pool Party Water Toy",N/A,$44.99,,4.2,643.0,False,https://m.media-amazon.com/images/I/71wQzczlnjL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71wQzczlnjL._AC_SL1500_.jpg,,2026-04-21T12:11:06.233556,
