data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T11:15:43.005403,4.0
1,1,Title,,,,ResultsCheck each product page for other buying options.,,,,,,False,,,,2026-04-21T11:15:43.009018,
3,1,Organic,,1.0,B0G5PQ2B48,"16PCS Funny Pride Gay Car Bumper Magnets: Bulk Magnetic Rainbow Decals Decorations for LGBT Parade Decor, Refrigerator, Truck, Prank Gift Ideas",N/A,$16.79,,5.0,7.0,False,https://m.media-amazon.com/images/I/81LlU3gySXL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81LlU3gySXL._AC_SL1500_.jpg,,2026-04-21T11:15:43.016857,
4,1,Organic,,2.0,B0D4DRRF9X,"bylikeho 10Pcs Car Stickers,Magnetic Bumper Stickers,Car Accessories,Funny Bumper Sticker,Automotive Stickers,Reusable Bumper Stickers,Suitable for All Cars,Trucks,Motorcycles,Etc",N/A,$9.98,,4.6,91.0,False,https://m.media-amazon.com/images/I/8112GIlya-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8112GIlya-L._AC_SL1500_.jpg,,2026-04-21T11:15:43.021654,
5,1,Organic,,3.0,B09PVNBP17,"Gay Pride Funny Magnet Bumper Sticker, Rainbow Pride Prank Magnetic Sign for Vehicle Truck Reusable Magnet Sticker for Fridge(10 Styles)",N/A,$13.99,,4.5,235.0,False,https://m.media-amazon.com/images/I/81xTMP3L1nL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81xTMP3L1nL._AC_SL1500_.jpg,,2026-04-21T11:15:43.025709,
7,1,Title,,,,Customers mentionSponsored| Based on positive mentions in reviewscolorDie Cut Custom Car Magnet Sign,,,,,,False,,,,2026-04-21T11:15:43.029501,
9,1,Title,,,,Debug info copied.Sponsored16PCS Funny Pride Gay Car Bumper Magnets: Bulk Magnetic Rainbow Decals De,,,,,,False,,,,2026-04-21T11:15:43.030060,
10,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:15:43.030201,
11,1,Organic,,4.0,B0DY1HSLHJ,12 Pcs Gay Pride Funny Magnet Bumper Sticker LGBT Rainbow Pride Prank Magnetic Sign for Vehicle Truck Reusable Magnet Sticker for Fridge(Classic),N/A,$17.99,,3.9,62.0,False,https://m.media-amazon.com/images/I/81cE-6Oxz5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81cE-6Oxz5L._AC_SL1500_.jpg,,2026-04-21T11:15:43.034295,
12,1,Organic,,5.0,B0FWTX3WZJ,Funny Bumper Stickers Gay Pride Magnets Car Prank Stickers Magnetic LGBTQ Car Stickers for Vehicles and Trucks or Fridge Magnet,N/A,$19.99,,4.6,91.0,False,https://m.media-amazon.com/images/I/81Yvs8V1I2L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Yvs8V1I2L._AC_SL1500_.jpg,,2026-04-21T11:15:43.039931,
13,1,Organic,,6.0,B09BCGP6H6,Frienda 6 Pcs Bumper Stickers Prank Funny Bumper Magnets Funny Car Magnet Only Stickers LGBT Vehicle Refrigerator Trucks Luggage Wall Laptop,N/A,$6.99,,4.4,253.0,False,https://m.media-amazon.com/images/I/81xiOXCntBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81xiOXCntBL._AC_SL1500_.jpg,,2026-04-21T11:15:43.044730,
14,1,Organic,,7.0,B09RF3DM5D,"Frienda 10 Pcs Bumper Decals Funny LGBT Stickers Rainbow Bumper Prank Car Stickers Colorful Car Accessories for Truck Vehicle Luggage Window Refrigerator(Magnetic,Stylish Style)",N/A,$9.49,,4.6,1330.0,False,https://m.media-amazon.com/images/I/91mxv5AzqxL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91mxv5AzqxL._AC_SL1500_.jpg,,2026-04-21T11:15:43.049499,
15,1,Organic,,8.0,B0GKG7S2YW,"16PCS Funny Pride Gay Car Bumper Magnets: Bulk Magnetic Rainbow Decals Decorations for LGBT Parade Decor, Refrigerator, Truck, Prank Gift Ideas(Style 2)",N/A,$16.99,,5.0,7.0,False,https://m.media-amazon.com/images/I/91IYWViM9KL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91IYWViM9KL._AC_SL1500_.jpg,,2026-04-21T11:15:43.056517,
16,1,Organic,,9.0,B0FVLZ956Z,"YOPPIX 10PCS Gay Pride Funny Car Magnet, LGBT Rainbow Pride Prank Magnetic Bumper Sticker for Adult Waterproof Magnetic Car Stickers for Vehicles and Trucks Reusable Magnet Sticker for Fridge",N/A,$15.99,,4.9,41.0,False,https://m.media-amazon.com/images/I/71FmMC6YysL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71FmMC6YysL._AC_SL1500_.jpg,,2026-04-21T11:15:43.060992,
17,1,Organic,,10.0,B09TZNYK4L,10 Pcs Magnetic Bumper Decals Funny Bumper Stickers Rainbow Car Decals Prank Car Stickers Gay Pride Magnets for Vehicles Truck Car Refrigerator,N/A,$9.99,,4.7,218.0,False,https://m.media-amazon.com/images/I/71FsU6sQyyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71FsU6sQyyL._AC_SL1500_.jpg,,2026-04-21T11:15:43.065566,
18,1,Organic,,11.0,B0GGXCZ4KD,"Funny Car Magnets, 10 Pcs Gay Bumper Magnets Reusable Car Stickers Gay Magnets for Car Prank Waterproof Magnetic Bumper Stickers for Vehicles Trucks Fridge",N/A,$9.99,,,,False,https://m.media-amazon.com/images/I/81Qjz8t3ntL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Qjz8t3ntL._AC_SL1500_.jpg,,2026-04-21T11:15:43.069535,
19,1,Organic,,12.0,B0F4WWDQBV,"LGBTQ Pride Prank Bumper Stickers - 12Pcs Gay Rainbow Pride Funny LGBT Prank Bumper Stickers, Strong Magnetic Car Home Decor Good LGBT Gift for Gay Couples Celebrate Love Equality",N/A,$7.03,,4.6,12.0,False,https://m.media-amazon.com/images/I/81BdAGVjCgL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81BdAGVjCgL._AC_SL1500_.jpg,,2026-04-21T11:15:43.073502,
20,1,Organic,,13.0,B0G13L6WWH,"12 Pcs Rainbow Magnetic Car Stickers, Gay Pride Car Magnets, Reusable Prank Bumper Stickers, Funny Magnetic LGBT Bumper Decals for Vehicles, Trucks, Fridge",N/A,$13.99,,4.7,218.0,False,https://m.media-amazon.com/images/I/81vhfOYAoeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81vhfOYAoeL._AC_SL1500_.jpg,,2026-04-21T11:15:43.078987,
21,1,Organic,,14.0,B0GQ3KGW5C,"16PCS Funny Pride Gay Car Bumper Magnets: Bulk Magnetic Rainbow Decals Decorations for LGBT Parade Decor, Refrigerator, Truck, Prank Gift Ideas(Style 3)",N/A,$16.99,,5.0,7.0,False,https://m.media-amazon.com/images/I/81bJ+eHxzzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81bJ+eHxzzL._AC_SL1500_.jpg,,2026-04-21T11:15:43.085572,
22,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:15:43.086225,
23,1,Organic,,15.0,B0GHD2HC29,"12PCS Gay Pride Funny Car Magnet, LGBT Rainbow Pride Prank Magnetic Sign, Prank Magnetic Bumper Sticker for Vehicles and Trucks Reusable Magnet Sticker for Fridge",N/A,$17.99,,4.8,9.0,False,https://m.media-amazon.com/images/I/716YC4mE8yL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/716YC4mE8yL._AC_SL1500_.jpg,,2026-04-21T11:15:43.093288,
24,1,Organic,,16.0,B095NSVMB7,Anley I'm So Gay I Can't Even Drive Straight Car Magnet Signs - Reflective Truck & Vehicle Bumper Sticker - LGBT Magnetic Decal (10 inch) - Set of 3,N/A,$6.55,,4.7,270.0,False,https://m.media-amazon.com/images/I/91TLEfVn4uS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91TLEfVn4uS._AC_SL1500_.jpg,,2026-04-21T11:15:43.098110,
25,1,Organic,,17.0,B0F26QMKL4,"10PCS Bumper Decals Funny LGBT Stickers, Rainbow Bumper Prank Car Stickers LGBT Sticker Sign, Colorful Gay Pride Decal for Cars Trucks Luggage Window, Car Accessories (Style 2)",N/A,$7.99,,4.2,12.0,False,https://m.media-amazon.com/images/I/81KRGP-Wt-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81KRGP-Wt-L._AC_SL1500_.jpg,,2026-04-21T11:15:43.101594,
26,1,Organic,,18.0,B0CQVRH12Q,I'm So Gay I Can't Even Drive Straight - Flexible Car Auto Bumper Magnet (Rectangular),N/A,$7.59,,4.0,23.0,False,https://m.media-amazon.com/images/I/613p4WbgYXL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/613p4WbgYXL._AC_SL1500_.jpg,,2026-04-21T11:15:43.105080,
27,1,Organic,,19.0,B0F8GPH4H8,"I'm So Gay I Can't Even Drive Straight Car Magnet Signs, 3 Pack Magnetic LGBT Waterproof Reflective Funny Car Stickers, Reflective Truck & Vehicle Bumper Sticker",N/A,$7.99,,3.9,7.0,False,https://m.media-amazon.com/images/I/81R6JHvT6+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81R6JHvT6+L._AC_SL1500_.jpg,,2026-04-21T11:15:43.108706,
28,1,Organic,,20.0,B0D5QKB5SF,"10-Pack Personalized Fun LGBT Bumper Stickers Colorful Magnetic Stickers Accessories Suitable for Cars, Computers, Motorcycles, refrigerators and Other Magnetic Objects",N/A,$9.28,,3.3,4.0,False,https://m.media-amazon.com/images/I/71K2EB7a8aL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71K2EB7a8aL._AC_SL1500_.jpg,,2026-04-21T11:15:43.112925,
29,1,Organic,,21.0,B0F1CM92K1,"10 PCS Bumper Decals, Funny LGBT Sticker Rainbow Gay Bumper Prank Decoration, Waterproof Vinyl Decal Humor Text Gay Pride Stickers for Luggage Window Refrigerator Laptop (Style 2)",N/A,$6.99,,4.7,6.0,False,https://m.media-amazon.com/images/I/81+B+bBjk8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+B+bBjk8L._AC_SL1500_.jpg,,2026-04-21T11:15:43.116979,
