data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,Title,,,,ResultsCheck each product page for other buying options.,,,,,,False,,,,2026-04-21T11:13:49.693074,
2,1,Organic,,1.0,B0D4DRRF9X,"bylikeho 10Pcs Car Stickers,Magnetic Bumper Stickers,Car Accessories,Funny Bumper Sticker,Automotive Stickers,Reusable Bumper Stickers,Suitable for All Cars,Trucks,Motorcycles,Etc",N/A,$9.98,,4.6,91.0,False,https://m.media-amazon.com/images/I/8112GIlya-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8112GIlya-L._AC_SL1500_.jpg,,2026-04-21T11:13:49.698405,
3,1,Organic,,2.0,B0G5PQ2B48,"16PCS Funny Pride Gay Car Bumper Magnets: Bulk Magnetic Rainbow Decals Decorations for LGBT Parade Decor, Refrigerator, Truck, Prank Gift Ideas",N/A,$16.79,,5.0,7.0,False,https://m.media-amazon.com/images/I/81LlU3gySXL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81LlU3gySXL._AC_SL1500_.jpg,,2026-04-21T11:13:49.702782,
4,1,Organic,,3.0,B09PVNBP17,"Gay Pride Funny Magnet Bumper Sticker, Rainbow Pride Prank Magnetic Sign for Vehicle Truck Reusable Magnet Sticker for Fridge(10 Styles)",N/A,$13.99,,4.5,235.0,False,https://m.media-amazon.com/images/I/81xTMP3L1nL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81xTMP3L1nL._AC_SL1500_.jpg,,2026-04-21T11:13:49.707310,
5,1,Title,,,,Zero Sugar. Flavor UnleashedSponsored|Shop Monster EnergyShop nowPrevious pageMonster Energy Ultra P,,,,,,False,,,,2026-04-21T11:13:49.709402,
6,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:13:49.709560,
7,1,Organic,,4.0,B0DY1HSLHJ,12 Pcs Gay Pride Funny Magnet Bumper Sticker LGBT Rainbow Pride Prank Magnetic Sign for Vehicle Truck Reusable Magnet Sticker for Fridge(Classic),N/A,$17.99,,3.9,62.0,False,https://m.media-amazon.com/images/I/81cE-6Oxz5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81cE-6Oxz5L._AC_SL1500_.jpg,,2026-04-21T11:13:49.713714,
8,1,Organic,,5.0,B09RF3DM5D,"Frienda 10 Pcs Bumper Decals Funny LGBT Stickers Rainbow Bumper Prank Car Stickers Colorful Car Accessories for Truck Vehicle Luggage Window Refrigerator(Magnetic,Stylish Style)",N/A,$9.49,,4.6,1330.0,False,https://m.media-amazon.com/images/I/91mxv5AzqxL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91mxv5AzqxL._AC_SL1500_.jpg,,2026-04-21T11:13:49.717909,
9,1,Organic,,6.0,B0F4WWDQBV,"LGBTQ Pride Prank Bumper Stickers - 12Pcs Gay Rainbow Pride Funny LGBT Prank Bumper Stickers, Strong Magnetic Car Home Decor Good LGBT Gift for Gay Couples Celebrate Love Equality",N/A,$7.03,,4.6,12.0,False,https://m.media-amazon.com/images/I/81BdAGVjCgL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81BdAGVjCgL._AC_SL1500_.jpg,,2026-04-21T11:13:49.721882,
10,1,Organic,,7.0,B0FVLZ956Z,"YOPPIX 10PCS Gay Pride Funny Car Magnet, LGBT Rainbow Pride Prank Magnetic Bumper Sticker for Adult Waterproof Magnetic Car Stickers for Vehicles and Trucks Reusable Magnet Sticker for Fridge",N/A,$15.99,,4.9,41.0,False,https://m.media-amazon.com/images/I/71FmMC6YysL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71FmMC6YysL._AC_SL1500_.jpg,,2026-04-21T11:13:49.727111,
