data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,hawaiian leis bulk,https://aax-us-east-retail-direct.amazon.com/x/c/JEDXI0OxplFXXVCq79d4N7EAAAGdr-_rYQEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICCV62Uy/clv1c_ek-wBAPWasbWXc4mo-ooGzgI6dKSj0SeQn4NBc1U-9JgoFKo1piKfm6P5l3ghA0NR2FcTN_77nlIF9K2jH4xlA8nOP-ZBEcK-A7whH7sndB0liUf-1k0jWz9sslV50QSfP8vIhatJYCqdr3OrQwKa9HavNUcl377U4Xz1SriZCZeV7QtXGQZEykQsVBcGBFf3sEP5EVRO--kXSS9AiyZpyrbWAq2IEn75W9zp56XH10NFptJYTWNR_FqmMFxwPe7NA3aU_3PpssK_VO74F512viRNINgZSlMHJ3sybysk4C9FPr2-cWgtuwXcod83b9Rxds-gRpC1XUOjsTt5agLvWNx6mJ9IEGn11PTu9Uk4NM-u9h2bsi1rmAVktGqxwbkTa880xQ9NAbJIYcKBmrEbLn5712rSYZ54pgRTyPlsaMeQOkj1sFCnZ0Ei8R5cuP5pbM7yFaZyvvPOdPTyRGWZET1HZ_rYQY3dzpd2_s678oJ0-JL6N_kJlsO2hFQ8U_pGg3wBeOFzTv9OZlWcj3J0TnK3ToVNxC9llPwg8KlMPCiewB8tK94sZcoKfhnKBdPU6vJRGurgZ08hhQRNzGKMabaDsmGWIVqySrs4P2upc4UlV0S4_gSN13xXxXrX_yi1JR3yRxUP9wgkmovvmXDD4uQCuboMqpj2mb45dXD_t5mA13W2IRsIckLVNVWIHrL6C6qG1-QJujY-F7RNrF6ZwPFeffF1MQmcuWW0Kbn61OCKyif-3dbq741kss3xHs7Ui3m-CjkiwKbNhHNeiSXV_n6nTwE483Q3JN5dDt6RzEJPT9xSuiBzFHz-luS7oJrO2joHuPoKq0nmO68dugGPFpSjh3gempuAWNdKj0Vh-Xh0gaE-PAvsIRUrNyVNLbkVwlzYWpylZRR1uVWCnhsQsiIMYio2hUBZ_QrYNfTN6dSUueGKsWtljeFdarNzfiTJ0Sham4B68GxjT4Fp4CV4EA1nfTT5NKODST456XFls4XN1wmQstAdYNXrkvRvX7uU_dksCs4Y3GS0FFGwJUb8HQVHK7gOu5r5Biss5lzE8AYnPhpsM2u5EtJkc9PUZCPGyr2wPZ02Nl4nC08m5IVzGoz3bAAI-1mPqv81Kh8_z09OflJPljxd3bBPdOmcS390EkNZufCc2SW1rMo3BafIR_1L9_U6DsRqgIVhZcZ_Orz4W0v4pB1TK4piud-SifSBdHgNWZQm52SNRcMCc4PN485Aeon-CUxXECm_B5LOT9TFvJ8YIP_E0rqsTGgRsGKNQpvtb0WmjxyhG0N60BBllY7Kc3aoVaga7oDm6ESr3DpOE8aCtilrO0pAtfF7prdhQSWlgi2r17MdcCe8CCc-tXTe3QGYclJHOQIPmEha2lcvW91ZEkxd3m05YkT65nA7UT_GRLvSdjjJCII0jzp2ZtbckZ3iW1YXmleTECbx0_I7STwYqVxyO2lCWHxoVWOB8r19x5dvQ85XX0O1PH9QqYhoHbbI7SOm8Su109VGTmpMVAdgjjn-WBKB2RUjRsgYZ1khe6ScQ8qfYmPpq3bOatoyUROdgFyN1NspyHHuddWDnjYUEFR7pzNcpx-6Hf4GgzqYlBGEOQ8yCIcBsMdR_2hlj4F-YJjGm6MpVNt6wgJMOwrpr73BovYIDoZAFCt629v6FMwjDpxfGs2pugEsj8G4db6Rw/https://www.amazon.com/stores/page/F3AE028E-992B-4FE8-8413-D6BCDDB80D0F/?_encoding=UTF8&store_ref=SB_A06417451N7RDOEKA4EB8-A002285437NSI0ZB5K2W&pd_rd_plhdr=t&aaxitk=4bbe118103a7796bf62d69174b81d31b&hsa_cr_id=0&lp_asins=B0BQ2QT6JD%2CB0BYCD4YDJ%2CB0GHPZ8RPT&lp_query=hawaiian%20leis%20bulk&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=03lZg&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=JVWJTR4F68M2HHNMMKCH&pd_rd_wg=0CC8e&pd_rd_r=69be2640-6543-4fae-8b81-daa2b353317f,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/35981764-c2b0-494b-87e1-daddedc4a852._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.png",,hawaiian leis bulk,2026-04-21T12:07:16.680452,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:07:16.681494,
3,1,Organic,,1.0,B0BKTQ9JLP,"JOYIN 120 Counts Hawaiian Leis Bulk, Colorful Tropical Flower Leis for Kids Adults Hawaiian Beach Luau Party Favors Decorations",N/A,$32.99,,4.6,10884.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-21T12:07:16.687722,
4,1,Organic,,2.0,B0BR8944R3,200 PCS Hawaiian Leis Neck Vibrant Colors Assortment for Luan Party Tropical Themed Party Decorations Beach Party Decor,N/A,$44.99,,4.4,200.0,False,https://m.media-amazon.com/images/I/811O-WZyh5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/811O-WZyh5L._AC_SL1500_.jpg,,2026-04-21T12:07:16.691627,
5,1,Organic,,3.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2699.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-21T12:07:16.697922,
7,1,Title,,,,Debug info copied.SponsoredMoon Boat 60 Pieces Hawaiian Luau Leis - Tropical Tiki Hibiscus Flowers f,,,,,,False,,,,2026-04-21T12:07:16.699201,
8,1,Title,,,,Hawaii Shell Luau LeisSponsored|Shop EcationShop nowPrevious pageEcation Hawaii Shell Luau Leis Bulk,,,,,,False,,,,2026-04-21T12:07:16.700812,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:07:16.701002,
10,1,Organic,,4.0,B0B8G2QFKM,"150 Count Hawaiian Lei Bulk, Tropical Luau Hawaii Theme Silk Flower Lei, Party Favors for Beach Holiday Wedding Birthday Party, Aloha Summer Party Decorations",N/A,$32.99,,4.4,338.0,False,https://m.media-amazon.com/images/I/A1JXqd95lrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/A1JXqd95lrL._AC_SL1500_.jpg,,2026-04-21T12:07:16.705216,
11,1,Organic,,5.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,$11.99,,4.6,10884.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-21T12:07:16.709008,
