data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,FreshDear Party Decorations,https://aax-us-east-retail-direct.amazon.com/x/c/JNH7JLyyA2p6l9wZNCj1v3QAAAGdr_GkCgEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDIgICBRDgY4/clv1c_ek-wBPP3FbbWzjI3k4f3o_BwCvCxcgP4sfKZ5iVjPXs5nXbQYdIUUIM9YjsYpOu_JhajhfnvloFdXqUTdoUwEPFmVJOHF3KeemhZLOYkxO9iU9mASjPkBErYQrrzZ7mgQxxKDGDL9k_xT962i4GnMfDarcV8llaw08H3yB_O7Obe37qPSsPmB6O2oOkqqpg7lh15wFhtJz8YNNZctksLpH4ZF2OoT46ls8Ez4aOY6LLXVFvp1FYZ7QLp1MJF0BqXhCWIhGSqn5NwpA6Px0KVlidbY905Uf9poAs0oDBEqw4DoUsQO_BG-RivgvM4nQ1H_QhzQGdJ5ID9cqh6xbsUycfqK-27e0v6Du9by6HjRdUfHhzJSJS4VOvyJKezXIuGLFnN2HZAL4656OrBw-noH3iir5CiVQyYjTeB-UN9kWcO3Z5fkiXZNAxI35CGVL1nF8hKn2QtheiaRHI3GbxcaJgpKQY52jG1CWVyNjwiIDFp_dUero3R5pF9eYUiGpz_ODBKCvNZC7qJX5iaSgYkbKPyv5ayohRYiSJmpd6Bl_hB7W16M9S5nEPWgi-Q5x7MrL5sp_SfdImrLkp3cvdJMbE4tORhmrwSw_Fwr33T6D15wE7T8gnW6wTxZXaIDB_AOMaTQSMmGSobagKzfKeWRWF16xOeURkXkQbV4Kmpigo20Wxknq7P2oVW_emPAd_yaopc__HdoLDpf5HMHR3FmRSt-qhvm1iTzh3_cuFvQg1sB7gSTo07uKEsGen5oPdYGui9pxCr7_YZ7CfjjKPOVSEpxws72gmg98zQA177WFGkf9TPsH6qr5dvx29HJfvH1g6fZPZptvpGVs6xJYHR2hQITrMH3f8k0F_KTWZxac7L9B7rYLW9FGMAW3UzilGpRmDSn2Vqp2oaVCutVjuODp9zfCkSF1_0rWocj4VrbvQiV18wyNN3bKiq5Eye26rsgrnHhnn9pBoE82RG2NhkE3ZsWRYQEGW90O7sKslaUTNNtAoWILLB3BDzeaIlHZPpq6HO8BZcBkl5XFbuHt1G7rUFX6Q_hs1CwovbLfa630xKuspHkk7KnDmbo-OYX-dqFkW474UZ66tZuCYv-98Ib1kVusCR6Mkd9AbPwD6z8p8hyhk0ZxRu7jV889ELG_fM6Wc3W3D7oejKnj61OuKfp0fZ053cZ8TR-CC-XiqoKk3LbldMy_li5xwQ4wqSxfQzfLSfoZ3giIwk1wvH92YB9k1Ri5re6CxygoMHpeGY--ro-VklMt0uRUKmW5_DpyOzdYRa5Ut75o1GZwTPT0dEpuvtT-tM3ag3Pl6KSvP4019-yx-4b9GohdiJ9phAjIh0WHf_LPxw3Ftl19Fvmmt-2cLbtmBr3IlEymqxficOENlqTMGp9tklTtUkJ2ZtH276roN1RJ8BIxaOhQMTGO8dwrekNcl0-y1_A_xWcHLBgb9cWiPDnPKnoV4M9FPoMgQ35qej14YFs-7Sgj3ijHpadD00xEnmxP4WNLSlZ_F-Hkns6QaKLJlw25r8zthQucJQUylESh5eiEUH7M3k8rA3GH7BHsTi0UuzhfVLSTX7N21MMEc6oPLrfQ9nId6k_fgna7wUPC8MaVeL77M41ebXdEGuRYACmDYdM6Ca6NiV602lwKQPg3-3FMmh_ArSExE_y_9lZFV1Bn9kG2HTn7Gsuj55iKcj9g/https://www.amazon.com/stores/page/CC7A662F-F263-4A97-932D-54861F75531C/?_encoding=UTF8&store_ref=SB_A0770578TW15340FFCQS-A00978481NBQDBX4I6KRK&pd_rd_plhdr=t&aaxitk=e663164b52254b39ffea36308c85b8a9&hsa_cr_id=0&lp_asins=B0C936QPTS%2CB0CNY26Z66%2CB0DYTGC3C5&lp_query=hawaiian%20leis&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=6ai7r&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=Z67D1ATHQ1AVC2VDS7H1&pd_rd_wg=c58yU&pd_rd_r=e3e31d9c-1b4d-4dd9-8fff-bc57e6f686ae,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/4e759cce-4600-40f6-ac45-244edd3be577._CR0,0,600,600_AC_SX130_SY60_CB1169409_QL70_.png",,FreshDear Party Decorations,2026-04-21T12:09:09.663724,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:09:09.664885,
3,1,Organic,,1.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,$11.99,,4.6,10884.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-21T12:09:09.676531,
4,1,Organic,,2.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2699.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-21T12:09:09.684553,
5,1,Organic,,3.0,B0GN7ZH5M8,"Giegxin 64 Pcs Hawaiian Leis Luau Party Decorations with Faux Hibiscus Flowers and Tropical Plant Leaves Colorful Hawaiian Party Decorations for Birthday, Jungle Beach, Wedding Celebrations",N/A,$21.99,,,,False,https://m.media-amazon.com/images/I/819RFHRgCHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/819RFHRgCHL._AC_SL1500_.jpg,,2026-04-21T12:09:09.691559,
7,1,Title,,,,Debug info copied.SponsoredArrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful,,,,,,False,,,,2026-04-21T12:09:09.692999,
8,1,Title,,,,Hawaiian Hair AccessoriesSponsored|Shop KorViSHOWShop nowPrevious pageKorViSHOW Hawaiian Flower Crow,,,,,,False,,,,2026-04-21T12:09:09.694660,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:09:09.694854,
10,1,Organic,,4.0,B0BKTQ9JLP,"JOYIN 120 Counts Hawaiian Leis Bulk, Colorful Tropical Flower Leis for Kids Adults Hawaiian Beach Luau Party Favors Decorations",N/A,$32.99,,4.6,10884.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-21T12:09:09.700532,
11,1,Organic,,5.0,B0DC51MRZ4,"Freyalife Hawaiian Leis Decorations(24pcs),Leis for Luau Party Decor Flower,Tropical Hawaiian Bulk Hula Dance Party Decor",N/A,$6.99,,4.3,621.0,False,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_SL1500_.jpg,,2026-04-21T12:09:09.705802,
