data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Luau Party Decorations,https://aax-us-east-retail-direct.amazon.com/x/c/JCIwXA9sRGAf-FSP3bNKcrsAAAGdr-4t1wEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICBjUF9p/clv1c_ek-wBIHXFcbWDn2nI4trJ16WpAySuUaPTlyKR17ym_GNtLYjFNa6pg10_4e8n2e6x4bHcDvSVx5A7R73KLL2qU21fyT7NJApM1hkjBVuzYou6tXoL92VUVnYIPlw0hrhIFx9rA0IwECxMQwHCmjkWdfpKF0elUmK4qg4r1arSYwHFTu9ucbOHnR83gRwVHaHGrYgxBXNHhHe4TyxHwgCRmKfSF4xAQuTBpLImtiKFM6cjyAeR4UJnP9oMlwat8V0G8b0S1FFx11LZlV2rZ3AzRejCfzJarFRPM_FPSU-r9vw2spTMAUy4x4jXrIK5bVkAkkg11VWcbNxzBhnv2HVrVTbVHwIzBxMpSu5-A2OMNecrg07uUfyKHp5d43lm4FP-l2szCCfEDwY6Ykk07GpKIq875INpTC9kCw-Ttl0X7jgtAQet7XaVIkW5Ul8HKwMWQZQ6oiQ1mzk_vLq2nigFEelGkL0ckTGaRRZ7FGukGxTc2YSgiUM7nTHe38x7uFOkilL_9YIeGCFXFMSJN-m-pyniHHZQVf4sMnvfTI1nwg-1FcbNzDRebHCwDpqDJCfX-ycOeEsc8JUxH4J8qzor6gFVp-ie-MY-f7DMKJaJhWKvUh_4axPZSwyluvB2-ZrVyVF1_S9rZ3zbqa4LMsMe_QbpnrvPnsaZUpciVsoiVb0wZPIlj4rNAA6kIJ255uvGe83rNL6U-0AUiDwe5JgBhHFfLim6dg9AkM5jZLAyY16izR3s5ww6jPLEz5PNjj5Vz_PVAkY0wUN2Qxq6TkE3wYo5gIj1Rtw_MNyCKSzseoKd3FQSs4Psh1Ip50EY6q3Zyy7yB88Fe5qALf9NdCnxd0bzrf5t7MFAEm5qbB5T6ufP9bnBKRBbzc3cLQ2CKYw3zOIqZRM-GbsN76eN1Es-Er1dHlWHMgKt9vfOwLi7AnCJWHlyXTbSiw3vJhq7-ehMqyvTqeC22nuEBtrpjtLj_ijhcnKg5a-kZrLn1LWkAMeqzI5rxwH5UM3Q4ERkCvYv0t4xzBIgisqxBbxhWDb8DWIjSoJwyduvfZ1A5lTe5lj0pMaC5pKCJ7G7taAyJuNO_vsXgCs8gjQvg2j5l3AJxLiMV4DvyCJrr6aEFVvbCdJBh5tg31e6ws7e6Hr5q6odeVv1BHwBG5lQ1wpKY_JYA9jpN1tR4b1X3HPVNR6pEc-V_rx-xok2JAmyC_MlqJRvI0ULPbg6c5MGr46trz7hPpML0iinHFGNIMzFhp9RRvpct1KLFJGFtnIF8zBU7sx9tT9zXiKFedCK7GJtU6957I8vH6ZSXZDn0UcTSJ3eARUhv8mf3DbwBx6z54662ps7hDbg-_AJYrwDkvT5wsFNi63B3v1BSyHcQwjIAZ0gPRrEMW0n-Ui87Pqi7mhvV9sa__BbQGLPTXpsXEPQFyDtFB4weJXxKvWl8ppxRJcBd3HvVyIAXrfM9nka2SkhTko4bg6jXDGFkPGJua3Zr8XtRxH7kwYziVVk97G-YxZCojRCtz18jiKlTfFdWJQAlkmKTVx5ExxEj7i2ANC6Dd8cvB8lBtj7rtD38QBVFT-jK86lKIaJRDAsNgbTgLleitJY2jzaMAScezao8xHItM4g0nWrQVRRqE9QzbL3Ma8T64wt0CdpRmVF9GHtyprzXJigx90mr9QRIIhQa2eBZ-z28TIrx9TG5EzBwzcrzTPrjThPyxo3g/https://www.amazon.com/stores/page/5293A3C0-4DB5-4472-990F-B965D60EE00A/?_encoding=UTF8&store_ref=SB_A07795963POCTO23QX4GV-A059678259FNOVC2X5G1&pd_rd_plhdr=t&aaxitk=d56eab758393d5e5d6edadc5905ab1f6&hsa_cr_id=8042606210001&lp_asins=B09NM3WQH6%2CB09Y16XSWR%2CB09NM3RNCV&lp_query=hawaiian%20party%20decorations&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=CcTQg&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=JH01YE3NZNZPBS9F1130&pd_rd_wg=6dsN9&pd_rd_r=f46ad2f4-fece-43f6-a1d0-a02fec2d18e5,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/34b9de36-72e1-40c4-80b3-6b8a2d8a468c._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.png",,Luau Party Decorations,2026-04-21T12:05:23.277415,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:05:23.278294,
3,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2699.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-21T12:05:23.285886,
4,1,Organic,,2.0,B0F2RXN18F,OHOME 2 Pack Luau Party Decorations - Plastic Tablecloth for Hawaiian Theme Party Decorations | Tropical Summer Beach Pool Birthday Backdrop Favors Supplies,N/A,$6.29,,4.6,900.0,False,https://m.media-amazon.com/images/I/91VMLJwCDvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91VMLJwCDvL._AC_SL1500_.jpg,,2026-04-21T12:05:23.290550,
5,1,Organic,,3.0,B0GSYZZFTS,Tiki Gift Bag Brown Hawaiian Wrapping Paper Bag with Tissue Paper and Greeting Card Aloha Luau Party Favors Hawaiian Themed Party Decor for Hawaii Tropical Summer Festival Birthday Party Supplies,N/A,$7.99,,4.5,2.0,False,https://m.media-amazon.com/images/I/71RZPhdK1VL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71RZPhdK1VL._AC_SL1500_.jpg,,2026-04-21T12:05:23.297036,
7,1,Title,,,,"Debug info copied.Sponsored25"" Inflatable Luau Tiki Pool Toss Games, Tiki Pool Ring Toss Toys with 4",,,,,,False,,,,2026-04-21T12:05:23.298189,
8,1,Title,,,,"Enjoy a happy partySponsored|Shop UJoyantShop nowPrevious pageUJOYANT 323 Luau Party Decorations, Ha",,,,,,False,,,,2026-04-21T12:05:23.299597,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:05:23.299806,
10,1,Organic,,4.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,$11.99,,4.6,10884.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-21T12:05:23.303726,
11,1,Organic,,5.0,B0GJDDJZV6,"169 PCS Luau Party Decorations, Hawaiian Party Supplies - ""ALOHA"" Balloons, Hawaiian Boxes, Balloon Arch Garland Kit, Fringe Curtains, Palm Leaf, Table Cloth and Skirt",N/A,$29.99,,4.9,16.0,False,https://m.media-amazon.com/images/I/81pPLIUMHHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81pPLIUMHHL._AC_SL1500_.jpg,,2026-04-21T12:05:23.309611,
12,1,Organic,,6.0,B09NM2FPKX,"Fovths Luau Grass Table Skirt Natural 9 Feet x 29.5 Inch Hawaiian Table Skirt for Tropical Hawaiian Party Decorations Luau Costume Party, Straw Yellow",N/A,$8.49,,4.5,2400.0,False,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_SL1500_.jpg,,2026-04-21T12:05:23.314754,
13,1,Organic,,7.0,B0GD5W6DFS,200Pcs Aloha Congrats Grad Party Supplies 2026 Hawaiian Luau Grad Plates and Napkins Disposable Flamingo Graduation Class of 2026 Decorations for Summer Tropical 2026 Graduation Supplies Serve 50,N/A,$24.69,,,,False,https://m.media-amazon.com/images/I/81+rRLr3wNL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+rRLr3wNL._AC_SL1500_.jpg,,2026-04-21T12:05:23.319377,
14,1,Organic,,8.0,B0B2RFGJL2,"Hawaiian Luau Party Decorations(161 Pcs), Tropical Summer Beach Pool Party Supplies Including Aloha Backdrop, Table Skirt, Tablecloth, Flamingo, Palm Leaves and Hibiscus, Balloons Arch, Straws,",N/A,$22.99,,4.6,579.0,False,https://m.media-amazon.com/images/I/81tA7Fa0I8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81tA7Fa0I8L._AC_SL1500_.jpg,,2026-04-21T12:05:23.324047,
15,1,Organic,,9.0,B07F5G8MRN,"24 Pack Hawaiian Flower Hair Clips, 2.5 Inch Plumeria Foam Hair Accessories Clip for Women, Hawaii Tropical Party Decorations, Beach Pool Vacation Outfit, Luau Party Supplies favors, Bridal Wedding",N/A,$12.68,,4.6,1122.0,False,https://m.media-amazon.com/images/I/71XY-jJcMHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71XY-jJcMHL._AC_SL1500_.jpg,,2026-04-21T12:05:23.330378,
16,1,Organic,,10.0,B07YD4G1R9,WERNNSAI Hawaiian Aloha Party Banner Decorations - Flamingo Pineapple Tiki Tropical Luau Party Supplies Favors Large Gold Glittery Aloha Sign Flag for Birthday Wedding Summer Beach Pool,N/A,$11.99,,4.4,792.0,False,https://m.media-amazon.com/images/I/81d-Tg-P2-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81d-Tg-P2-L._AC_SL1500_.jpg,,2026-04-21T12:05:23.336704,
17,1,Organic,,11.0,B075FPCFNR,60Pcs Tropical Party Decorations Supplies Tropical Palm Leaves Hibiscus Flower Simulation Artificial Leaf for Hawaiian Luau Safari Party Jungle Beach Theme BBQ Birthday Parties Decorations Table Decor,N/A,$11.99,,4.6,3137.0,False,https://m.media-amazon.com/images/I/81jZYriVXGL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81jZYriVXGL._AC_SL1500_.jpg,,2026-04-21T12:05:23.341098,
18,1,Organic,,12.0,B0DC51MRZ4,"Freyalife Hawaiian Leis Decorations(24pcs),Leis for Luau Party Decor Flower,Tropical Hawaiian Bulk Hula Dance Party Decor",N/A,$6.99,,4.3,621.0,False,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_SL1500_.jpg,,2026-04-21T12:05:23.344715,
19,1,Organic,,13.0,B0D7Q7Q7KS,"2 Pack Table Skirt Luau Party Decorations, Flower 53.2"" X 29.5"" Grass Table Skirts for Luau Party Summer Tropical Hawaiian Party Decorations (A-2 Pack)",N/A,$12.99,,4.2,129.0,False,https://m.media-amazon.com/images/I/81-X1OJU3uL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81-X1OJU3uL._AC_SL1500_.jpg,,2026-04-21T12:05:23.348225,
20,1,Organic,,14.0,B073RBVTXT,"ALINK 50 Umbrella Parasol Drinking Straws, Hawaiian Beach Cocktail Luau Party Decorations Supplies",N/A,$6.99,,4.6,10351.0,False,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_SL1500_.jpg,,2026-04-21T12:05:23.351833,
21,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:05:23.352434,
22,1,Organic,,15.0,B0946ZZ9BD,"Outus 30 Pieces Hawaiian Luau Birthday Party Hanging Swirl Decorations, Flower Tropical Palm Flamingo Sign Foil Ceiling Decor for Floral Tropical Party Summer Beach Pool Tiki Supplies(Summer)",N/A,$8.79,,4.6,1154.0,False,https://m.media-amazon.com/images/I/81cwoPntlvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81cwoPntlvL._AC_SL1500_.jpg,,2026-04-21T12:05:23.357334,
23,1,Organic,,16.0,B0F1CZBKQZ,"Atonofun 80 PCS Leis for Luau Party Decorations- Hawaiian Leis Bulk, Luau Party Glasses, Colorful Bracelets, Flower Headbands for Adults Tropical Birthday Summer Beach Luau Party Favors Supplies",N/A,$21.99,,4.7,210.0,False,https://m.media-amazon.com/images/I/81wie7bpooL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81wie7bpooL._AC_SL1500_.jpg,,2026-04-21T12:05:23.360905,
