data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Luau Party Decorations,https://aax-us-east-retail-direct.amazon.com/x/c/JLHhNkkExQUZCe9gbcmtOMkAAAGdr-x6KAEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDIgICD0VFbj/clv1c_ek-wBPHXUsbWHn2mJsob8xPAyXQxfYur0OvsWknLFXFccc9nBj-RP2aQ9kxP6gyoRGHIcxtR4N4bu9z2wVpyjK-DyyTbxHkR7uzwHrVC1O-6u8OqabX8WmGw0vl1tWhFk4vLfXSILk4RM_R6qC8w2UHSks0clFDa8uGUP4cqjYMDfwPNC-tSKuJQKlg1tgT9gjiRr8Mrn4DN2NLunZjwvzO9N38fJ12_sJUD2dnrFMqcl_A_EyP_4NXTQ8JFm9qdh7JSJAD6SxFfZnk1NxT5XAVvf7P87gz5n--nvheYUrBu4Xk-4RE3ynBbDyvfxGgWMs4xoa3dq_CRh50MEO1ywC90c7l1q--XhGRuUfY1aS895o_CTJf1gXTil4K0daKUEUqlJXDP3pldhxKTVo2Pe1ddumU_9RZ7mralSO0FWjVqmPXpMlyzCw2ySTI7Hz33lxKH5NNTTQI7sF8ELcvbrOPM6okxxx0qMWWrpW16sAtwzpVPslgxPrnauNDTVvLc20TacrWQ0NAcMSGlkPET8uQkHqUqrNDVFpbEOiOokLMiCyYhs3GoLnH6__G0ByyzHvye8TBJ3fOCc9l9RE5na1zyGpDz432wYBA1C8zS3edyoE74Kfdj9YufMKsy3bEJVGkQeYJMun8jYlbAhkxZ51lQuuEJrS3FuUe6Vb7RXKWnXpsuMFGyj6zpu3CpTVex6lK6s3KQMx8bteZhNLEcTu245br5fDeTPfn-aI6M4e414c2QqS8QAQxohI5xAr4WOOSTKbryT2NZZbMqUJ_aDGcg-35IaJvKy9MwJWLbrrwc0KkBPQ6tfrI5RsvQcW4OlvF9CDQ4YBuwQlvaWB_C7eyIoncDTXIeyzFRkGmO-gsxoRxTZijhBhWXD4sV_aqRpv5pXf6-r93cFxUOpChO0ZrSi_ROczKZfGoyeH3xBVQ4t5VGAhxBw1R0lQ61RgMCFxaHpveRq6KIADwW-6qBLv43qjxTZdDTgA1FMxHhdKmEz2wBqwm_kbrxG35XQkPqqx0g_7nx5WVRmfgRMND6lBJMuGUJ8hVcDNcmbwiR4GusJbFmX6zVLLqxJZrCDykIn36Rr5tErHTvc-Ixu_SV7u_G8mBm05_8Ot795zWJK3GT4KwzjNIm8WE-lVvcQw4yZSn3Y61x6FyVsYjySpWGPhD8RWKF4jCQ6lks0fuCHwIczk2MqqfCyvVDF76CF67m_9q2WCAi-kbS2R4SS3pJNwhfEyZ9a0lvqqJxWa0jWxCvyCpla4mkaz0gUNlcIW6GITAjvi3o4siT1M4Mu-EUcidFBJU8AE4Z8JW9OskW-XRdRMFVVz8qFPTLdW9Y6qO1S6RCCwXPsW2c9tg48JiYFK5zlQMfN0CX70pzZ4Ht8Rz3Qx8As0XNft-w2qOwQtqI43CdYWMBqRaE6oFzYSo9EV21ux588ewhCXl9QKtoeumEMlAmgYED1jumUioyf6M0KPLX_WrHZBOdwt9T8cmzt0QwbaoS7KbhPlwqzntTsbWDZzmGM5LC_pFx20KiaiStVYODzksI_obbhirztgrrp-F0wXrjEE_rvSIA3kV-dvzyM1ZTwDuyL7R3evg3RXOI_NEl8qyXNPc0p1V_8bN75Q45UEH_xhyd2rOQveqiPSUzSo-x_9l4CawcGfBV4HAKJqwcvGb2NGrBRe8hbDUhuZ06-ozsgINZDuLyPlYuOezj5G8/https://www.amazon.com/stores/page/5293A3C0-4DB5-4472-990F-B965D60EE00A/?_encoding=UTF8&store_ref=SB_A07795963POCTO23QX4GV-A059678259FNOVC2X5G1&pd_rd_plhdr=t&aaxitk=d56eab758393d5e5d6edadc5905ab1f6&hsa_cr_id=8042606210001&lp_asins=B09NM3WQH6%2CB09Y16XSWR%2CB09NM3RNCV&lp_query=hawaiian%20party%20supplies&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=0EXR5&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=SW89QJS1CHKYPVGMD49D&pd_rd_wg=NwtaC&pd_rd_r=00cb4b63-daa9-4db3-b682-8115454427b3,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/34b9de36-72e1-40c4-80b3-6b8a2d8a468c._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.png",,Luau Party Decorations,2026-04-21T12:03:31.260330,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:03:31.260975,
3,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2699.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-21T12:03:31.266787,
4,1,Organic,,2.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,$11.99,,4.6,10884.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-21T12:03:31.270801,
5,1,Organic,,3.0,B0GSYZZFTS,Tiki Gift Bag Brown Hawaiian Wrapping Paper Bag with Tissue Paper and Greeting Card Aloha Luau Party Favors Hawaiian Themed Party Decor for Hawaii Tropical Summer Festival Birthday Party Supplies,N/A,$7.99,,4.5,2.0,False,https://m.media-amazon.com/images/I/71RZPhdK1VL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71RZPhdK1VL._AC_SL1500_.jpg,,2026-04-21T12:03:31.276913,
7,1,Title,,,,Debug info copied.SponsoredArrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful,,,,,,False,,,,2026-04-21T12:03:31.277976,
8,1,Title,,,,Paper Jazz Toucan Tropical Party DecorationSponsored|Shop Paper JazzShop nowPrevious pageTropical Bi,,,,,,False,,,,2026-04-21T12:03:31.279129,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:03:31.279261,
10,1,Organic,,4.0,B0F2RXN18F,OHOME 2 Pack Luau Party Decorations - Plastic Tablecloth for Hawaiian Theme Party Decorations | Tropical Summer Beach Pool Birthday Backdrop Favors Supplies,N/A,$6.29,,4.6,900.0,False,https://m.media-amazon.com/images/I/91VMLJwCDvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91VMLJwCDvL._AC_SL1500_.jpg,,2026-04-21T12:03:31.283080,
11,1,Organic,,5.0,B09NM2FPKX,"Fovths Luau Grass Table Skirt Natural 9 Feet x 29.5 Inch Hawaiian Table Skirt for Tropical Hawaiian Party Decorations Luau Costume Party, Straw Yellow",N/A,$8.49,,4.5,2400.0,False,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_SL1500_.jpg,,2026-04-21T12:03:31.287089,
