data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Historical Month Bulletin Board Decorations,https://aax-us-east-retail-direct.amazon.com/x/c/JDi520dLHddQqw8QTirzk5YAAAGdsBxp5QEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICDvubiX/clv1c_ek-wBIHXFcbWDn2nI4trJ16WpAySuUaHwa2kaH6ij8NBMn17YLJvZqQRgeFxZcV951FBq6nL0ErqSOI6HARFlzuZfTy5F6-0KXXllhAqUN3wE2hLSiZvomv8ivn1qHdbxgmLy8SxoFfPSh1ZMk_ysXr7IdWs9tXqn-z7yium7Lce3mUXSuo_qM13F-LEhhk14M7P2p6g79cIFGT_JEnZ2oL_RAkq5J5nwayPamnTR1UZNZdS0i8SQL8kVOJ2RfGZHz1-hO2wc5ZBZEKvymv1d7Jr5DOyGQOJhvzuAM7aMd4WJgd60zE_KwlNTlU0NFBIMswfeVtUDVea2XZR_-w559EVTjgSNtJsZJ5KlhlpGqA95o_SqJaVjtblgI2nQIanBK3_L6P1d05p2eL63YY54CMx3ps7ItDT3J2swUQ04ErvsuTleKAgGv-zAf-irjEU3xOJ8nWECw1-9WZLjxV5UJjq_0habXmxqlTEn1fkps9rQM4vXN7MZ4Wvs3zTW28fY1LV9fwXHFKJoigb5aMKeJucdj0bqpmONeLHuf20X7QviCP8RPLOBCuDibkQ3S9HkO3WV9yqhZDKEhnVoMMjMgiDdDU8yyETfvG491hDTLqx6Dv4xnVOcm9IWmzA63DGup95vQ392YQKPx22-_22vVZ3PHcO_g1vbJoHB8diPDXkzyYhAWlQbCDGO14BhxyUmlYJn8-KTVRmtB0A_qD-sNaUAtPmGxyJO3fzQGJAJa1Y0gDTpi0rrFQJzK5aSn-uW6yLjCkpx7DZO6MnRg-53Ll3oN-BMZKqbRqUiy2kJTjAIkDDQR7e-mSunpT1M2-nXApEoS0KZ-rIjK7nc7bVsO8uQ6QAprgN1LLJ_InjYz6z18kbenyHBNNobTSa0VW9pOLQ5F6aMMR2a7ZIphTrIjMXxGt-DtEPkiIXGtU5qzOEJHMow3XVvFPUeUSbssDraf2rZndhegiummPZganwpaRhJC-9VWTXu6TatAwkFYAtY7qvzVzFg5j0-hUDPAY3kuPiqV6qr5NP3JF9Xs5BAHuGtfnwJOpr9PisM5hzE_gQrPhpdM0q5EtJEM_PbeRtcvYxYPaRsU9tysE9pkh2k_y4WXTRFaN-peldEE7Wy_fYHOppDwqPsu1upOUO_VCC6yQHHUCWrvsg6YJk6bpK4mvBsgCaISpwfps7F6--FiSiIEfNzTD58bxVxMvPhqWlWCstes0u_j22idWu_DKL5s4jwPg6kn-mNZ5Uh08BvHRf2dYVjoG7XzDRBaf4iHFwetvbEQF7psgdgLH_wVsE92N0hBjrDpR08gVSpIuAFiAWWfX3Wz8DvrMc81EHpUiVpvK1ogDAulpOsBOaGpiI8QwlLBKJr-ZgR9fO8iXqDlfL9FW5_2KbUcc8IBptLq0fDFZwU2yHvtrIhFifsvEGiIRjg0jJMLytL8EskjZOVpb3tRerIutsQKumR7_hvi8uZi2InNrGUygWOJif1ESzbl09xDr_pPf79Ph14yTiHrkENyqY7URfBrZcvFss5YNZnRSmsqT-ZzBVTfz4yAFHiCQsp45JL4R3NGFZm1nBoFKBgdIM87u_5MzSE4aLs7yHL7ZoTon5l6RSUq_WlNdXkNTDjTY7yPUc8nS2TfcqGNocS4N3nqYEJRChLUv4ymhm_R-WjgafLI9VCcVGt2fz-X-fJeO_qHQpjg/https://www.amazon.com/stores/page/F5447E3A-BB7B-4DCC-B7BF-E14A398FB432/?_encoding=UTF8&store_ref=SB_A0410116279IU9RBQMUBV-A02351792HMW20MHI1Y5I&pd_rd_plhdr=t&aaxitk=e628eeccef96afae8fab606ae0957233&hsa_cr_id=0&lp_asins=B0DM4JQ1ZQ%2CB0DL5797NR%2CB0FS1SXQYG&lp_query=juneteenth%20decorations&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=4qD4h&content-id=amzn1.sym.15c9e6e9-b83a-41a9-bfc7-ecd1e6138b44%3Aamzn1.sym.15c9e6e9-b83a-41a9-bfc7-ecd1e6138b44&pf_rd_p=15c9e6e9-b83a-41a9-bfc7-ecd1e6138b44&pf_rd_r=9MVDQC104VPVGPFEWNFK&pd_rd_wg=frwyQ&pd_rd_r=ef1ebd13-7b0e-4ba6-b4ac-d6101426a395,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/22c1076e-5da4-4bf7-8704-acfd53864cee._CR0,0,600,600_AC_SX130_SY60_CB1169409_QL70_.jpg",,Historical Month Bulletin Board Decorations,2026-04-21T12:55:53.433908,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:55:53.434948,
3,1,Organic,,1.0,B0BY2H1PSP,"WATINC 3pcs Happy Juneteenth Banner Decoration, June 19th Hanging Banners Decor, No DIY Needed Black Freedom Day Party Favor, Hang Garland Africa American Supplies for Home Tree Fireplace Wall 10 Feet",N/A,$12.99,,4.9,14.0,False,https://m.media-amazon.com/images/I/71KyeClzvXL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71KyeClzvXL._AC_SL1500_.jpg,,2026-04-21T12:55:53.438583,
4,1,Organic,,2.0,B0C3C1WSHH,4PCS Juneteenth Wooden Centerpieces Table Decorations June 19th Table Decor Centerpieces Happy Juneteenth Freedom Day Table Topper Sign for Juneteenth Party Home Desktop Wood Craft Center Piece Decor,N/A,$9.99,,4.0,20.0,False,https://m.media-amazon.com/images/I/71OgJ9dWdIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71OgJ9dWdIL._AC_SL1500_.jpg,,2026-04-21T12:55:53.443338,
5,1,Organic,,3.0,B0BVLNR3YR,"20 Pack Small Juneteenth Flag Stick 5''x8'',Handheld June 19th 1865 Independence Day Flags 21x14 cm, Mini Juneteenth Flags Sticks for African Afro American Festival Celebration Supplies, Outdoor",N/A,$6.99,,4.6,139.0,False,https://m.media-amazon.com/images/I/71Si3LOxOkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Si3LOxOkL._AC_SL1500_.jpg,,2026-04-21T12:55:53.447451,
7,1,Title,,,,"Customers frequently viewedSponsoredJuneteenth Decorations, Bunting Fan Flags 1.5x3 Ft with Grommets",,,,,,False,,,,2026-04-21T12:55:53.450821,
9,1,Title,,,,Debug info copied.Sponsored4 Pcs Juneteenth Table Decorations Juneteenth Tiered Tray Decor Rustic 18,,,,,,False,,,,2026-04-21T12:55:53.451338,
10,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:55:53.451466,
11,1,Organic,,4.0,B0CZ3FT9VZ,Juneteenth Decorations Happy Juneteenth Backdrop African American 19th June 1865 Banner Juneteenth Decorations and Supplies for Home Party,N/A,$13.99,,4.6,44.0,False,https://m.media-amazon.com/images/I/71m4L-4tC4L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71m4L-4tC4L._AC_SL1500_.jpg,,2026-04-21T12:55:53.454322,
12,1,Organic,,5.0,B0C1BC9Q98,Kinlop 3 Pcs Juneteenth Tablecloth 108 x 51 Inch Kente Table Covers Plastic Disposable Table Clothes for African American Independence Celebrate Freedom Black History Kwanzaa Party Supplies (Classic),N/A,$9.99,,4.8,82.0,False,https://m.media-amazon.com/images/I/61FPvE25OfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61FPvE25OfL._AC_SL1500_.jpg,,2026-04-21T12:55:53.457980,
13,1,Organic,,6.0,B0DZ6PQQ37,MEHOFOND 2pcs Juneteenth Decorations Door Banner 71x12 Inches African American Independence Day Porch Sign Happy Juneteenth Party Decorations Supplies for June 19th 1865 Independence Day,N/A,$8.09,,4.8,18.0,False,https://m.media-amazon.com/images/I/71ifFO5HxwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ifFO5HxwL._AC_SL1500_.jpg,,2026-04-21T12:55:53.461273,
14,1,Organic,,7.0,B0CZ78N2JF,Threehoney 7 Pcs Juneteenth Day Decorations Wooden Happy Juneteenth Table Centerpieces Freedom Day Table Signs Wood 1865 Black American Independence Table Toppers for Home Desktop Decor (With Base),N/A,$12.99,,4.8,37.0,False,https://m.media-amazon.com/images/I/81lGZrC1gQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81lGZrC1gQL._AC_SL1500_.jpg,,2026-04-21T12:55:53.464774,
15,1,Organic,,8.0,B0F2M6NWTQ,4 Pcs Juneteenth Table Decorations Juneteenth Tiered Tray Decor Rustic 1865 Freedom Wood Block Sign June 19th Table Centerpiece African American for Home Desktop Holiday Shelf Tabletop,N/A,$15.99,,4.5,413.0,False,https://m.media-amazon.com/images/I/71g66NrPrnL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71g66NrPrnL._AC_SL1500_.jpg,,2026-04-21T12:55:53.468885,
16,1,Organic,,9.0,B0BVR22MJS,Haooryx Juneteenth Wooden Centerpieces Table Decoration - 4Pcs Happy Juneteenth Day Table Decor Juneteenth Freedom Day Table Topper Sign for Juneteenth Party Home Desktop Wood Craft Center Piece Decor,N/A,$9.99,,4.6,46.0,False,https://m.media-amazon.com/images/I/91Oss3I6fEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Oss3I6fEL._AC_SL1500_.jpg,,2026-04-21T12:55:53.472215,
17,1,Organic,,10.0,B0D3G2YCY6,3 Pcs Juneteenth Table Decorations Wooden Signs Rustic 1865 Freedom Black American Tiered Tray Decorations for African Holiday Party (Pattern),N/A,$9.99,,4.7,77.0,False,https://m.media-amazon.com/images/I/71adK+3Z57L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71adK+3Z57L._AC_SL1500_.jpg,,2026-04-21T12:55:53.475464,
18,1,Organic,,11.0,B0F5417B61,"Juneteenth Day Honeycomb Centerpieces,KSKSPE 9PCS Juneteenth Decorations Table Decoration for Happy Juneteenth Day Freedom Day Black African American Independence 1865 Black History Party Decoration",N/A,$9.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/81hHX8Mi-mL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hHX8Mi-mL._AC_SL1500_.jpg,,2026-04-21T12:55:53.479154,
19,1,Organic,,12.0,B0CKSQB953,XunYee 1 Pc 39.4 ft Juneteenth Tinsel Garland Decorations Black Green Yellow Shiny Metallic Garland Freedom Day Decoration for Juneteenth Memorial Emancipation Day Patriotic African American Party,N/A,$12.99,,4.5,47.0,False,https://m.media-amazon.com/images/I/814sTyojG+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814sTyojG+L._AC_SL1500_.jpg,,2026-04-21T12:55:53.483327,
20,1,Organic,,13.0,B0CZ3QG881,Juneteenth Decorations Wooden Juneteenth 1865 Hanging Sign Juneteenth Wreaths for Front Door Decorations Freedom Day Party Indoor Wall Decor for African American Festival Celebration,N/A,$7.99,,4.5,55.0,False,https://m.media-amazon.com/images/I/61qXc3qzkoL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61qXc3qzkoL._AC_SL1500_.jpg,,2026-04-21T12:55:53.487123,
