data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-22T10:45:35.431367,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-22T10:45:35.432752,
3,1,Organic,,1.0,B0BYS73CDT,"172 Pcs Juneteenth Party Supplies Serves 24, Include Tablecloth, Happy Juneteenth Banner, June 19th Freedom Day Plates Napkins Tableware Set for Patriotic African Afro American Festival Party Decors",N/A,$24.99,,4.7,311.0,False,https://m.media-amazon.com/images/I/81qqEfkVasL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qqEfkVasL._AC_SL1500_.jpg,,2026-04-22T10:45:35.437223,
4,1,Organic,,2.0,B0FYVP5V3V,"Black History Month Tablecloths, 4 Pcs Multi-Colorful African Reggae Birthday Party Tablecloths for Black History Month Decorations Juneteenth Jamaica Festival, 51 x 86 in",N/A,$6.48,,4.3,17.0,False,https://m.media-amazon.com/images/I/61q6rzjQTYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61q6rzjQTYL._AC_SL1500_.jpg,,2026-04-22T10:45:35.445064,
5,1,Organic,,3.0,B0D1G9995G,"Happy Juneteenth Decorations, Juneteenth Party Supplies, Disposable Tableware Set Banner for June 19th African American Independence Day Freedom Day Party Supplies (Serve 24)",N/A,$25.99,,4.6,30.0,False,https://m.media-amazon.com/images/I/81Ln293SozL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Ln293SozL._AC_SL1500_.jpg,,2026-04-22T10:45:35.448605,
7,1,Title,,,,Debug info copied.SponsoredResurhang 48 Pack Juneteenth Sticky Notes Bulk June 19th Inspirational Gi,,,,,,False,,,,2026-04-22T10:45:35.449725,
8,1,Title,,,,Month BraceletsSponsored|Shop Long tiantianShop nowPrevious pageLong tiantian African Bracelets for ,,,,,,False,,,,2026-04-22T10:45:35.451903,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-22T10:45:35.452083,
10,1,Organic,,4.0,B0DLNWHNKR,168pcs Black History Month Party Supplies Paper Plates Napkins Disposable Tableware Set African American Black Month Disposable Cups for Juneteenth Freedom Day Party Supplies Serve 24,N/A,$12.99,,4.6,37.0,False,https://m.media-amazon.com/images/I/81cfQgj9X-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81cfQgj9X-L._AC_SL1500_.jpg,,2026-04-22T10:45:35.456247,
11,1,Organic,,5.0,B0DK2YKXNJ,Gejoy 60 Pcs Halloween Juneteenth Red Black 12 Inch Confetti Balloon Latex Balloons with Ribbon for Freedom Independence Day Decorations Birthday Party Favors Supplies,N/A,$7.95,,4.4,383.0,False,https://m.media-amazon.com/images/I/71oR2IcoGaL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71oR2IcoGaL._AC_SL1500_.jpg,,2026-04-22T10:45:35.461229,
