data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,FreshDear Party Decorations,https://aax-us-east-retail-direct.amazon.com/x/c/JDcdbJPY6hfInVlZy8x_ULkAAAGdr-TF3QEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICCM4yFo/clv1c_ek-wBPHXFbbWzjK3YoscrxfcGbMxf0XDTReeWXqyi_VMgyqCO9BiScoPWsAyULWEXeWqp0bYTZyObKfG_VKspn9_Cun8E-2BD2glHibcUPzwgwTN0ERlby567NGczqJ72bGiKS19nJeBfKI-5lTI98G_4F2djDUq6tiAf7fuy5oZFQNKMtQgY4lQumti6X5-t1bohEdWAyv8DchV94nwl_M3nd-9RmjnkiQka5Ix57D05JTIQrFZQSUZPECz0W_Z_r65u8PhjOdw6xVKCx2qu4pGrlifobJ3eRBYbRrK-Wo0m1eE2aAhkcrpW5fPwZum-cv_5D6hd7EmZEQHqRd0Ae6kzc-1T8odv3I-mG3FHNHc0pN21-8xbDEf1cbmPkF4KySC3vMSghMX2R-hkBc4pr_Hgm0_9Aa7G5QoqGOzqtd3HF_irfYVbv8zg8pzYGVFDFszxORSuvLTknohter_9A3VqPWHbBoHAxYQw2JOZ287wii7FqC-eyhgTIZeCP3en9zboTbLpbBVQUKmlznrHpmbCX7ux7gXXmhEaRJdHpFeKxRGZfDUn63yy3hLugqcQayPoU9qnsY0UWwqkPusogn5RpEp5eumLkR0PkcIh6Phz1L4oHTO-6oLzwtzKsRiJdBAMOJYJBIzU9gzMGfWpzzlB0mZeTHayt_3HE6Pdlw9LGp-C8WBtzW0W8JzuBSKWwdB-nLHkChirGkBcArzFKJK5E_ngkwJ0AKlci1uTyU9Z59Lsa2zCHA-kwHLWqkUwts_C_U3Dnf4zXmlOEtrmAXK4RyATT4sSZGS5ofYKyp-NgvEOjyZ153R5D-mPmukOaoBdgCn98C3SiSNVsmgfhVUV-A44_5hMatM66-C48GjOUo4QsCLN2fwEH6goUlkPINLtZrFPx_NM-_Ds-NrGITT4O7GmB4_xytphQj_FkTP1TTNp-uhaJXY4iDKy8fxNrH63aCRJHKgLXk0Ot0hBCoH0J-8BzFtNhYVLK4tFifeLcqYEvKlx_XQT1sbslKsYKHRG80S5p0k1lzn6d3c7Zdy_hbFQPp3HyqjoEWm54p6GhIKzg3EDT15MNb34zkaAJsq62DYA74CNLMvSL5uwHhA-XeLP2T0-wvJCMnro85wlb20ewEcDSG2G7rA6lSxJbNvxhGl3rMH5Lid3YN1lMTlut5MPxDAMDG2XiqoqnzJamYJRX1gjctspgMBrXjU3Ad2mW_6fft7lOTfKjVDTPWExXrXRMuwOGwWLxYJFh0QVwhttW6fPTTi3GtPkIKSfsIjfDqi5P93eeXfwasADdUQQ9GhlX8eXlyB5LCM8h8VV_W6zzwVpQ5s4fiUxTz04fKOHTm4VsssiZXLqQ_nE-pADldjc9CWdLZaEtndweByysbjrmfwVCDMR_3XJDWdsL4j3hXLfbVKjj8PFQC2rA03Plkj3Su02C6TdtfOv4Lq58ULhvxywfJGU6qHkfYo5s3ms1rqjB8NhvBK2iiKNl21KzLE5UbCdthaJvxt02J7L_Wo1GP3KwMV3EBuQGnN6dgfpa3K0Nczjky1ZIvscFHQpACiGM-8wGpBHZAOw2ihAMsOYLpXpTwK97fLWRz9XKPhqjoJQZs1mGbpcA65HjOuI1QAtVUl6sJw9OBrHswV_Yxrarj0B4PYGDoZYFCv6G-fH1ULJ6k2NZGp-Uy1isZWg9gNNw/https://www.amazon.com/stores/page/CC7A662F-F263-4A97-932D-54861F75531C/?_encoding=UTF8&store_ref=SB_A0770578TW15340FFCQS-A00978481NBQDBX4I6KRK&pd_rd_plhdr=t&aaxitk=e663164b52254b39ffea36308c85b8a9&hsa_cr_id=0&lp_asins=B0C936QPTS%2CB0CNY26Z66%2CB0DYTGC3C5&lp_query=leis%20for%20luau%20party&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=JGcxs&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=39W0NQQHMQDW68XQRPWA&pd_rd_wg=7c3kt&pd_rd_r=5d6c9b77-1093-43f2-a7b2-86fa14e0e605,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/4e759cce-4600-40f6-ac45-244edd3be577._CR0,0,600,600_AC_SX130_SY60_CB1169409_QL70_.png",,FreshDear Party Decorations,2026-04-21T11:55:06.095925,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T11:55:06.096695,
3,1,Organic,,1.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,$11.99,,4.6,10884.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-21T11:55:06.103657,
4,1,Organic,,2.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2699.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-21T11:55:06.111539,
5,1,Organic,,3.0,B0GN7ZH5M8,"Giegxin 64 Pcs Hawaiian Leis Luau Party Decorations with Faux Hibiscus Flowers and Tropical Plant Leaves Colorful Hawaiian Party Decorations for Birthday, Jungle Beach, Wedding Celebrations",N/A,$21.99,,,,False,https://m.media-amazon.com/images/I/819RFHRgCHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/819RFHRgCHL._AC_SL1500_.jpg,,2026-04-21T11:55:06.118425,
7,1,Title,,,,Recently bought and ratedSponsored| 4+ stars and rising in past 90 daysAtonofun 80 PCS Leis for Luau,,,,,,False,,,,2026-04-21T11:55:06.124086,
9,1,Title,,,,Debug info copied.SponsoredArrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful,,,,,,False,,,,2026-04-21T11:55:06.124781,
10,1,Title,,,,24 Counts Hawaiian Leis Necklace Tropical FlowerSponsored|Highly bought brand in this category|Shop ,,,,,,False,,,,2026-04-21T11:55:06.126284,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:55:06.126457,
12,1,Organic,,4.0,B0DC51MRZ4,"Freyalife Hawaiian Leis Decorations(24pcs),Leis for Luau Party Decor Flower,Tropical Hawaiian Bulk Hula Dance Party Decor",N/A,$6.99,,4.3,621.0,False,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_SL1500_.jpg,,2026-04-21T11:55:06.131022,
13,1,Organic,,5.0,B087TB1DKW,"GoodUping 6 Count Thickened Hawaiian Leis, Perfect Luau Party Supplies for Summer Beach Vacations, Essential Party Decorations for Birthday, Graduation, and Wedding Celebrations",N/A,$7.99,,4.4,355.0,False,https://m.media-amazon.com/images/I/81j5YoL856L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81j5YoL856L._AC_SL1500_.jpg,,2026-04-21T11:55:06.135389,
14,1,Organic,,6.0,B0DQSNFTKS,"GoodUping 12 Counts Thickened Hawaiian Leis, Perfect Luau Party Supplies for Summer Beach Vacations, Essential Party Decorations for Birthday, Graduation, and Wedding Celebrations",N/A,$9.99,,4.6,157.0,False,https://m.media-amazon.com/images/I/81Aoac8gpaL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Aoac8gpaL._AC_SL1500_.jpg,,2026-04-21T11:55:06.140188,
15,1,Organic,,7.0,B0GHC6ZK6V,Moon Boat 74 Pcs Hawaiian Bracelets Birthday Party Favors Decorations Palm Leaves Hibiscus Flowers Silicone Gifts for Tropical Luau Supplies,N/A,$13.99,,,,False,https://m.media-amazon.com/images/I/81OGtWa2PQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81OGtWa2PQL._AC_SL1500_.jpg,,2026-04-21T11:55:06.144751,
16,1,Organic,,8.0,B0BR8944R3,200 PCS Hawaiian Leis Neck Vibrant Colors Assortment for Luan Party Tropical Themed Party Decorations Beach Party Decor,N/A,$44.99,,4.4,200.0,False,https://m.media-amazon.com/images/I/811O-WZyh5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/811O-WZyh5L._AC_SL1500_.jpg,,2026-04-21T11:55:06.150537,
17,1,Organic,,9.0,B0C18C6F2Z,12PCS Hawaiian Leis Luau Party Decorations Tropical Party Favors Lei Hawaiian Flower Lei Perfect for Hawaiian Luaus Party Birthday Party Favors.,N/A,$8.99,,4.5,570.0,False,https://m.media-amazon.com/images/I/71ls4mI+FcL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ls4mI+FcL._AC_SL1500_.jpg,,2026-04-21T11:55:06.155390,
