data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,FreshDear Party Decorations,https://aax-us-east-retail-direct.amazon.com/x/c/JN0f83rO0N8kfeXocmccIgYAAAGdr-irnwEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICDJ5yN1/clv1c_ek-wBIHXFcbWDn2nI5drJ16WtD5jqoAHTu3ay9TCD0_aMgdIMM2swq2NwJXcxf04yuXZSGQh3UpG2LfeIL_uQPItRwBiZoudWxECNs6HUN0sx8Uy231lBXGoslg25aTyRxiahrJjk7UIQtRHWIpA5tRrIF6bkmXc9vRAD5QoSYcMQ7D67lYh0notOVkmAIvONqWI7HFTR1epBkX9votU1siXMVU1FdCCrDzLCAEdb-vtOtN_vUs3T7b1UtmWkeTREYlCIegksZh3oE-xz8G07MxRzUV-ttb8sBz74ARCmDmHq8941XygIqJfsGcOqD_zGj5i4FXRb7EmxMDepbd8Ab6w3aNGQ2gbPefY96fi5VKSqJpy_VpmNSPzrfu5CXs8z3XFiSScpqbt2bABpnJOAEtNjNAsMI6GultAhPQ8yrx2_xhPre-eSN-iSRN2UgipnEXO-n2ntlsk6ApDcAhvXH860_eBLkFjLQkUW1b6JeIuX1t26ooffG0P3CQU7yZFq_TM7Ifwk07clR7KOBiQ6uQcN3YiLgVf5AU5aIRIUqhlRz92VPzrZ4BAZyUW3B4i2q4Sf4TeMUm2Ku86oIccPaC0gOjlJgETPT4PXdydmm2E2apvGRHpQwaRsELjtcJ745qP_35l5Q5LS0KeYWU3n364RU19PaknO64byj9nPTXgZQeYT8D4NJRIDcmPjWnas-jpWC8Ta28phpEBf76Cp78AhJHMxHXODbfA3UsNsaKCmJhDApYcKjGbCv35hSoiOYC53dmqbKN7CqTXYYKJTwRiD0x3wc2JvuanUvRUNJPTkxfJBW2a9Fpb_X-YuJ61eTr4vW_Gy4dqI3W_o7W5xqc50W0Na8mJm9hCAheyBGKPk8P5zR5YR88Od2BINOaKyOURlcN81mOYYAJ_jqdsNtfqusTbyB0HvFkH1ezH7HnUnB7z8Sh7-i8ih7LtlSDexAhFRkkbYAjViRxUTBSEGprTWZDgBFHgwwvGlANWeXdPL2r-27mqnJ1SHGjRmGn35yZveESmxn3IEXd1NFdZRDL0ZMjB8ealmVDLtMRRX6ispVlbXV9PjEbLKkN3EZkWfbMXUqM9mr4QoX8woSpSrgx6GRoM0bCd0Qntbs1emHyPdPc8fwyJAbDLyfYjzkvHrhZhjXWhAYAiXmECc8o_l8NtkHv-RxSSZV-HbYZ6davDX-o7MbcWsA5KPM_yPApV5IrlrQKuQ51fvRLZtC80_tXR8pbFgZcVuKmY1maT0n9n7uORtDcDD9QJ2HBwRLkZJrXg9TqiHg12b-fvwasAC9UIQ-Gh6U4eNhuXpkb1RfZnxR_Yf9MoxNCN93hgjDgFTJXil5hRmZNAWPHv28c9LJwzYlzV4W3snCYO9OJIUohYmJRQnxpTeG5Q5wDgDypCCImOqSrMXLRcq9fJpZJulpg4GDsJPyBoQvcc1ssdjYiH18Wbrzb1iluRvvHyBSH3Y5mor6TcGBqRiWFhN5G-PB2gJFVb4IKcktdTzZ31S2junsH-2-FeWVAMhOOGJ1EWOOnguz7aRhUb9zP8p68Zs9IoaNRk8Fu35O2pWEcn52sNLOzmhyUkY7FmJpF_mkxB54CmhS0nnpNPtmZ9je5liGDzsNQbS9NKe03ONbkbKscPKees8rz_lIfVhGpxk5Uv19PUdXtR8IxRdgMhlN5rnNyWMXnOELub/https://www.amazon.com/stores/page/CC7A662F-F263-4A97-932D-54861F75531C/?_encoding=UTF8&store_ref=SB_A0770578TW15340FFCQS-A00978481NBQDBX4I6KRK&pd_rd_plhdr=t&aaxitk=e663164b52254b39ffea36308c85b8a9&hsa_cr_id=0&lp_asins=B0C936QPTS%2CB0CNY26Z66%2CB0DYTGC3C5&lp_query=leis&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=IIQa8&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=G5C2DSA86EES649REPRP&pd_rd_wg=ePKsF&pd_rd_r=f5e7c8de-78a9-45b7-9e8e-fd42b658d16d,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/4e759cce-4600-40f6-ac45-244edd3be577._CR0,0,600,600_AC_SX130_SY60_CB1169409_QL70_.png",,FreshDear Party Decorations,2026-04-21T11:59:21.711356,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T11:59:21.712710,
3,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2699.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-21T11:59:21.719460,
4,1,Organic,,2.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,$11.99,,4.6,10884.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-21T11:59:21.724806,
5,1,Organic,,3.0,B0GJZWYW3F,"woric Graduation Leis 2026 Ribbon Leis for Graduation, Class of 2026 Handmade Braided Necklace with Grad Letters for Academic Achievement Ceremonies Parties Preschool to College",N/A,$13.99,,4.5,4.0,False,https://m.media-amazon.com/images/I/71m7ZAoGWvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71m7ZAoGWvL._AC_SL1500_.jpg,,2026-04-21T11:59:21.728781,
7,1,Title,,,,Debug info copied.SponsoredSuncalla Graduation Leis for Women 65 Inch Hawaiian Flower Leis Class of ,,,,,,False,,,,2026-04-21T11:59:21.729630,
8,1,Title,,,,Hawaii Shell Luau LeisSponsored|Shop EcationShop nowPrevious pageEcation Hawaii Shell Luau Leis Bulk,,,,,,False,,,,2026-04-21T11:59:21.730697,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:59:21.730831,
10,1,Organic,,4.0,B0DC51MRZ4,"Freyalife Hawaiian Leis Decorations(24pcs),Leis for Luau Party Decor Flower,Tropical Hawaiian Bulk Hula Dance Party Decor",N/A,$6.99,,4.3,621.0,False,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_SL1500_.jpg,,2026-04-21T11:59:21.733848,
11,1,Organic,,5.0,B0GGZCRRKT,"24 PCS Hawaiian Leis Necklaces, Vibrant Mixed Colors for Luau Party Supplies, Tropical Beach Party Decor, Pool Birthday Graduation Party Favors",N/A,$7.99,,4.7,10.0,False,https://m.media-amazon.com/images/I/91EMZ1s1uzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91EMZ1s1uzL._AC_SL1500_.jpg,,2026-04-21T11:59:21.737167,
