data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T11:53:18.968718,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T11:53:18.969840,
3,1,Organic,,1.0,B0CRYP8CB1,"Laelfe Artificial Lemons Branches, 8 Head Faux Lemons with Stem Fake Lemon Themed for Kitchen Decoration Party Farmhouse Decor (Yellow)",N/A,$12.69,,4.4,532.0,False,https://m.media-amazon.com/images/I/81mptZY0K1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81mptZY0K1L._AC_SL1500_.jpg,,2026-04-21T11:53:18.976533,
4,1,Organic,,2.0,B083SKP8QB,Winlyn 30 Pack Faux Yellow Lemons Artificial Fruits Fake Lemons Lifelike Simulation for Lemonade Party Kitchen Table Summer Decorations Vase Fillers Fruit Bowl Lemon Wreath Garland Photography Props,N/A,$18.99,,4.7,2487.0,False,https://m.media-amazon.com/images/I/61GEkhiWqLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61GEkhiWqLL._AC_SL1500_.jpg,,2026-04-21T11:53:18.980638,
5,1,Organic,,3.0,B0GQBM7NDJ,"Italian Lemon Pillow Covers Set of 4, 18x18 Inch Blue Lemon Floral Throw Pillow Covers, Polyester Summer Fruit Cushion Case Decorations for Holiday Farmhouse Home Sofa Couch Gifts",N/A,$13.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/81AwDwln52L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81AwDwln52L._AC_SL1500_.jpg,,2026-04-21T11:53:18.987373,
7,1,Title,,,,Debug info copied.SponsoredLemon foil Balloons Summer lemonade with leaves Balloons for Fruit theme ,,,,,,False,,,,2026-04-21T11:53:18.988502,
8,1,Title,,,,"Wall ArtSponsored|Shop Wall art, Defining Your LifeShop nowPrevious pageVintage Gold Framed Canvas W",,,,,,False,,,,2026-04-21T11:53:18.990050,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:53:18.990443,
10,1,Organic,,4.0,B0BD8YSKMW,Inspirational Quote Life is Short Make it Sweet Wood Box Sign Rustic Lemon Print Wooden Box Sign Farmhouse Home Kitchen Desk Shelf Decor (5 X 5 Inch),N/A,$8.99,,4.7,541.0,False,https://m.media-amazon.com/images/I/61dYgU+RM2L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61dYgU+RM2L._AC_SL1500_.jpg,,2026-04-21T11:53:18.997329,
11,1,Organic,,5.0,B0BSH11GJM,"BOUMUSOE 5 PCS Lemon Tiered Tray Decor, Rustic Book Stack & Truck with Lemon Wooden Signs Farmhouse Summer Table Centerpiece for Home Table Shelf Decor Holiday Party Decor",N/A,$9.99,,4.4,47.0,False,https://m.media-amazon.com/images/I/71r3Kp3PrAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71r3Kp3PrAL._AC_SL1500_.jpg,,2026-04-21T11:53:19.002936,
12,1,Organic,,6.0,B0F3F5FHWT,"Yankee Candle Lemon Lavender Scented Candle, 22oz Large Jar with up to 150 Hour Burn Time, Giftable, Birthdays",N/A,$19.97,,4.7,602.0,False,https://m.media-amazon.com/images/I/71ABdIVlFzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ABdIVlFzL._AC_SL1500_.jpg,,2026-04-21T11:53:19.007849,
