data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Lemon Party Decorations with Yellow Lemons,https://aax-us-east-retail-direct.amazon.com/x/c/JP3jlWuPPEdLsbcepN98_ZYAAAGds_aQuQEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDIgICCt2itC/clv1c_ek-wBPPXFcbSDn2nIot7s3NASPwDAhoMxk1KExPjHcsGF1OdvzKreUVcxXDvUcL-q4oPyjp0fSlG1LfUwKxp_lNLFcr1DIobW4LOUJTuicokYYszRClmD1xQctkj_-0S3BZNQExOZPmuW9xELsV498BbIt4YH1HwiCRYr5coyB_6ScTSXoLntVaM7sB4NRJus_ifNptrXqCJ0eMo4VyN92yeWJwsWNhcVWX4BJPTlhs_0ZyY6_6C8yv3DYI4uuMY5bPmB4YRB3Hy756VgNoC001XvXtjD7OIrzzfpWuIh76jGfefgiDNtlnWOb_C9c4xF7Z58wWm_zRRL-p9eJS_IspZai0goB87BiyxmaXYyq7_du4NIdZE6ekFs0phAOT30mQAWf8s7KMsawiG96j5qeYdAeRTJ_c1y2kRPi-8pn8RD10oHzAy5kmXvQ4UxvUb9eERLxop7MSOAU7PoLZJllFqgK_1Xd9qw_Vtyju6Pu1A1p9PcQiYtQAzzFXw9xIAiQzUdtSbLYm2lACMsRHbHdpsoZQBz7M4olqmPAYOuIYPB-OGvKN279lUf9KfoTZbW6wVbdvLAsRc7aRq9DfCJ1cDnLnRc30yjouwVmIMfMtUsKWTrGIOuX5NSJ6M12fPoGZe2uaOJH436T-o0tPaXYawmui4LxGriUQQuz4aL3QeLQ9tWngrWV3HagGM1FkqTL7IY8Vz216Umo9xwWPajG7hlFYXnYZAO7U5s74wLad6u5xyNv-IUc-yh-s1BjDnI65au8rg_kSKCNqA3-x65G1enBCgRUZcFrjTgDvgxnEj20MyiDeGoVB7i-hlAUovWBENPklLQseQkc9Bm96HY-bLebkBVwq7U1gB-pvrXTPsihc7sdXmvPGSv2_d1vipky2jnklmPwSm1kvD3OuQemp_bFhKgxr4LCGoKtnMTM6bCm9XZX4e1xq0L0tqrTt8iNVmOD_VZp-4sqJfsmeVOAZmc9r5UImrNdKtypUQEgwA5VySv2IHQsnOMATLYN5zpy398qsjngq-mEB6n9CCJrltjoMzPAjoz7HOtayMfGpVOqH6E0Q71fwCc36ZMiELohARmyi_B7pjdJ21-EayOPgyK7Oo0bGvHYaC-nEbSOLhWQlVHGyTrr9QOfA-zDsSuR-A_YKu77yHPoyjsWIeMVNuuFn96XUteO79TcqaDbW4gHbNf5JswcsDk2gq5SIG3RTFtLQnGFuoEpTuROlm2VpohkRVH-c3DC-TdwDq8fSIRVtydgiOuYJ01paVUHmIFW1ZNitvA_UgjQzjn2KItcnUMHPwQPdZ7V9I6ncYv8JleLf7A4y3RsNozVSfSxulfDL7c5MvjWS19dBia_NhG9Ep-Ht3QZTPTEZMD3gBPa-ynuxFAt85JnitePIiw4j-9edmkGzWuSssGdigybPh2pArui9b7JN_dgOsWzCSP-pcCHu8hLatdffknG8jbTcxZndbLFocim_SJv7rZyLJqCOdkE26eXLaKVUkLnyPXn38_NoUzmz8BWbKNQpeQk4vZTHklIuf4JUteVuEHVlz2mmdy6J93KiACdAb5MSoA7B_PQgbSuXZRxzMH_8JHpk3DFGEzHmxI34_uRRoNHFJMjxvPwrw17b7QMMPcFGECTdqeo8ciJY8mWHHqsD7iERCxfxTYnPD8N5VPl8JmiJb3Xq5pAj7tc6M/https://www.amazon.com/stores/page/DA873BC5-BDBC-416E-97DA-7F10F150279C/?_encoding=UTF8&store_ref=SB_A01160126NCZUK6XTGKA-A0404460SR3XUCI5W4MO&pd_rd_plhdr=t&aaxitk=ffe11a8816e2d778cecb445e60c6e99e&hsa_cr_id=0&lp_asins=B0G11S9H7B%2CB0G11FJ57M%2CB0G123TP94&lp_query=lemon%20party%20decorations&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=lTSaP&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=R5E6QD46JBGS3G786RR4&pd_rd_wg=JXHMR&pd_rd_r=14550fc3-4378-4504-817d-4b301f0d220a,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/534fef2e-c21c-44db-b504-9da9cd1b55a7._CR0,0,781,702_AC_SX130_SY60_CB1169409_QL70_.png",,Lemon Party Decorations with Yellow Lemons,2026-04-22T06:53:01.377852,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-22T06:53:01.379313,
3,1,Organic,,1.0,B0F6C1F2P2,"2 Pcs Artificial Lemon Flower Garland Vine, 14 Ft Fake Yellow Lemon Vines Silk Flowers Hanging Floral Garlands Decoration for Room Wall, Flower Themed Party, Wedding Supplies",N/A,$22.95,,3.8,14.0,False,https://m.media-amazon.com/images/I/81YnLHGCTQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81YnLHGCTQL._AC_SL1500_.jpg,,2026-04-22T06:53:01.383167,
4,1,Organic,,2.0,B01KOKCYXQ,"Lemonhead Hard Lemon Candy, 0.8 Ounce Boxes (Pack of 24)",N/A,$5.64,,4.7,6325.0,False,https://m.media-amazon.com/images/I/71M0uqeacYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71M0uqeacYL._AC_SL1500_.jpg,,2026-04-22T06:53:01.389782,
5,1,Organic,,3.0,B0GFMT9TYR,"Sunexinlo 6FT Faux Lemon Tree with Vivid Leaves and Realistic Lemons, Fake Lemon Tree with Pot, Artificial Trees for Indoor Outdoor Front Porch Living Room Office Home Decor",N/A,$48.99,,4.0,1.0,False,https://m.media-amazon.com/images/I/71yF3hVXqkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71yF3hVXqkL._AC_SL1500_.jpg,,2026-04-22T06:53:01.393461,
7,1,Title,,,,Debug info copied.Sponsored15PCS Summer Lemon Party Decorations Paper Lanterns Pom Poms Hanging Swir,,,,,,False,,,,2026-04-22T06:53:01.394805,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-22T06:53:01.395036,
9,1,Organic,,4.0,B0GFWHV6L6,Lemon foil Balloons Summer lemonade with leaves Balloons for Fruit theme birthday she found her main squeeze Bridal Shower Sweet Baby shower Lemonade Centerpiece amalfi coast wedding decorations,N/A,$14.99,,4.5,9.0,False,https://m.media-amazon.com/images/I/71MK60U726L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71MK60U726L._AC_SL1500_.jpg,,2026-04-22T06:53:01.399619,
10,1,Organic,,5.0,B0FY35QC19,15PCS Summer Lemon Party Decorations Paper Lanterns Pom Poms Hanging Swirls Yellow Theme Lemonade Stand Italian Decor for Birthday Home Backyard Indoor Outdoor,N/A,$20.99,,4.8,6.0,False,https://m.media-amazon.com/images/I/817bFp7sBwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817bFp7sBwL._AC_SL1500_.jpg,,2026-04-22T06:53:01.403250,
11,1,Organic,,6.0,B083SKP8QB,Winlyn 30 Pack Faux Yellow Lemons Artificial Fruits Fake Lemons Lifelike Simulation for Lemonade Party Kitchen Table Summer Decorations Vase Fillers Fruit Bowl Lemon Wreath Garland Photography Props,N/A,$18.99,,4.7,2487.0,False,https://m.media-amazon.com/images/I/61GEkhiWqLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61GEkhiWqLL._AC_SL1500_.jpg,,2026-04-22T06:53:01.410242,
