data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Luau Party Decorations,https://aax-us-east-retail-direct.amazon.com/x/c/JM2HzGIkYk51R0vemo5o8EQAAAGdr9_K1QEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICBHLezV/clv1c_ek-wBIPXIkbXDv5is65tu1aQUIkyebOSrOah5kDClzYIJ9rnJ1KVI4o9WHHOppz6dSy1RuE_5i70N5cW6bGfkWKqO_lC4Y6zU6kFk5Pu_0DH_3HIpC7IC-SY4PQc7hKxVysU-1EmkNVZWuZ71VrpUNDToN6TsgXqWOTwzC7KRIYeUgctxsW44Bf_--283jISObHGFiIrHQTRx1zJZ8nDOXreRF0qGhBwdbXEzHiW9bjBVdt92FaSdD5Xlhy6Q8VfUM9yGLZI-8E6p8phNBb4AInMYFhNMsnJx8JhCQiwaNOLFApybI2UcXh7uwLOx44VFq6gvZcagx1UeghVI00oKsNlWF_qvO_6H_zWB1ATqrqCFZJLeKuAzHn5TD8m04CwSUlR4uumYtxGENryi_Gyt3ds3rQnCYtF0R6YtWiwIFJJCTjWX3mxRziSTWI0szrDIj3DcN7WoeLto-rrnGDVhRHNRUhe-CIBWu1Kotvj5N-oXSWfvvIRYRj4zeNhBZu5F-aPsokVwV1qIXcjLbxLwfafIWo6FOXAFG7eHGrYK28PYKpu7T8WWp40pbajONa_pmgkXgz3aq_HvkwXmNLhWIy0lx2aBI1CZ-ztZx32V9tEuh_T8PN2RPAUDPmVuU2O_EYeSq0DxmzQ6NZfwdL0c5sGZEFEpk0_9cgEGZlbE5IVb5BgQrhS2nC63Sw9raqnJc7Rw3yzF057tddtRZFc5Mh5Qx5nstWmAxwswY0ixBpFsWjDHVpT4jG17mHIO0I-hDh29G8OYzORK0aFRBPM0XmmxnPHaMAi3qEm_DMJx0Z8ADb3ZupRaIxa6hZo13-rXxb58EdFROsK8jWP0m1kJpBIqrhbLHNK1Hm4yY2kjRkW7DL4XiGIlXvgRGbAoTKWopW2neGIXlbR5fcmF_LHTrZwrAAxmBOuP5NofJ20j_h5E9oLCAgi_XbBtBPPFpYl1HFjihTxaSvF8eaXwvJ_Duma-QuqcrCWt9ZvfkpkMKsRQSbrsA3hN9sIkSNK2Pa17Gvo4ST79wVmEJOaKLXniqgUFf4fUHRu4m_Xc9xi0RNoWhgfVDBw9tlzznbkuCmD8R5DwAcWX6rUsAKKuRHyoFNhQZ2dfhYIaEzxiy7ZYUlZ1E9nML3J01XnHYh_qnfKdvssgt0uewbnbZOi4nxWYCutw59hti3F6LKb1SpcQ3Zs_1bdNLaXS3deSmcK5RvqBZcloODFQaZrYkf-tVZ9wYwGPNthd6EGCjz8kK7MGOAr1N4iVyRd3x2B7D3cno0_CCnGOgwhG_1h0GycvdXML-_NifvwDQuV5lHZ1yr4YmKd5u9M7v2DMaW2KhXRZhV_xjvopxiMzJQMA0Lz72NI4mGKKaQWugvvnMW570zkrL4VZwMfcPsKiv0xad0PKA1lzJ8z5JYL7-UW_KWarbjX7ZYRGzGXKrgbuzp6owj7nLMN0l3XV0JhKF6BJqlyqjAJY_A8SrB1yNg4zh4u4urZ4vgUjFJKclDFQTgmY0JEuAl1xCOnHooTlrud43O8zGYPmW3DGkp8QLPvSHZbC0Apq9N1WUscJ7ch5Pui1229VkgQJZ0tDskorz6FpEHhgAHdUDkjglh7SDZwtRiQmqjYy6ZgmeIoDZJIBNuOfk3uE84G8UeQotk6ANmB5Erzx5C5yRzxruiiw1x2scd39gl9p7FNEg/https://www.amazon.com/stores/page/03B2A611-0CC7-4F02-B07C-B3C3201FCDF4/?_encoding=UTF8&store_ref=SB_A08572753TPV7BIJKHJXD-A06583893JYOSEDL6ZR11&pd_rd_plhdr=t&aaxitk=5521e88bb42d979098c80feb81005f73&hsa_cr_id=5752477420401&lp_asins=B09NM3H6Q8%2CB09Y1FJ967%2CB09TVFMBFB&lp_query=luau%20party%20decorations&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=hKX1c&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=QJV5B02YVSB2D0FN9B1F&pd_rd_wg=vAA5B&pd_rd_r=8a2b2a0f-46fa-4e0a-9bfa-ffb18bacd004,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/34b9de36-72e1-40c4-80b3-6b8a2d8a468c._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.png",,Luau Party Decorations,2026-04-21T11:49:39.672966,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T11:49:39.674036,
3,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2699.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-21T11:49:39.680798,
4,1,Organic,,2.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,$11.99,,4.6,10884.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-21T11:49:39.686005,
5,1,Organic,,3.0,B0GJD3TBHC,"Fovths 1 Pack Luau Grass Backdrop 6 x 9 Feet Extra Long Hawaiian Party Decorations Tropical Straw Yellow Party Favors for Hawaiian Luau Tiki Bar Parties Decor, Photo Booth Props",N/A,$26.99,,,,False,https://m.media-amazon.com/images/I/91iNbGi4qAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91iNbGi4qAL._AC_SL1500_.jpg,,2026-04-21T11:49:39.689447,
7,1,Title,,,,Debug info copied.SponsoredCanlierr 40 Pack Tropical Party Decorations Supplies Large Tissue Paper H,,,,,,False,,,,2026-04-21T11:49:39.690263,
8,1,Title,,,,Luau memories made easy – snap & smile!Sponsored|Shop FriendaShop nowPrevious pageFrienda Hawaiian P,,,,,,False,,,,2026-04-21T11:49:39.691418,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:49:39.691577,
10,1,Organic,,4.0,B0F2RXN18F,OHOME 2 Pack Luau Party Decorations - Plastic Tablecloth for Hawaiian Theme Party Decorations | Tropical Summer Beach Pool Birthday Backdrop Favors Supplies,N/A,$6.29,,4.6,900.0,False,https://m.media-amazon.com/images/I/91VMLJwCDvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91VMLJwCDvL._AC_SL1500_.jpg,,2026-04-21T11:49:39.695868,
11,1,Organic,,5.0,B09NM2FPKX,"Fovths Luau Grass Table Skirt Natural 9 Feet x 29.5 Inch Hawaiian Table Skirt for Tropical Hawaiian Party Decorations Luau Costume Party, Straw Yellow",N/A,$8.49,,4.5,2400.0,False,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_SL1500_.jpg,,2026-04-21T11:49:39.700915,
