data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Luau Party Decorations,https://aax-us-east-retail-direct.amazon.com/x/c/JClwmYHih6ovbKHKPxg8pNcAAAGdr94UfgEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDIgICCbXwMP/clv1c_ek-wBPHXUsbWHn2mJsob8xPAyXQxfYur0OusRRBoPfVcI9gsfQVK-OK3k4WPfrfQMs2nsxh2QV5EuvXr1v2bkALBdcMREIk4V4fh7vWjxK2yGh_xUMdlry9849HsdtJW3qqSy7JpyySKgEHorIIxIsxLIdyOhtXrWeVzTDKe9mYvGOgTd3OLytk6u1BDMxIjFvK44_7bf4dL0OnLsGKQwmeJlHO8hMT8EikewMv_E_TBt6sNSvfVHHx8Y9m9A439mmDqAILvrgiCWX0FzizcoiR3vXlBl1Y9ZUSr03s135DSo1pRBvSILMnt0pYREpl8cycG_9KnnWKA2laZuoqjRKFHt0ox8ZHFccO0VCLWCmmkDWNjP5gpPOQs6X05Pwr5yOeR2F7rAr8x9pLss35f6bf5nNyM6nbcYXipCdgLI2S1StJL7QA5-OQ8ircGWqsSzuzLfNB1eazRwLGX55TCfX8aCU0980KJDGwow0JMZW8b0noTn1f2kEkhkfsLiov3iteDsP-rhEErS_k6oxV89O1SeR3wB2G5Suxx5FMFbJnxrN-isuShEafyf_2JPv4RQ_tBOdScaJSAAhDb_YC8vT5tQg3XIRoTnQsjxnPF9eeKVczshrRB6POZvpzmjxu5OUZ_i9pfVMmEnM9_nOy4hnss3wQAjCHZlFPPvsCzZHBF2DArtyjv4n97f8e-g5VLwzxYiMCNhu4dTJDbBtGx2GF5vjjTqFYC37Kn7MgSljFc1MDUpukqrHQJ3CmN8z77U6jjD97iXXfJObvllyo73MVrLt6JY8twRnw5KafniwLP9AjI-lJequsF87m__rmWAfX44ln74FJBty0dCnog-RlPrRAbNO7xIgoWv9mmnLFZsMh_tNiZKAfpAsJYIOqpC5xUDgLKvWCCLznhYY4j_HfRyEB9Pp350DTNd4SNBfFSg9VD614yHTzg-Elzs-Qx5WJLu9e57ZtApNyRRK5U68edFpADY7WUoE7dOCECdRFRLrYG6A5iZzwHyeoUSui3oB_l-BxAGYGHDMwF2tqT7URPbwZT7BNf1E4_YwdM-8bvDTbQ41mL2ypF6hg4Hj4JsSAqBxJfepEMwRUOPzI2x-RAi0qCGX3HvhN9kLYd4cMMvG7LHHBr4TvG5kKTMpvWWBbRrCvSzaJ1suU2D8JA3HVCY8vSqHs5Oswxca6h_UCB2lnWz1SWiFrfjN_TVqJMZZN6FW1XVZSmNjWKb7yvZUzu-veSbpVKVE87l3KeZR-fn2_5G1EU0g1evWjsSvJIRPdwEKdcrSdC_OcFk_MkTBqimfdhKPwu6PFiEOZcZDLb_se4s4cOkMsYW5Xj5BSS4ev8dXL19EvL7g3TLd_OG3i-SlRe_rdpVQQIlcIL09zte3aupcUx69s002KVytXfClufTHwP0LVrB_zJ9z6YLYVacrzUHrexNkNye5pQlTbdIuYg62Y4TIckCFkk5Ako7TQ1LE_Al5iNnk1oiL_7MJ9Qic2jVaoZK_mHFidV8cVV1jGCc-0ZVLIjzCddbiUSYzLHKnCLerJc7TEH8j-ijPx2EU7Md_hcQnzX9wy42jhlnTK8NAH54a63nYsjYrt8zciY_G85tHTZbZELzPSiZ5CvNyhiNR0XaXhgvgAtCVTmQGjxaSxbFSuivqZMkeSCiesQ8nxbUBCZIDt6gbvE-4G5c2gXOSlcR5FfLRzPDzPJqk7i/https://www.amazon.com/stores/page/5293A3C0-4DB5-4472-990F-B965D60EE00A/?_encoding=UTF8&store_ref=SB_A07795963POCTO23QX4GV-A059678259FNOVC2X5G1&pd_rd_plhdr=t&aaxitk=d56eab758393d5e5d6edadc5905ab1f6&hsa_cr_id=8042606210001&lp_asins=B09NM3WQH6%2CB09Y16XSWR%2CB09NM3RNCV&lp_query=luau%20party%20supplies&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=uvbfU&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=P6QPBR5TSKF3SB17KBM6&pd_rd_wg=tGhK8&pd_rd_r=99c3402a-1ff4-4397-9c68-b54e00894971,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/34b9de36-72e1-40c4-80b3-6b8a2d8a468c._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.png",,Luau Party Decorations,2026-04-21T11:47:47.271603,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T11:47:47.272535,
3,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2699.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-21T11:47:47.277845,
4,1,Organic,,2.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,$11.99,,4.6,10884.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-21T11:47:47.282136,
5,1,Organic,,3.0,B0BRXTH8YD,"Hawaiian Leis Luau Party Decorations Set, 54Pcs Hawaiian Luau Party Supplies Flower Leis Necklaces Headbands Wristbands Grass Hula Skirt Lays Tropical Summer Beach Birthday Holiday Party Favors",N/A,$14.99,,4.6,180.0,False,https://m.media-amazon.com/images/I/91gg2g1qE8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91gg2g1qE8L._AC_SL1500_.jpg,,2026-04-21T11:47:47.289780,
7,1,Title,,,,"Debug info copied.Sponsored25"" Inflatable Luau Tiki Pool Toss Games, Tiki Pool Ring Toss Toys with 4",,,,,,False,,,,2026-04-21T11:47:47.291169,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:47:47.291404,
9,1,Organic,,4.0,B00OCGUG02,"Hefty Party On Disposable Plastic Cups, Assorted, 16 Ounce, 100 Count",N/A,$9.97,,4.8,35430.0,False,https://m.media-amazon.com/images/I/81uf-BZz2eL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uf-BZz2eL._AC_SL1500_.jpg,,2026-04-21T11:47:47.297697,
10,1,Organic,,5.0,B0F1CZBKQZ,"Atonofun 80 PCS Leis for Luau Party Decorations- Hawaiian Leis Bulk, Luau Party Glasses, Colorful Bracelets, Flower Headbands for Adults Tropical Birthday Summer Beach Luau Party Favors Supplies",N/A,$21.99,,4.7,210.0,False,https://m.media-amazon.com/images/I/81wie7bpooL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81wie7bpooL._AC_SL1500_.jpg,,2026-04-21T11:47:47.301240,
11,1,Organic,,6.0,B0F2RXN18F,OHOME 2 Pack Luau Party Decorations - Plastic Tablecloth for Hawaiian Theme Party Decorations | Tropical Summer Beach Pool Birthday Backdrop Favors Supplies,N/A,$6.29,,4.6,900.0,False,https://m.media-amazon.com/images/I/91VMLJwCDvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91VMLJwCDvL._AC_SL1500_.jpg,,2026-04-21T11:47:47.305408,
