data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:51:56.819224,
2,1,SP,1.0,,B0FHK5H93M,"Personalized Funeral Welcome Sign, Minimalist Celebration Of Life Memory Poster, In Loving Memory Welcome Sign, Funeral Favors, Celebration Of Life Decorations, Memorial Decorations #18",N/A,$19.95,,4.8,13.0,False,https://m.media-amazon.com/images/I/71g5c9ztr1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71g5c9ztr1L._AC_SL1500_.jpg,,2026-04-21T12:51:56.823066,
3,1,SP,2.0,,B0F1ZWPXRN,Remember and Honor Banner Memorial Day Party Decorations for Patriotic Soldier Veterans Day 4th of July Independence Day Party Supplies,N/A,$9.99,,4.0,2.0,False,https://m.media-amazon.com/images/I/719KR5zGyYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/719KR5zGyYL._AC_SL1500_.jpg,,2026-04-21T12:51:56.827567,
4,1,SP,3.0,,B0GS95YDDP,"Memorial Day Decorations - 71x35"" Memorial Day Remember and Honor Banner Door Cover, USA Patriotic Backdrop Front Sign Party Supplies",N/A,$10.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/71vokEEfvAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71vokEEfvAL._AC_SL1500_.jpg,,2026-04-21T12:51:56.832385,
5,1,SP,4.0,,B0F294LSMX,Home of the Free Because of the Brave Banner Memorial Day Decoration Honor Patriotic Backdrop Thank You to Our Heroes Garland Veterans Day Celebration Decor,N/A,$8.99,,4.4,6.0,False,https://m.media-amazon.com/images/I/81IjExiH++L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81IjExiH++L._AC_SL1500_.jpg,,2026-04-21T12:51:56.836002,
6,1,Organic,,1.0,B08P2RHMSD,"Juvale Rectangular Memory Table Signs - Easel for Funeral Signs & Service Accessories - Celebration of Life Decorations for Memorial Service - Funeral Memory Table Display - Pack of 2, 9x4 & 11x8.5 in",N/A,$9.49,,4.7,834.0,False,https://m.media-amazon.com/images/I/61HgHq6Pp8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61HgHq6Pp8L._AC_SL1500_.jpg,,2026-04-21T12:51:56.842962,
7,1,Organic,,2.0,B0FKHH4P66,"Happy Birthday in Heaven Balloon Banner,Funeral Memorial Party Decorations,Heavenly Birthday Party Decorations Supplies, Silver",N/A,$7.98,,3.0,3.0,False,https://m.media-amazon.com/images/I/617iYObNbEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/617iYObNbEL._AC_SL1500_.jpg,,2026-04-21T12:51:56.848875,
8,1,Organic,,3.0,B08L933P59,"Skylety 36 Pcs Memorial Balloons with 4 Peace Dove Balloons to Release in Sky Remembrance Helium Decorations for Funerals, Heavenly Birthday, Anniversaries, and Memorial Services(White)",N/A,$9.99,,4.5,1691.0,False,https://m.media-amazon.com/images/I/71HMmROxr6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71HMmROxr6L._AC_SL1500_.jpg,,2026-04-21T12:51:56.855913,
10,1,Title,,,,Debug info copied.SponsoredSPEEDYORDERS Custom Funeral Sign - Photo In Loving Memory Sign - Personal,,,,,,False,,,,2026-04-21T12:51:56.856977,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:51:56.857125,
