data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T12:42:50.050149,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:42:50.050803,
3,1,Organic,,1.0,B0CP2CDRJD,300 Pcs Mental Health Stickers Motivational Affirmation Stickers Mental Health Awareness Items Positive Waterproof Laptop Bottle Feelings Decor for Mindfulness Train Adult Employees(Warm Color),N/A,$13.99,,4.7,196.0,False,https://m.media-amazon.com/images/I/81BTusdOvDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81BTusdOvDL._AC_SL1500_.jpg,,2026-04-21T12:42:50.056781,
4,1,Organic,,2.0,B0G7TD3ML7,Moon Boat 144PCS Mental Health Awareness Month Bracelets Bulk Green Ribbons Rubber Stretch Wristbands Inspirational Message for Men Women,N/A,$20.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/810OVeBIS+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/810OVeBIS+L._AC_SL1500_.jpg,,2026-04-21T12:42:50.062526,
5,1,Organic,,3.0,B0GMQBKYCF,"Eaasty 120 Pcs Mental Health Awareness Magnetic Bookmarks Green Inspirational Therapy Bookmarks for Students, Teachers, and Mental Health Awareness Events, Positive Psychology Affirmations Gifts",N/A,$24.99,,,,False,https://m.media-amazon.com/images/I/718IskSH9dL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/718IskSH9dL._AC_SL1500_.jpg,,2026-04-21T12:42:50.066761,
7,1,Title,,,,Debug info copied.SponsoredJutom 50 Pcs Mental Health Awareness Pin Bulk Mini Buttons Green Mental H,,,,,,False,,,,2026-04-21T12:42:50.067877,
8,1,Title,,,,"Men Women Mental Health Band, Share Healing EnergySponsored|Shop SosationShop nowPrevious pageSosati",,,,,,False,,,,2026-04-21T12:42:50.069070,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:42:50.069198,
10,1,Organic,,4.0,B0DK2WZPDP,"100pcs Mental Health Stickers for Water Bottle, Mental Health Matters Awareness Therapist Waterproof Vinyl Decal for Kids Adult Girl Laptop Skateboard Phone Notebook Guitar(Positive Affirmation)",N/A,$5.99,,4.6,297.0,False,https://m.media-amazon.com/images/I/81R2yZbq3oL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81R2yZbq3oL._AC_SL1500_.jpg,,2026-04-21T12:42:50.072287,
11,1,Organic,,5.0,B0FQVV4RWG,Henoyso 100 Pcs Mental Health Awareness Month Keychain Bulk Acrylic Green Ribbon Keychain Butterfly Gnome Mental Health Items for Public Charity Events Supplies,N/A,$26.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/81VUFrkfrhL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81VUFrkfrhL._AC_SL1500_.jpg,,2026-04-21T12:42:50.076830,
