data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Mental Health Month Mental Awareness Lapel Pins,https://aax-us-east-retail-direct.amazon.com/x/c/JN-XdqIt6SjdNL0Ua8Ec9g0AAAGdsA7GSwEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICA2CArW/clv1c_ek-wBIXWUsbWHX0mJtZrB16WtD5hrqCyJI7zIMVA9_zEQUfZbMdQE6cxa6jgNJl-asXFnoHvDxKJgg2DnFIz6t-J6-DaCHVNvuz23pUuzI4mCTEPSwtOI1rz8LX05vU_VJx75uIsoTMm6NmhLb5v-pU0sJyejn2qE8JUTTW0wpb32aqfE2OHqYcyMwpHz2CPmG3JLp4OGxT0yQyNXphAdg_Rj308i8QchMdV5Y-uF98YRLSTKSuWtNKdw0DffluVxht2FooVHxJeKirl5p5B1RGlo3g5zXDNg6XF5_gNugu5d579WfrRUVOuEizjonuyUlHcFJWhhJ8V72cqUQeTNJa4F2SFhOSzvkLFnBVFYxFuELI4ql0HK130OYkyTsMm6boT2T2btiPShS4kbu2EUZmT6t4HxQTbV7_tPZtCPL7DdTL9r_MSBoGX213ThHkLRhk3tSbjgOQ98B21KUyL1KtLVkY2JSRGA4jD2VDqFr5qSu8dJUZo_nQj9yx4RhR_gVYjlzbPZnfOGn1Amug8T2f1_AQaGQzGJt76fRlfyOU--h0XoHwnyOYJ49OtW_18JY25iIRNFMlPs31MmfHVtlrSflXW1GkLXzN66MRPkW51CBBh47AqnuMBpEoBKlmjqojMgsHUofA1WNTBgBXOjzn-l7WoFvxAWpE-oM-ZA0U_FGc6Mr-CMHs4hWVDPYj2WLo3rBF0XTUWtyHwnIpzQkJZJo4mQbMONDPmxG8QzQ7M5LsHqwiQmJ3P9whmqGhp2ZWuvUCKib-Im9XDkDLU_2PLYN0GdqdE_lx8kcRyqHkq0kDf3oRCs9KT7mcSFTbluGo6FgI2aYmVTTGskC20adaht7hElI7qpLwwudomCf-YkFASsiVI7-impn92bRAjEvv8g10uBB_HO1ADIcaEYBLfj1Nji1ZLj5Vi9oIRKK6FNnUh_2OFaMctIUoZEmYvnYQJ-V3Y08FK4ecj71Vjd0joqon7H-ERFFk5ExWqYPzoeEL_W6wFqbIGKrXKFix3P73MvevYtjAQCLGRESSamCe6Y_FhdhoGEim27X5f2eVSc6SnMNw3XdQnza8QdzARy1-4NQhUzNS8koZp0nzZOKe6T6_1iY80G1LqYg2Dn1sz9_NYQcrqy3SDld624-ONaJUX75jN9GWGn3xZmbhfsLxQZQIMxE8GSBVEzJMZ9kj_d8dgsWiVYT2jcm1VWC91ab_tIW8JWGQRQiEix0c3xURdGJvUZdE58xlQbLLu_ksHaljZ-DvIhQQO3RyOtvT0XyGPQ55l381jDLzEumApZ70VQfwGEe6BfDviOV418xVSTTkkD6NNX4msbvUhZ5JSmLT8XOSD6ieAx6CXCXhkGUv6F6otVoYHhrgHx41Ok1ENWt2L7mJmaoroHtrdKFHmGX7chyuv3o_Ni_OpRaYD3PllVWXadzhHSKMNujT9hQyDcWShZhiedN3bK6VkJMDZuv8PjeUwpMEv2PP1d7KslIztLrFzUFYVrFt9pbldtexQw4ZggNQ0Xc3sr4-ol9JMWowxgSb2zDwpC9fNyRDvR0ihRS5N5WOeDr5xKGedVAm-1W-Vc_sr_Scl7CYc_iL7ax5XxHlUP0DVvDfn-aX8-Y1oXhQwDHf_Cg_eLV_Q-8gH-d1xCuw_-2oUiciscwdCF-WEgAtnYUzUEvR1/https://www.amazon.com/stores/page/F9F1A212-062F-4D99-A521-3CF8EDA52E35/?_encoding=UTF8&store_ref=SB_A09832951IMVIAUWC88KA-A09864313U6P2RK2EXJ7E&pd_rd_plhdr=t&aaxitk=4c0a1e94b1053bdd35d16059940fb6a2&hsa_cr_id=0&lp_asins=B0CBCHGGGR%2CB0DQKX4QKC%2CB0DQKXVDTS&lp_query=mental%20health%20awareness&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=l3VQW&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=76FPCGST6NK8Y9RN105Q&pd_rd_wg=qcwmN&pd_rd_r=8621af94-f34d-46fb-af61-d62348362d52,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/c5f4c14e-f098-4d09-aaca-350f5cdb42e9._CR0,0,4168,4168_AC_SX130_SY60_CB1169409_QL70_.jpg",,Mental Health Month Mental Awareness Lapel Pins,2026-04-21T12:40:59.028621,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:40:59.029215,
3,1,Organic,,1.0,B0CTHKVKW2,DEEKIN Mental Health Rubber Duck Bulk Green Ribbon Mental Health Awareness Items Gifts for Adults Self Care Charity Office Therapist Favors(60 Pcs),N/A,$26.99,,4.8,72.0,False,https://m.media-amazon.com/images/I/81UeTCWBr7L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81UeTCWBr7L._AC_SL1500_.jpg,,2026-04-21T12:40:59.034951,
4,1,Organic,,2.0,B0CV9ZQ2HF,"150 PCS Mental Health Matters by Puraesla - Stickers Pack for Journals, Laptops, Water Bottles, Therapist Office Decor, Counselor Office Must Haves, Positive Quote Decals for Mental Health Awareness",N/A,$8.99,,4.7,297.0,False,https://m.media-amazon.com/images/I/91ZyGkJtKvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91ZyGkJtKvL._AC_SL1500_.jpg,,2026-04-21T12:40:59.039155,
5,1,Organic,,3.0,B0G7TD3ML7,Moon Boat 144PCS Mental Health Awareness Month Bracelets Bulk Green Ribbons Rubber Stretch Wristbands Inspirational Message for Men Women,N/A,$20.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/810OVeBIS+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/810OVeBIS+L._AC_SL1500_.jpg,,2026-04-21T12:40:59.044429,
7,1,Title,,,,Debug info copied.SponsoredEaasty 151 Pcs Mental Health Awareness Items Bulk National Stress Awarene,,,,,,False,,,,2026-04-21T12:40:59.045449,
8,1,Title,,,,Mental Health Month Mental Awareness Lapel PinsSponsored|Shop HarloonShop nowPrevious pageHarloon 25,,,,,,False,,,,2026-04-21T12:40:59.047782,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:40:59.048034,
10,1,Organic,,4.0,B0GHFXZD3B,"Mental Health Awareness Month Decorations, includes Mental Health Awareness Banner and Faith Hope Love Strength Inspiring Theme Bulletin Board Hanging Swirls, Green Mental Health Month Office Decor",N/A,$10.99,,,,False,https://m.media-amazon.com/images/I/81j+9bHJtVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81j+9bHJtVL._AC_SL1500_.jpg,,2026-04-21T12:40:59.051932,
11,1,Organic,,5.0,B0GJ5W1ZCK,120 Pcs Mental Health Awareness Mini Ducks Green Ribbon Resin Duck Bulk for Charity Events Fundraiser Giveaways Mental Health Small Gifts for Wellness Campaigns Awareness Month Event Giveaways Decor,N/A,$16.99,,4.6,3.0,False,https://m.media-amazon.com/images/I/81J1ihAAWDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81J1ihAAWDL._AC_SL1500_.jpg,,2026-04-21T12:40:59.056076,
12,1,Organic,,6.0,B0G8ZJ5KWL,"WATINC Mental Health Awareness Posters - 6PCS Green Mental Health Heart Bulletin Board Decorations for Classroom, Educational Psychological Therapy Counseling Wall Decor for Office Charity Supplies",N/A,$6.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/81WCHQ3oufL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81WCHQ3oufL._AC_SL1500_.jpg,,2026-04-21T12:40:59.060444,
13,1,Organic,,7.0,B0CRVF6L4G,Wettarn 1140 Pcs Mental Health Awareness Items Mental Health Awareness Accessories Set Include Stickers Buttons Stress Balls Pens Silicone Bracelets Rubber Ducks Lanyards Safety Buckles and Keychains,N/A,$57.99,,4.8,8.0,False,https://m.media-amazon.com/images/I/81ptx+ihLbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ptx+ihLbL._AC_SL1500_.jpg,,2026-04-21T12:40:59.064642,
14,1,Organic,,8.0,B0DK2WZPDP,"100pcs Mental Health Stickers for Water Bottle, Mental Health Matters Awareness Therapist Waterproof Vinyl Decal for Kids Adult Girl Laptop Skateboard Phone Notebook Guitar(Positive Affirmation)",N/A,$5.99,,4.6,297.0,False,https://m.media-amazon.com/images/I/81R2yZbq3oL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81R2yZbq3oL._AC_SL1500_.jpg,,2026-04-21T12:40:59.067932,
15,1,Organic,,9.0,B0G7X8Q4WK,"Aneco 80 Pcs Mental Health Awareness Motivational Stress Balls, 2 Inch Green Awareness Foam Ball with Inspirational Quotes, Stress Relief Foam Squeeze Balls for Mental Health Party Favors, Green",N/A,$37.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/811p4qHM9JL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/811p4qHM9JL._AC_SL1500_.jpg,,2026-04-21T12:40:59.071293,
16,1,Organic,,10.0,B0CP6WBQS6,Arrowbash 100 Pcs Mental Health Awareness Items Mini Star Stress Ball Green Awareness Foam Toys for Adults Mental Health Gifts Anxiety Stress Relief Toys for Fundraiser Gifts Supporting Minds,N/A,$36.99,,4.7,11.0,False,https://m.media-amazon.com/images/I/8102KEFOeNL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8102KEFOeNL._AC_SL1500_.jpg,,2026-04-21T12:40:59.074636,
