data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-22T07:14:42.599448,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-22T07:14:42.600524,
3,1,Organic,,1.0,B0CQZLNT5X,BeYumi Flower Bouquet Craft Kit - 24Pcs Mother's Day Flower Bouquet Craft for Kids Make Your Own Bunch of Flowers Teacher Appreciation Week DIY Thankful Gift Set School Classroom Home Fun Activities,N/A,$18.99,,4.4,107.0,False,https://m.media-amazon.com/images/I/81OQ-6l3bjL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81OQ-6l3bjL._AC_SL1500_.jpg,,2026-04-22T07:14:42.606690,
4,1,Organic,,2.0,B0GFM53B7Q,"20 Set Mother's Day Crafts Bulk Best Mom Hands Down Ceramic Tiles, 4x4 Make Your Own Mother's Flower Coasters with Backing Pads for Painting, Ceramic Crafts for School Classroom Activities",N/A,$33.99,,,,False,https://m.media-amazon.com/images/I/81eFy15BthL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81eFy15BthL._AC_SL1500_.jpg,,2026-04-22T07:14:42.610747,
5,1,Organic,,3.0,B0GLDTZ4YM,"WATINC Spring Flower Paper Pot Craft Kits - 36 Pack Springtime Mother’s Day Pom Pom Flower Decorations, Make Your Standing Glitter Gift Crafts, Fun DIY Decor Home School Classroom Art Activities",N/A,$19.99,,5.0,6.0,False,https://m.media-amazon.com/images/I/91qjqIHO9sL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91qjqIHO9sL._AC_SL1500_.jpg,,2026-04-22T07:14:42.614601,
7,1,Title,,,,Debug info copied.Sponsored24 Sets Mother's Day Craft Kits DIY Plastic Mason Jars Gifts Bulk Make Yo,,,,,,False,,,,2026-04-22T07:14:42.615703,
8,1,Title,,,,Wooden Painting Arts And Crafts Kits For Kids 6-12Sponsored|Highly bought brand in craft kits|Shop k,,,,,,False,,,,2026-04-22T07:14:42.616862,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-22T07:14:42.617000,
10,1,Organic,,4.0,B0F1FYMPTN,Fennoral 12 Pack Butterfly MOM Wind Chime Kit for Kids Make You Own Mother's Day Craft Kit DIY Coloring Wooden Art and Craft for Mom's Birthday Decoration from Son Daughter,N/A,$16.95,,4.2,381.0,False,https://m.media-amazon.com/images/I/710bMiRhMfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/710bMiRhMfL._AC_SL1500_.jpg,,2026-04-22T07:14:42.620879,
11,1,Organic,,5.0,B0CPP6M7RW,Durable Resin Garden Pot Craft Kit for Kids- 24 Pack Colorful Flower Plant Spring Crafts with Super-adhesive Stickers & Blank Labels School Activities Growing Kit for Classroom Home DIY Gift 4+ years,N/A,$26.99,,4.6,58.0,False,https://m.media-amazon.com/images/I/81N-2tO-mGL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81N-2tO-mGL._AC_SL1500_.jpg,,2026-04-22T07:14:42.624942,
12,1,Organic,,6.0,B01E4LWBLQ,Luna Bean Hand Casting Kit – The Original Hand Mold Kit – Mothers Day Gifts for Mom - Anniversary Engagement Gifts for Women Men Couples Wife Boyfriend Girlfriend Wedding Bridal Shower,N/A,$29.32,,4.6,45371.0,False,https://m.media-amazon.com/images/I/814tkFd52nL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814tkFd52nL._AC_SL1500_.jpg,,2026-04-22T07:14:42.629334,
13,1,Organic,,7.0,B0CQT5GHRS,Lineshading 24 Pcs Mother's Day Crafts for Kids Mother's Day Picture Frames Craft DIY Wooden Flowers Frames Set Mother's Day Wooden Flowers Crafts with 6 Styles Mother's Day Crafts for Kids Classroom,N/A,$26.99,,3.2,10.0,False,https://m.media-amazon.com/images/I/717TcK+5FyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/717TcK+5FyL._AC_SL1500_.jpg,,2026-04-22T07:14:42.633899,
14,1,Organic,,8.0,B0CQNLL418,ceiba tree 24 Pcs Color Your Own Mothers Day Bouquet Crafts Happy Mother's Day Coloring DIY Craft Kits for Kids School Classroom Activities Paper Flowers Party Favors,N/A,$5.99,,4.7,23.0,False,https://m.media-amazon.com/images/I/81vJoLhdWtL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81vJoLhdWtL._AC_SL1500_.jpg,,2026-04-22T07:14:42.637819,
15,1,Organic,,9.0,B0DYNDC7LX,Sereliy Mother's Day Coloring Posters Color Your Own About Mom Coloring Posters for Kids Mothers Day Gifts School Home Activities (Mom 36),N/A,$13.99,,5.0,3.0,False,https://m.media-amazon.com/images/I/81Sth+jJ0uL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Sth+jJ0uL._AC_SL1500_.jpg,,2026-04-22T07:14:42.642772,
16,1,Organic,,10.0,B0GHW4VSRD,"24 Set Mothers Day Craft Kits, Mom DIY Keychain Bulk Set with Acrylic Blank and UV DTF Stickers, Mama Craft Gifts Making Kit, Funny Classroom Home Birthday Art Activities Party Favors",N/A,$20.99,,,,False,https://m.media-amazon.com/images/I/71nodHRbZYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71nodHRbZYL._AC_SL1500_.jpg,,2026-04-22T07:14:42.646815,
17,1,Organic,,11.0,B0GK97YCJ8,BeYumi Mother's Day Keychains Craft - 24Pcs Color Your Own Acrylic Heart Keychain Bulk DIY Best Mom Key Ring Set for Kids Love U Mom Thankful Coloring Card School Classroom Party Favor Gifts Activity,N/A,$11.99,,3.9,13.0,False,https://m.media-amazon.com/images/I/81FB5IzOqrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81FB5IzOqrL._AC_SL1500_.jpg,,2026-04-22T07:14:42.650749,
18,1,Organic,,12.0,B000J3ZVMK,"4M Make A Wind Chime Kit - Arts & Crafts Construct & Paint A Wind Powered Musical Chime DIY Gift for Kids, Boys & Girls",N/A,$10.99,,4.5,9438.0,False,https://m.media-amazon.com/images/I/61-FGO3h6VL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61-FGO3h6VL._AC_SL1500_.jpg,,2026-04-22T07:14:42.655424,
19,1,Organic,,13.0,B0GJYW39B3,BeYumi Mom Necklace Craft Kit - 24Pcs DIY Mother's Day Best Mom Wooden Flower Pendant Beads Necklace Making with Greeting Card to Beautiful Mother Craft Gift Kids School Classroom Family Party Favor,N/A,$11.99,,4.8,18.0,False,https://m.media-amazon.com/images/I/81AR2y4NBvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81AR2y4NBvL._AC_SL1500_.jpg,,2026-04-22T07:14:42.659145,
20,1,Organic,,14.0,B0F1XRLH9N,36 Pcs Color Your Own Mother's Day Bookmarks for Kids DIY Mother's Day Gifts Wooden Blank Bookmarks Bulk with Hanging Tassel for for Mother's Day Crafts Birthday Gift,N/A,$13.99,,4.6,21.0,False,https://m.media-amazon.com/images/I/81dXKm896NL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81dXKm896NL._AC_SL1500_.jpg,,2026-04-22T07:14:42.663578,
21,1,Title,,,,More results,,,,,,False,,,,2026-04-22T07:14:42.664098,
22,1,Organic,,15.0,B0BVY3ZPN8,"AIERSA 20Pcs Best MOM Unfinished Wood Crafts, Mothers Day Crafts for Kids Painting, Wood Cutouts to Paint, Wooden Letters Ornaments for Mothers Day Gift,Mom's Birthday Party Classroom DIY Tags",N/A,$9.99,,4.6,236.0,False,https://m.media-amazon.com/images/I/81J9yMNFmmL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81J9yMNFmmL._AC_SL1500_.jpg,,2026-04-22T07:14:42.667367,
23,1,Organic,,16.0,B0DR8J36Y3,Fancy Land 24 Pcs Mothers Day Crafts for Kids Classroom Color Your Own Bouquet DIY Coloring Craft Kits Activities Mother’s Day Gifts,N/A,$6.49,,4.2,10.0,False,https://m.media-amazon.com/images/I/81H0cZS-uIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81H0cZS-uIL._AC_SL1500_.jpg,,2026-04-22T07:14:42.672209,
24,1,Organic,,17.0,B0DSRZBRMV,36 Set Mothers Day DIY Craft for Kids - Flower Card Making Kit with Greeting Cards Stickers Envelopes Set Gifts for Classroom School Activities,N/A,$17.99,,4.8,14.0,False,https://m.media-amazon.com/images/I/91tcN9X30fL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91tcN9X30fL._AC_SL1500_.jpg,,2026-04-22T07:14:42.676192,
25,1,Organic,,18.0,B0GRD83QCB,"HYPERI DIY Mothers Day Crafts for Kids Handprint Art, Handprints Wooden Rose Flower Bouquet, Mothers Day Gifts for Mom from Kids, for Grandma from Grandkids, Mothers Day Keepsake Craft",N/A,$14.99,,4.2,4.0,False,https://m.media-amazon.com/images/I/71ZHZ3NuxAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ZHZ3NuxAL._AC_SL1500_.jpg,,2026-04-22T07:14:42.679719,
26,1,Organic,,19.0,B0DRCT6Q9J,"Cosweet 24 Set Paintable Flower Pot Craft Kit - with Watercolor Pens, Plant Labels, and Stickers – DIY Gardening Gift for Kids, Fun Activity for Boys and Girls",N/A,$30.99,,4.4,37.0,False,https://m.media-amazon.com/images/I/71UF-COiY+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71UF-COiY+L._AC_SL1500_.jpg,,2026-04-22T07:14:42.685048,
27,1,Organic,,20.0,B0CW5V1QST,Spakon 30 Pcs Mother's Day Handprint Kits Crafts Happy Mother's Day Greeting Cards with 3 Pcs Large Ink Pads Gifts for Classroom School Toddlers Fun Activities DIY Craft,N/A,$33.99,,5.0,8.0,False,https://m.media-amazon.com/images/I/71f3-Cg16uL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71f3-Cg16uL._AC_SL1500_.jpg,,2026-04-22T07:14:42.688612,
28,1,Organic,,21.0,B09QRFPLD1,"Creative Roots Paint Your Own #1 MOM Stepping Stone, Craft Kits for Kids, Ceramics to Paint, Ages 6+",N/A,$7.99,,4.6,23342.0,False,https://m.media-amazon.com/images/I/81NhaoxlEML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81NhaoxlEML._AC_SL1500_.jpg,,2026-04-22T07:14:42.693718,
