data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T11:01:00.829206,6.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T11:01:00.830301,
3,1,Organic,,1.0,B0GSF2RN3G,"J6&H6 30 Pcs Mothers Day Crafts Wooden Flower & Heart Photo Frame DIY Craft Kit, Mother's Day Crafts Bulk with 5 Styles & Colored Diamond Stickers, for Class Activities, Party Favors & Handmade Gifts",N/A,$21.99,,,,False,https://m.media-amazon.com/images/I/81AT8jUg2AL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81AT8jUg2AL._AC_SL1500_.jpg,,2026-04-21T11:01:00.834976,
4,1,Organic,,2.0,B0DWXR4NWW,Supervitae 24 Sets Tulip Crafts Kits Mother's Day Crafts Spring Flower Paper Sun Catchers Art Kits DIY Tissue Paper Sign Make Your Own Flower Stickers Scene for Mother's Day Gifts Art Activities,N/A,$14.99,,3.7,30.0,False,https://m.media-amazon.com/images/I/817DmkEEuDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817DmkEEuDL._AC_SL1500_.jpg,,2026-04-21T11:01:00.840577,
5,1,Organic,,3.0,B0CQZLNT5X,BeYumi Flower Bouquet Craft Kit - 24Pcs Mother's Day Flower Bouquet Craft for Kids Make Your Own Bunch of Flowers Teacher Appreciation Week DIY Thankful Gift Set School Classroom Home Fun Activities,N/A,$16.99,,4.4,107.0,False,https://m.media-amazon.com/images/I/81OQ-6l3bjL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81OQ-6l3bjL._AC_SL1500_.jpg,,2026-04-21T11:01:00.847729,
7,1,Title,,,,Debug info copied.SponsoredWillinglong 24 Set Color Your Own Blessed Mom Pot Holders Religious Mothe,,,,,,False,,,,2026-04-21T11:01:00.848740,
8,1,Title,,,,New Mom GiftsSponsored|Shop IZI PODShop nowPrevious pagePersonalized First Mother’s Day Handprint Wo,,,,,,False,,,,2026-04-21T11:01:00.850068,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:01:00.850281,
10,1,Organic,,4.0,B0F1FYMPTN,Fennoral 12 Pack Butterfly MOM Wind Chime Kit for Kids Make You Own Mother's Day Craft Kit DIY Coloring Wooden Art and Craft for Mom's Birthday Decoration from Son Daughter,N/A,$16.95,,4.2,381.0,False,https://m.media-amazon.com/images/I/710bMiRhMfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/710bMiRhMfL._AC_SL1500_.jpg,,2026-04-21T11:01:00.854667,
11,1,Organic,,5.0,B0BVY3ZPN8,"AIERSA 20Pcs Best MOM Unfinished Wood Crafts, Mothers Day Crafts for Kids Painting, Wood Cutouts to Paint, Wooden Letters Ornaments for Mothers Day Gift,Mom's Birthday Party Classroom DIY Tags",N/A,$9.99,,4.6,239.0,False,https://m.media-amazon.com/images/I/81J9yMNFmmL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81J9yMNFmmL._AC_SL1500_.jpg,,2026-04-21T11:01:00.859321,
12,1,Organic,,6.0,B0GHW4VSRD,"24 Set Mothers Day Craft Kits, Mom DIY Keychain Bulk Set with Acrylic Blank and UV DTF Stickers, Mama Craft Gifts Making Kit, Funny Classroom Home Birthday Art Activities Party Favors",N/A,$19.99,,,,False,https://m.media-amazon.com/images/I/71nodHRbZYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71nodHRbZYL._AC_SL1500_.jpg,,2026-04-21T11:01:00.862869,
13,1,Organic,,7.0,B0GGB26367,Mother's Day Coloring Craft Kit - 30Pcs Happy Mother’s Day Color Your Own Magnets for Kid Best Mom Ever Blank Flower DIY Coloring Magnets for Fridge Decor Classroom DIY Activity Party Favor,N/A,$11.99,,4.7,5.0,False,https://m.media-amazon.com/images/I/918WTFESCWL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/918WTFESCWL._AC_SL1500_.jpg,,2026-04-21T11:01:00.866811,
