data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Mauproy Floral Bags for Bouquets,https://aax-us-east-retail-direct.amazon.com/x/c/JCGMoI_iqpZlrg8MnW-kQzEAAAGdr7GORgEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICB9KtnX/clv1c_ek-wBIHXFcbWDn2nI5drJ16WpAySuUaH-bikaH6ij8M_CXp72FPXqdSeb6i2e0CW-emiRdc0obPUxu-GnuJejJ9DSGnh03SqKXXl7rWAGsRVDwEo7PTiUkGw0vh1u0g9w6c1MoKCMiyZ4I2VO-tHIfjXMF2ckGVqk6FRT7Sp2KD_6QveVs-in6lrJziEhS-cq8lfRsMIh-colWM2N0703ikJVW3P7KaStvckYC8dIRM67YTSTrpci-cufZxT3p0yh3TzA7BKKHnND9pOVk8m2vRXtlwAdwLpYxZwunL5_8dCiAwgZadcpmpjZEphsch8ADeqwLjskv3AsfharJg1tYA25Q6Y1EUHRmcH-tffXpr_CcY7zf3Yx6Dtl80BJRxPExOum-3fR7okmKTydINvF8MZsqAh0CDABYgdTFXE2oPYOLgCrQs4uygDOr1CabIAIkNYfFqNjMCUVyf4rf_L2SKajJKLnueN-ltCgLzybQ-doc4zXc6uZ7FhelTKado5hrmQEhxPzJksjT-_f-9Z6_jFFHzAXSuZl_H4BVUHzBjBrK2SsoNK2Hm_fcMMPXnNw_xJGFQMcsoCOw6wTj8x2LdZ2PxUR2RDbDanOH3VsTHBd7FIO7a6zPJDp2qT83_B82pIw6TRj_JtzDjX3utChZM40YoTX9-sGUgz3dnP2UvkZyeeLsi5NJQrLdnssWlayuQqdQ_AP339mkYbmzfLsoVWWevRmEBhnLY7DleD371o1o9bv-OKcLQ0W9Uj5sv4ElWYg_6CkY97A3g4YEflebPFqGv0YIsJwc8JI-7vpq4Bqht6WZPL4TNCyijSZlRSiSQB9YOHw1cSZxHq4CkGOkwtz00y_kTpbekD_9ixtBfoHySwZzVXLVdWseH_wKFStu9oNwDHJFxDZOcVxxbakeAhXvU13mayxekw8kgwXT9t6Nciitl_Cc1Yf-Mfj-KluHJdGEknmSgLchl05-YIIGP2hom9GpFVj83GG5cq_m-rg54yq-ixgXn2aooTmO-M1eIN3IgzFh-3M2j5e7jc80wq08r9Z6VttvnFSsY2RltB70o-zfwGJjlAAang231UHwuuUJiCQSXBoZSqrlQtiOMHy9lqdZQqKDHJNN6pDrV5np5KtrL6iJFdeQsrnOUfZ8VukMB4Y0Xrq7UfrER9XgW8lzCzm6O6eGMrTMVnLyeQHcOd4xK35B3cGG_iBtLCaeVSYlmRebBD1s-r7UosE3BxuDr-uvVQVR36v9bfGqMZbagifJyKB0voTCHrtGV3aDImq80DnkSSA5n0dmQV6M7id0OxaVDPCNfui110NgKQSqmTSF7PFafsYXl0nq8_Vn53k92cdVnWkWWCNueSq207F4cIVCOxRmdr5a1BSPgMrG3r-UhJrT4mJnH8SDuT-umrkiumfcOlHswQdQj4HQdhTcledIBKNPtVJ-m8eMt3YZAFAwNQ9by3_qVLDJn4y4rvQtO9RmfKJqRcYP6fHRDdBvqG6mw07khYvv0du-EyyF1qlOJAx6sP2DAk-WnbAUA14K-dFMzliSagxz_-IZ4lMkDC5nRooIhotm4ea_JhbbImrIU4b1FK1yYGMlCDczO8PzgbIzQrvvjOmWWzmJjsYqSDOcecj_mJOPrnPUI8yOUkvQw8iA_LtYJvkHKo46FHhF4uVdDOmUgnrD9sthK19qMXRPQtbzeeWA/https://www.amazon.com/stores/page/1E5405CE-DFA3-467D-9519-B09919281951/?_encoding=UTF8&store_ref=SB_A051120231VK6HFQ605MR-A08334931JWFWHP02LP9I&pd_rd_plhdr=t&aaxitk=e650ea981214f8b367d32a5e5215710e&hsa_cr_id=0&lp_asins=B0CWL2511X%2CB0FPLRTVBJ%2CB0DJR5RKF3&lp_query=mothers%20day%20party%20supplies&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=1i3MC&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=ZM29APCTKCQ2Z66VSVG8&pd_rd_wg=0c2xG&pd_rd_r=9aa99df2-6dfb-472b-b90f-bbba3ec1fd53,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/f8be842f-ac31-4c2c-a9d3-5faf8845f1c3._CR0,0,2730,1535_AC_SX130_SY60_CB1169409_QL70_.png",,Mauproy Floral Bags for Bouquets,2026-04-21T10:59:09.048540,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T10:59:09.049432,
3,1,SP,1.0,,B0BV2F6SDG,"Mother's Day Party decorations, Serve 25, Happy Mothers Day Pack Includes: Paper Dinner Plates, Dessert Plates, Luncheon Napkins, Cups and Tablecloth for Happy Mother's Day Decorations",N/A,$21.98,,4.9,101.0,False,https://m.media-amazon.com/images/I/81VsFBbaTLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81VsFBbaTLL._AC_SL1500_.jpg,,2026-04-21T10:59:09.052554,
4,1,SP,2.0,,B0DPLZ6ZST,"SiliFine 24 Pcs Wedding Favors for Guests Small Ceramic Bowl Bulk Gifts Set 3.3 Inch Floral Design Mini Dipping Sauce Dish with Card Box for Bridal Pooja Baby Shower Birthday (Flower,Blue)",N/A,$49.99,,4.7,77.0,False,https://m.media-amazon.com/images/I/818-Mkn7kRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/818-Mkn7kRL._AC_SL1500_.jpg,,2026-04-21T10:59:09.056600,
5,1,SP,3.0,,B0GT9CZZ9G,"Happy Mothers Day Decorations, All-in-1 Kit with Rose Gold Pink Foil Fringe Curtains Banner Backdrop Balloons Centerpieces Cupcake Toppers Pom Poms Streamers for Best Mom Ever Spring Flower Birthday",N/A,$18.99,,,,False,https://m.media-amazon.com/images/I/81tuQU53hyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81tuQU53hyL._AC_SL1500_.jpg,,2026-04-21T10:59:09.060066,
6,1,SP,4.0,,B0G249R8C4,"Kochorie 169 Pieces Happy Mother's Day Party Supplies Disposable Tableware Set Includes Paper Plates Napkins Cups Plastic Tablecloth Knives Forks Spoons for Mother's Day Birthday Party Decor, Serve 24",N/A,$21.99,,4.5,2.0,False,https://m.media-amazon.com/images/I/81M-qXWgWhL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81M-qXWgWhL._AC_SL1500_.jpg,,2026-04-21T10:59:09.064259,
7,1,Organic,,1.0,B0CYGRRBWQ,98PCS Happy Mother's Day Party Supplies Mothers Day Tableware Set Best Mom Ever Paper Plates Napkins Forks Knives Tablecloth Banner Mothers Day Party Decorations Disposable Dinnerware for 16 Guests,N/A,$19.99,,4.5,158.0,False,https://m.media-amazon.com/images/I/81D+B5V90oL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81D+B5V90oL._AC_SL1500_.jpg,,2026-04-21T10:59:09.069052,
8,1,Organic,,2.0,B0DYTTVTBK,"81 Pcs Happy Mothers Day Decorations Set, Includes Happy Mothers Day Dinner Paper Plates, Love You Mon Dessert Plates Napkins, Pink Tablecloth and Cups for Mother Days Party Supplies, Serves 20",N/A,$14.99,,4.5,60.0,False,https://m.media-amazon.com/images/I/81I+xSgn14L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81I+xSgn14L._AC_SL1500_.jpg,,2026-04-21T10:59:09.073080,
9,1,Organic,,3.0,B0GJ4SHBGH,3 Pack Mothers Day Tablecloth 54 x 108 Inch Pink Rose Flowers Disposable Plastic Rectangle Table Covers for Happy Mothers Day Party Decorations Supplies,N/A,$9.49,,,,False,https://m.media-amazon.com/images/I/71Fr2P2NiyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Fr2P2NiyL._AC_SL1500_.jpg,,2026-04-21T10:59:09.076628,
11,1,Title,,,,Debug info copied.SponsoredShinylin 24 Pcs Mother's Day Clear Gift Bags with Handles Reusable PVC Ri,,,,,,False,,,,2026-04-21T10:59:09.077508,
12,1,Title,,,,Mauproy Floral Bags for BouquetsSponsored|Top 10 best-selling brand in this category|Shop MauproySho,,,,,,False,,,,2026-04-21T10:59:09.078594,
13,1,Title,,,,More results,,,,,,False,,,,2026-04-21T10:59:09.078775,
14,1,Organic,,4.0,B0BZCJKHVZ,Happy Mother's Day Party Supplies Disposable Paper Plates Napkins Forks Tablecloth for Mother's Day Party Family Dinner Table Decorations Mom's Day Party Table Cover Tableware Set Serve 24,N/A,$18.99,,4.7,292.0,False,https://m.media-amazon.com/images/I/81aeb6owfDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81aeb6owfDL._AC_SL1500_.jpg,,2026-04-21T10:59:09.081992,
15,1,Organic,,5.0,B0DXSR3PJ4,Mother's Day Plates and Napkins Set Pink Floral Happy Mothers Day Decorations Including Banner Cups Balloons Cake Toppers for Best Mom Day Party Supplies,N/A,$15.99,,5.0,5.0,False,https://m.media-amazon.com/images/I/81E4Zrj+xUL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81E4Zrj+xUL._AC_SL1500_.jpg,,2026-04-21T10:59:09.085641,
16,1,Organic,,6.0,B0GMPXHL6B,264Pcs Happy Mother's Day Party Supplies Tableware Set Pink Mother's Day Paper Plates and Napkins Best Mom Ever Paper Plates Napkins Forks Balloons Tablecloth Banner for Mother’s Day Serves 24 Guests,N/A,$28.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/816eOYaW8UL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/816eOYaW8UL._AC_SL1500_.jpg,,2026-04-21T10:59:09.089928,
17,1,SP,5.0,,B0GRNVQ4KD,"Mothers Day Decorations, Mothers Day Party Decorations includes Glitter Banner Hanging Swirls and Pink Tissue Pom Poms, Mother's Day Decorations for Home Office",N/A,$10.99,,,,False,https://m.media-amazon.com/images/I/8196Sb30vrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8196Sb30vrL._AC_SL1500_.jpg,,2026-04-21T10:59:09.093041,
18,1,SP,6.0,,B0GL7JDSY7,"Mothers Day Decorations Set, Happy Mothers Day Banner with Flowers, Pink Mother's Day Decorations Banners with Paper Pom Poms Hanging Swirls, Mother's Day Decorations for Party Supplies Office Home",N/A,$7.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/81ds-sDA3KL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ds-sDA3KL._AC_SL1500_.jpg,,2026-04-21T10:59:09.096422,
