data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,2026 Nurses Week Party Table cloth,https://aax-us-east-retail-direct.amazon.com/x/c/JOBQjitQCxm_4OvMfMh9tBcAAAGdr6p9PQEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICA_uuYm/clv1c_ek-wBAHWFcbSDX0nIotrJ16WpAySuUaPTdSe4V7ym_FtWZe3CT30SCsr9fDIbdaBZdB6JSgquoiO8RgsfslajF8afwx5_p6CQo19jgl-RI0OuBzf_nlQ2Ozw76lEBzK0eCFGZA8v5XCrvWrkeYjIyJDdvM08llNmH8D-yecCjMYYVEH2z-htmMbseus-5n0sBCBnMQTNGQnOwXzxf4iARX_eTh5_RZ9GkBnl0skFbDOiducfJ5vXiKURvVwaAUoG18y9UDZXROfCURxysJ3AzJexC8Vrc87Obi6YDiLfI3yZUPnD06wDqP6NOrlguih8-ZolCz0ltvtAK0nAEO1eU6PJlvas6GfziHIi6jQ72FdUOs-9Cr7uG8Gu3y4Cqf8gdNhEvRy2bsoWftiNFY2He5dc-9jNmfPt4ClDi8YOjdllskVTSNl7NQu5i5-QD1GjTbxOrMpqvRpBq7Fq0gLp4dsiV9Arw3zCEjnsBrJPEgp5IMekJ0PqOrhNdQAfuywsOQr3Qh2zqbSOJFpTCjbO1ewiqp4L96AAGDX6u9WfG9PtjuWKwH2v4P0Vru9BLIRPIglLb9Mq2_KdO-UWvSHd0xSk_yIY15TcudssQZw2dFak1vfz3gwm-4zRbPOa6Vr_ZOXFYWjAh7xNA3QXG4Lpg36zD-JpmlzBuDzEWq34yZmy2gubdgxY4yDGel4B5pOUlFaNgU7NiHGxpE0Mct1OeIf52p3E0zClVEPRFaw2hYyn0j1P4aZeavZalFi56jDCWMBbfz210KgH3HOeRhIPofSGpQpBs_Zefbl-e06yrUFzn2dZD3IZabQP6uQMcxtAJ8lnA9v6d3pPxIEdHOI0797DmpAVxjEccbGmRm912BBBaH7sGNB8g7gw5uvFue0N7KD7HBzdkH3PQ8Db48kZLrtEhLerGbL_uMPrgYLa96zkAhaBeGpK5IfIBTqzxEieduMzqPARC7TD5Yz9K9hGNZwyX6AgXGtXkDhAux5z0v50LRIqjBIdfBPbKjjnMwnraAw7o485ZFc-VIJrlEGIYx42l3AY1-U2FL8UaNhEmBCKybsSIn_iQq2oSqoFwrzMEOcKGosWUcFIy0sc2lkfTRtRGU-fpOBW7L58wOVwQkKDJkcEjFBR0NYzFRYTIFI9f85G6mGtzU8p5mFrFXRqlz5SqsOmRsjFQ8rfHYKew4Tv5CkHFE4pwbqtWNHBHJ6lYqlFFPmx7I_sF73UIZa7qpK5xYxME5yCZtx6TKor9FY4SotKM2EPZepbXvjBF8a34wJOSN58P916hbHR0Zk1bvLmaXpb3GPc5aYfO9wdgt5QE_T1IP2q3S8HK1Nn9d8pj-qYQSCZBX9d7DtKkUylFLCieg-itELP9ROMJNhCTrEBxlFGsMH2JVIamluz-Um_87r1hzdqxuou251PaVTFnSI_NB5XloB35o8BlJAu3AGT6WEoOB9cJul6vqONMg48gX_Wad0skcj8oNKg5sae-keNHRdOnb3p2JLnfUt-GE9bsdpGcOEScenMB9bNjwMgWOyiAwaLKalvGZaTP6M8jsYNiv96tYvhl--FxmzdOmzVoykPTLIjaMsdUVeV1z5kICUU9QQtxUMO6HXxApEhfPWeczrB6zyX2KmgM0JISaIp8Lj9qbgUH2GUTUr_w7BDChjiUpCQdCsBysUu6z6W6J31HQ/https://www.amazon.com/stores/page/5A0A0EE7-3F2E-4BC8-82AE-F51D11F42225/?_encoding=UTF8&store_ref=SB_A07592022XU33JALMCW7X-A072577511UYQLDVUO0HH&pd_rd_plhdr=t&aaxitk=e8686a59d752404dfe027108b432e406&hsa_cr_id=0&lp_asins=B0CTQ5BLYM%2CB0GD75YJD4%2CB0GD6PKRS7&lp_query=nurses%20week%20decorations%202026&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=P62R9&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=TETWCHNQWX4MD5QDWYHG&pd_rd_wg=vMNwN&pd_rd_r=4c4c03a9-8d89-4269-823f-157b3135604e,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/2f5cef6d-ab92-4825-9f08-b0fea93217cd._CR0,0,397,257_AC_SX130_SY60_CB1169409_QL70_.png",,2026 Nurses Week Party Table cloth,2026-04-21T10:51:25.822653,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T10:51:25.823691,
3,1,Organic,,1.0,B0GRNG8877,"Nurses Week Decorations, Nurse Week Decoration 2026 includes Thank You Nurse Banner Backdrop Balloons Honeycomb Centerpieces Hanging Swirls, for Nurse Appreciation Decorations RN Graduation Party",N/A,$17.99,,,,False,https://m.media-amazon.com/images/I/81w+BIC26nL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81w+BIC26nL._AC_SL1500_.jpg,,2026-04-21T10:51:25.829423,
4,1,Organic,,2.0,B0GRNPZ65Z,"Nurses Week Decorations, Nurse Week Decoration 2026 includes Thank You Nurse Banner Backdrop Balloons Honeycomb Centerpieces Hanging Swirls, for Nurse Appreciation Decorations Party",N/A,$17.99,,,,False,https://m.media-amazon.com/images/I/81f2U71NNDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81f2U71NNDL._AC_SL1500_.jpg,,2026-04-21T10:51:25.834008,
5,1,Organic,,3.0,B0GD5JNN22,"96 Pcs Nurse Graduation Party Decoration Pink Bow She Earned It Plates and Napkins Congrats RN Graduation Tableware Set for Class of 2026 Nurses Grad Congrats Rn Nurses Week Party Supplies, Serves 24",N/A,$20.29,,,,False,https://m.media-amazon.com/images/I/71Zj8iu8GkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Zj8iu8GkL._AC_SL1500_.jpg,,2026-04-21T10:51:25.837550,
7,1,Title,,,,"Debug info copied.SponsoredCrenics Nurse Party Decorations - Congrats RN Backdrop, Nursing School Su",,,,,,False,,,,2026-04-21T10:51:25.838849,
8,1,Title,,,,Pill Bottle And Labels For Nurse Graduation PartySponsored|Shop KigeliShop nowPrevious pageKigeli 40,,,,,,False,,,,2026-04-21T10:51:25.840725,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T10:51:25.840911,
10,1,Organic,,4.0,B0GF63W2Q2,"82 PCS Nurses Week Decorations, 9 Sheets Nurses Week Window Clings with Hearts, Thank You Nurse Appreciation Week Decor, Double-Sided Nursing Stickers for Windows Stores Offices Parties",N/A,$9.99,,4.5,998.0,False,https://m.media-amazon.com/images/I/81vdNcf3+QL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81vdNcf3+QL._AC_SL1500_.jpg,,2026-04-21T10:51:25.848856,
11,1,Organic,,5.0,B0DWMNV9PL,"Nurses Week Decorations2026, Red Blue White Thank You/Happy Nurses Week Banner, for Medical Party, Nurse Day, Nursing School Party Decorations",N/A,$11.99,,4.6,8.0,False,https://m.media-amazon.com/images/I/81KDFXdt5bL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81KDFXdt5bL._AC_SL1500_.jpg,,2026-04-21T10:51:25.853674,
