data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T10:55:05.603913,6.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T10:55:05.605632,
3,1,Organic,,1.0,B0CT4HFF9B,"18Pc Nurse Appreciation Decorations, Nurse Party Decorations include Thank You Nurse Banner and 16Pc Happy Nurses Week Decorations Hanging Swirls, Medical Party Decorations for Appreciation Nurse",N/A,$9.99,,5.0,14.0,False,https://m.media-amazon.com/images/I/81krfNFV2eL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81krfNFV2eL._AC_SL1500_.jpg,,2026-04-21T10:55:05.610321,
4,1,Organic,,2.0,B0GRNG8877,"Nurses Week Decorations, Nurse Week Decoration 2026 includes Thank You Nurse Banner Backdrop Balloons Honeycomb Centerpieces Hanging Swirls, for Nurse Appreciation Decorations RN Graduation Party",N/A,$17.99,,,,False,https://m.media-amazon.com/images/I/81w+BIC26nL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81w+BIC26nL._AC_SL1500_.jpg,,2026-04-21T10:55:05.613798,
5,1,Organic,,3.0,B0GJSQRGTX,"14pc Nurses Week Decorations Thank You Happy Nurses Week Banner, Nurse Appreciation Decorations Happy Nurses Week Banner Medical Party Decorations for Appreciation Nurse",N/A,$11.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/81uNnStsuBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uNnStsuBL._AC_SL1500_.jpg,,2026-04-21T10:55:05.617983,
7,1,Title,,,,Debug info copied.Sponsored51PCS Nurses Week 2026 Decorations Hanging Swirls-Thank You/Happy Nurse A,,,,,,False,,,,2026-04-21T10:55:05.619011,
8,1,Title,,,,Blue Gold We Appreciate You DecorationsSponsored|Shop VlipoeasnShop nowPrevious pageVlipoeasn We App,,,,,,False,,,,2026-04-21T10:55:05.620041,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T10:55:05.620172,
10,1,Organic,,4.0,B0CSXRV3KK,"Nurses Week Banner Decorations, Thank You Nurses Backdrop for Happy Nurse Week, Nurse Appreciation Week Banner Party Decor 71 x 41 inch (Black)",N/A,$9.99,,4.7,14.0,False,https://m.media-amazon.com/images/I/712aAvYLSxL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/712aAvYLSxL._AC_SL1500_.jpg,,2026-04-21T10:55:05.623245,
11,1,Organic,,5.0,B0CWTLVSFZ,Happy Nurse Week Banner Registered Nure Party Decoration Thank You We Appreciate You Backdrop for Doctor Nursing RN Event Celebration Red Glitter Supplies,N/A,$11.99,,4.9,12.0,False,https://m.media-amazon.com/images/I/71v67A53JAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71v67A53JAL._AC_SL1500_.jpg,,2026-04-21T10:55:05.628084,
12,1,Organic,,6.0,B0GF63W2Q2,"82 PCS Nurses Week Decorations, 9 Sheets Nurses Week Window Clings with Hearts, Thank You Nurse Appreciation Week Decor, Double-Sided Nursing Stickers for Windows Stores Offices Parties",N/A,$9.99,,4.5,998.0,False,https://m.media-amazon.com/images/I/81vdNcf3+QL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81vdNcf3+QL._AC_SL1500_.jpg,,2026-04-21T10:55:05.635485,
13,1,Organic,,7.0,B0G3X4VVV3,Aurelema 6 Pcs Nurses Week Decorations LED Light up Letters 3D Marquee Nurse Tables Centerpieces Signs for of Nursing Graduation Party Supplies Appreciation Party Decorations,N/A,$22.59,,4.3,64.0,False,https://m.media-amazon.com/images/I/71shWN4zgCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71shWN4zgCL._AC_SL1500_.jpg,,2026-04-21T10:55:05.639261,
14,1,Organic,,8.0,B0GRNPZ65Z,"Nurses Week Decorations, Nurse Week Decoration 2026 includes Thank You Nurse Banner Backdrop Balloons Honeycomb Centerpieces Hanging Swirls, for Nurse Appreciation Decorations Party",N/A,$17.99,,,,False,https://m.media-amazon.com/images/I/81f2U71NNDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81f2U71NNDL._AC_SL1500_.jpg,,2026-04-21T10:55:05.644126,
15,1,Organic,,9.0,B0GMBZY8LZ,"Nurses Week Photo Booth Props,Thank You Nursing Photo Booth Props for Nurse Appreciate Week Decorations",N/A,$10.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/815F-ynlGmL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/815F-ynlGmL._AC_SL1500_.jpg,,2026-04-21T10:55:05.647987,
16,1,Organic,,10.0,B0DWMNV9PL,"Nurses Week Decorations2026, Red Blue White Thank You/Happy Nurses Week Banner, for Medical Party, Nurse Day, Nursing School Party Decorations",N/A,$11.99,,4.6,8.0,False,https://m.media-amazon.com/images/I/81KDFXdt5bL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81KDFXdt5bL._AC_SL1500_.jpg,,2026-04-21T10:55:05.652020,
17,1,Organic,,11.0,B0BVZLRVKV,"3Pack Nurses Week Tablecloths, Thank You Nurses Disposable Tablecloths ,Rectangular Plastic Table Covers for 2026 Nurse Appreciation Week RN Graduation Party Supplies Decorations,54 x 108 Inch",N/A,$9.99,,4.6,49.0,False,https://m.media-amazon.com/images/I/81qvICplQ-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qvICplQ-L._AC_SL1500_.jpg,,2026-04-21T10:55:05.655740,
18,1,Organic,,12.0,B08R3MQ7QK,Sumind 60 Pieces Nurse Balloons Party Decoration Supplies Nursing Latex Balloons Nurse Graduation Party Decorations for Nursing Graduation RN Themed Parties,N/A,$11.99,,4.6,436.0,False,https://m.media-amazon.com/images/I/71MEsIBjCtL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71MEsIBjCtL._AC_SL1500_.jpg,,2026-04-21T10:55:05.659627,
19,1,Organic,,13.0,B09W2J4KC8,"Happy Nurses Week Banner, Thank You Nurses Party Decorations, Nurses Appreciation Week Banner Black Glitter",N/A,$9.59,,4.9,28.0,False,https://m.media-amazon.com/images/I/51a12arDQlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/51a12arDQlL._AC_SL1500_.jpg,,2026-04-21T10:55:05.663436,
20,1,Organic,,14.0,B0D4XT6TT5,"Andaz Press 13""x48"" Turquoise Happy Nurses Week Decorations Banner, Large CNA Week Thank You Banner Decor, Nurse Appreciation Week Banner, Decorations For Staff Employee Nurses Week Banner",N/A,$14.99,,4.4,23.0,False,https://m.media-amazon.com/images/I/518XmWJJi9L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/518XmWJJi9L._AC_SL1500_.jpg,,2026-04-21T10:55:05.667718,
21,1,Title,,,,More results,,,,,,False,,,,2026-04-21T10:55:05.668252,
22,1,Organic,,15.0,B0GHY644BR,Nurses Week Decorations 2026 Backdrop Banner 59 x 39 Inch Nurse Appreciation Week Background Banner Happy National Nurses Party Decorations,N/A,$9.99,,4.0,1.0,False,https://m.media-amazon.com/images/I/816B0smw2AL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/816B0smw2AL._AC_SL1500_.jpg,,2026-04-21T10:55:05.671628,
23,1,Organic,,16.0,B0DZTBVHP5,"Nurses Week Decorations 2026,12pcs Nursing Party Decorations Honeycomb Centerpieces,Nurses Appreciation Week Table Toppers for Nursing Graduation Party Supplies Appreciation Party Decorations",N/A,$9.99,,5.0,7.0,False,https://m.media-amazon.com/images/I/81dYH16FdjL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81dYH16FdjL._AC_SL1500_.jpg,,2026-04-21T10:55:05.675153,
24,1,Organic,,17.0,B0DSVFZNTG,Nurses Week 2026 Decorations Set: Thank You Nurses Backdrop Banner Hanging Swirls Happy Nurse Appreciation Gifts Bulk RN Graduation Party Decor Supplies,N/A,$20.99,,5.0,3.0,False,https://m.media-amazon.com/images/I/81dGKHDQmbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81dGKHDQmbL._AC_SL1500_.jpg,,2026-04-21T10:55:05.679749,
25,1,Organic,,18.0,B0CT5KC7L4,"Thank You Nurses Porch Banner Nurses Week Decorations Fabric Banner for Nurse Appreciation Nurse Day Rn Party Indoor Outdoor Office Decorations,12 * 71inch",N/A,$12.99,,4.5,13.0,False,https://m.media-amazon.com/images/I/71Mnsrj8FqL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Mnsrj8FqL._AC_SL1500_.jpg,,2026-04-21T10:55:05.688015,
26,1,Organic,,19.0,B0BW841G9J,51PCS Nurses Week 2026 Decorations Hanging Swirls-Thank You/Happy Nurse Appreciation Gifts Bulk RN Graduation Party Decor Supplies,N/A,$13.99,,4.9,56.0,False,https://m.media-amazon.com/images/I/81W8WMvFehL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81W8WMvFehL._AC_SL1500_.jpg,,2026-04-21T10:55:05.694043,
27,1,Organic,,20.0,B0CSNLKS5Z,PTFNY Happy Nurses Week Backdrop Banner Thank You Nurses Backdrop Decorations Nurses Week Sign Photo Booth Background for Medical Doctor Nursing Graduation Party Supplies,N/A,$13.99,,4.6,29.0,False,https://m.media-amazon.com/images/I/71p8xREvTPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71p8xREvTPL._AC_SL1500_.jpg,,2026-04-21T10:55:05.698655,
28,1,Organic,,21.0,B0BX2G6M36,"48 PCS National Nurses Day Balloons Party Decorations Graduation Latex Balloons, Appreciation Week Latex, Thank You Nurses for Medical Doctor Nursing Party Decorations",N/A,$9.99,,3.9,31.0,False,https://m.media-amazon.com/images/I/712FLXEkwSL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/712FLXEkwSL._AC_SL1500_.jpg,,2026-04-21T10:55:05.703016,
29,1,Organic,,22.0,B0B7S7F1HK,Gyufise 36Pcs Nurse Cupcake Toppers Nursing School Graduation Cupcake Picks for Medical Rn Nurse Grad Themed Birthday Party Cake Decorations Supplies,N/A,$6.99,,4.7,380.0,False,https://m.media-amazon.com/images/I/712GZnwLleL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/712GZnwLleL._AC_SL1500_.jpg,,2026-04-21T10:55:05.706935,
30,1,Organic,,23.0,B0CX7D3G35,"36PCS Nurses Week Gifts Bulk 2026 - Refrigerator Magnets, Nursing Day Appreciation Gift Decorations for RN CNA Women Men",N/A,$17.99,,4.7,199.0,False,https://m.media-amazon.com/images/I/91Q90YMVilL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Q90YMVilL._AC_SL1500_.jpg,,2026-04-21T10:55:05.711407,
31,1,Title,,,,More results,,,,,,False,,,,2026-04-21T10:55:05.712056,
32,1,Organic,,24.0,B0CPXDSJ4Q,Happy Nurses Week Banner Thank You Nurses Banner Nurse Week Decorations Nurse Appreciation Week Hanging Decorations for Nursing School Party Decorations,N/A,$9.99,,4.1,29.0,False,https://m.media-amazon.com/images/I/81dYeT6k9cL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81dYeT6k9cL._AC_SL1500_.jpg,,2026-04-21T10:55:05.715037,
33,1,Organic,,25.0,B0CRZ1VDKS,"Nurses Week Decorations, 48 Pcs No-Diy Happy Nurses Week Decorations Whirls Glitter Foil Ceiling Streams for Nurses Appreciation Week",N/A,$9.99,,4.2,8.0,False,https://m.media-amazon.com/images/I/810zT51m1mL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/810zT51m1mL._AC_SL1500_.jpg,,2026-04-21T10:55:05.718402,
34,1,Organic,,26.0,B0CWH5VZYG,Happy Nurses Week Banner Thank You Nurses Party Decorations for Doctor Medical Nursing School Celebrate Nurse Appreciation Week Party Supplies (Red and Blue),N/A,$9.99,,4.8,26.0,False,https://m.media-amazon.com/images/I/71QTgSbeXwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71QTgSbeXwL._AC_SL1500_.jpg,,2026-04-21T10:55:05.722435,
35,1,Organic,,27.0,B0CWXPN8L9,"HOWAF 100pcs Nurse Day Candy Bag Bulk, Thank You Nurses Cellophane Bags for Nurse Appreciation Week Supplies, Nurses Week Gift Bags with Twist Ties for Nursing Party Medical Party",N/A,$12.99,,4.8,28.0,False,https://m.media-amazon.com/images/I/81KFWxYoLbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81KFWxYoLbL._AC_SL1500_.jpg,,2026-04-21T10:55:05.727160,
36,1,Organic,,28.0,B0GLG38LYR,"12Pcs Happy Nurses Week Honeycomb Centerpieces Nurse Week Decorations, Thank You Nurses Table Centerpieces with We Appreciate You Sign Nursing Graduation Party Supplies for Nurse Day CNA/CRNA/RN",N/A,$9.99,,,,False,https://m.media-amazon.com/images/I/814jXmtpd5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814jXmtpd5L._AC_SL1500_.jpg,,2026-04-21T10:55:05.731155,
37,1,Organic,,29.0,B0GHRX8MG4,Nurses Week 2026 Decorations Set: Thank You/ Happy Nurse Paper Banner Appreciation Hanging Swirls Blue Red White Pom Pom Paper Fans Balloons Tinsel Curtain RN Graduation Party Decor Supplies,N/A,$15.99,,,,False,https://m.media-amazon.com/images/I/91H7c-6lUfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91H7c-6lUfL._AC_SL1500_.jpg,,2026-04-21T10:55:05.735088,
38,1,Organic,,30.0,B0F18GGH62,Nurses Week 2026 Decorations Set: Thank You/ Happy Nurse Glitter Banner Appreciation Hanging Swirls Blue Red White Pom Pom Paper Fans Gifts Bulk RN Graduation Party Decor Supplies,N/A,$14.99,,4.5,37.0,False,https://m.media-amazon.com/images/I/81tXHVfbZqL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81tXHVfbZqL._AC_SL1500_.jpg,,2026-04-21T10:55:05.740781,
39,1,Organic,,31.0,B0CTQ5BLYM,"Mindsoft 3 Pcs Thank You Nurses Week Tablecloth, 2026 Nurse Graduation Party Decorations, 54 x 108 Inch Plastic Nurse Appreciation Week Table Covers Party Decoration Supplies (White)",N/A,$9.99,,5.0,9.0,False,https://m.media-amazon.com/images/I/71sowqaVe0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71sowqaVe0L._AC_SL1500_.jpg,,2026-04-21T10:55:05.745473,
40,1,Organic,,32.0,B0BVZMVG4Z,"Thank You Nurse Banner and Balloon Set, 2026 Nurses Week Decoration, Nurse Appreciation Banner Backdrop National Nursing Day Yard Sign for Nurse Rn Graduation Party Supplies,98.4×18inch",N/A,$13.99,,4.3,29.0,False,https://m.media-amazon.com/images/I/912kdX8a2RL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/912kdX8a2RL._AC_SL1500_.jpg,,2026-04-21T10:55:05.750282,
41,1,Organic,,33.0,B0CWQ6L2V5,Nurses Week Decoration Thank You We Appreciate You Banner Happy Nurse Week Decor Nurses Appreciation Backdrop for CNAs Doctor Nursing RN Event Celebration Black Glitter Supplies,N/A,$9.99,,4.8,32.0,False,https://m.media-amazon.com/images/I/71bpWBNz-4L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71bpWBNz-4L._AC_SL1500_.jpg,,2026-04-21T10:55:05.754345,
42,1,Organic,,34.0,B09TT62WYS,Blulu Thank You Nurses Banner Fabric Nurse Appreciation Week Banner Nurse Party Decoration Backdrop for 2026 National Nursing Day Photo Background Medical Doctor Nursing Party Decoration Supplies,N/A,$8.49,,4.9,55.0,False,https://m.media-amazon.com/images/I/81qoAjYizRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qoAjYizRL._AC_SL1500_.jpg,,2026-04-21T10:55:05.760015,
43,1,Organic,,35.0,B0CWTY55GS,Nurses Week 2026 Decorations Set: Thank You/ Happy Nurse Paper Banner Appreciation Hanging Swirls Blue Red White Pom Pom Paper Fans Gifts Bulk RN Graduation Party Decor Supplies,N/A,$14.99,,4.5,37.0,False,https://m.media-amazon.com/images/I/81+OpIkmq1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+OpIkmq1L._AC_SL1500_.jpg,,2026-04-21T10:55:05.765155,
44,1,Organic,,36.0,B0FPF7LCXT,Nurse Cap Balloons Thank You Nurses Red Heart Shaped Balloon RN Graduation Nurses Week Themed Balloons Nursing Graduation/Nurse Practitioner Grad/Nurses School Office Party Decorations Supplies,N/A,$9.99,,3.3,3.0,False,https://m.media-amazon.com/images/I/61xfb0PNUpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61xfb0PNUpL._AC_SL1500_.jpg,,2026-04-21T10:55:05.769937,
45,1,Organic,,37.0,B0F38JZJ7V,"100Pcs Funny Nurse Stickers for Water Bottle, Laptop - Nurse Appreciation Gifts, RN Party Supplies - Nursing Week, Healthcare Medical Hospital Stickers",N/A,$9.99,,4.5,813.0,False,https://m.media-amazon.com/images/I/91uDRHmXrUL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91uDRHmXrUL._AC_SL1500_.jpg,,2026-04-21T10:55:05.775009,
46,1,Organic,,38.0,B0DWMP26MD,"4Pcs Nurses Week Decorations 2026 Thank You Nurse Table Centerpieces, Nurses Appreciation Week Wooden Table Topper for Nurse Graduation Signs Appreciate Decoration",N/A,$11.99,,4.8,8.0,False,https://m.media-amazon.com/images/I/81-Gh2yyvIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81-Gh2yyvIL._AC_SL1500_.jpg,,2026-04-21T10:55:05.779296,
47,1,Organic,,39.0,B0GKG3HY35,Happy Nurse Week Banner Thank You Nurses We Appreciate You Yard Sign Nurses Appreciation Week Party Decoration Supplies,N/A,$13.99,,,,False,https://m.media-amazon.com/images/I/91-TehZmfzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91-TehZmfzL._AC_SL1500_.jpg,,2026-04-21T10:55:05.783364,
