data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,eachers' Day Cupcake Fuzzy Socks Bulk,https://aax-us-east-retail-direct.amazon.com/x/c/JJpA6dwD-JIZah6gkHTPuhgAAAGdtAik_wEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDIgICDJXSS_/clv1c_ek-wBPHXFbbWzjK3YoscrxfcuXaZLo8nmm3C1AhCt-dWEnpK1E6jgfmct4OP83DneawaSm9beTVr87DKVJoN1ehUKxQpiAbabD5Fymrr_0AnyZRikI9f1HxZ4fVe8honlTQFhQXvqpT1wx55UGK0qfLLIN-IqkVq4uRxSjK02bYHacoQq-TcVsJEc5BuDitWRa4zrn9ta7d4dSab9UnSdEvSOUZnYCqkBTIWzLIdmzqkUnd0qDR5mvrNHV1AcvqrF43bSp0b6rD0EJs8w08q3ozHqVwAdwDpYxJymnb5_MdCjAw4RadcpzrKvvRK87ulcAPFtU6w-tt-59p9Par8Av0h9f9O_5_47KTZrG6bzfvusqujrA37w2aDCJMMC0MKCSzyWZHZQRgeLHNcSwzVKZwop_FNPJTjwou8cidmEm0sdqhI79ba_B0YyF1RBmW3N3y5H-ERZjcKPQOXNAysAOD5tXAv85_dUPuNif_dB5j3psD1vdw_MmdsvN7v1HfsObrl-peYA9GM-y6yux6LKNmKXdp3BPqTy6ZxqKIhEFS2uhqYa-s8RbpejzINvhnhJx5fRFlvYGWyKa3rGzERq2CROlTpX-ly4FTPyLfFJXV3lL0JtQyXq5ZOzTzqW1GTCCLbR0wYeeGm-Y4VlEEgDnxm_cBvzAbbvUPnxuWWrCdPE2hvG-Deu76RgZfEekFxSdpQ_aHisGbCDXNwPDG9aQ5vYMzz0-0mczNi1wGVsE3fBAqVM5aq4k0tlJPqbkSSZd6ytszczqi_XWgohV6jVJsWtRsR7SljTv2gXpQOcGaj19d2ek0X_RG2pjbE71f5RRKFb0ObdjCohwsKXXbndbED1FiRL7xeDBSSVffxT3bwqCX2pZjLu_eT9QmIcPKu-nve4of80SXc8_uOeXaMYkGJB6O3TqJ0WUCqd6JTxJE_y8Lds2NQM8kqOvaMtVfItwK-RZd8FkGv7Cg_ejMA73lgS1PxQEWTI_jJ00Qbm4y5tTUvCVG5p8q87B3UtzKqKDRVEfz9iuaY1JI1whogltg0az5aHPh-9c0L-0NYUWS0s1PFfCiSRbIlP70m-TsrnWtQCNT3OpqeNSje9y7kOns1uAykF19YAgpf_NTF_ISSkuDbRMjxJy6thPZPFcfnW3cjPUPKAkpxc08QlVvUAhPbTEJp4ehhfd8hX2mB_x0HhNLkL_ndLg6MsoELpPJEPrsryPC3mxyfeDVpSxJLWmJ7q2y2lBXmmk7_XDSVqmECUuET5Jg_QGX7EtKsySlbjh0qlybwnweBhqk5wP0b4JajisCLjQB0QmuahWE7lv0MEb8nLQDIQnWF5myJjmcCe4m2EJEqONs2M1-avDvh0esq3D_UUrWo-ZeanWWq7SfxRSSdeq-9QgfVkukq5gIZY8kuXq4StboxK2Q51iFuy-3WSxjkuYzz-0cm2_h6z3qUqsuPuidkJ7cAaG9LJL-e7jIJu6ht3XXABaewkKPiNEQ2KHFUj6QAq3qm7zsfmYvRVBMFFFsgmv3ewOuQ04Lqy3H-Aw729WyrvCJbllsc-xhEYDTSf3g2DWOu_OKa7nQplN4Myl4TRlwyBQa7fkOLXWkP-5ZA9Z8hSNremJ9E9rKsNpVJ9ElbhnZZ19JE7mcgf2YbSY9c77JVPUIV1SgAzV8E63dST4pnaE4Cgc0DW7ZugYFOUjmWR3UUtg/https://www.amazon.com/stores/page/AC60CF9B-E286-40E1-99A1-0B84DD119BA9/?_encoding=UTF8&store_ref=SB_A01774432629111GMV9IE-A096408837IZ800DLZE27&pd_rd_plhdr=t&aaxitk=a24498243e9cd4d59d916cbec3bfd43c&hsa_cr_id=0&lp_asins=B0GLH478BD%2CB0GLH7QW13%2CB0GLHCV1GS&lp_query=nurses%20week%20gifts%20bulk%202026&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=Jn4dV&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=KNAEWDV36XN2C16MN8SE&pd_rd_wg=gcaLP&pd_rd_r=ee4224e0-0caa-4057-8eec-7107c7101153,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/4e82e17c-76e3-43ec-8bdc-d784badaf1a7._CR0,0,800,800_AC_SX130_SY60_CB1169409_QL70_.png",,eachers' Day Cupcake Fuzzy Socks Bulk,2026-04-22T07:12:46.025130,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-22T07:12:46.026085,
3,1,Organic,,1.0,B0DWFD9JDG,Willinglong 30 Pcs Nurse Appreciation Gift Set for Women Nurse Gifts Basket Set for Nursing Graduation School Student Cna Week (Colorful Color),N/A,$109.99,,4.5,77.0,False,https://m.media-amazon.com/images/I/81nqfsKn5TL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81nqfsKn5TL._AC_SL1500_.jpg,,2026-04-22T07:12:46.030081,
4,1,Organic,,2.0,B0CX7D3G35,"36PCS Nurses Week Gifts Bulk 2026 - Refrigerator Magnets, Nursing Day Appreciation Gift Decorations for RN CNA Women Men",N/A,$17.99,,4.7,199.0,False,https://m.media-amazon.com/images/I/91Q90YMVilL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Q90YMVilL._AC_SL1500_.jpg,,2026-04-22T07:12:46.035272,
5,1,Organic,,3.0,B0F9N89TCM,"Potchen 2026 Nurses Week Gift Set for Women, Nurses Appreciation Gift Baskets with 16 oz Glass Cup Pen Notebook for LPN Rn Nursing School Graduation Practitioner Essentials(Purple)",N/A,$19.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/71ceepLnaAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ceepLnaAL._AC_SL1500_.jpg,,2026-04-22T07:12:46.038957,
6,1,Title,,,,Kigeli nurses gift bags bulkSponsored|Shop KigeliShop nowPrevious pageKigeli 60 Pcs Nurse Appreciati,,,,,,False,,,,2026-04-22T07:12:46.040510,
7,1,Title,,,,More results,,,,,,False,,,,2026-04-22T07:12:46.040652,
8,1,Organic,,4.0,B0DSVFZNTG,Nurses Week 2026 Decorations Set: Thank You Nurses Backdrop Banner Hanging Swirls Happy Nurse Appreciation Gifts Bulk RN Graduation Party Decor Supplies,N/A,$20.99,,5.0,3.0,False,https://m.media-amazon.com/images/I/81dGKHDQmbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81dGKHDQmbL._AC_SL1500_.jpg,,2026-04-22T07:12:46.043614,
9,1,Organic,,5.0,B0BM9K1GW9,Ceiba Tree Nurse Stickers Nurses Week Appreciation Gifts Nursing School Graduation 2026 Gift Bulk Decals 100pcs White Angels Accessories for Work for Laptop Water Bottles,N/A,$5.99,,4.7,127.0,False,https://m.media-amazon.com/images/I/91QGAQ8B-ML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91QGAQ8B-ML._AC_SL1500_.jpg,,2026-04-22T07:12:46.047415,
10,1,Organic,,6.0,B0DPJ2SXNZ,Gemscream 100 Pcs Nurses Week Gifts Bulk Mini Resin Duck Tiny Ducks Statues with Nurse Hat Stethoscope Miniature Figurine Resin Animals Nurses Day Gifts,N/A,$21.99,,4.3,33.0,False,https://m.media-amazon.com/images/I/81DcVV0VMML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81DcVV0VMML._AC_SL1500_.jpg,,2026-04-22T07:12:46.050956,
