data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,eachers' Day Cupcake Fuzzy Socks Bulk,https://aax-us-east-retail-direct.amazon.com/x/c/JFWC13NJiF5tj9h63fZhoL8AAAGdr6jYxQEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICC1wNNG/clv1c_ek-wBPHXEsTW3uLbExsAb8j98LgzrO8-i3D8qUagYjsgFpkTjTRujqpKiqtrYeLFlBo-y_A-K3IlJ0o3Knbo7T0Z9dfg9voPH5Ar2xTuv0imCZDSMJb6za349pWcBs9dlbrWs60xPpn-2iFgLrfh_NXnMJ2dlMvri_Soj1SowpUTiYVfx-MCL2Q3dE87TM-k1SB41kvIGhr-2P7Nh32B0uK7v_wslMar17rWjaqoBj7gAbm3sIYW4Og-2_VIK0Zw8UIcZatnHpN-IqWby0PLQqC7azBRVT6KmdPloDE0dA9zplX9WPDijUGs_oB8izWVRANki35MbHCbEKYhlqhwWHVxb_AOOUSfEece1yOQxZaC7LtqMQDlhYDe1mUmjw6qP0HhLBhZeohkrqmmL-KvvsxZafnTbsUdQK2od8DE4W21wpWSyFZRcJnDVpxcFc6YlKtYas757YkOAjTibYOBKo1S7Cj2hAXtrhbukwyi9Huwry8l2gegjwFPSnFQoTZAl8DHNqD0rKhUZAj0kZMuj984LMejxlI6blp5qfQ8jBQ9F5ufDnwtbjoUZXCFQ9JE2-TQo0LgADOdxgfl4-eD_gzUnQkzL_-vZ7GCw8d_d0daFM94xyCtz-tYL52rt8_SpYlMbRI0Ukj3AY9hnf4hjJ_ZOnvyVLXN19qzT_Fi2zWmJD5jMQUlKCyfncERG7RyIxECDYjd_Oy02dra4-x793ror72N2trmt8Y5p8R8T2FZP3TaZjdHz2eW4fCfkzeGU4kCJgmqIlOUgwvB-wz-GVINqHcTeZovnnVP5aJ5NwL2Vk6Bh5KD2pe7C-a019xipQ3Fdh6Be7jhek76c4rj83i3QbdfqC_WyfbwLrT8ynKHeaxUwSD1_Ay2S6vgIi107Eb6WUUuh36u5Z-IIJB2_xpM0e6E8_3z3WHjUreMx3tt8hUk5Z6NibCth9K8naG_TG8lSkgblki0qOXluTDKvhRTSZLEljGCxl8wqutOkOvWit8qnceXwxuFRMf7IlvEOFb-IJWqdSMTVEmbRvxvgOD3DTy4xEJlBWJnsIOMvjwV0i-2-_fzIdDvywEuA4jojO_ze7atyqGAUFD-8GC3MVzcinLjdlvNg5p9QR-9EiDo1nDb7XlcZHmhPdJOkXFRyoKiVNLpg85bRQjwDqhW_XiBvMCebF2LBiUOFihFX-fGH59WjoecvDiNPvsJDvaSMApSR6RsWVbxKtL7a4UWfPsOawquOaah-YySQEXzSbVfIAuISloRuunpPJ2i_6i-imowjF2xv8dZ1DtfZdSijtl3ZsgoMVkRLAHx0o8n71sXw1sf2eOi9NVnXj1SxxkDIx4s5cfUyqPxP2LanWBkenmXatZhjnF24Pyp9tb1Yvnx10NiVnZ-x9GVcSMM9LKlHG8CKXIvR3xsl1I_A7Q-tprLMBY8KiRLmkwfS1Ce52gStzcrpUFWSpaFH9l8oHx5TyoU6uxVOQJyYSLi7gEp-wYQh2scYYbNPeioNpTigHoGo7Ly9hEB_2BsGWjf-mR1s0nke6xGvZoD8Z5U0XpWiluJHPB1U52EdVuW1qm3dhfBiRJK1Hd8-qhDYnGe86y8_snSie-3WRgi7LkOBYtst4PSwJZg4j4f8rA4z8hoj-2ju4Jd1LwOxgNFJcG9CBDVOUj3pnH9nq76ubfBeGDduVQsQ_I/https://www.amazon.com/stores/page/AC60CF9B-E286-40E1-99A1-0B84DD119BA9/?_encoding=UTF8&store_ref=SB_A01774432629111GMV9IE-A096408837IZ800DLZE27&pd_rd_plhdr=t&aaxitk=a24498243e9cd4d59d916cbec3bfd43c&hsa_cr_id=0&lp_asins=B0GLH478BD%2CB0GLH7QW13%2CB0GLHCV1GS&lp_query=nurses%20week%20gifts&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=suhgt&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=F427JAMZDBRHAJGPE87C&pd_rd_wg=gBd8l&pd_rd_r=7c82a3da-bad7-4162-b79b-35adf5d8efb9,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/4e82e17c-76e3-43ec-8bdc-d784badaf1a7._CR0,0,800,800_AC_SX130_SY60_CB1169409_QL70_.png",,eachers' Day Cupcake Fuzzy Socks Bulk,2026-04-21T10:49:38.353248,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T10:49:38.354420,
3,1,Organic,,1.0,B0DJJM84H2,"Nurse Gifts for Women,Cool School Nurse Week Appreciation Graduation Practitioner Retirement Thank You Thanksgiving Essentials Accessories for Work Christmas Valentines Gifts Bracelet Female Ideas",N/A,$4.99,,4.7,71.0,False,https://m.media-amazon.com/images/I/71Bb-Qt43kL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Bb-Qt43kL._AC_SL1500_.jpg,,2026-04-21T10:49:38.360300,
4,1,Organic,,2.0,B0CMV2DCXT,"CHMI Under Eye Patches (50 Pairs) - 24K Gold Eye Patches for Puffy Eyes, Dark Circles, EyeBags and Wrinkles, Collagen Skin Care Products, Beauty & Personal Care",N/A,$9.98,,4.5,1133.0,False,https://m.media-amazon.com/images/I/81yyVOb7GKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yyVOb7GKL._AC_SL1500_.jpg,,2026-04-21T10:49:38.364058,
5,1,Organic,,3.0,B0GK1HNFZT,Nurses Week 2026 Decorations Set: Thank You/Happy Nurse Paper Banner Appreciation Hanging Swirls Blue Red White Paper Glasses Photo Booth Props RN Graduation Gifts Party Decor Supplies,N/A,$15.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/815-wZh77DL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/815-wZh77DL._AC_SL1500_.jpg,,2026-04-21T10:49:38.367826,
7,1,Title,,,,Debug info copied.SponsoredAjiangwu 925 Sterling Silver Custom Stethoscope Charms Nurse Graduation G,,,,,,False,,,,2026-04-21T10:49:38.368888,
8,1,Title,,,,Cute and Comfortable Compression Socks for WomenSponsored|9K+ bought from this brand in past month|S,,,,,,False,,,,2026-04-21T10:49:38.369990,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T10:49:38.370152,
10,1,Organic,,4.0,B09V7Z4TJG,"medicube Toner Pads Zero Pore Pad 2.0 | Dual-Textured Facial Pad for Exfoliation and Pore Care with 4.5% AHA Lactic Acid, 0.45% BHA Salicylic Acid | Ideal for All, Korean Skin Care, 70 Pads (1 Pack)",N/A,$18.90,,4.6,21704.0,False,https://m.media-amazon.com/images/I/71Mcspt-6AL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Mcspt-6AL._AC_SL1500_.jpg,,2026-04-21T10:49:38.378652,
11,1,Organic,,5.0,B0CZ3LL36N,LSLSHY Cute Nurse Pens Funny Nurse Accessories for Work Aesthetic Gel Pen Black Ink Set for Cna Rn Medical Assistant Nursing Student Essentials Nurse Week Gifts Appreciation Gift,N/A,$6.99,,4.8,661.0,False,https://m.media-amazon.com/images/I/61ReA1A1UmL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61ReA1A1UmL._AC_SL1500_.jpg,,2026-04-21T10:49:38.385564,
