data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T10:47:59.903833,6.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T10:47:59.905254,
3,1,Organic,,1.0,B0D7S8HWGM,142Pcs Nurse Party Decoration Nurse Graduation Week Red White Blue Balloons for Nurse Graduation Nurse Party Decoration Supplies,N/A,$16.98,,4.7,17.0,False,https://m.media-amazon.com/images/I/71C4RtzZiJL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71C4RtzZiJL._AC_SL1500_.jpg,,2026-04-21T10:47:59.911328,
4,1,Organic,,2.0,B0GRNG8877,"Nurses Week Decorations, Nurse Week Decoration 2026 includes Thank You Nurse Banner Backdrop Balloons Honeycomb Centerpieces Hanging Swirls, for Nurse Appreciation Decorations RN Graduation Party",N/A,$17.99,,,,False,https://m.media-amazon.com/images/I/81w+BIC26nL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81w+BIC26nL._AC_SL1500_.jpg,,2026-04-21T10:47:59.914879,
5,1,Organic,,3.0,B0DZTBVHP5,"Nurses Week Decorations 2026,12pcs Nursing Party Decorations Honeycomb Centerpieces,Nurses Appreciation Week Table Toppers for Nursing Graduation Party Supplies Appreciation Party Decorations",N/A,$9.99,,5.0,7.0,False,https://m.media-amazon.com/images/I/81dYH16FdjL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81dYH16FdjL._AC_SL1500_.jpg,,2026-04-21T10:47:59.918787,
7,1,Title,,,,Debug info copied.SponsoredKolldenn 50 Pcs Nurse Gift Bags Bulk Reusable Treat Nursing Candy Bags St,,,,,,False,,,,2026-04-21T10:47:59.920045,
8,1,Title,,,,Nurse Party BalloonSponsored|Shop party greetingShop nowPrevious page8Pcs Nurse Cap Balloons 27inch ,,,,,,False,,,,2026-04-21T10:47:59.921119,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T10:47:59.921257,
10,1,Organic,,4.0,B0DWJYNWFM,"Nurses Week Decorations, 30 PCS Nurses Week Hanging Swirl Decorations with Foil Ceiling Streamers, Red and Blue Nurse Graduation Party Supplies for Nurse Doctor Medical Graduation Party Decoration",N/A,$6.99,,4.6,56.0,False,https://m.media-amazon.com/images/I/71okQELMd-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71okQELMd-L._AC_SL1500_.jpg,,2026-04-21T10:47:59.924932,
11,1,Organic,,5.0,B0GLG38LYR,"12Pcs Happy Nurses Week Honeycomb Centerpieces Nurse Week Decorations, Thank You Nurses Table Centerpieces with We Appreciate You Sign Nursing Graduation Party Supplies for Nurse Day CNA/CRNA/RN",N/A,$9.99,,,,False,https://m.media-amazon.com/images/I/814jXmtpd5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814jXmtpd5L._AC_SL1500_.jpg,,2026-04-21T10:47:59.928671,
12,1,Organic,,6.0,B0GHRX8MG4,Nurses Week 2026 Decorations Set: Thank You/ Happy Nurse Paper Banner Appreciation Hanging Swirls Blue Red White Pom Pom Paper Fans Balloons Tinsel Curtain RN Graduation Party Decor Supplies,N/A,$15.99,,,,False,https://m.media-amazon.com/images/I/91H7c-6lUfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91H7c-6lUfL._AC_SL1500_.jpg,,2026-04-21T10:47:59.933105,
13,1,Organic,,7.0,B0GQM2BFSS,Nurse Party Decorations - 197Pcs Thank You Nurses Themed Tableware and Balloons Set RN Graduation Happy Nurses Week Decorations for Party,N/A,$19.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/91T+W5en7gL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91T+W5en7gL._AC_SL1500_.jpg,,2026-04-21T10:47:59.937421,
14,1,Organic,,8.0,B0DWMNV9PL,"Nurses Week Decorations2026, Red Blue White Thank You/Happy Nurses Week Banner, for Medical Party, Nurse Day, Nursing School Party Decorations",N/A,$11.99,,4.6,8.0,False,https://m.media-amazon.com/images/I/81KDFXdt5bL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81KDFXdt5bL._AC_SL1500_.jpg,,2026-04-21T10:47:59.941309,
