data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,MoKo toddler swim vest for kids,https://aax-us-east-retail-direct.amazon.com/x/c/JJ1yiR_OYqOvb_e-G0-Qq4QAAAGdr9j3LgEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDIgICDvzHw-/clv1c_ek-wBAHWIjbXTd2CJEnAoIk9o_PVgpOXBSoMKO_oj48uOv6QiBW6C2rFrwG4ArOdhUTC0gjN3r78ZT8qwxIy4qvfNhr__8S9zciHDivg0q8mCAk3ILmYAwDLI3h6xrJy103WD1ObMiNFBatKxdN0z9_NNt-u5lXrukTwmfaoz49bPQvcnsgHcotSlrjb4LuRJOGXZK7cJllvVerxk0BQ24qaE9kRDNy-_MoCoXaP0tyDa6SGW4O-x0k5J_giHBrWJG8XElkCC-dPyl_0QlVnnFQvO8pRwNrrqhU0wmrZNmKWKENfKyR_fdECFpflcdLeW_8leSrVJYB2nLi0gT1of0GfFCF8nEzqzt8yq9_s7MSIz0_bj68b0Nn3xqXQ7dxzXPH97Xu3hApCCYEJPc4Mb9DZHv_64QarX1zz7NIwdd2kMz-uSQ0PruxSLedZnS4Igsx2UTap5C3S81g0ndRcn1NqGS2qTnasXcLb2WuL038c0ev0LPo6nS2TJ_xGsZolEdZPUeZ6T04p_2tj4WfW38keIf-GTP0V3_LQAvxEYppN-X_VGcAYDA94hDXEZ_qDaUDKuEr6-6zog4rWEXXtrVABKEmhEigufHDDq6kC3viOwZd4NF762fGCE2HlAPKV5IV4pNgGmh8OOm13772LFu4L2XypdriBbULCFDMv2DFHe1ODwxCGtLaBrA0DVduKSerULVjjsGZqKGhBkEsbleN4PuFmWp95hVmLWjQ3eoNFknYGHbwzsnAykehkmViy_7WgpiU5TwO9p76PsZiRstl2mRzl1Kx4nQ_iAZb8zoASw4PHL6aZBEdSA6XCR8ZuqMnhREVhtrAusoIqMeGEG67y51Y7jEt5evtOFjNDAXlegmRjWeeFLOgzyMkwl2T3xgxlfibMXD2CQAkovSy-wAQjzpod03oLbQ8TdoIqmb8AsrVxGIrnvkFX3P6YPAihGVEitamxPpVxG15UMNcVXzZcwYR6WNFBIKznFp9bU-uAQB4GiX6qCsiF3m6mNJZBwl2XEQu01TRepj00vYUlJT4kVgaR-jMrxjAtAtQQzhkvYFYKbESJ3BW1aohdZKfR6SdJmU3K8l8IOYIB0hn_aqs3G2KTi8Pdb3FJ_ug1YCrapj10BUJRYXaKEj3p4KHlPYXg8vXczimtTVkkm9SWWTJxRGLJCCbSmvZY9D1PtwaEeXmG6psCLXagomrHPZ7gm3mPpy7fb-bz4anR7aPrRYDXERH8j_VXOyklmbRhyzXUI_EuOWJvi_XBXQfupZL6Vo0vCu6AxiSLzVqSzAP9EJMuyst8VQK-lLqimH26KVHN7C6bWTUYUIS3Ne39Xm6bM4KcOa0vU0Rpm3RYwuXIcEOCoz5-qSOzrwNtpT0cAiADNyqnCuKBCjTy8hSONWd43r_KPS4cUp87QFrjR38NQeqZiijNCesEw0lmADrc7o-_3-eAC7dEUVTKVuvONWRagsSnus0nUBzbw6BTICq8fNmXf01vM8Wiqi8MLJNgVm25rsdLLNCAiY8xtZGAq8kmVmq9nL_cVlLliZwPjhPBn-b0h_-HS53QAGoh4wN_lW0jYoywT-LYlxjKC2KGj7HgSf3BlCXm3xHDXk5yYdKkkJBIZxP6zIHNS053RR_y2FMbem1y0j1xQYXBsqrzXxwS9S91C_9H1I9hZWTudaburdN5uOkIwAVvGlh8/https://www.amazon.com/stores/page/FF755E85-C16F-40F6-8F0F-A1818F821634/?_encoding=UTF8&store_ref=SB_A0558137236QQ2B1FAUHJ-A0984511LYXTVYHF3GWX&pd_rd_plhdr=t&aaxitk=abc004b1b8d2ce84f67d9906d4779eb0&hsa_cr_id=0&lp_asins=B08TQP2Y6Z%2CB0C1S4TWQZ%2CB0CQXLDTPG&lp_query=pool%20floats%20kids&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=V6Dus&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=G8HH26Q9T7HF8HTMGCJK&pd_rd_wg=LNIvL&pd_rd_r=87e23e83-a753-4488-9bcb-58d8dcb46022,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/0175f66b-6851-4745-9365-a12915a12bad._CR0,0,3316,1489_AC_SX130_SY60_CB1169409_QL70_.png",,MoKo toddler swim vest for kids,2026-04-21T11:42:12.532208,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T11:42:12.533161,
3,1,Organic,,1.0,B0CQYGNZTW,"2 Pack Inflatable Shark Pool Floats Kids 3-11 Years, Kids Floaties Swimming Pool Toys with 2 Water Squirt Guns Boys Girls Party Float Ride-on Toddler Floatie with Safety Seat Summer Outdoor Water Game",N/A,$28.99,,4.0,178.0,False,https://m.media-amazon.com/images/I/81eU5ozOZ8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81eU5ozOZ8L._AC_SL1500_.jpg,,2026-04-21T11:42:12.540462,
4,1,Organic,,2.0,B0DP4NH64T,"4 Pack Inflatable Pool Floats for Toddler Age 3-7 Animal Swim Tube Rings for Kids Infant Baby Ride on Beach Floaties with Safety Seat&Handle for Summer Lake Pool (Flamingo, Turtle, Whale, Dalmatian)",N/A,$18.99,,3.9,198.0,False,https://m.media-amazon.com/images/I/716Xf83YRwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/716Xf83YRwL._AC_SL1500_.jpg,,2026-04-21T11:42:12.545510,
5,1,Organic,,3.0,B0BRB6XJQL,Inflatable Unicorn Flamingo Pool Floats - Jasonwell 2 Pack Pool Floaties Inflatables Rafts for Swimming Pool Tubes for Floating Lake Beach Floaty Swim Rings Pool Party Toys for Adults Kids,N/A,$24.97,,4.6,2352.0,False,https://m.media-amazon.com/images/I/61CCCFzdKAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61CCCFzdKAL._AC_SL1500_.jpg,,2026-04-21T11:42:12.559195,
7,1,Title,,,,New arrivalsSponsoredBased on items added in the past 60 daysJasonwell Inflatable Pool Floats Adult ,,,,,,False,,,,2026-04-21T11:42:12.563138,
9,1,Title,,,,Debug info copied.SponsoredInflatable Pirate Ship Pool Floats Kids 3-11 Years Toddler Pool Floaties ,,,,,,False,,,,2026-04-21T11:42:12.563748,
10,1,Title,,,,Toddler Floaties for 20-30-30-50-60 lbsSponsored|Top 10 best-selling brand in swim vests|Shop Gogoki,,,,,,False,,,,2026-04-21T11:42:12.565014,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:42:12.565160,
12,1,Organic,,4.0,B08R7Z55GK,"Inflatable Donuts - (Pack of 4) 24 Inch Donut Pool Float for Kids Ages 2-6 Pool Tube, Assorted Swim Rings with Sprinkles for Pool Floaties, Party Decorations",N/A,$14.99,,4.0,1205.0,False,https://m.media-amazon.com/images/I/91U6O2UiRFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91U6O2UiRFL._AC_SL1500_.jpg,,2026-04-21T11:42:12.572007,
