data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T11:43:58.027157,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T11:43:58.027783,
3,1,Organic,,1.0,B0BKTLNSLG,"SLOOSH Inflatable Pool Floats Adult,2 Packs Floating Lounge Chairs,Blow up Pool Noodles for Adult Heavy Duty,Floating Chair for Party Summer Water Beach Lake Fun",N/A,$29.99,,4.3,4663.0,False,https://m.media-amazon.com/images/I/91bpiQBEqyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91bpiQBEqyL._AC_SL1500_.jpg,,2026-04-21T11:43:58.031660,
4,1,Organic,,2.0,B0CCW5Y1D3,"SwimWays Spring Float Premium Hammock Pool Lounger, Inflatable Pool Floats Adult with Fast Inflation for Ages 15 & Up",N/A,$15.29,,4.6,818.0,False,https://m.media-amazon.com/images/I/8198vA2FJYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8198vA2FJYL._AC_SL1500_.jpg,,2026-04-21T11:43:58.037327,
5,1,Organic,,3.0,B0FMR9M4LC,Sloosh Inflatable Pool Float Battle Game Set for Kids Adults-Includes 2 Giant Ride On Pool Toy Kitten & Puppy for Outdoor Swimming Party Family Activities,N/A,$55.99,,4.8,9.0,False,https://m.media-amazon.com/images/I/91NIoxB9QuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91NIoxB9QuL._AC_SL1500_.jpg,,2026-04-21T11:43:58.040704,
7,1,Title,,,,"Debug info copied.SponsoredBig Joe Lux Lagoon Lounger Pool Float, Black and White Cape Stripe, Premi",,,,,,False,,,,2026-04-21T11:43:58.041791,
8,1,Title,,,,Inflatable Pool Floats for Summer Water FunSponsored|Shop OKSUWATERShop nowPrevious page2 Pack Pool ,,,,,,False,,,,2026-04-21T11:43:58.042990,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:43:58.043118,
10,1,Organic,,4.0,B0DSPWP99T,"5 Pack Inflatable Pool Floats, OKSUWATER 4-in-1 Water Hammock, Pool Floats Adult Size for Swimming Pool Party Summer Lake Water Fun (5 Pack-Multicolor)",N/A,$21.98,,4.7,420.0,False,https://m.media-amazon.com/images/I/819XdTCgKcL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/819XdTCgKcL._AC_SL1500_.jpg,,2026-04-21T11:43:58.047847,
11,1,Organic,,5.0,B0BVW69HPV,"Stonful Pool Floats Lounger, 2 Pack Inflatable Pool Floats Adult Size, Water Hammock Pool Rafts Floaties for Swimming Pool Tanning Floating Pool Party Toys for Summertime Beach Outdoor - Multicolor",N/A,$23.99,,4.6,954.0,False,https://m.media-amazon.com/images/I/91QtR1qF1-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91QtR1qF1-L._AC_SL1500_.jpg,,2026-04-21T11:43:58.051913,
12,1,Organic,,6.0,B0BRB6XJQL,Inflatable Unicorn Flamingo Pool Floats - Jasonwell 2 Pack Pool Floaties Inflatables Rafts for Swimming Pool Tubes for Floating Lake Beach Floaty Swim Rings Pool Party Toys for Adults Kids,N/A,$24.97,,4.6,2352.0,False,https://m.media-amazon.com/images/I/61CCCFzdKAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61CCCFzdKAL._AC_SL1500_.jpg,,2026-04-21T11:43:58.060867,
13,1,Organic,,7.0,B0GKVFB51H,"FindUWill 2 Pack Inflatable Pool Floats for Adults, Pool Floaties Adult Heavy Duty, Pool Lounger Float with Headrest for Adults, Pool Rafts for Summer Swimming Lake Beach Party",N/A,$28.49,,4.8,6.0,False,https://m.media-amazon.com/images/I/81Fyr9aDgrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Fyr9aDgrL._AC_SL1500_.jpg,,2026-04-21T11:43:58.064143,
14,1,Organic,,8.0,B0C946BBSW,"JUXIAO 5 Pack Upgrated XL Water Pool Floats, 4-in-1 (Hammock, Saddle, Lounge Chair, Drifter) Multi-Purpose Water Pool Float, Non-Stick PVC Material",N/A,$18.99,,4.4,1819.0,False,https://m.media-amazon.com/images/I/81yjIffjrOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yjIffjrOL._AC_SL1500_.jpg,,2026-04-21T11:43:58.068032,
15,1,Organic,,9.0,B0721468V1,"JOYIN Inflatable Swim Tube Raft (3 pack) with Summer Fruits Painting, Pool Toys for Swimming Pool Party Decorations",N/A,$16.99,,4.6,8366.0,False,https://m.media-amazon.com/images/I/71cpqrIteIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71cpqrIteIL._AC_SL1500_.jpg,,2026-04-21T11:43:58.071151,
16,1,Organic,,10.0,B0DSPWPH4C,"4 Pack Inflatable Pool Floats, OKSUWATER 4-in-1 Water Hammock, Pool Floats Adult Size for Swimming Pool Party Summer Lake Water Fun",N/A,$19.99,,4.8,550.0,False,https://m.media-amazon.com/images/I/81Kk-xDIdeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Kk-xDIdeL._AC_SL1500_.jpg,,2026-04-21T11:43:58.074212,
17,1,Organic,,11.0,B0BRNJSSV7,Jasonwell Inflatable Pool Float Adult - Pool Floaties Lounger Floats Floating Chair Raft with Adjustable Backrest Cup Holders Water Floaty Lake Lounge Tanning Floats Beach Party Toys for Adults,N/A,$21.99,,4.4,1964.0,False,https://m.media-amazon.com/images/I/81Yty2EW3PL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Yty2EW3PL._AC_SL1500_.jpg,,2026-04-21T11:43:58.082120,
18,1,Organic,,12.0,B000OV0X4S,"Intex 58859EP Sit 'N Float Inflatable Pool Float: Pool Lounge with Built-in Cup Holders – Heavy-Duty Handles – 220lb Weight Capacity – 58"" x 39"" – Colors May Vary",N/A,$16.04,,4.0,13605.0,False,https://m.media-amazon.com/images/I/710iUI8W+6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/710iUI8W+6L._AC_SL1500_.jpg,,2026-04-21T11:43:58.085489,
19,1,Organic,,13.0,B000KHZ044,"Intex Inflatable Lounge Pool Recliner Lounger Chair with Cup Holders - Heavy-Duty Float Raft for Adults, 220 Lb Capacity Large Floating Tanning Chair",N/A,$25.99,,4.4,19583.0,False,https://m.media-amazon.com/images/I/61XJ+fF0I7L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61XJ+fF0I7L._AC_SL1500_.jpg,,2026-04-21T11:43:58.088960,
20,1,Organic,,14.0,B09VTDW2FC,"Stonful 2 Pack Inflatable Pool Float Mat, Giant Pool Floats Adult Size with Headrest, Lake Float Raft Water Lounger, Multi-Purpose Swimming Pool Floats for Pool Party, Summertime Beach, Outdoor",N/A,$39.99,,4.5,2161.0,False,https://m.media-amazon.com/images/I/910yMWj5u5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/910yMWj5u5L._AC_SL1500_.jpg,,2026-04-21T11:43:58.092842,
21,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:43:58.093385,
22,1,Organic,,15.0,B0GJ3WT1XD,"Pool Floats Adult Inflatable Hammock with Cooling Mesh, Portable Foldable Water Chair for Beach Vacation Essentials, Striped Floaties for Adults, Lightweight for Travel & Summer Relaxing",N/A,$19.99,,4.3,10.0,False,https://m.media-amazon.com/images/I/815Nj6vjkPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/815Nj6vjkPL._AC_SL1500_.jpg,,2026-04-21T11:43:58.096549,
23,1,Organic,,16.0,B0BR5NLF9P,"Jasonwell 4 in 1 Inflatable Tanning Pool Lounger Float - Sunbathing Lounge Floatie Raft Toys, Water Filled Tanning Bed Mat Pad Blow Up Kiddie Pool with Ball Pit for Adult, Kids (L)",N/A,$29.97,,4.3,8370.0,False,https://m.media-amazon.com/images/I/71goaDpLYxL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71goaDpLYxL._AC_SL1500_.jpg,,2026-04-21T11:43:58.104689,
24,1,Organic,,17.0,B0CRD8YD6B,"FindUWill Pool Floats Chairs Adult - 2 Pack 65'' x 42'' Large Pool Float Chairs, Inflatable Pool Lounger with Cup Phone Holder, Backrest, Footrest, Tanning Pool Lounge",N/A,$29.99,,4.3,479.0,False,https://m.media-amazon.com/images/I/91Ygv71SisL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Ygv71SisL._AC_SL1500_.jpg,,2026-04-21T11:43:58.108188,
25,1,Organic,,18.0,B0DC13QBNZ,"Giant Pop-Tarts Extra Large Inflatable Pool Float for Pool Playing, Over 5.5 Feet Long, Lounging and Party",N/A,$14.96,,4.5,166.0,False,https://m.media-amazon.com/images/I/81lyoKLlb1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81lyoKLlb1L._AC_SL1500_.jpg,,2026-04-21T11:43:58.111647,
26,1,Organic,,19.0,B0CLMHHYCC,"SLOOSH Inflatable Pool Floats Lounger - XL Fabric Covered Pool Mat Floaties for Adults, Ultra Comfort Water Floating Lounger with Headrest for Beach Lake Swimming Pool Float Raft 68""X34""",N/A,$29.99,,4.6,528.0,False,https://m.media-amazon.com/images/I/81+BtUZG0uL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+BtUZG0uL._AC_SL1500_.jpg,,2026-04-21T11:43:58.114611,
