data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-18T10:28:10.435805,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-18T10:28:10.436652,
1,1,SB,1.0,,,N/A,N/A,,,,,False,,,N/A,2026-04-18T10:28:10.438580,
2,1,SB,2.0,,,N/A,N/A,,,,,False,,,N/A,2026-04-18T10:28:10.440108,
3,1,Organic,,1.0,B0GMPXPMZ5,"Pool Birthday Party Supplies,Summer Beach Party Decorations Paper Plates,Napkins,Balloon,Banner,Cupcake Topper for Summer Hawaiian Beach Pool Birthday Supplies Serves 24",N/A,$20.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/91NC+3f2OpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91NC+3f2OpL._AC_SL1500_.jpg,,2026-04-18T10:28:10.444142,
4,1,Organic,,2.0,B0DT6X8QP2,"Summer Pool Beach Party Decorations, Splash Birthday Bash Party Supplies Tropical Summer Banner Beach Ball Lantern Fringe Curtain Foil Balloons Arch for Swimming Water Luau Hawaiian Party Decor(Blue)",N/A,$18.99,,4.4,301.0,False,https://m.media-amazon.com/images/I/81BUSERqr5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81BUSERqr5L._AC_SL1500_.jpg,,2026-04-18T10:28:10.447745,
5,1,Organic,,3.0,B0FMRDLC2V,"SLOOSH 2-in-1 Fun Pool Toys Set for Kids, Inflatable Dart Board & Ring Toss Game, Pool Floats Water Game Toys for Beach Yard Outdoor Ball Play, Party Birthday Gift for Kids Teen Adult",N/A,$29.99,,4.5,12.0,False,https://m.media-amazon.com/images/I/91n-AJcPRgL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91n-AJcPRgL._AC_SL1500_.jpg,,2026-04-18T10:28:10.452774,
7,1,Title,,,,"Debug info copied.Sponsored63'' Inflatable Palm Tree Cooler, Pool Party Decorations, Inflatable Cool",,,,,,False,,,,2026-04-18T10:28:10.453759,
8,1,Title,,,,JOYIN Party Decorations.Sponsored|Shop JOYINShop nowPrevious pageJoyin Toy 36 Counts Hawaiian Leis B,,,,,,False,,,,2026-04-18T10:28:10.454923,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-18T10:28:10.455054,
10,1,Organic,,4.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2698.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-18T10:28:10.460568,
11,1,Organic,,5.0,B0DYY9GJ3S,"134Pcs Tropical Summer Beach Pool Party Balloon Garland Arch Kit,with Inflatable Beach Balls,Watermelon,Sun Foil Balloons for Hawaiian Luau Birthday Graduation Party Decorations - Hot Pink Yellow Blue",N/A,$15.89,,4.4,36.0,False,https://m.media-amazon.com/images/I/81+iUruI7AL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+iUruI7AL._AC_SL1500_.jpg,,2026-04-18T10:28:10.464055,
12,1,Organic,,6.0,B073RBVTXT,"ALINK 50 Umbrella Parasol Drinking Straws, Hawaiian Beach Cocktail Luau Party Decorations Supplies",N/A,$6.99,,4.6,10351.0,False,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_SL1500_.jpg,,2026-04-18T10:28:10.467559,
13,1,Organic,,7.0,B0FL7DMFZK,Flutesan 16 Pcs Summer Beach Decorations Ice Cream Surfboard Pool Themed Hanging Decor Colorful Paper Lanterns Fans Poms Flowers for Home Birthday Indoor Outdoor End of Summer Party Supplies Favors,N/A,$16.99,,,,False,https://m.media-amazon.com/images/I/81Z0jyyi-tL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Z0jyyi-tL._AC_SL1500_.jpg,,2026-04-18T10:28:10.470648,
14,1,Organic,,8.0,B0BWR9FQYX,2 Pack Blue Streamers Party Decorations Fringe Backdrop Ocean Themed Decorations Foil Curtain Backdrop Blue Birthday Ocean Party Decor Supplies,N/A,$5.97,,4.4,10539.0,False,https://m.media-amazon.com/images/I/914rDCqCJuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/914rDCqCJuL._AC_SL1500_.jpg,,2026-04-18T10:28:10.474385,
15,1,Organic,,9.0,B0D89XQ37N,"Swimming Pool Party Banner for Summer Party Decorations, Summer Themed Hawaiian Outdoor Party Decorations, Baby Shower Birthday Swimming Pool Party Supplies(Pool Party Blue)",N/A,$12.99,,4.6,72.0,False,https://m.media-amazon.com/images/I/61vc5ADfwJL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61vc5ADfwJL._AC_SL1500_.jpg,,2026-04-18T10:28:10.477987,
16,1,Organic,,10.0,B0G2BLV35J,Inflatable Palm Tree Beach Balls Flamingo Banana Parrot Dolphin Cactus Ring Toss Sets for Tropical Hawaiian Beach Luau Summer Pool Party Decorations,N/A,$25.99,,4.3,5.0,False,https://m.media-amazon.com/images/I/71TYc-OHRGL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71TYc-OHRGL._AC_SL1500_.jpg,,2026-04-18T10:28:10.481775,
17,1,Organic,,11.0,B09Z28TMY4,Vinsot 32 Pack Beach Pool Party Eyeglasses Decor Summer Luau Paper Glasses Bulk Hawaiian Sunglasses Frame Tropical Pool Props Photo Booth Props for Summer Beach Luau Party Favor Birthday Supply Decor,N/A,$12.99,,4.1,646.0,False,https://m.media-amazon.com/images/I/81bbJ2wNgCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81bbJ2wNgCL._AC_SL1500_.jpg,,2026-04-18T10:28:10.485272,
18,1,Organic,,12.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,$9.99,,4.6,10885.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-18T10:28:10.489603,
19,1,Organic,,13.0,B08V51SGPG,"JOYIN 18 Pack 16.5'' Water Gun, Blaster Squirt Guns, Bulk Water Guns Summer Outdoor Swimming Pool, Backyard, Beach Water Game Fighting Play Pool Toys",N/A,$26.99,,4.5,1152.0,False,https://m.media-amazon.com/images/I/81gALjEBpfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81gALjEBpfL._AC_SL1500_.jpg,,2026-04-18T10:28:10.492629,
20,1,Organic,,14.0,B0CV33D9F1,"3 Pcs Iridescent Waves Tablecloths - Disposable Plastic Ocean Blue Table Cloth Rectangle Table Covers for Under the Sea Beach Surf Pool Party Birthday Party Decorations, 54 x 108 Inch",N/A,$8.99,,4.5,670.0,False,https://m.media-amazon.com/images/I/81jVudN5HQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81jVudN5HQL._AC_SL1500_.jpg,,2026-04-18T10:28:10.496707,
21,1,Title,,,,More results,,,,,,False,,,,2026-04-18T10:28:10.497345,
22,1,Organic,,15.0,B071JR7GYP,"JOYIN 60"" Inflatable Palm Tree Cooler, Beach Theme Decor, Pool Party Decorations, Luau Hawaiian Birthday Party Supplies, Ocean Jungle Tropical Themed Summer Outdoor Drink Cooler",N/A,$19.99,,4.3,5368.0,False,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_SL1500_.jpg,,2026-04-18T10:28:10.500040,
23,1,Organic,,16.0,B07NX2V91X,"JOYIN 2-Pack Flamingo Unicorn Pool Float - Fun Floaties Inflatable Swimming Pool Tubes Toys Party Decorations, Summer Vacation Lake Beach Floaty Swim Rings Raft Lounger for Adults & Kids",N/A,$22.99,,4.4,3221.0,False,https://m.media-amazon.com/images/I/81U1c+sU5FL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81U1c+sU5FL._AC_SL1500_.jpg,,2026-04-18T10:28:10.509081,
24,1,Organic,,17.0,B07NWR7HKD,"JOYIN 12-Pack 12“ Beach Balls - Bulk Classic Beachball Inflatable Swimming Pool Toys for Games Adults Kids Birthday Party Supplies Combo Set, Rainbow Color Blow Up Luau Decorations Favors Gifts (12"")",N/A,$9.99,,4.5,3354.0,False,https://m.media-amazon.com/images/I/814LDy0nOPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814LDy0nOPL._AC_SL1500_.jpg,,2026-04-18T10:28:10.513260,
