data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at
0,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-18T13:41:16.403298
2,1,SP,1.0,,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,CNY 64.66,,4.5,2698.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-18T13:41:16.411929
3,1,SP,2.0,,B0GR53CH6N,"Pool Party Decorations, 5x3Ft Blue Happy Birthday Pool Party Backdrop Banner Summer Pool Birthday Decorations for Summer Vacation Party Supplies Photo Booth Props",N/A,CNY 68.07,,,,False,https://m.media-amazon.com/images/I/81f30HcZeoL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81f30HcZeoL._AC_SL1500_.jpg,,2026-04-18T13:41:16.416066
4,1,SP,3.0,,B0FZGTSPZM,Renbuzhu 15Pcs Summer Party Decorations Watermelon Paper Lanterns Pom Poms Hanging Swirls Pool Beach Luau Tropical Birthday Hanging Decor Indoor Outdoor,N/A,CNY 108.95,,5.0,1.0,False,https://m.media-amazon.com/images/I/81IcRicZ62L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81IcRicZ62L._AC_SL1500_.jpg,,2026-04-18T13:41:16.420228
5,1,SP,4.0,,B0BZS1RK9X,"Summer Party Decorations, Beach Party Decorations Include Hello Summer Banner and Summer Beach Hanging Swirls, Summer Holiday Birthday Party Supplies",N/A,CNY 61.25,,4.6,23.0,False,https://m.media-amazon.com/images/I/81QbQGQF1oL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81QbQGQF1oL._AC_SL1500_.jpg,,2026-04-18T13:41:16.425342
6,1,Organic,,1.0,B0GMPXPMZ5,"Pool Birthday Party Supplies,Summer Beach Party Decorations Paper Plates,Napkins,Balloon,Banner,Cupcake Topper for Summer Hawaiian Beach Pool Birthday Supplies Serves 24",N/A,CNY 143.02,,5.0,2.0,False,https://m.media-amazon.com/images/I/91NC+3f2OpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91NC+3f2OpL._AC_SL1500_.jpg,,2026-04-18T13:41:16.429575
7,1,Organic,,2.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,CNY 64.66,,4.5,2698.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-18T13:41:16.435868
8,1,Organic,,3.0,B071JR7GYP,"JOYIN 60"" Inflatable Palm Tree Cooler, Beach Theme Decor, Pool Party Decorations, Luau Hawaiian Birthday Party Supplies, Ocean Jungle Tropical Themed Summer Outdoor Drink Cooler",N/A,CNY 136.20,,4.3,5368.0,False,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_SL1500_.jpg,,2026-04-18T13:41:16.438977
10,1,Title,,,,"Customers frequently viewedSponsored169 PCS Luau Party Decorations, Hawaiian Party Supplies - ""ALOHA",,,,,,False,,,,2026-04-18T13:41:16.443228
12,1,Title,,,,Easy Assembly15-Piece SetRenbuzhu 15Pcs Summer Party Decorations Watermelon Paper Lanterns Pom Poms ,,,,,,False,,,,2026-04-18T13:41:16.444901
13,1,Title,,,,Sumind Floating Pool Letters Inflatable LetterSponsored|Shop SumindShop nowPrevious pageSumind 10 Pc,,,,,,False,,,,2026-04-18T13:41:16.446484
14,1,Title,,,,More results,,,,,,False,,,,2026-04-18T13:41:16.446484
15,1,Organic,,4.0,B0DYY9GJ3S,"134Pcs Tropical Summer Beach Pool Party Balloon Garland Arch Kit,with Inflatable Beach Balls,Watermelon,Sun Foil Balloons for Hawaiian Luau Birthday Graduation Party Decorations - Hot Pink Yellow Blue",N/A,CNY 108.27,,4.4,36.0,False,https://m.media-amazon.com/images/I/81+iUruI7AL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+iUruI7AL._AC_SL1500_.jpg,,2026-04-18T13:41:16.450098
16,1,Organic,,5.0,B0DNS37741,"SNLN 129Pcs Pool Party Decorations Birthday Supplies, Outdoor Pool Summer Theme Balloon Garland Arch Kit Backdrop Beach Ball Tropical Luau Hawaii Holiday Swimming Outdoor Pool Decor Party Supplies",N/A,CNY 122.58,,4.5,90.0,False,https://m.media-amazon.com/images/I/81AD-MXL1oL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81AD-MXL1oL._AC_SL1500_.jpg,,2026-04-18T13:41:16.454803
17,1,Organic,,6.0,B0CLP5W5VQ,Ziliny 36 Pcs Summer Pool Beach Party Supplies 5 lb Beach Ball Large Paper Serving Snack Trays for Summer Hawaii Tropical Party Swimming Pool Favors,N/A,CNY 122.58,,4.5,36.0,False,https://m.media-amazon.com/images/I/818v8g+7+0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/818v8g+7+0L._AC_SL1500_.jpg,,2026-04-18T13:41:16.459110
18,1,SP,5.0,,B0GR4XSB7R,"Pool Party Decorations Backdrop, Pink Happy Birthday Backdrop Summer Party Decorations Photography Background Banner for Summer Pool Birthday Party Decor",N/A,CNY 68.07,,,,False,https://m.media-amazon.com/images/I/81VXtkHIoTL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81VXtkHIoTL._AC_SL1500_.jpg,,2026-04-18T13:41:16.462208
19,1,SP,6.0,,B0G52D8SH9,"Life is Better by The Pool Lumbar Throw Pillow Cover 12x20 Inch, Tropical Poolside Cabana Decor and Decorations, Outdoor Cushion Cover for Porch Sofa Bench, Teal",N/A,CNY 61.25,,5.0,6.0,False,https://m.media-amazon.com/images/I/51+yI206Y6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/51+yI206Y6L._AC_SL1500_.jpg,,2026-04-18T13:41:16.465848
