data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Colorful Rainbow Beach Balls,https://aax-us-east-retail-direct.amazon.com/x/c/JKri5glpykuShlBIqxWguy4AAAGdtA_6DwEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDIgICAtI9G7/clv1c_ek-wBAHWJUbbDg9Tt-6ZaQJZyjqW2_L4qgY3cwnnr4eUci__ajaggSnI660gA6vtrPFxkXbJ3j4iS2UaDpM3QczUv4tMP-vqdz5mHrXazAgWTYmSSotvi0H-Kpl1pQq5t-aUv8dbtttTKt2kbVSvEhIISb2ckXliksHRTDa0_sYPWG8UcvCsQOn_QiDeHhKWJadaF5QFP5cJVuHB08AgICucBXt8ECu_BH62mqdvUryDa6P6Q0V-x0kxJ_kynPuXLG5TEmGWa14UzVvzsnXmOU0aba-N9DQzJBAfRas2BVft6UJe4yX_YBvN0l2ecK7elCIVZ1etpPdBRpL7LM9kLnORJvfnd6KQpxo3z_2wDbhfWSK0903hrdsEgmdMOqSptSPZKqFQ4hzHSgqwb50Dg85eb_s69rrLunEKPpoaK7aB3l4Dr8Y9y172znXUhCQJrR7ErrkLHfdKlO9RgynFekHqlxvPX8l5fiq-BOnNmRiLzMHAvOB1kFj1ROD22HECtqPuwXe3CfXR8wiljOSAmcFrM_V3LLOPsJNNAyB2M5OQVgSeDCty9mrdTgj8hz9dEnLZ0SkNOyMIY2TYIkfCufufIm8gwsh07GQgWqHNUcFMG9vv1zYtoNk7BLG0wjvEphKI0CS3EYXt4-BIMEpxN1Hf2_fu32eW1YfBIEipnkelXD3ErXkc32skRL-le2Ol8oBer38qluFBbBwqK8WJNow-qU6k24RZlI02Vk0tXAPUHCnl1HAnoVNnBMwIK5xp3_E2MkV5qnk1D7cezXQMvoevb1qPcgRpVigmc19lDg5xqtib4gTJl1Hi3Ut4feXcivqJ1l-BEi4zvK7hT4UTu0LcsRLZBQ2_qSvqQgdasaotJM00tvhEV5Vzekuoc0KY7VHd3JVez5m_rZqgraa7ou6d6rYoU2w1KpJZblwM2yV-N_vDy62jnkjD6XszvuVokJwAvPjh-fJInARp_EmcKNtNQMd5vOymL6o-w4_XKOXsBL0NxPQ9uwYOXUDx8TtmJyZjXdn50PnMDCE-gtdERWIA2rKG3j6aetQ12hzdruZiK3Wl49msNGQfSLbVzeAa_2U-h0YBHMJIJsnTVstiqPEw5SmTelWQg2sqwiPo3gtp9wpUisNhVvsS5DmusxsDWM_-vn7VT8kHbNRKfOGqPntAPGK5SQ6BcBEMR8N8qNw-sAtImXjcTZPS93Tuv6sK1GJpXDJnG6WSqrSPIp3crmVVhWD27yL-DqgeD990cBAFbaF8PV3L41ASlqoTLhE2HvLM2_KzrUYi3c3q-ghyN6Y7VxS1Lk5rggNOPJqmKVZNFY9JY2D-1U23tD6Kz93MZD2zUPI0WXbSE_V6QL2v9qtABdXsNxjiabpnRzpu6lE2Jg2M74c2eubuetX617qpWgCzmQQspvTNxreQ-QasUqsaWosmCacAab9_-cFAoW480IfdU6GlfjSqXmvb-1f3n3cyq1AvgGFQWLpT4OeGLeGf3JpCgQ_W-ZRjuJHcXzsFW_T58AP2VQ-QrtELi21cqEokPDzf9vb5-caj0fqDC5h1YgBhsI0OqIjxsomtvSjGDEoHG-gAPdGV034Gh3JgKTzFbHxX5Z_jS_vemF1U8sycq5qfAWleSvAphNjHOgAjRKf1FEJ-8QnxVIoR2Q3qbT9Xg-dsbMqDPbnspGLmmrNo7gOkBjysWevmV6RR/https://www.amazon.com/stores/page/6A529998-3E96-4BBD-BB73-E06A4301338D/?_encoding=UTF8&store_ref=SB_A0829677URZWUORHME4J-A07459312VL5H8ME5BLCV&pd_rd_plhdr=t&aaxitk=79abc419f289afaae959d05e3a0c20bf&hsa_cr_id=0&lp_asins=B0BKTLGZN1%2CB07NWR7HKD%2CB07NZPQ5G6&lp_query=pool%20party%20supplies&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=MS4JH&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=8C1SSCS07QW04MDR5HWW&pd_rd_wg=8xSdg&pd_rd_r=328d85bd-aad2-4e11-baf2-855031fb6044,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/acc8c1a0-a88e-4e2a-8344-da2cbf5ce25e._CR0,0,1613,602_AC_SX130_SY60_CB1169409_QL70_.png",,Colorful Rainbow Beach Balls,2026-04-22T07:20:46.681620,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-22T07:20:46.682341,
3,1,Organic,,1.0,B00OCGUG02,"Hefty Party On Disposable Plastic Cups, Assorted, 16 Ounce, 100 Count",N/A,$9.97,,4.8,35428.0,False,https://m.media-amazon.com/images/I/81uf-BZz2eL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uf-BZz2eL._AC_SL1500_.jpg,,2026-04-22T07:20:46.689912,
4,1,Organic,,2.0,B071JR7GYP,"JOYIN 60"" Inflatable Palm Tree Cooler, Beach Theme Decor, Pool Party Decorations, Luau Hawaiian Birthday Party Supplies, Ocean Jungle Tropical Themed Summer Outdoor Drink Cooler",N/A,$19.99,,4.3,5368.0,False,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_SL1500_.jpg,,2026-04-22T07:20:46.693187,
5,1,Organic,,3.0,B0GK6T83LK,Crtiin 28 Pcs Beach Party Decorations Paper Lanterns Pom Poms Fans Spiral Cardboard Hanging Ornaments Hawaiian Tropical Themed Decor for Summer Pool Beach Birthday Party Supplies,N/A,$18.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/81boiL1NpHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81boiL1NpHL._AC_SL1500_.jpg,,2026-04-22T07:20:46.698414,
7,1,Title,,,,AI Patrol ModeAI Vision RobotLong Battery(2026 New) AIPER Scuba V3 AI Vision Cordless Robotic Pool C,,,,,,False,,,,2026-04-22T07:20:46.700449,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-22T07:20:46.700609,
9,1,Organic,,4.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2699.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-22T07:20:46.705384,
10,1,Organic,,5.0,B07NWR7HKD,"JOYIN 12-Pack 12“ Beach Balls - Bulk Classic Beachball Inflatable Swimming Pool Toys for Games Adults Kids Birthday Party Supplies Combo Set, Rainbow Color Blow Up Luau Decorations Favors Gifts (12"")",N/A,$9.99,,4.5,3356.0,False,https://m.media-amazon.com/images/I/814LDy0nOPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814LDy0nOPL._AC_SL1500_.jpg,,2026-04-22T07:20:46.709364,
11,1,Organic,,6.0,B091HP49FJ,"Voiiake Pool Floats Toys Games Set, Inflatable Cross Ring Toss Game Toy with 6pcs Rings for Kids Adults Family, Swimming Pool Water Game",N/A,$12.99,,4.3,711.0,False,https://m.media-amazon.com/images/I/71H0Vars19L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71H0Vars19L._AC_SL1500_.jpg,,2026-04-22T07:20:46.713000,
